"","date","GNTX"
"1","2007-01-03",7.82
"2","2007-01-04",7.725
"3","2007-01-05",7.595
"4","2007-01-08",7.515
"5","2007-01-09",7.54
"6","2007-01-10",7.49
"7","2007-01-11",7.565
"8","2007-01-12",7.625
"9","2007-01-16",7.745
"10","2007-01-17",7.795
"11","2007-01-18",7.895
"12","2007-01-19",8.01
"13","2007-01-22",7.925
"14","2007-01-23",7.935
"15","2007-01-24",8
"16","2007-01-25",8
"17","2007-01-26",7.96
"18","2007-01-29",8.755
"19","2007-01-30",8.66
"20","2007-01-31",8.745
"21","2007-02-01",8.815
"22","2007-02-02",8.795
"23","2007-02-05",8.89
"24","2007-02-06",8.875
"25","2007-02-07",8.925
"26","2007-02-08",8.855
"27","2007-02-09",8.85
"28","2007-02-12",8.765
"29","2007-02-13",8.745
"30","2007-02-14",8.74
"31","2007-02-15",8.72
"32","2007-02-16",8.695
"33","2007-02-20",8.685
"34","2007-02-21",8.72
"35","2007-02-22",8.625
"36","2007-02-23",8.75
"37","2007-02-26",8.65
"38","2007-02-27",8.365
"39","2007-02-28",8.355
"40","2007-03-01",8.255
"41","2007-03-02",8.135
"42","2007-03-05",8.025
"43","2007-03-06",8.115
"44","2007-03-07",8.18
"45","2007-03-08",8.36
"46","2007-03-09",8.355
"47","2007-03-12",8.425
"48","2007-03-13",8.255
"49","2007-03-14",8.185
"50","2007-03-15",8.245
"51","2007-03-16",8.23
"52","2007-03-19",8.26
"53","2007-03-20",8.265
"54","2007-03-21",8.23
"55","2007-03-22",8.24
"56","2007-03-23",8.185
"57","2007-03-26",8.14
"58","2007-03-27",8.205
"59","2007-03-28",8.2
"60","2007-03-29",8.055
"61","2007-03-30",8.125
"62","2007-04-02",8.235
"63","2007-04-03",8.22
"64","2007-04-04",8.195
"65","2007-04-05",8.145
"66","2007-04-09",8.195
"67","2007-04-10",8.185
"68","2007-04-11",8.205
"69","2007-04-12",8.175
"70","2007-04-13",8.18
"71","2007-04-16",8.26
"72","2007-04-17",8.26
"73","2007-04-18",8.3
"74","2007-04-19",8.275
"75","2007-04-20",8.24
"76","2007-04-23",9.375
"77","2007-04-24",9.16
"78","2007-04-25",8.945
"79","2007-04-26",9.085
"80","2007-04-27",8.885
"81","2007-04-30",8.9
"82","2007-05-01",8.98
"83","2007-05-02",9.02
"84","2007-05-03",9.17
"85","2007-05-04",9.44
"86","2007-05-07",9.455
"87","2007-05-08",9.425
"88","2007-05-09",9.445
"89","2007-05-10",9.205
"90","2007-05-11",9.325
"91","2007-05-14",9.425
"92","2007-05-15",9.21
"93","2007-05-16",9.155
"94","2007-05-17",9.1
"95","2007-05-18",9.125
"96","2007-05-21",9.25
"97","2007-05-22",9.295
"98","2007-05-23",9.145
"99","2007-05-24",9.005
"100","2007-05-25",9.005
"101","2007-05-29",8.985
"102","2007-05-30",8.97
"103","2007-05-31",8.875
"104","2007-06-01",8.91
"105","2007-06-04",9.125
"106","2007-06-05",8.905
"107","2007-06-06",8.62
"108","2007-06-07",8.59
"109","2007-06-08",8.69
"110","2007-06-11",8.83
"111","2007-06-12",9.03
"112","2007-06-13",9.26
"113","2007-06-14",9.335
"114","2007-06-15",9.25
"115","2007-06-18",9.2
"116","2007-06-19",10.01
"117","2007-06-20",9.925
"118","2007-06-21",9.895
"119","2007-06-22",9.73
"120","2007-06-25",9.7
"121","2007-06-26",9.8
"122","2007-06-27",9.71
"123","2007-06-28",9.825
"124","2007-06-29",9.845
"125","2007-07-02",9.895
"126","2007-07-03",9.89
"127","2007-07-05",9.855
"128","2007-07-06",10.02
"129","2007-07-09",10.065
"130","2007-07-10",10.425
"131","2007-07-11",10.46
"132","2007-07-12",10.76
"133","2007-07-13",10.61
"134","2007-07-16",10.565
"135","2007-07-17",10.61
"136","2007-07-18",10.48
"137","2007-07-19",10.495
"138","2007-07-20",10.48
"139","2007-07-23",10.915
"140","2007-07-24",10.755
"141","2007-07-25",10.42
"142","2007-07-26",10.065
"143","2007-07-27",10.1
"144","2007-07-30",10.16
"145","2007-07-31",9.87
"146","2007-08-01",9.885
"147","2007-08-02",10.04
"148","2007-08-03",9.675
"149","2007-08-06",10.2
"150","2007-08-07",10.415
"151","2007-08-08",10.61
"152","2007-08-09",10.585
"153","2007-08-10",10.225
"154","2007-08-13",10.11
"155","2007-08-14",9.98
"156","2007-08-15",9.92
"157","2007-08-16",9.595
"158","2007-08-17",9.65
"159","2007-08-20",9.8
"160","2007-08-21",9.94
"161","2007-08-22",9.85
"162","2007-08-23",9.64
"163","2007-08-24",9.78
"164","2007-08-27",9.665
"165","2007-08-28",9.49
"166","2007-08-29",9.89
"167","2007-08-30",9.88
"168","2007-08-31",10.02
"169","2007-09-04",10.19
"170","2007-09-05",10.07
"171","2007-09-06",9.875
"172","2007-09-07",9.755
"173","2007-09-10",9.6
"174","2007-09-11",9.6
