"","date","GRTS"
"1","2018-09-28",14.24
"2","2018-10-01",13.45
"3","2018-10-02",12.55
"4","2018-10-03",12.55
"5","2018-10-04",12.33
"6","2018-10-05",12.37
"7","2018-10-08",11.95
"8","2018-10-09",11.61
"9","2018-10-10",11.65
"10","2018-10-11",12.28
"11","2018-10-12",12.45
"12","2018-10-15",12.2
"13","2018-10-16",12.5
"14","2018-10-17",12.99
"15","2018-10-18",15.49
"16","2018-10-19",15.01
"17","2018-10-22",15.17
"18","2018-10-23",15.29
"19","2018-10-24",14.86
"20","2018-10-25",15.88
"21","2018-10-26",16.83
"22","2018-10-29",16.58
"23","2018-10-30",16.459999
"24","2018-10-31",17.01
"25","2018-11-01",19.040001
"26","2018-11-02",19.17
"27","2018-11-05",20.98
"28","2018-11-06",22.58
"29","2018-11-07",24.469999
"30","2018-11-08",25.809999
"31","2018-11-09",23.6
"32","2018-11-12",20.84
"33","2018-11-13",20.860001
"34","2018-11-14",19.99
"35","2018-11-15",20.290001
"36","2018-11-16",23
"37","2018-11-19",23.700001
"38","2018-11-20",21.93
"39","2018-11-21",22.059999
"40","2018-11-23",22.74
"41","2018-11-26",23.700001
"42","2018-11-27",23.280001
"43","2018-11-28",24.360001
"44","2018-11-29",25.24
"45","2018-11-30",28.040001
"46","2018-12-03",28.91
"47","2018-12-04",30.23
"48","2018-12-06",31.1
"49","2018-12-07",29.459999
"50","2018-12-10",26.110001
"51","2018-12-11",25.18
"52","2018-12-12",24.65
"53","2018-12-13",24.280001
"54","2018-12-14",22.18
"55","2018-12-17",20.610001
"56","2018-12-18",19.530001
"57","2018-12-19",17.709999
"58","2018-12-20",14.7
"59","2018-12-21",15.01
"60","2018-12-24",14.26
"61","2018-12-26",16.290001
"62","2018-12-27",15.76
"63","2018-12-28",15.61
"64","2018-12-31",15.45
"65","2019-01-02",16.290001
"66","2019-01-03",17.049999
"67","2019-01-04",17.969999
"68","2019-01-07",18.49
"69","2019-01-08",16.440001
"70","2019-01-09",17.23
"71","2019-01-10",17.82
"72","2019-01-11",18.719999
"73","2019-01-14",18.959999
"74","2019-01-15",16.610001
"75","2019-01-16",16.18
"76","2019-01-17",15.77
"77","2019-01-18",15.6
"78","2019-01-22",14.58
"79","2019-01-23",13.06
"80","2019-01-24",13.85
"81","2019-01-25",14.18
"82","2019-01-28",13.87
"83","2019-01-29",13.66
"84","2019-01-30",12.73
"85","2019-01-31",12.8
"86","2019-02-01",12.68
"87","2019-02-04",13.57
"88","2019-02-05",13.12
"89","2019-02-06",13.54
"90","2019-02-07",13.24
"91","2019-02-08",12.88
"92","2019-02-11",12.86
"93","2019-02-12",12.69
"94","2019-02-13",12.02
"95","2019-02-14",11.26
"96","2019-02-15",11.62
"97","2019-02-19",11.65
"98","2019-02-20",12.08
"99","2019-02-21",11.99
"100","2019-02-22",12.57
"101","2019-02-25",12.34
"102","2019-02-26",12.99
"103","2019-02-27",12.9
"104","2019-02-28",12.86
"105","2019-03-01",13.1
"106","2019-03-04",13.09
"107","2019-03-05",12.03
"108","2019-03-06",11.64
"109","2019-03-07",11.61
"110","2019-03-08",10.93
"111","2019-03-11",10.62
"112","2019-03-12",10.51
"113","2019-03-13",10.74
"114","2019-03-14",9.97
"115","2019-03-15",10.15
"116","2019-03-18",13.34
"117","2019-03-19",11.92
"118","2019-03-20",11.7
"119","2019-03-21",11.45
"120","2019-03-22",11.45
"121","2019-03-25",10.93
"122","2019-03-26",11.5
"123","2019-03-27",11.89
"124","2019-03-28",12.54
"125","2019-03-29",13.3
"126","2019-04-01",13.46
"127","2019-04-02",14.74
"128","2019-04-03",14.43
"129","2019-04-04",15.17
"130","2019-04-05",15.7
"131","2019-04-08",15.52
"132","2019-04-09",14.34
"133","2019-04-10",14.6
"134","2019-04-11",14.31
"135","2019-04-12",14.86
"136","2019-04-15",13.79
"137","2019-04-16",14.66
"138","2019-04-17",13.9
"139","2019-04-18",13.74
"140","2019-04-22",14.55
"141","2019-04-23",12.95
"142","2019-04-24",12.3
"143","2019-04-25",10.71
"144","2019-04-26",10.79
"145","2019-04-29",10.95
"146","2019-04-30",10.51
"147","2019-05-01",10.68
"148","2019-05-02",10.75
"149","2019-05-03",10.75
"150","2019-05-06",11.2
"151","2019-05-07",10.69
"152","2019-05-08",11.25
"153","2019-05-09",11.24
"154","2019-05-10",11.24
"155","2019-05-13",11.02
"156","2019-05-14",11.14
"157","2019-05-15",11.04
"158","2019-05-16",10.75
"159","2019-05-17",11.18
"160","2019-05-20",10.96
"161","2019-05-21",10.82
"162","2019-05-22",10.41
"163","2019-05-23",9.98
"164","2019-05-24",10.48
"165","2019-05-28",10.6
"166","2019-05-29",9.79
"167","2019-05-30",9.66
"168","2019-05-31",9.31
"169","2019-06-03",9.2
"170","2019-06-04",9.35
"171","2019-06-05",9.23
"172","2019-06-06",9.27
"173","2019-06-07",9.67
"174","2019-06-10",9.73
"175","2019-06-11",9.67
"176","2019-06-12",9.65
"177","2019-06-13",9.97
"178","2019-06-14",9.83
"179","2019-06-17",10.3
"180","2019-06-18",10.92
"181","2019-06-19",10.86
"182","2019-06-20",10.48
"183","2019-06-21",10.77
"184","2019-06-24",9.75
"185","2019-06-25",9.82
"186","2019-06-26",9.97
"187","2019-06-27",9.99
"188","2019-06-28",11.14
"189","2019-07-01",11.26
"190","2019-07-02",11.25
"191","2019-07-03",11.3
"192","2019-07-05",11.48
"193","2019-07-08",11.26
"194","2019-07-09",11.44
"195","2019-07-10",12.15
"196","2019-07-11",12.28
"197","2019-07-12",11.12
"198","2019-07-15",11.05
"199","2019-07-16",10.45
"200","2019-07-17",10.42
"201","2019-07-18",10.31
"202","2019-07-19",10.12
"203","2019-07-22",10.2
"204","2019-07-23",9.92
"205","2019-07-24",9.81
"206","2019-07-25",10.42
"207","2019-07-26",10.55
"208","2019-07-29",10.58
"209","2019-07-30",10.69
"210","2019-07-31",10.5
"211","2019-08-01",10.66
"212","2019-08-02",9.51
"213","2019-08-05",9.06
"214","2019-08-06",9.37
"215","2019-08-07",9.71
"216","2019-08-08",10.18
"217","2019-08-09",10.01
"218","2019-08-12",9.57
"219","2019-08-13",9.36
"220","2019-08-14",9.67
"221","2019-08-15",9.04
"222","2019-08-16",9.79
"223","2019-08-19",9.85
"224","2019-08-20",10.28
"225","2019-08-21",10.77
"226","2019-08-22",10.05
"227","2019-08-23",9.45
"228","2019-08-26",9.44
"229","2019-08-27",9.18
"230","2019-08-28",9.5
"231","2019-08-29",10.2
"232","2019-08-30",10.12
"233","2019-09-03",9.9
"234","2019-09-04",9.8
"235","2019-09-05",9.6
"236","2019-09-06",9.77
"237","2019-09-09",9.91
"238","2019-09-10",10.51
"239","2019-09-11",10.95
"240","2019-09-12",10.2
"241","2019-09-13",9.82
"242","2019-09-16",9.84
"243","2019-09-17",9.9
"244","2019-09-18",9.77
"245","2019-09-19",9.76
"246","2019-09-20",9.67
"247","2019-09-23",9.45
"248","2019-09-24",9.13
"249","2019-09-25",9.24
"250","2019-09-26",8.95
"251","2019-09-27",8.45
"252","2019-09-30",8.64
"253","2019-10-01",8.44
"254","2019-10-02",8.66
"255","2019-10-03",8.68
"256","2019-10-04",8.57
"257","2019-10-07",8.53
"258","2019-10-08",8.46
"259","2019-10-09",8.84
"260","2019-10-10",8.82
"261","2019-10-11",8.61
"262","2019-10-14",8.57
"263","2019-10-15",8.57
"264","2019-10-16",8.45
"265","2019-10-17",8.34
"266","2019-10-18",7.81
"267","2019-10-21",8.27
"268","2019-10-22",7.85
"269","2019-10-23",7.35
"270","2019-10-24",7.31
"271","2019-10-25",7.71
"272","2019-10-28",7.07
"273","2019-10-29",7.16
"274","2019-10-30",7.66
"275","2019-10-31",8.11
"276","2019-11-01",7.97
"277","2019-11-04",7.89
"278","2019-11-05",7.95
"279","2019-11-06",7.7
"280","2019-11-07",7.91
"281","2019-11-08",7.8
"282","2019-11-11",7.48
"283","2019-11-12",7.35
"284","2019-11-13",7.14
"285","2019-11-14",7.14
"286","2019-11-15",7.34
"287","2019-11-18",7.29
"288","2019-11-19",7.94
"289","2019-11-20",8.26
"290","2019-11-21",8.9
"291","2019-11-22",8.4
"292","2019-11-25",9
"293","2019-11-26",8.52
"294","2019-11-27",8.71
"295","2019-11-29",8.71
"296","2019-12-02",8.62
"297","2019-12-03",8.71
"298","2019-12-04",8.41
"299","2019-12-05",8.42
"300","2019-12-06",9.09
"301","2019-12-09",9.21
"302","2019-12-10",10.87
"303","2019-12-11",11.61
"304","2019-12-12",10.29
"305","2019-12-13",9.24
"306","2019-12-16",8.16
"307","2019-12-17",8
"308","2019-12-18",7.9
"309","2019-12-19",7.59
"310","2019-12-20",7.75
"311","2019-12-23",8.62
"312","2019-12-24",9.09
"313","2019-12-26",8.85
"314","2019-12-27",8.46
"315","2019-12-30",8.44
"316","2019-12-31",8.97
"317","2020-01-02",8.13
"318","2020-01-03",7.81
"319","2020-01-06",7.76
"320","2020-01-07",7.8
"321","2020-01-08",7.77
"322","2020-01-09",8.95
"323","2020-01-10",8.98
"324","2020-01-13",8.89
"325","2020-01-14",10.45
"326","2020-01-15",11.3
"327","2020-01-16",10.75
"328","2020-01-17",11.23
"329","2020-01-21",10.79
"330","2020-01-22",10.32
"331","2020-01-23",10.06
"332","2020-01-24",9.68
"333","2020-01-27",9.21
"334","2020-01-28",9.39
"335","2020-01-29",9.47
"336","2020-01-30",9.69
"337","2020-01-31",8.86
"338","2020-02-03",8.48
"339","2020-02-04",8.76
"340","2020-02-05",9.21
"341","2020-02-06",9.61
"342","2020-02-07",9.12
"343","2020-02-10",9.65
"344","2020-02-11",9.3
"345","2020-02-12",9.37
"346","2020-02-13",9.31
"347","2020-02-14",9.47
"348","2020-02-18",10.07
"349","2020-02-19",10.26
"350","2020-02-20",10.4
"351","2020-02-21",10.45
"352","2020-02-24",9.23
"353","2020-02-25",8.91
"354","2020-02-26",8.89
"355","2020-02-27",8.47
"356","2020-02-28",8.4
"357","2020-03-02",8.69
"358","2020-03-03",8.75
"359","2020-03-04",9.17
"360","2020-03-05",8.48
"361","2020-03-06",7.87
"362","2020-03-09",7.02
"363","2020-03-10",7.04
"364","2020-03-11",6.67
"365","2020-03-12",5.64
"366","2020-03-13",6.19
"367","2020-03-16",5.65
"368","2020-03-17",6.16
"369","2020-03-18",5.47
"370","2020-03-19",6.27
"371","2020-03-20",5.67
"372","2020-03-23",5.66
"373","2020-03-24",6.13
"374","2020-03-25",6.24
"375","2020-03-26",6.1
"376","2020-03-27",5.47
"377","2020-03-30",5.72
"378","2020-03-31",5.82
"379","2020-04-01",5.69
"380","2020-04-02",6.26
