"","date","GSBC"
"1","2007-01-03",29.24
"2","2007-01-04",29.299999
"3","2007-01-05",27.940001
"4","2007-01-08",28.18
"5","2007-01-09",28.48
"6","2007-01-10",28.950001
"7","2007-01-11",28.940001
"8","2007-01-12",29.129999
"9","2007-01-16",28.200001
"10","2007-01-17",27.74
"11","2007-01-18",27.6
"12","2007-01-19",27.76
"13","2007-01-22",27.4
"14","2007-01-23",28.23
"15","2007-01-24",28.6
"16","2007-01-25",28.610001
"17","2007-01-26",28.73
"18","2007-01-29",29.1
"19","2007-01-30",29.25
"20","2007-01-31",29.280001
"21","2007-02-01",29.49
"22","2007-02-02",29.48
"23","2007-02-05",29.639999
"24","2007-02-06",29.93
"25","2007-02-07",30.299999
"26","2007-02-08",30.26
"27","2007-02-09",29.93
"28","2007-02-12",30.07
"29","2007-02-13",30.309999
"30","2007-02-14",30.01
"31","2007-02-15",29.99
"32","2007-02-16",29.99
"33","2007-02-20",30.129999
"34","2007-02-21",30.01
"35","2007-02-22",30.139999
"36","2007-02-23",29.92
"37","2007-02-26",30
"38","2007-02-27",29.440001
"39","2007-02-28",29.17
"40","2007-03-01",29.23
"41","2007-03-02",28.219999
"42","2007-03-05",27.309999
"43","2007-03-06",29.32
"44","2007-03-07",28.41
"45","2007-03-08",27.860001
"46","2007-03-09",28.5
"47","2007-03-12",29.450001
"48","2007-03-13",28.440001
"49","2007-03-14",29.02
"50","2007-03-15",29.5
"51","2007-03-16",28.870001
"52","2007-03-19",28.959999
"53","2007-03-20",29.120001
"54","2007-03-21",30.1
"55","2007-03-22",30.1
"56","2007-03-23",29.9
"57","2007-03-26",30.01
"58","2007-03-27",29.59
"59","2007-03-28",28.969999
"60","2007-03-29",28.9
"61","2007-03-30",29.280001
"62","2007-04-02",28.75
"63","2007-04-03",29.84
"64","2007-04-04",29.620001
"65","2007-04-05",29.459999
"66","2007-04-09",29.290001
"67","2007-04-10",29.35
"68","2007-04-11",28.9
"69","2007-04-12",29.01
"70","2007-04-13",28.950001
"71","2007-04-16",29.530001
"72","2007-04-17",29.5
"73","2007-04-18",28.98
"74","2007-04-19",28.190001
"75","2007-04-20",28.639999
"76","2007-04-23",27.450001
"77","2007-04-24",27.969999
"78","2007-04-25",27.950001
"79","2007-04-26",28.059999
"80","2007-04-27",27.530001
"81","2007-04-30",27.379999
