"","date","HASI"
"1","2013-04-18",11.4
"2","2013-04-19",11.25
"3","2013-04-22",11.37
"4","2013-04-23",11.19
"5","2013-04-24",11.26
"6","2013-04-25",11.38
"7","2013-04-26",11.5
"8","2013-04-29",11.35
"9","2013-04-30",11.38
"10","2013-05-01",11.44
"11","2013-05-02",11.5
"12","2013-05-03",11.52
"13","2013-05-06",11.69
"14","2013-05-07",12
"15","2013-05-08",11.98
"16","2013-05-09",11.91
"17","2013-05-10",11.97
"18","2013-05-13",12
"19","2013-05-14",12.07
"20","2013-05-15",12.21
"21","2013-05-16",12.34
"22","2013-05-17",12.5
"23","2013-05-20",12.44
"24","2013-05-21",12.39
"25","2013-05-22",11.8
"26","2013-05-23",12.05
"27","2013-05-24",11.91
"28","2013-05-28",11.98
"29","2013-05-29",11.53
"30","2013-05-30",11.64
"31","2013-05-31",11.51
"32","2013-06-03",11.42
"33","2013-06-04",11.49
"34","2013-06-05",11.1
"35","2013-06-06",11.27
"36","2013-06-07",11.08
"37","2013-06-10",11.3
"38","2013-06-11",11.12
"39","2013-06-12",11.12
"40","2013-06-13",10.87
"41","2013-06-14",11.29
"42","2013-06-17",11.59
"43","2013-06-18",11.56
"44","2013-06-19",11.64
"45","2013-06-20",11.64
"46","2013-06-21",11.76
"47","2013-06-24",11.6
"48","2013-06-25",11.35
"49","2013-06-26",11.54
"50","2013-06-27",11.55
"51","2013-06-28",11.88
"52","2013-07-01",12.44
"53","2013-07-02",12.38
"54","2013-07-03",12.4
"55","2013-07-05",12.41
"56","2013-07-08",12.36
"57","2013-07-09",12.03
"58","2013-07-10",11.94
"59","2013-07-11",12.16
"60","2013-07-12",12.26
"61","2013-07-15",12.06
"62","2013-07-16",12
"63","2013-07-17",11.81
"64","2013-07-18",11.83
"65","2013-07-19",11.5
"66","2013-07-22",11.5
"67","2013-07-23",11.75
"68","2013-07-24",11.42
"69","2013-07-25",11.4
"70","2013-07-26",11.33
"71","2013-07-29",11.73
"72","2013-07-30",11.8
"73","2013-07-31",11.87
"74","2013-08-01",11.55
"75","2013-08-02",11.53
"76","2013-08-05",11.42
"77","2013-08-06",11.38
"78","2013-08-07",11.37
"79","2013-08-08",11.44
"80","2013-08-09",11.46
"81","2013-08-12",11.72
"82","2013-08-13",11.78
"83","2013-08-14",11.51
"84","2013-08-15",11.48
"85","2013-08-16",11.73
"86","2013-08-19",12.05
"87","2013-08-20",12.14
"88","2013-08-21",12.15
"89","2013-08-22",12.15
"90","2013-08-23",12.24
"91","2013-08-26",12.25
"92","2013-08-27",11.8
"93","2013-08-28",11.79
"94","2013-08-29",11.9
"95","2013-08-30",11.74
"96","2013-09-03",11.84
"97","2013-09-04",11.71
"98","2013-09-05",11.66
"99","2013-09-06",11.56
"100","2013-09-09",11.71
"101","2013-09-10",11.6
