"","date","HDS"
"1","2013-06-27",18.66
"2","2013-06-28",18.790001
"3","2013-07-01",18.92
"4","2013-07-02",19.110001
"5","2013-07-03",19.379999
"6","2013-07-05",19.610001
"7","2013-07-08",19.799999
"8","2013-07-09",19.77
"9","2013-07-10",19.5
"10","2013-07-11",19.299999
"11","2013-07-12",19.33
"12","2013-07-15",19.32
"13","2013-07-16",19.26
"14","2013-07-17",19.049999
"15","2013-07-18",19.51
"16","2013-07-19",20.360001
"17","2013-07-22",20.82
"18","2013-07-23",21.49
"19","2013-07-24",21.639999
"20","2013-07-25",21.290001
"21","2013-07-26",21.389999
"22","2013-07-29",21.200001
"23","2013-07-30",21.4
"24","2013-07-31",21.440001
"25","2013-08-01",22.08
"26","2013-08-02",22.57
"27","2013-08-05",23
"28","2013-08-06",23.4
"29","2013-08-07",23.280001
"30","2013-08-08",23.27
"31","2013-08-09",23.08
"32","2013-08-12",23.469999
"33","2013-08-13",23.9
"34","2013-08-14",23.67
"35","2013-08-15",22.809999
"36","2013-08-16",23.18
"37","2013-08-19",22.690001
"38","2013-08-20",23.25
"39","2013-08-21",23.370001
"40","2013-08-22",23.34
"41","2013-08-23",23.549999
"42","2013-08-26",23.809999
"43","2013-08-27",22.879999
"44","2013-08-28",22.870001
"45","2013-08-29",23.040001
"46","2013-08-30",22.74
"47","2013-09-03",23.01
"48","2013-09-04",23.219999
"49","2013-09-05",23.950001
"50","2013-09-06",23.950001
"51","2013-09-09",24.75
"52","2013-09-10",21.969999
"53","2013-09-11",22.18
"54","2013-09-12",22.709999
"55","2013-09-13",22.870001
"56","2013-09-16",22.889999
"57","2013-09-17",23.049999
"58","2013-09-18",23.120001
"59","2013-09-19",23.34
"60","2013-09-20",22.75
"61","2013-09-23",21.98
"62","2013-09-24",22.379999
"63","2013-09-25",22.15
"64","2013-09-26",22.469999
"65","2013-09-27",22.030001
"66","2013-09-30",21.969999
"67","2013-10-01",22.219999
"68","2013-10-02",22.4
"69","2013-10-03",22.15
"70","2013-10-04",22.200001
"71","2013-10-07",21.870001
"72","2013-10-08",21.09
"73","2013-10-09",20.84
"74","2013-10-10",21.02
"75","2013-10-11",21
"76","2013-10-14",21.309999
"77","2013-10-15",20.469999
"78","2013-10-16",20.370001
"79","2013-10-17",20.530001
"80","2013-10-18",20.959999
"81","2013-10-21",20.6
"82","2013-10-22",21.389999
"83","2013-10-23",21.120001
"84","2013-10-24",21.67
"85","2013-10-25",22.16
"86","2013-10-28",21.68
"87","2013-10-29",21.73
"88","2013-10-30",20.969999
"89","2013-10-31",20.190001
"90","2013-11-01",19.84
"91","2013-11-04",20.280001
"92","2013-11-05",20.799999
"93","2013-11-06",20.280001
"94","2013-11-07",19.700001
"95","2013-11-08",19.83
"96","2013-11-11",20.030001
"97","2013-11-12",19.969999
"98","2013-11-13",20.290001
"99","2013-11-14",20.530001
"100","2013-11-15",20.860001
"101","2013-11-18",20.76
"102","2013-11-19",20.75
"103","2013-11-20",20.67
"104","2013-11-21",21.01
"105","2013-11-22",21.040001
"106","2013-11-25",20.9
"107","2013-11-26",20.969999
"108","2013-11-27",21.059999
"109","2013-11-29",21.07
"110","2013-12-02",21.52
"111","2013-12-03",21.219999
"112","2013-12-04",20.940001
"113","2013-12-05",20.719999
"114","2013-12-06",21.059999
"115","2013-12-09",21.65
"116","2013-12-10",23.01
"117","2013-12-11",23
"118","2013-12-12",23.09
"119","2013-12-13",22.98
"120","2013-12-16",23.18
"121","2013-12-17",23.110001
"122","2013-12-18",24.26
"123","2013-12-19",23.950001
"124","2013-12-20",24.33
"125","2013-12-23",24.530001
"126","2013-12-24",24.33
"127","2013-12-26",24.16
"128","2013-12-27",24.450001
"129","2013-12-30",24.129999
"130","2013-12-31",24.01
"131","2014-01-02",23.73
"132","2014-01-03",23.440001
"133","2014-01-06",22.709999
"134","2014-01-07",23.120001
"135","2014-01-08",23.190001
"136","2014-01-09",23.74
"137","2014-01-10",24.299999
"138","2014-01-13",23.360001
"139","2014-01-14",23.18
"140","2014-01-15",23.58
"141","2014-01-16",23.969999
"142","2014-01-17",23.76
"143","2014-01-21",23.73
"144","2014-01-22",23.610001
"145","2014-01-23",23.309999
"146","2014-01-24",22.530001
"147","2014-01-27",22.780001
"148","2014-01-28",21.76
"149","2014-01-29",21.690001
"150","2014-01-30",21.65
"151","2014-01-31",21.469999
"152","2014-02-03",20.9
"153","2014-02-04",21.6
"154","2014-02-05",21.41
"155","2014-02-06",22.09
"156","2014-02-07",21.719999
"157","2014-02-10",21.610001
"158","2014-02-11",21.959999
"159","2014-02-12",22.200001
"160","2014-02-13",22.18
"161","2014-02-14",22.07
"162","2014-02-18",21.68
"163","2014-02-19",21.629999
"164","2014-02-20",21.360001
"165","2014-02-21",22.030001
"166","2014-02-24",22.16
"167","2014-02-25",22.17
"168","2014-02-26",22.75
"169","2014-02-27",23.17
"170","2014-02-28",23.27
"171","2014-03-03",23.09
"172","2014-03-04",23.389999
"173","2014-03-05",23.73
"174","2014-03-06",24.200001
"175","2014-03-07",24.23
"176","2014-03-10",24.030001
"177","2014-03-11",23.58
"178","2014-03-12",23.200001
"179","2014-03-13",22.99
"180","2014-03-14",22.540001
"181","2014-03-17",22.469999
"182","2014-03-18",23.389999
"183","2014-03-19",23.59
"184","2014-03-20",23.32
"185","2014-03-21",23.190001
"186","2014-03-24",23.07
"187","2014-03-25",24.959999
"188","2014-03-26",25.75
"189","2014-03-27",25.690001
"190","2014-03-28",26.68
"191","2014-03-31",26.15
"192","2014-04-01",26.6
"193","2014-04-02",26.440001
"194","2014-04-03",26.629999
"195","2014-04-04",26.860001
"196","2014-04-07",25.84
"197","2014-04-08",25.459999
"198","2014-04-09",25.870001
"199","2014-04-10",25.309999
"200","2014-04-11",24.889999
"201","2014-04-14",24.93
"202","2014-04-15",25.129999
"203","2014-04-16",25.26
"204","2014-04-17",25.549999
"205","2014-04-21",25.889999
"206","2014-04-22",26.27
"207","2014-04-23",26.299999
"208","2014-04-24",26.49
"209","2014-04-25",25.93
"210","2014-04-28",26.219999
"211","2014-04-29",26.709999
"212","2014-04-30",25.780001
"213","2014-05-01",26.360001
"214","2014-05-02",25.709999
"215","2014-05-05",25.940001
"216","2014-05-06",25.93
"217","2014-05-07",25.950001
"218","2014-05-08",25.799999
"219","2014-05-09",25.83
"220","2014-05-12",26.67
"221","2014-05-13",26.620001
"222","2014-05-14",26.35
"223","2014-05-15",25.85
"224","2014-05-16",25.969999
"225","2014-05-19",26.049999
"226","2014-05-20",25.43
"227","2014-05-21",25.780001
"228","2014-05-22",25.68
"229","2014-05-23",25.690001
"230","2014-05-27",26.01
"231","2014-05-28",26.139999
"232","2014-05-29",26.26
"233","2014-05-30",26.27
"234","2014-06-02",26.51
"235","2014-06-03",26.790001
"236","2014-06-04",26.98
"237","2014-06-05",27.23
"238","2014-06-06",27.370001
"239","2014-06-09",27.6
"240","2014-06-10",28.6
"241","2014-06-11",28.77
"242","2014-06-12",27.620001
"243","2014-06-13",27.809999
"244","2014-06-16",28.24
"245","2014-06-17",28.01
"246","2014-06-18",28.719999
"247","2014-06-19",28.17
"248","2014-06-20",28.530001
"249","2014-06-23",28.190001
"250","2014-06-24",27.84
"251","2014-06-25",27.85
"252","2014-06-26",28.049999
"253","2014-06-27",28.030001
"254","2014-06-30",28.389999
"255","2014-07-01",28.049999
"256","2014-07-02",28.049999
"257","2014-07-03",28.709999
"258","2014-07-07",27.950001
"259","2014-07-08",27.549999
"260","2014-07-09",27.23
"261","2014-07-10",27.17
"262","2014-07-11",26.690001
"263","2014-07-14",26.940001
"264","2014-07-15",26.66
"265","2014-07-16",27.01
"266","2014-07-17",26.559999
"267","2014-07-18",26.9
"268","2014-07-21",26.870001
"269","2014-07-22",27.360001
"270","2014-07-23",27.32
"271","2014-07-24",27.120001
