"","date","HEI"
"1","2007-01-03",8.09291
"2","2007-01-04",8.029995
"3","2007-01-05",7.734297
"4","2007-01-08",7.734297
"5","2007-01-09",7.795114
"6","2007-01-10",7.765754
"7","2007-01-11",7.9524
"8","2007-01-12",7.902069
"9","2007-01-16",7.788823
"10","2007-01-17",7.738491
"11","2007-01-18",7.51829
"12","2007-01-19",7.688159
"13","2007-01-22",7.285506
"14","2007-01-23",7.51829
"15","2007-01-24",7.736394
"16","2007-01-25",7.495221
"17","2007-01-26",7.497318
"18","2007-01-29",7.564427
"19","2007-01-30",7.629439
"20","2007-01-31",7.683965
"21","2007-02-01",7.759462
"22","2007-02-02",7.602176
"23","2007-02-05",7.713325
"24","2007-02-06",7.809794
"25","2007-02-07",7.755268
"26","2007-02-08",7.633633
"27","2007-02-09",7.47425
"28","2007-02-12",7.748977
"29","2007-02-13",7.960789
"30","2007-02-14",7.950303
"31","2007-02-15",8.021606
"32","2007-02-16",8.090813
"33","2007-02-20",8.292139
"34","2007-02-21",8.250196
"35","2007-02-22",8.151629
"36","2007-02-23",8.076133
"37","2007-02-26",8.063549
"38","2007-02-27",8.053063
"39","2007-02-28",7.707034
"40","2007-03-01",7.876903
"41","2007-03-02",7.715422
"42","2007-03-05",7.539261
"43","2007-03-06",7.738491
"44","2007-03-07",7.549747
"45","2007-03-08",7.549747
"46","2007-03-09",7.587496
"47","2007-03-12",7.623147
"48","2007-03-13",7.262437
"49","2007-03-14",7.419724
"50","2007-03-15",7.486833
"51","2007-03-16",7.247757
"52","2007-03-19",7.553942
"53","2007-03-20",7.465861
"54","2007-03-21",7.631536
"55","2007-03-22",7.715422
"56","2007-03-23",7.811891
"57","2007-03-26",7.822377
"58","2007-03-27",7.751074
"59","2007-03-28",7.612662
"60","2007-03-29",7.675576
"61","2007-03-30",7.652508
"62","2007-04-02",7.625245
"63","2007-04-03",7.782531
"64","2007-04-04",7.637827
"65","2007-04-05",7.62105
"66","2007-04-09",7.549747
"67","2007-04-10",7.589593
"68","2007-04-11",7.470056
"69","2007-04-12",7.436501
"70","2007-04-13",7.62105
"71","2007-04-16",7.811891
"72","2007-04-17",7.788823
"73","2007-04-18",7.751074
"74","2007-04-19",7.788823
"75","2007-04-20",7.889486
"76","2007-04-23",7.748977
"77","2007-04-24",7.759462
"78","2007-04-25",7.784628
"79","2007-04-26",7.79092
"80","2007-04-27",7.79092
"81","2007-04-30",7.581204
"82","2007-05-01",7.614759
"83","2007-05-02",7.79092
"84","2007-05-03",7.939817
"85","2007-05-04",7.994343
"86","2007-05-07",8.065646
"87","2007-05-08",7.93772
"88","2007-05-09",7.941915
"89","2007-05-10",7.57701
"90","2007-05-11",7.860126
"91","2007-05-14",7.769948
"92","2007-05-15",7.793017
"93","2007-05-16",7.830766
"94","2007-05-17",7.801405
"95","2007-05-18",7.933526
"96","2007-05-21",8.141144
"97","2007-05-22",8.115978
"98","2007-05-23",8.10759
"99","2007-05-24",8.139047
"100","2007-05-25",8.201962
"101","2007-05-29",8.248098
