"","date","HOFV"
"1","2018-03-13",9.7
"2","2018-03-14",9.71
"3","2018-03-15",9.71
"4","2018-03-16",9.71
"5","2018-03-19",9.71
"6","2018-03-20",9.76
"7","2018-03-21",9.77
"8","2018-03-22",9.77
"9","2018-03-23",9.77
"10","2018-03-26",9.71
"11","2018-03-27",9.71
"12","2018-03-28",9.71
"13","2018-03-29",9.71
"14","2018-04-02",9.71
"15","2018-04-03",9.71
"16","2018-04-04",9.71
"17","2018-04-05",9.71
"18","2018-04-06",9.71
"19","2018-04-09",9.71
"20","2018-04-10",9.71
"21","2018-04-11",9.72
"22","2018-04-12",9.72
"23","2018-04-13",9.72
"24","2018-04-16",9.72
"25","2018-04-17",9.72
"26","2018-04-18",9.71
"27","2018-04-19",9.71
"28","2018-04-20",9.71
"29","2018-04-23",9.71
"30","2018-04-24",9.71
"31","2018-04-25",9.71
"32","2018-04-26",9.71
"33","2018-04-27",9.71
"34","2018-04-30",9.71
"35","2018-05-01",9.71
"36","2018-05-02",9.71
"37","2018-05-03",9.71
"38","2018-05-04",9.7
"39","2018-05-07",9.7
"40","2018-05-08",9.7
"41","2018-05-09",9.7
"42","2018-05-10",9.71
"43","2018-05-11",9.71
"44","2018-05-14",9.71
"45","2018-05-15",9.72
"46","2018-05-16",9.73
"47","2018-05-17",9.71
"48","2018-05-18",9.71
"49","2018-05-21",9.71
"50","2018-05-22",9.72
"51","2018-05-23",9.72
"52","2018-05-24",9.72
"53","2018-05-25",9.72
"54","2018-05-29",9.72
"55","2018-05-30",9.72
"56","2018-05-31",9.72
"57","2018-06-01",9.731
"58","2018-06-04",9.731
"59","2018-06-05",9.72
"60","2018-06-06",9.72
"61","2018-06-07",9.72
"62","2018-06-08",9.72
"63","2018-06-11",9.72
"64","2018-06-12",9.72
"65","2018-06-13",9.72
"66","2018-06-14",9.72
"67","2018-06-15",9.72
"68","2018-06-18",9.72
"69","2018-06-19",9.72
"70","2018-06-20",9.72
"71","2018-06-21",9.72
"72","2018-06-22",9.72
"73","2018-06-25",9.72
"74","2018-06-26",9.72
"75","2018-06-27",9.72
"76","2018-06-28",9.72
"77","2018-06-29",9.72
"78","2018-07-02",9.72
"79","2018-07-03",9.72
"80","2018-07-05",9.72
"81","2018-07-06",9.75
"82","2018-07-09",9.75
"83","2018-07-10",9.77
"84","2018-07-11",9.84
"85","2018-07-12",9.84
"86","2018-07-13",9.8
"87","2018-07-16",9.82
"88","2018-07-17",9.82
"89","2018-07-18",9.82
"90","2018-07-19",9.829
"91","2018-07-20",9.82
"92","2018-07-23",9.82
"93","2018-07-24",9.82
"94","2018-07-25",9.82
"95","2018-07-26",9.84
"96","2018-07-27",9.82
"97","2018-07-30",9.82
"98","2018-07-31",9.81
"99","2018-08-01",9.81
"100","2018-08-02",9.8
"101","2018-08-03",9.81
"102","2018-08-06",9.81
"103","2018-08-07",9.81
"104","2018-08-08",9.81
"105","2018-08-09",9.81
"106","2018-08-10",9.8
"107","2018-08-13",9.8
"108","2018-08-14",9.8
"109","2018-08-15",9.8
"110","2018-08-16",9.8
"111","2018-08-17",9.8
"112","2018-08-20",9.8
"113","2018-08-21",9.8
"114","2018-08-22",9.8
"115","2018-08-23",9.8
"116","2018-08-24",9.8
"117","2018-08-27",9.87
"118","2018-08-28",9.87
"119","2018-08-29",9.87
"120","2018-08-30",9.87
"121","2018-08-31",9.87
"122","2018-09-04",9.87
"123","2018-09-05",9.87
"124","2018-09-06",9.87
"125","2018-09-07",9.87
"126","2018-09-10",9.87
"127","2018-09-11",9.87
"128","2018-09-12",9.87
"129","2018-09-13",9.87
"130","2018-09-14",9.85
"131","2018-09-17",9.9
"132","2018-09-18",9.86
"133","2018-09-19",9.87
"134","2018-09-20",9.87
"135","2018-09-21",9.87
"136","2018-09-24",9.87
"137","2018-09-25",9.86
"138","2018-09-26",9.86
"139","2018-09-27",9.9
"140","2018-09-28",9.9
"141","2018-10-01",9.9
"142","2018-10-02",9.9
"143","2018-10-03",9.9
"144","2018-10-04",9.9
"145","2018-10-05",9.9
"146","2018-10-08",9.9
"147","2018-10-09",9.9
"148","2018-10-10",9.9
"149","2018-10-11",9.9
"150","2018-10-12",9.9
"151","2018-10-15",9.9
"152","2018-10-16",9.9
"153","2018-10-17",9.92
"154","2018-10-18",9.92
"155","2018-10-19",9.92
"156","2018-10-22",9.92
"157","2018-10-23",9.89
"158","2018-10-24",9.89
"159","2018-10-25",9.89
"160","2018-10-26",9.87
"161","2018-10-29",9.87
"162","2018-10-30",9.9
"163","2018-10-31",9.9
"164","2018-11-01",9.9
"165","2018-11-02",9.866
"166","2018-11-05",9.86
"167","2018-11-06",9.91
"168","2018-11-07",9.92
"169","2018-11-08",9.92
"170","2018-11-09",9.92
"171","2018-11-12",9.95
"172","2018-11-13",9.95
"173","2018-11-14",9.95
"174","2018-11-15",9.93
"175","2018-11-16",9.95
"176","2018-11-19",9.95
"177","2018-11-20",9.929
"178","2018-11-21",9.929
"179","2018-11-23",9.97
"180","2018-11-26",9.97
"181","2018-11-27",9.97
"182","2018-11-28",9.97
"183","2018-11-29",9.97
"184","2018-11-30",9.98
"185","2018-12-03",10
"186","2018-12-04",10
"187","2018-12-06",10
"188","2018-12-07",9.98
"189","2018-12-10",9.95
"190","2018-12-11",9.95
"191","2018-12-12",10
"192","2018-12-13",9.99
"193","2018-12-14",9.99
"194","2018-12-17",9.99
"195","2018-12-18",9.99
"196","2018-12-19",9.99
"197","2018-12-20",9.9
"198","2018-12-21",9.98
"199","2018-12-24",9.98
"200","2018-12-26",10
"201","2018-12-27",10
"202","2018-12-28",10
"203","2018-12-31",10
"204","2019-01-02",10
"205","2019-01-03",10
"206","2019-01-04",10
"207","2019-01-07",10.05
"208","2019-01-08",10.05
"209","2019-01-09",10.05
"210","2019-01-10",10.05
"211","2019-01-11",10.06
"212","2019-01-14",10.06
"213","2019-01-15",10.07
"214","2019-01-16",10.07
"215","2019-01-17",10.07
"216","2019-01-18",10.12
"217","2019-01-22",10.12
"218","2019-01-23",10.12
"219","2019-01-24",10.12
"220","2019-01-25",10.12
"221","2019-01-28",10.15
"222","2019-01-29",10.15
"223","2019-01-30",10.15
"224","2019-01-31",10.15
"225","2019-02-01",10.15
"226","2019-02-04",10.15
"227","2019-02-05",10.18
"228","2019-02-06",10.18
"229","2019-02-07",10.18
"230","2019-02-08",10.18
"231","2019-02-11",10.18
"232","2019-02-12",10.18
"233","2019-02-13",10.18
"234","2019-02-14",10.18
"235","2019-02-15",10.18
"236","2019-02-19",10.17
"237","2019-02-20",10.17
"238","2019-02-21",10.17
"239","2019-02-22",10.17
"240","2019-02-25",10.17
"241","2019-02-26",10.17
"242","2019-02-27",10.17
"243","2019-02-28",10.17
"244","2019-03-01",10.165
"245","2019-03-04",10.18
"246","2019-03-05",10.18
"247","2019-03-06",10.18
"248","2019-03-07",10.18
"249","2019-03-08",10.18
"250","2019-03-11",10.23
"251","2019-03-12",10.21
"252","2019-03-13",10.21
"253","2019-03-14",10.26
"254","2019-03-15",10.26
"255","2019-03-18",10.26
"256","2019-03-19",10.22
"257","2019-03-20",10.22
"258","2019-03-21",10.21
"259","2019-03-22",10.21
"260","2019-03-25",10.21
"261","2019-03-26",10.21
"262","2019-03-27",10.21
"263","2019-03-28",10.21
"264","2019-03-29",10.21
"265","2019-04-01",10.21
"266","2019-04-02",10.22
"267","2019-04-03",10.22
"268","2019-04-04",10.22
