"","date","HON"
"1","2007-01-03",42.996967
"2","2007-01-04",42.977898
"3","2007-01-05",42.567947
"4","2007-01-08",42.825359
"5","2007-01-09",43.130436
"6","2007-01-10",42.863495
"7","2007-01-11",43.578522
"8","2007-01-12",43.435516
"9","2007-01-16",43.492718
"10","2007-01-17",43.416447
"11","2007-01-18",42.939762
"12","2007-01-19",43.178104
"13","2007-01-22",42.196136
"14","2007-01-23",42.38681
"15","2007-01-24",42.348675
"16","2007-01-25",42.138931
"17","2007-01-26",42.072197
"18","2007-01-29",42.167534
"19","2007-01-30",43.035099
"20","2007-01-31",43.559452
"21","2007-02-01",43.788261
"22","2007-02-02",44.007538
"23","2007-02-05",43.874065
"24","2007-02-06",44.446087
"25","2007-02-07",44.398418
"26","2007-02-08",44.398418
"27","2007-02-09",44.083805
"28","2007-02-12",43.9408
"29","2007-02-13",44.341217
"30","2007-02-14",45.323189
"31","2007-02-15",45.351788
"32","2007-02-16",45.599663
"33","2007-02-20",45.876141
"34","2007-02-21",46.057281
"35","2007-02-22",45.942879
"36","2007-02-23",45.466194
"37","2007-02-26",45.399456
"38","2007-02-27",44.007538
"39","2007-02-28",44.236347
"40","2007-03-01",44.036137
"41","2007-03-02",43.769196
"42","2007-03-05",43.73106
"43","2007-03-06",44.179142
"44","2007-03-07",44.417484
"45","2007-03-08",45.103912
"46","2007-03-09",45.027641
"47","2007-03-12",45.389923
"48","2007-03-13",44.693962
"49","2007-03-14",44.713032
"50","2007-03-15",44.789299
"51","2007-03-16",44.751167
"52","2007-03-19",45.008575
"53","2007-03-20",44.941841
"54","2007-03-21",45.475727
"55","2007-03-22",45.36132
"56","2007-03-23",45.48526
"57","2007-03-26",45.132515
"58","2007-03-27",44.550957
"59","2007-03-28",43.883598
"60","2007-03-29",43.797794
"61","2007-03-30",43.912201
"62","2007-04-02",43.998005
"63","2007-04-03",44.560493
"64","2007-04-04",45.046711
"65","2007-04-05",45.056244
"66","2007-04-09",44.913239
"67","2007-04-10",44.789299
"68","2007-04-11",44.22681
"69","2007-04-12",44.798836
"70","2007-04-13",44.836967
"71","2007-04-16",45.170647
"72","2007-04-17",45.418526
"73","2007-04-18",45.961945
"74","2007-04-19",46.772308
"75","2007-04-20",49.003193
"76","2007-04-23",48.841122
"77","2007-04-24",50.433247
"78","2007-04-25",51.47242
"79","2007-04-26",51.186409
"80","2007-04-27",52.330452
"81","2007-04-30",51.653561
"82","2007-05-01",52.511593
"83","2007-05-02",52.91201
"84","2007-05-03",53.388695
"85","2007-05-04",53.503098
"86","2007-05-07",52.749935
"87","2007-05-08",53.188484
"88","2007-05-09",54.160923
"89","2007-05-10",54.208591
"90","2007-05-11",55.095226
"91","2007-05-14",55.962791
"92","2007-05-15",55.304966
"93","2007-05-16",55.428905
"94","2007-05-17",55.505173
"95","2007-05-18",55.962791
"96","2007-05-21",55.581444
"97","2007-05-22",54.322994
"98","2007-05-23",53.903511
"99","2007-05-24",53.379158
"100","2007-05-25",54.275326
"101","2007-05-29",54.675743
"102","2007-05-30",55.038021
"103","2007-05-31",55.209629
"104","2007-06-01",56.058128
"105","2007-06-04",55.88652
"106","2007-06-05",55.467037
"107","2007-06-06",54.66621
"108","2007-06-07",53.770042
"109","2007-06-08",54.704342
"110","2007-06-11",54.36113
"111","2007-06-12",53.998848
"112","2007-06-13",54.866417
"113","2007-06-14",55.524242
"114","2007-06-15",56.124863
"115","2007-06-18",55.114292
"116","2007-06-19",55.171494
"117","2007-06-20",53.913048
"118","2007-06-21",53.750973
"119","2007-06-22",53.083614
"120","2007-06-25",53.083614
"121","2007-06-26",53.398228
"122","2007-06-27",53.684238
"123","2007-06-28",53.750973
"124","2007-06-29",53.655636
"125","2007-07-02",54.418331
"126","2007-07-03",54.532738
"127","2007-07-05",55.638645
"128","2007-07-06",56.325073
"129","2007-07-09",55.800716
"130","2007-07-10",55.123825
"131","2007-07-11",56.000927
"132","2007-07-12",57.621655
"133","2007-07-13",57.335644
"134","2007-07-16",57.774193
"135","2007-07-17",58.003002
"136","2007-07-18",57.716991
"137","2007-07-19",58.136475
"138","2007-07-20",58.117405
"139","2007-07-23",58.584557
"140","2007-07-24",57.850464
"141","2007-07-25",58.041138
"142","2007-07-26",56.649216
"143","2007-07-27",55.876987
"144","2007-07-30",56.668285
"145","2007-07-31",54.828281
"146","2007-08-01",54.485069
"147","2007-08-02",56.296471
"148","2007-08-03",55.467037
"149","2007-08-06",56.201134
"150","2007-08-07",56.124863
"151","2007-08-08",55.057091
"152","2007-08-09",54.13232
"153","2007-08-10",53.398228
"154","2007-08-13",53.855843
"155","2007-08-14",53.74144
"156","2007-08-15",52.168381
"157","2007-08-16",51.596359
"158","2007-08-17",51.920506
"159","2007-08-20",53.217087
"160","2007-08-21",52.454391
"161","2007-08-22",53.217087
"162","2007-08-23",53.264755
"163","2007-08-24",53.198021
"164","2007-08-27",54.246727
"165","2007-08-28",52.99781
"166","2007-08-29",54.342064
"167","2007-08-30",53.665169
"168","2007-08-31",53.5317
"169","2007-09-04",53.731907
"170","2007-09-05",52.664131
"171","2007-09-06",54.017918
"172","2007-09-07",52.158848
"173","2007-09-10",52.492527
"174","2007-09-11",53.598434
"175","2007-09-12",53.360092
"176","2007-09-13",53.674706
"177","2007-09-14",53.808174
"178","2007-09-17",53.712837
"179","2007-09-18",54.609005
"180","2007-09-19",55.543308
"181","2007-09-20",55.457504
"182","2007-09-21",55.953259
"183","2007-09-24",55.304966
"184","2007-09-25",56.334606
"185","2007-09-26",56.534813
"186","2007-09-27",56.439476
"187","2007-09-28",56.696884
"188","2007-10-01",57.926731
"189","2007-10-02",56.963829
"190","2007-10-03",57.116367
"191","2007-10-04",56.811291
"192","2007-10-05",57.030563
"193","2007-10-08",57.76466
"194","2007-10-09",58.38435
"195","2007-10-10",57.879063
"196","2007-10-11",58.041138
"197","2007-10-12",58.832432
"198","2007-10-15",58.508289
"199","2007-10-16",58.308079
"200","2007-10-17",57.86953
"201","2007-10-18",57.859997
"202","2007-10-19",55.60051
"203","2007-10-22",55.428905
"204","2007-10-23",55.962791
"205","2007-10-24",55.981857
"206","2007-10-25",56.372742
"207","2007-10-26",56.668285
"208","2007-10-29",56.925694
"209","2007-10-30",57.116367
"210","2007-10-31",57.593052
"211","2007-11-01",56.286938
"212","2007-11-02",56.582481
"213","2007-11-05",57.116367
"214","2007-11-06",58.146008
"215","2007-11-07",56.286938
"216","2007-11-08",56.52528
"217","2007-11-09",55.066624
"218","2007-11-12",54.466
"219","2007-11-13",55.428905
"220","2007-11-14",55.791183
"221","2007-11-15",54.494602
"222","2007-11-16",53.274288
"223","2007-11-19",52.206516
"224","2007-11-20",51.968174
"225","2007-11-21",51.396152
"226","2007-11-23",52.120712
"227","2007-11-26",50.709724
"228","2007-11-27",51.529621
"229","2007-11-28",52.988277
"230","2007-11-29",52.320919
"231","2007-11-30",53.979782
"232","2007-12-03",54.399265
"233","2007-12-04",53.998848
"234","2007-12-05",55.038021
"235","2007-12-06",55.514706
"236","2007-12-07",55.781651
"237","2007-12-10",56.706421
"238","2007-12-11",55.629112
"239","2007-12-12",55.047558
"240","2007-12-13",57.821861
"241","2007-12-14",57.183105
"242","2007-12-17",57.392845
"243","2007-12-18",57.76466
"244","2007-12-19",58.241344
"245","2007-12-20",57.859997
"246","2007-12-21",57.879063
"247","2007-12-24",58.660828
"248","2007-12-26",58.889637
"249","2007-12-27",58.336681
"250","2007-12-28",58.346214
"251","2007-12-31",58.698963
"252","2008-01-02",57.106834
"253","2008-01-03",57.392845
"254","2008-01-04",55.562374
"255","2008-01-07",55.3717
"256","2008-01-08",54.427868
"257","2008-01-09",54.914085
"258","2008-01-10",55.123825
"259","2008-01-11",54.15139
"260","2008-01-14",55.095226
"261","2008-01-15",53.903511
"262","2008-01-16",54.847347
"263","2008-01-17",52.978745
"264","2008-01-18",52.721336
"265","2008-01-22",51.434284
"266","2008-01-23",53.865379
"267","2008-01-24",53.579369
"268","2008-01-25",55.533775
"269","2008-01-28",56.172531
"270","2008-01-29",55.714916
"271","2008-01-30",55.447971
"272","2008-01-31",56.315536
"273","2008-02-01",57.402378
"274","2008-02-04",57.65979
"275","2008-02-05",56.286938
"276","2008-02-06",55.934189
"277","2008-02-07",56.029526
"278","2008-02-08",55.133358
"279","2008-02-11",54.952221
"280","2008-02-12",54.847347
"281","2008-02-13",56.086731
"282","2008-02-14",54.828281
"283","2008-02-15",53.426826
"284","2008-02-19",53.779575
"285","2008-02-20",53.722374
"286","2008-02-21",52.921543
"287","2008-02-22",53.903511
"288","2008-02-25",55.209629
"289","2008-02-26",56.40134
"290","2008-02-27",56.849426
"291","2008-02-28",56.42041
"292","2008-02-29",54.856884
"293","2008-03-03",55.819786
"294","2008-03-04",55.791183
"295","2008-03-05",56.267868
"296","2008-03-06",54.799679
"297","2008-03-07",53.922581
"298","2008-03-10",53.083614
"299","2008-03-11",54.303928
