"","date","HOPE"
"1","2007-01-03",20.799999
"2","2007-01-04",20.690001
"3","2007-01-05",20.200001
"4","2007-01-08",20.059999
"5","2007-01-09",19.799999
"6","2007-01-10",19.719999
"7","2007-01-11",19.83
"8","2007-01-12",19.709999
"9","2007-01-16",20.15
"10","2007-01-17",19.610001
"11","2007-01-18",19.41
"12","2007-01-19",19.440001
"13","2007-01-22",19.17
"14","2007-01-23",19.309999
"15","2007-01-24",19.459999
"16","2007-01-25",19.48
"17","2007-01-26",19.690001
"18","2007-01-29",20.17
"19","2007-01-30",20.16
"20","2007-01-31",19.629999
"21","2007-02-01",19.77
"22","2007-02-02",19.6
"23","2007-02-05",19.15
"24","2007-02-06",19.17
"25","2007-02-07",18.799999
"26","2007-02-08",19.18
"27","2007-02-09",18.82
"28","2007-02-12",18.83
"29","2007-02-13",19
"30","2007-02-14",19.01
"31","2007-02-15",18.860001
"32","2007-02-16",18.959999
"33","2007-02-20",19.09
"34","2007-02-21",19.139999
"35","2007-02-22",19.030001
"36","2007-02-23",19.059999
"37","2007-02-26",18.799999
"38","2007-02-27",17.98
"39","2007-02-28",18.51
"40","2007-03-01",18.280001
"41","2007-03-02",18.25
"42","2007-03-05",18.02
"43","2007-03-06",18.530001
"44","2007-03-07",18.219999
"45","2007-03-08",18.34
"46","2007-03-09",18.530001
"47","2007-03-12",18.209999
"48","2007-03-13",18.059999
"49","2007-03-14",18.049999
"50","2007-03-15",18.120001
"51","2007-03-16",17.99
"52","2007-03-19",18.040001
"53","2007-03-20",17.950001
"54","2007-03-21",17.950001
"55","2007-03-22",18
"56","2007-03-23",18
"57","2007-03-26",17.799999
"58","2007-03-27",17.57
"59","2007-03-28",17.450001
"60","2007-03-29",17.450001
"61","2007-03-30",17.51
"62","2007-04-02",17.299999
"63","2007-04-03",17.48
"64","2007-04-04",17.23
"65","2007-04-05",17.309999
"66","2007-04-09",17.43
"67","2007-04-10",17.59
"68","2007-04-11",17.280001
"69","2007-04-12",17.24
"70","2007-04-13",17.549999
"71","2007-04-16",17.940001
"72","2007-04-17",17.889999
"73","2007-04-18",17.799999
"74","2007-04-19",17.639999
"75","2007-04-20",17.280001
"76","2007-04-23",16.9
"77","2007-04-24",16.790001
"78","2007-04-25",16.85
"79","2007-04-26",16.879999
"80","2007-04-27",16.530001
"81","2007-04-30",16.51
"82","2007-05-01",16.690001
"83","2007-05-02",17.24
"84","2007-05-03",17.110001
"85","2007-05-04",17.32
"86","2007-05-07",17.17
"87","2007-05-08",17.120001
"88","2007-05-09",17.17
"89","2007-05-10",17.02
"90","2007-05-11",17.110001
"91","2007-05-14",17.09
"92","2007-05-15",16.92
"93","2007-05-16",16.799999
"94","2007-05-17",16.59
"95","2007-05-18",16.299999
"96","2007-05-21",16.110001
"97","2007-05-22",16.1
"98","2007-05-23",16.1
"99","2007-05-24",15.96
"100","2007-05-25",15.98
"101","2007-05-29",16.120001
"102","2007-05-30",16.120001
"103","2007-05-31",16.059999
"104","2007-06-01",16.110001
"105","2007-06-04",16.17
"106","2007-06-05",16.15
"107","2007-06-06",16.01
"108","2007-06-07",15.96
"109","2007-06-08",16.07
"110","2007-06-11",16.08
"111","2007-06-12",15.85
"112","2007-06-13",16.040001
"113","2007-06-14",16.040001
"114","2007-06-15",16.059999
"115","2007-06-18",16.120001
"116","2007-06-19",16.07
"117","2007-06-20",16.049999
"118","2007-06-21",15.81
"119","2007-06-22",15.71
"120","2007-06-25",15.68
"121","2007-06-26",15.81
"122","2007-06-27",15.74
"123","2007-06-28",16.07
"124","2007-06-29",15.93
"125","2007-07-02",16.129999
"126","2007-07-03",15.99
"127","2007-07-05",16.17
"128","2007-07-06",16.16
"129","2007-07-09",16.27
"130","2007-07-10",15.97
"131","2007-07-11",15.8
"132","2007-07-12",16.110001
"133","2007-07-13",15.97
"134","2007-07-16",15.98
"135","2007-07-17",15.74
"136","2007-07-18",15.5
"137","2007-07-19",15.49
"138","2007-07-20",14.92
"139","2007-07-23",14.81
"140","2007-07-24",14.15
"141","2007-07-25",14.39
"142","2007-07-26",14.9
"143","2007-07-27",15.16
"144","2007-07-30",15.18
"145","2007-07-31",14.76
"146","2007-08-01",15
"147","2007-08-02",15.02
"148","2007-08-03",14.39
"149","2007-08-06",14.53
"150","2007-08-07",14.34
"151","2007-08-08",14.17
"152","2007-08-09",13.82
"153","2007-08-10",15.05
"154","2007-08-13",14.64
"155","2007-08-14",14.89
"156","2007-08-15",14.96
"157","2007-08-16",16.24
"158","2007-08-17",16.48
"159","2007-08-20",16.66
"160","2007-08-21",17.34
"161","2007-08-22",16.950001
"162","2007-08-23",16.129999
"163","2007-08-24",16.15
"164","2007-08-27",16.360001
"165","2007-08-28",15.76
"166","2007-08-29",15.84
"167","2007-08-30",15.55
"168","2007-08-31",15.84
"169","2007-09-04",15.78
"170","2007-09-05",15.86
"171","2007-09-06",15.92
"172","2007-09-07",16.049999
"173","2007-09-10",15.87
"174","2007-09-11",16.209999
"175","2007-09-12",15.88
"176","2007-09-13",15.86
"177","2007-09-14",16.200001
"178","2007-09-17",15.86
"179","2007-09-18",16.85
"180","2007-09-19",17.15
"181","2007-09-20",16.83
"182","2007-09-21",16.959999
"183","2007-09-24",16.309999
"184","2007-09-25",16.059999
"185","2007-09-26",15.82
"186","2007-09-27",16.01
"187","2007-09-28",15.62
"188","2007-10-01",15.98
"189","2007-10-02",16.24
"190","2007-10-03",16.09
"191","2007-10-04",16.4
"192","2007-10-05",16.360001
"193","2007-10-08",16.540001
"194","2007-10-09",16.66
"195","2007-10-10",16.68
"196","2007-10-11",16.469999
"197","2007-10-12",16.559999
"198","2007-10-15",15.9
"199","2007-10-16",15.75
"200","2007-10-17",15.23
"201","2007-10-18",15.16
"202","2007-10-19",15
"203","2007-10-22",15.36
"204","2007-10-23",15.65
"205","2007-10-24",15.48
"206","2007-10-25",14.51
"207","2007-10-26",15.35
"208","2007-10-29",15.36
"209","2007-10-30",15.51
"210","2007-10-31",15.48
"211","2007-11-01",14.31
"212","2007-11-02",13.94
"213","2007-11-05",13.54
"214","2007-11-06",13.47
"215","2007-11-07",13.06
"216","2007-11-08",13.3
"217","2007-11-09",13.93
"218","2007-11-12",14.07
"219","2007-11-13",14.33
"220","2007-11-14",13.46
"221","2007-11-15",13.38
"222","2007-11-16",13.43
"223","2007-11-19",12.92
"224","2007-11-20",12.77
"225","2007-11-21",12.72
"226","2007-11-23",13.21
"227","2007-11-26",12.37
"228","2007-11-27",12.96
"229","2007-11-28",13.57
"230","2007-11-29",13.29
"231","2007-11-30",13.34
"232","2007-12-03",12.88
"233","2007-12-04",12.69
"234","2007-12-05",12.98
"235","2007-12-06",13.49
"236","2007-12-07",13.41
"237","2007-12-10",13.62
"238","2007-12-11",13.03
"239","2007-12-12",12.77
"240","2007-12-13",12.77
"241","2007-12-14",12.19
"242","2007-12-17",12.05
"243","2007-12-18",11.63
"244","2007-12-19",11.61
"245","2007-12-20",11.57
"246","2007-12-21",12.12
"247","2007-12-24",12.16
"248","2007-12-26",12.25
"249","2007-12-27",11.73
"250","2007-12-28",11.5
"251","2007-12-31",11.67
"252","2008-01-02",11.49
"253","2008-01-03",10.99
"254","2008-01-04",10.85
"255","2008-01-07",11.31
"256","2008-01-08",11.37
"257","2008-01-09",11.63
"258","2008-01-10",11.74
"259","2008-01-11",11.52
"260","2008-01-14",11.38
