"","date","HWC"
"1","2007-01-03",53.279999
"2","2007-01-04",53.84
"3","2007-01-05",52.200001
"4","2007-01-08",52.700001
"5","2007-01-09",52.240002
"6","2007-01-10",52.25
"7","2007-01-11",52.240002
"8","2007-01-12",51.990002
"9","2007-01-16",51.59
"10","2007-01-17",50.919998
"11","2007-01-18",50.060001
"12","2007-01-19",50.349998
"13","2007-01-22",49.459999
"14","2007-01-23",49.939999
"15","2007-01-24",49.950001
"16","2007-01-25",49.220001
"17","2007-01-26",49.27
"18","2007-01-29",48.950001
"19","2007-01-30",49.279999
"20","2007-01-31",46.990002
"21","2007-02-01",47.389999
"22","2007-02-02",47.07
"23","2007-02-05",46.720001
"24","2007-02-06",46.639999
"25","2007-02-07",46.98
"26","2007-02-08",47.049999
"27","2007-02-09",46.490002
"28","2007-02-12",46.549999
"29","2007-02-13",46.689999
"30","2007-02-14",46.189999
"31","2007-02-15",46.52
"32","2007-02-16",46.310001
"33","2007-02-20",46.580002
"34","2007-02-21",46.57
"35","2007-02-22",46.880001
"36","2007-02-23",46.119999
"37","2007-02-26",45.34
"38","2007-02-27",44.580002
"39","2007-02-28",44.57
"40","2007-03-01",44.299999
"41","2007-03-02",44.400002
"42","2007-03-05",43.869999
"43","2007-03-06",44.439999
"44","2007-03-07",43.869999
"45","2007-03-08",43.950001
"46","2007-03-09",43.619999
"47","2007-03-12",43.889999
"48","2007-03-13",42.82
"49","2007-03-14",42.970001
"50","2007-03-15",43.380001
"51","2007-03-16",43.130001
"52","2007-03-19",44.040001
"53","2007-03-20",43.59
"54","2007-03-21",44.900002
"55","2007-03-22",44.790001
"56","2007-03-23",44.77
"57","2007-03-26",44.18
"58","2007-03-27",44.07
"59","2007-03-28",43.240002
"60","2007-03-29",44.18
"61","2007-03-30",43.98
"62","2007-04-02",43.5
"63","2007-04-03",43.669998
"64","2007-04-04",42.889999
"65","2007-04-05",43.060001
"66","2007-04-09",42.84
"67","2007-04-10",42.790001
"68","2007-04-11",42.470001
"69","2007-04-12",42.970001
"70","2007-04-13",43.380001
"71","2007-04-16",44.240002
"72","2007-04-17",43.98
"73","2007-04-18",39.82
"74","2007-04-19",39.009998
"75","2007-04-20",40.220001
"76","2007-04-23",39.610001
"77","2007-04-24",39.189999
"78","2007-04-25",39.349998
"79","2007-04-26",39.52
"80","2007-04-27",39.110001
"81","2007-04-30",39.119999
"82","2007-05-01",39.41
"83","2007-05-02",39.32
"84","2007-05-03",39.66
"85","2007-05-04",39.619999
"86","2007-05-07",39.889999
"87","2007-05-08",39.57
"88","2007-05-09",39.52
"89","2007-05-10",38.91
"90","2007-05-11",39.470001
"91","2007-05-14",39.200001
"92","2007-05-15",38.93
"93","2007-05-16",39.110001
"94","2007-05-17",38.84
"95","2007-05-18",39.099998
"96","2007-05-21",39.849998
"97","2007-05-22",40.029999
"98","2007-05-23",39.950001
"99","2007-05-24",39.279999
"100","2007-05-25",39.639999
"101","2007-05-29",39.669998
"102","2007-05-30",39.610001
"103","2007-05-31",39.540001
"104","2007-06-01",39.799999
"105","2007-06-04",40.02
"106","2007-06-05",39.439999
"107","2007-06-06",39.080002
"108","2007-06-07",38.650002
"109","2007-06-08",39.130001
"110","2007-06-11",39.200001
"111","2007-06-12",39.07
"112","2007-06-13",39.939999
"113","2007-06-14",40.130001
"114","2007-06-15",40.330002
"115","2007-06-18",39.75
"116","2007-06-19",39.150002
"117","2007-06-20",38.709999
"118","2007-06-21",38.279999
"119","2007-06-22",38.110001
"120","2007-06-25",37.84
"121","2007-06-26",37.869999
"122","2007-06-27",38.400002
"123","2007-06-28",38.330002
"124","2007-06-29",37.549999
"125","2007-07-02",37.959999
"126","2007-07-03",38.049999
"127","2007-07-05",37.799999
"128","2007-07-06",37.919998
"129","2007-07-09",37.380001
"130","2007-07-10",36.34
"131","2007-07-11",36.389999
"132","2007-07-12",37.09
"133","2007-07-13",37.369999
"134","2007-07-16",36.959999
"135","2007-07-17",37.279999
"136","2007-07-18",38.919998
"137","2007-07-19",38.25
"138","2007-07-20",37.279999
"139","2007-07-23",37.360001
"140","2007-07-24",36.099998
"141","2007-07-25",36.110001
"142","2007-07-26",35.290001
"143","2007-07-27",34.610001
"144","2007-07-30",35.220001
"145","2007-07-31",35.369999
"146","2007-08-01",35.459999
"147","2007-08-02",35.279999
"148","2007-08-03",33.290001
"149","2007-08-06",34.560001
"150","2007-08-07",34.779999
"151","2007-08-08",35.889999
"152","2007-08-09",36.099998
"153","2007-08-10",36.130001
"154","2007-08-13",35.75
"155","2007-08-14",35.700001
"156","2007-08-15",35.689999
"157","2007-08-16",37.549999
"158","2007-08-17",41.23
"159","2007-08-20",41.16
"160","2007-08-21",41.560001
"161","2007-08-22",40.720001
"162","2007-08-23",40.450001
"163","2007-08-24",40.91
"164","2007-08-27",40.599998
"165","2007-08-28",39.970001
"166","2007-08-29",40.880001
"167","2007-08-30",40.110001
"168","2007-08-31",40
"169","2007-09-04",40.349998
"170","2007-09-05",39.369999
"171","2007-09-06",39.900002
"172","2007-09-07",39.549999
"173","2007-09-10",39.310001
"174","2007-09-11",40.299999
"175","2007-09-12",39.810001
"176","2007-09-13",40.419998
"177","2007-09-14",40.799999
"178","2007-09-17",40.849998
"179","2007-09-18",43.889999
"180","2007-09-19",42.549999
"181","2007-09-20",41
"182","2007-09-21",40.939999
"183","2007-09-24",40.740002
"184","2007-09-25",40.18
"185","2007-09-26",41.209999
"186","2007-09-27",41.490002
"187","2007-09-28",40.080002
"188","2007-10-01",41.450001
"189","2007-10-02",42.110001
"190","2007-10-03",40.990002
"191","2007-10-04",41.459999
"192","2007-10-05",42.66
"193","2007-10-08",42.700001
"194","2007-10-09",43.049999
"195","2007-10-10",43.16
"196","2007-10-11",43.150002
"197","2007-10-12",42.259998
"198","2007-10-15",41.970001
"199","2007-10-16",40.490002
"200","2007-10-17",37.66
"201","2007-10-18",37
"202","2007-10-19",36.619999
"203","2007-10-22",36.290001
"204","2007-10-23",35.959999
"205","2007-10-24",36.5
"206","2007-10-25",36.740002
"207","2007-10-26",37.720001
"208","2007-10-29",37.259998
"209","2007-10-30",37.150002
"210","2007-10-31",38.029999
