"","date","ICLR"
"1","2007-01-03",19.469999
"2","2007-01-04",18.885
"3","2007-01-05",18.91
"4","2007-01-08",18.959999
"5","2007-01-09",18.895
"6","2007-01-10",18.75
"7","2007-01-11",18.66
"8","2007-01-12",19.690001
"9","2007-01-16",19.959999
"10","2007-01-17",20
"11","2007-01-18",19.82
"12","2007-01-19",19.690001
"13","2007-01-22",19.504999
"14","2007-01-23",19.709999
"15","2007-01-24",19.764999
"16","2007-01-25",19.75
"17","2007-01-26",19.469999
"18","2007-01-29",19.07
"19","2007-01-30",18.75
"20","2007-01-31",18.65
"21","2007-02-01",19.01
"22","2007-02-02",19.209999
"23","2007-02-05",19.59
"24","2007-02-06",19.465
"25","2007-02-07",19.41
"26","2007-02-08",19.469999
"27","2007-02-09",19.77
"28","2007-02-12",19.955
"29","2007-02-13",21.075001
"30","2007-02-14",21.094999
"31","2007-02-15",21.25
"32","2007-02-16",21.110001
"33","2007-02-20",21.15
"34","2007-02-21",21.1
"35","2007-02-22",21.559999
"36","2007-02-23",21.66
"37","2007-02-26",21.799999
"38","2007-02-27",20.969999
"39","2007-02-28",20.795
"40","2007-03-01",20.105
"41","2007-03-02",20.254999
"42","2007-03-05",20.174999
"43","2007-03-06",20.48
"44","2007-03-07",20.834999
"45","2007-03-08",20.625
"46","2007-03-09",21.035
"47","2007-03-12",20.950001
"48","2007-03-13",20.4
"49","2007-03-14",20.49
"50","2007-03-15",20.65
"51","2007-03-16",20.620001
"52","2007-03-19",20.915001
"53","2007-03-20",21.65
"54","2007-03-21",21.32
"55","2007-03-22",21.215
"56","2007-03-23",21.445
"57","2007-03-26",21.6
"58","2007-03-27",21.82
"59","2007-03-28",21.85
"60","2007-03-29",21.745001
"61","2007-03-30",21.299999
"62","2007-04-02",21.275
"63","2007-04-03",21.59
"64","2007-04-04",21.715
"65","2007-04-05",21.365
"66","2007-04-09",21.674999
"67","2007-04-10",21.709999
"68","2007-04-11",21.084999
"69","2007-04-12",21.465
"70","2007-04-13",21.165001
"71","2007-04-16",21.605
"72","2007-04-17",21.665001
"73","2007-04-18",22
"74","2007-04-19",21.51
"75","2007-04-20",21.754999
"76","2007-04-23",22
"77","2007-04-24",22.82
"78","2007-04-25",22.795
"79","2007-04-26",23.075001
"80","2007-04-27",23.75
"81","2007-04-30",23.465
"82","2007-05-01",23.809999
