"","date","INSP"
"1","2018-05-03",24.98
"2","2018-05-04",24.469999
"3","2018-05-07",24.049999
"4","2018-05-08",24.139999
"5","2018-05-09",24.049999
"6","2018-05-10",25.51
"7","2018-05-11",26.74
"8","2018-05-14",29.4
"9","2018-05-15",32.099998
"10","2018-05-16",32.240002
"11","2018-05-17",33.380001
"12","2018-05-18",33.540001
"13","2018-05-21",33.450001
"14","2018-05-22",32.84
"15","2018-05-23",32.200001
"16","2018-05-24",32.700001
"17","2018-05-25",30.610001
"18","2018-05-29",28.17
"19","2018-05-30",29.75
"20","2018-05-31",30
"21","2018-06-01",30.84
"22","2018-06-04",29.629999
"23","2018-06-05",30.9
"24","2018-06-06",30.870001
"25","2018-06-07",32.970001
"26","2018-06-08",33.959999
"27","2018-06-11",35.150002
"28","2018-06-12",32.860001
"29","2018-06-13",34.57
"30","2018-06-14",35.27
"31","2018-06-15",36.459999
"32","2018-06-18",35.18
"33","2018-06-19",37.66
"34","2018-06-20",38.950001
"35","2018-06-21",39.119999
"36","2018-06-22",39.5
"37","2018-06-25",38.740002
"38","2018-06-26",38.259998
"39","2018-06-27",36.32
"40","2018-06-28",36.169998
"41","2018-06-29",35.66
"42","2018-07-02",37.810001
"43","2018-07-03",36.799999
"44","2018-07-05",38.52
"45","2018-07-06",37.209999
"46","2018-07-09",37.07
"47","2018-07-10",45.130001
"48","2018-07-11",43.540001
"49","2018-07-12",43
"50","2018-07-13",41.93
"51","2018-07-16",43.02
"52","2018-07-17",43.970001
"53","2018-07-18",43.110001
"54","2018-07-19",44.23
"55","2018-07-20",42.220001
"56","2018-07-23",41.950001
"57","2018-07-24",41.32
"58","2018-07-25",43.209999
"59","2018-07-26",44.59
"60","2018-07-27",41.200001
"61","2018-07-30",42.73
"62","2018-07-31",44.799999
"63","2018-08-01",45.450001
"64","2018-08-02",45.990002
"65","2018-08-03",46.459999
"66","2018-08-06",46.389999
"67","2018-08-07",46.400002
"68","2018-08-08",45.540001
"69","2018-08-09",46.779999
"70","2018-08-10",46.330002
"71","2018-08-13",48.060001
"72","2018-08-14",48.150002
"73","2018-08-15",49.619999
"74","2018-08-16",54.009998
"75","2018-08-17",52.139999
"76","2018-08-20",49.790001
"77","2018-08-21",51.369999
"78","2018-08-22",53.040001
"79","2018-08-23",52.990002
"80","2018-08-24",52.959999
"81","2018-08-27",53.889999
"82","2018-08-28",53.869999
"83","2018-08-29",54.240002
"84","2018-08-30",53.990002
"85","2018-08-31",54.990002
"86","2018-09-04",56.990002
"87","2018-09-05",55.169998
"88","2018-09-06",53.610001
"89","2018-09-07",54.34
"90","2018-09-10",53.41
"91","2018-09-11",53.34
"92","2018-09-12",51.240002
"93","2018-09-13",54.209999
"94","2018-09-14",51.130001
"95","2018-09-17",48.220001
"96","2018-09-18",47.220001
"97","2018-09-19",44.189999
"98","2018-09-20",45.080002
"99","2018-09-21",44.5
"100","2018-09-24",43.950001
"101","2018-09-25",42.73
"102","2018-09-26",43.119999
"103","2018-09-27",42.880001
"104","2018-09-28",42.080002
"105","2018-10-01",42.389999
"106","2018-10-02",40.349998
"107","2018-10-03",40.91
"108","2018-10-04",39.060001
"109","2018-10-05",40.18
"110","2018-10-08",40.740002
"111","2018-10-09",41.119999
"112","2018-10-10",40.599998
"113","2018-10-11",41.689999
"114","2018-10-12",40.759998
"115","2018-10-15",41.43
"116","2018-10-16",43.360001
"117","2018-10-17",44.790001
"118","2018-10-18",43.57
"119","2018-10-19",40.57
"120","2018-10-22",41.200001
"121","2018-10-23",41.610001
"122","2018-10-24",37.759998
"123","2018-10-25",40.139999
"124","2018-10-26",40
"125","2018-10-29",37.349998
"126","2018-10-30",39.099998
"127","2018-10-31",40.080002
"128","2018-11-01",44.09
"129","2018-11-02",45.630001
"130","2018-11-05",45.580002
"131","2018-11-06",46.130001
"132","2018-11-07",52.580002
"133","2018-11-08",52.349998
"134","2018-11-09",46.389999
"135","2018-11-12",45.209999
"136","2018-11-13",46.200001
"137","2018-11-14",48
"138","2018-11-15",47.02
"139","2018-11-16",45.310001
"140","2018-11-19",40.5
"141","2018-11-20",40.790001
"142","2018-11-21",43.130001
"143","2018-11-23",43.639999
"144","2018-11-26",44.889999
"145","2018-11-27",44.529999
"146","2018-11-28",45.790001
"147","2018-11-29",44.25
"148","2018-11-30",45.939999
"149","2018-12-03",47.889999
"150","2018-12-04",43.720001
"151","2018-12-06",41.07
"152","2018-12-07",37.07
"153","2018-12-10",39.23
"154","2018-12-11",39.48
"155","2018-12-12",39.860001
"156","2018-12-13",41.560001
"157","2018-12-14",41.360001
"158","2018-12-17",43.790001
"159","2018-12-18",42.150002
"160","2018-12-19",41.200001
"161","2018-12-20",39.450001
"162","2018-12-21",37.5
"163","2018-12-24",39.349998
"164","2018-12-26",40.849998
"165","2018-12-27",42.029999
"166","2018-12-28",41.950001
"167","2018-12-31",42.25
"168","2019-01-02",41.209999
"169","2019-01-03",39.48
"170","2019-01-04",41.299999
"171","2019-01-07",45.580002
"172","2019-01-08",46.290001
"173","2019-01-09",45.919998
"174","2019-01-10",46.580002
"175","2019-01-11",47.75
"176","2019-01-14",48.189999
"177","2019-01-15",49.349998
"178","2019-01-16",50.900002
"179","2019-01-17",53.599998
"180","2019-01-18",55.400002
"181","2019-01-22",54.209999
"182","2019-01-23",52.389999
"183","2019-01-24",53.049999
"184","2019-01-25",52.849998
"185","2019-01-28",53.869999
"186","2019-01-29",52.279999
"187","2019-01-30",51.549999
"188","2019-01-31",53.630001
"189","2019-02-01",53.09
"190","2019-02-04",52.34
"191","2019-02-05",54.650002
"192","2019-02-06",53.380001
"193","2019-02-07",54.93
"194","2019-02-08",57.470001
"195","2019-02-11",57.450001
"196","2019-02-12",57.93
"197","2019-02-13",57.16
"198","2019-02-14",56.630001
"199","2019-02-15",57.490002
"200","2019-02-19",57.369999
"201","2019-02-20",58.259998
"202","2019-02-21",56.75
"203","2019-02-22",57.099998
"204","2019-02-25",56.93
"205","2019-02-26",56.279999
"206","2019-02-27",59.98
"207","2019-02-28",62
"208","2019-03-01",59.75
"209","2019-03-04",58.369999
"210","2019-03-05",59.970001
"211","2019-03-06",56.23
"212","2019-03-07",54.919998
"213","2019-03-08",56.060001
"214","2019-03-11",57.490002
"215","2019-03-12",55.990002
"216","2019-03-13",55.98
"217","2019-03-14",56.5
"218","2019-03-15",57.189999
"219","2019-03-18",57.82
"220","2019-03-19",56.57
"221","2019-03-20",55.970001
"222","2019-03-21",56.82
"223","2019-03-22",53.799999
"224","2019-03-25",54.27
"225","2019-03-26",55.25
"226","2019-03-27",53.330002
"227","2019-03-28",54.34
"228","2019-03-29",56.779999
"229","2019-04-01",51.830002
"230","2019-04-02",50.650002
"231","2019-04-03",51.68
"232","2019-04-04",51.529999
"233","2019-04-05",52.110001
"234","2019-04-08",52.349998
"235","2019-04-09",53.639999
"236","2019-04-10",55.630001
"237","2019-04-11",55.68
"238","2019-04-12",57.810001
"239","2019-04-15",56.209999
"240","2019-04-16",54.759998
"241","2019-04-17",48.990002
"242","2019-04-18",47.07
"243","2019-04-22",47.639999
"244","2019-04-23",48.93
"245","2019-04-24",48.07
"246","2019-04-25",49.240002
"247","2019-04-26",52.869999
"248","2019-04-29",50.68
"249","2019-04-30",51.689999
"250","2019-05-01",50.080002
"251","2019-05-02",49.959999
"252","2019-05-03",51.919998
"253","2019-05-06",54.060001
"254","2019-05-07",52.18
"255","2019-05-08",52.700001
"256","2019-05-09",52.82
"257","2019-05-10",50.98
"258","2019-05-13",49.900002
"259","2019-05-14",49.630001
"260","2019-05-15",53.009998
"261","2019-05-16",53.330002
"262","2019-05-17",51.93
"263","2019-05-20",52.77
"264","2019-05-21",54.669998
"265","2019-05-22",54.52
"266","2019-05-23",53.290001
"267","2019-05-24",53.990002
"268","2019-05-28",53.07
"269","2019-05-29",54.290001
"270","2019-05-30",55.099998
"271","2019-05-31",56.470001
"272","2019-06-03",56.07
"273","2019-06-04",54.209999
"274","2019-06-05",53.52
"275","2019-06-06",53.709999
"276","2019-06-07",56.59
"277","2019-06-10",57.919998
"278","2019-06-11",56.830002
"279","2019-06-12",56
"280","2019-06-13",55.84
"281","2019-06-14",55.369999
"282","2019-06-17",56.990002
"283","2019-06-18",56.650002
"284","2019-06-19",58.779999
"285","2019-06-20",60.709999
"286","2019-06-21",59.720001
"287","2019-06-24",58.98
"288","2019-06-25",58.98
"289","2019-06-26",58.43
"290","2019-06-27",60
"291","2019-06-28",60.650002
"292","2019-07-01",62.279999
"293","2019-07-02",61.82
"294","2019-07-03",64.110001
"295","2019-07-05",63.880001
"296","2019-07-08",66.599998
"297","2019-07-09",65.910004
"298","2019-07-10",67.160004
"299","2019-07-11",67.330002
"300","2019-07-12",67.150002
"301","2019-07-15",68.879997
"302","2019-07-16",67.889999
"303","2019-07-17",68.540001
"304","2019-07-18",68.029999
"305","2019-07-19",67.709999
"306","2019-07-22",67.300003
"307","2019-07-23",67.809998
"308","2019-07-24",68.629997
"309","2019-07-25",67.75
"310","2019-07-26",67.800003
"311","2019-07-29",67.940002
"312","2019-07-30",68.040001
"313","2019-07-31",67.629997
"314","2019-08-01",67.480003
"315","2019-08-02",65.720001
"316","2019-08-05",63.41
"317","2019-08-06",62.639999
"318","2019-08-07",66.260002
"319","2019-08-08",65.120003
"320","2019-08-09",64.639999
"321","2019-08-12",64.290001
"322","2019-08-13",66.050003
"323","2019-08-14",64.370003
"324","2019-08-15",65.169998
"325","2019-08-16",65.480003
"326","2019-08-19",67.529999
"327","2019-08-20",68.389999
"328","2019-08-21",67.529999
"329","2019-08-22",65.510002
"330","2019-08-23",64.019997
"331","2019-08-26",66.349998
"332","2019-08-27",65.290001
"333","2019-08-28",66.529999
"334","2019-08-29",70.190002
"335","2019-08-30",69.510002
"336","2019-09-03",66.93
"337","2019-09-04",66.620003
"338","2019-09-05",68.019997
"339","2019-09-06",68.059998
"340","2019-09-09",66.110001
"341","2019-09-10",63.889999
"342","2019-09-11",62.77
"343","2019-09-12",62.68
"344","2019-09-13",62.509998
"345","2019-09-16",63.110001
"346","2019-09-17",64.379997
"347","2019-09-18",64.459999
"348","2019-09-19",65.32
"349","2019-09-20",66.809998
"350","2019-09-23",67
"351","2019-09-24",65.550003
"352","2019-09-25",62.900002
"353","2019-09-26",62.650002
"354","2019-09-27",61.57
"355","2019-09-30",61.02
"356","2019-10-01",58.130001
"357","2019-10-02",56.150002
"358","2019-10-03",57.91
"359","2019-10-04",58.779999
"360","2019-10-07",56.470001
"361","2019-10-08",55.119999
"362","2019-10-09",54.880001
"363","2019-10-10",54.84
"364","2019-10-11",52.119999
"365","2019-10-14",52.75
"366","2019-10-15",55.049999
"367","2019-10-16",54.369999
"368","2019-10-17",55.900002
"369","2019-10-18",54.889999
"370","2019-10-21",56.43
"371","2019-10-22",54.720001
"372","2019-10-23",55.990002
"373","2019-10-24",56.490002
"374","2019-10-25",58.16
"375","2019-10-28",58.619999
"376","2019-10-29",59.82
"377","2019-10-30",59.189999
"378","2019-10-31",60.98
"379","2019-11-01",61.57
"380","2019-11-04",61.09
"381","2019-11-05",60.560001
"382","2019-11-06",63.720001
"383","2019-11-07",59.740002
"384","2019-11-08",64.050003
"385","2019-11-11",62.639999
"386","2019-11-12",63
