"","date","IRCP"
"1","2007-01-03",12.25
"2","2007-01-04",12.1
"3","2007-01-05",12.14
"4","2007-01-08",12.38
"5","2007-01-09",12.6
"6","2007-01-10",12.81
"7","2007-01-11",12.8
"8","2007-01-12",12.45
"9","2007-01-16",12.92
"10","2007-01-17",12.5
"11","2007-01-18",13.1
"12","2007-01-19",13.1
"13","2007-01-22",13.1
"14","2007-01-23",13.11
"15","2007-01-24",13.11
"16","2007-01-25",13.11
"17","2007-01-26",13.11
"18","2007-01-29",13.1
"19","2007-01-30",13.2
"20","2007-01-31",13.2
"21","2007-02-01",13.3
"22","2007-02-02",13.3
"23","2007-02-05",13.4
"24","2007-02-06",13.33
"25","2007-02-07",13.5
"26","2007-02-08",13.51
"27","2007-02-09",13.51
"28","2007-02-12",13.1
"29","2007-02-13",13.19
"30","2007-02-14",13.3
"31","2007-02-15",13.3
"32","2007-02-16",13.3
"33","2007-02-20",14
"34","2007-02-21",13.65
"35","2007-02-22",13.85
"36","2007-02-23",14.63
"37","2007-02-26",14.63
"38","2007-02-27",14.04
"39","2007-02-28",14
"40","2007-03-01",13.88
"41","2007-03-02",13.45
"42","2007-03-05",13.3
"43","2007-03-06",13.77
"44","2007-03-07",13.84
"45","2007-03-08",13.84
"46","2007-03-09",13.81
"47","2007-03-12",13.32
"48","2007-03-13",13.32
"49","2007-03-14",13.32
"50","2007-03-15",13.32
"51","2007-03-16",13.32
"52","2007-03-19",13.32
"53","2007-03-20",13.32
"54","2007-03-21",13.3
"55","2007-03-22",13.55
"56","2007-03-23",13.55
"57","2007-03-26",13.36
"58","2007-03-27",13.36
"59","2007-03-28",13.39
"60","2007-03-29",13.39
"61","2007-03-30",13.39
"62","2007-04-02",13.39
"63","2007-04-03",13.39
"64","2007-04-04",13.39
"65","2007-04-05",13.39
"66","2007-04-09",13.36
"67","2007-04-10",13.36
"68","2007-04-11",13.36
"69","2007-04-12",13.36
"70","2007-04-13",13.36
"71","2007-04-16",13.3
"72","2007-04-17",13.3
"73","2007-04-18",13.3
"74","2007-04-19",14
"75","2007-04-20",14.1
"76","2007-04-23",14.19
"77","2007-04-24",13.56
"78","2007-04-25",13.56
"79","2007-04-26",13.65
"80","2007-04-27",14.49
"81","2007-04-30",15.6
"82","2007-05-01",16.059999
"83","2007-05-02",17.610001
"84","2007-05-03",18.24
"85","2007-05-04",19
"86","2007-05-07",18.940001
"87","2007-05-08",18.5
"88","2007-05-09",18.700001
"89","2007-05-10",18.700001
"90","2007-05-11",18.99
"91","2007-05-14",19.450001
"92","2007-05-15",19.59
"93","2007-05-16",19.200001
"94","2007-05-17",19.120001
"95","2007-05-18",20.27
"96","2007-05-21",20.27
"97","2007-05-22",21
"98","2007-05-23",21
"99","2007-05-24",21.25
"100","2007-05-25",21.76
"101","2007-05-29",21.5
"102","2007-05-30",21.5
"103","2007-05-31",22
"104","2007-06-01",21.450001
"105","2007-06-04",21.049999
"106","2007-06-05",20.99
"107","2007-06-06",20.99
"108","2007-06-07",21.5
"109","2007-06-08",20.91
"110","2007-06-11",21
"111","2007-06-12",21
"112","2007-06-13",21
"113","2007-06-14",21
"114","2007-06-15",21
"115","2007-06-18",21.860001
"116","2007-06-19",21.75
"117","2007-06-20",21.75
"118","2007-06-21",21.530001
"119","2007-06-22",21.530001
"120","2007-06-25",19.24
"121","2007-06-26",18.23
"122","2007-06-27",19.34
"123","2007-06-28",19.34
"124","2007-06-29",18.5
"125","2007-07-02",19.799999
"126","2007-07-03",19.799999
"127","2007-07-05",19.799999
"128","2007-07-06",19.780001
"129","2007-07-09",20.690001
"130","2007-07-10",21.65
"131","2007-07-11",21.35
"132","2007-07-12",21.290001
"133","2007-07-13",21.290001
"134","2007-07-16",20.73
