"","date","IRWD"
"1","2010-02-03",9.757119
"2","2010-02-04",9.731994
"3","2010-02-05",9.80737
"4","2010-02-08",9.874372
"5","2010-02-09",9.840871
"6","2010-02-10",9.798995
"7","2010-02-11",9.631491
"8","2010-02-12",9.631491
"9","2010-02-16",10.142379
"10","2010-02-17",10.251256
"11","2010-02-18",10.22613
"12","2010-02-19",10.971524
"13","2010-02-22",10.78727
"14","2010-02-23",10.435511
"15","2010-02-24",10.762144
"16","2010-02-25",10.745394
"17","2010-02-26",10.887773
"18","2010-03-01",11.139029
"19","2010-03-02",11.348409
"20","2010-03-03",11.097153
"21","2010-03-04",11.231155
"22","2010-03-05",11.005025
"23","2010-03-08",10.636516
"24","2010-03-09",10.603015
"25","2010-03-10",10.59464
"26","2010-03-11",10.862646
"27","2010-03-12",10.812395
"28","2010-03-15",11.758794
"29","2010-03-16",12.001675
"30","2010-03-17",11.959799
"31","2010-03-18",12.077052
"32","2010-03-19",12.152429
"33","2010-03-22",12.135678
"34","2010-03-23",12.252932
"35","2010-03-24",12.135678
"36","2010-03-25",11.708543
"37","2010-03-26",11.633165
"38","2010-03-29",11.515913
"39","2010-03-30",11.532663
"40","2010-03-31",11.407035
"41","2010-04-01",11.390285
"42","2010-04-05",11.407035
"43","2010-04-06",12.319933
"44","2010-04-07",12.085427
"45","2010-04-08",11.884422
"46","2010-04-09",12.110553
"47","2010-04-12",12.169179
"48","2010-04-13",12.378559
"49","2010-04-14",12.345058
"50","2010-04-15",12.328308
"51","2010-04-16",12.236181
"52","2010-04-19",11.733668
"53","2010-04-20",11.892797
"54","2010-04-21",12.01005
"55","2010-04-22",11.700168
"56","2010-04-23",11.691792
"57","2010-04-26",11.666667
"58","2010-04-27",11.306533
"59","2010-04-28",11.180904
"60","2010-04-29",11.038526
"61","2010-04-30",10.82077
"62","2010-05-03",10.41876
"63","2010-05-04",10.427135
"64","2010-05-05",10.335009
"65","2010-05-06",10.117253
"66","2010-05-07",9.706867
"67","2010-05-10",10.544389
"68","2010-05-11",10.988275
"69","2010-05-12",11.683417
"70","2010-05-13",11.390285
"71","2010-05-14",11.063652
"72","2010-05-17",10.963149
"73","2010-05-18",10.912898
"74","2010-05-19",10.586265
"75","2010-05-20",10.033501
"76","2010-05-21",9.77387
"77","2010-05-24",9.664991
"78","2010-05-25",9.455611
"79","2010-05-26",9.489112
"80","2010-05-27",10.19263
"81","2010-05-28",9.832496
"82","2010-06-01",9.40536
"83","2010-06-02",9.673367
"84","2010-06-03",9.564489
"85","2010-06-04",9.187605
"86","2010-06-07",8.559464
"87","2010-06-08",8.283082
"88","2010-06-09",8.383585
"89","2010-06-10",8.475712
"90","2010-06-11",8.525963
"91","2010-06-14",9.740369
"92","2010-06-15",10.201005
"93","2010-06-16",10.242881
"94","2010-06-17",10.351759
"95","2010-06-18",11.147404
"96","2010-06-21",10.896148
"97","2010-06-22",10.184255
"98","2010-06-23",10.19263
"99","2010-06-24",10.452261
"100","2010-06-25",11.683417
"101","2010-06-28",11.247906
"102","2010-06-29",10.569514
"103","2010-06-30",9.98325
"104","2010-07-01",9.21273
"105","2010-07-02",9.112227
"106","2010-07-06",9.120603
"107","2010-07-07",9.254606
"108","2010-07-08",9.229481
"109","2010-07-09",9.204355
"110","2010-07-12",9.254606
"111","2010-07-13",10.284757
"112","2010-07-14",9.564489
"113","2010-07-15",9.430486
"114","2010-07-16",8.961474
"115","2010-07-19",8.768845
"116","2010-07-20",9.530989
"117","2010-07-21",9.916248
"118","2010-07-22",10.686768
"119","2010-07-23",10.829145
"120","2010-07-26",10.686768
"121","2010-07-27",10.603015
"122","2010-07-28",10.284757
"123","2010-07-29",10.025126
"124","2010-07-30",9.882747
"125","2010-08-02",9.313232
"126","2010-08-03",8.961474
"127","2010-08-04",8.81072
"128","2010-08-05",8.752094
"129","2010-08-06",8.40871
"130","2010-08-09",8.39196
"131","2010-08-10",8.266332
"132","2010-08-11",8.299832
"133","2010-08-12",8.350083
"134","2010-08-13",8.082077
"135","2010-08-16",8.048576
"136","2010-08-17",8.123953
"137","2010-08-18",8.082077
"138","2010-08-19",8.023451
"139","2010-08-20",7.98995
"140","2010-08-23",7.998325
"141","2010-08-24",7.79732
"142","2010-08-25",7.62144
"143","2010-08-26",7.705193
"144","2010-08-27",7.956449
"145","2010-08-30",7.755444
"146","2010-08-31",7.763819
"147","2010-09-01",7.78057
"148","2010-09-02",7.763819
"149","2010-09-03",7.788945
"150","2010-09-07",7.763819
"151","2010-09-08",7.788945
"152","2010-09-09",7.839196
"153","2010-09-10",7.922948
"154","2010-09-13",8.165829
"155","2010-09-14",8.366835
"156","2010-09-15",8.978225
"157","2010-09-16",8.953099
"158","2010-09-17",8.961474
"159","2010-09-20",8.927973
"160","2010-09-21",8.844221
"161","2010-09-22",8.609715
"162","2010-09-23",8.559464
"163","2010-09-24",8.626466
"164","2010-09-27",8.785595
"165","2010-09-28",8.835846
"166","2010-09-29",8.752094
"167","2010-09-30",8.525963
"168","2010-10-01",8.802345
"169","2010-10-04",8.835846
"170","2010-10-05",9.17923
"171","2010-10-06",9.221106
"172","2010-10-07",9.137354
"173","2010-10-08",9.455611
"174","2010-10-11",9.346734
"175","2010-10-12",9.413735
"176","2010-10-13",9.338359
"177","2010-10-14",9.380235
"178","2010-10-15",9.329984
"179","2010-10-18",9.355109
"180","2010-10-19",9.120603
"181","2010-10-20",9.21273
"182","2010-10-21",8.96985
"183","2010-10-22",9.17923
"184","2010-10-25",9.40536
"185","2010-10-26",9.313232
"186","2010-10-27",9.37186
"187","2010-10-28",9.472362
"188","2010-10-29",9.37186
"189","2010-11-01",8.852596
"190","2010-11-02",8.9866
"191","2010-11-03",8.953099
"192","2010-11-04",8.944724
"193","2010-11-05",9.053601
"194","2010-11-08",9.070352
"195","2010-11-09",8.978225
"196","2010-11-10",9.036851
"197","2010-11-11",9.078727
"198","2010-11-12",9.112227
"199","2010-11-15",9.204355
"200","2010-11-16",9.145729
"201","2010-11-17",9.19598
"202","2010-11-18",9.103852
"203","2010-11-19",9.028476
"204","2010-11-22",9.095477
"205","2010-11-23",9.087102
"206","2010-11-24",9.078727
"207","2010-11-26",9.112227
"208","2010-11-29",9.053601
"209","2010-11-30",8.953099
"210","2010-12-01",9.028476
"211","2010-12-02",8.96985
