"","date","JAGX"
"1","2015-05-12",7350
"2","2015-05-13",7119
"3","2015-05-14",7119
"4","2015-05-15",7360.5
"5","2015-05-18",6930
"6","2015-05-19",7056
"7","2015-05-20",7234.5
"8","2015-05-21",7297.5
"9","2015-05-22",7192.5
"10","2015-05-26",7087.5
"11","2015-05-27",7140
"12","2015-05-28",7224
"13","2015-05-29",7066.5
"14","2015-06-01",6951
"15","2015-06-02",7035
"16","2015-06-03",7108.5
"17","2015-06-04",6898.5
"18","2015-06-05",6867
"19","2015-06-08",6615
"20","2015-06-09",6163.5
"21","2015-06-10",6457.5
"22","2015-06-11",6930
"23","2015-06-12",6888
"24","2015-06-15",6709.5
"25","2015-06-16",6751.5
"26","2015-06-17",6835.5
"27","2015-06-18",6457.5
"28","2015-06-19",5922
"29","2015-06-22",5670
"30","2015-06-23",5691
"31","2015-06-24",5433.75
"32","2015-06-25",5192.25
"33","2015-06-26",5166
"34","2015-06-29",4809
"35","2015-06-30",5061
"36","2015-07-01",5092.5
"37","2015-07-02",5344.5
"38","2015-07-06",5355
"39","2015-07-07",5082
"40","2015-07-08",5082
"41","2015-07-09",5223.75
"42","2015-07-10",5491.5
"43","2015-07-13",5323.5
"44","2015-07-14",5323.5
"45","2015-07-15",5281.5
"46","2015-07-16",5533.5
"47","2015-07-17",5281.5
"48","2015-07-20",4872
"49","2015-07-21",4504.5
"50","2015-07-22",4116
"51","2015-07-23",4095
"52","2015-07-24",3684.449951
"53","2015-07-27",3339
"54","2015-07-28",3612
"55","2015-07-29",3675
"56","2015-07-30",3675
"57","2015-07-31",3738
"58","2015-08-03",3759
"59","2015-08-04",3612
"60","2015-08-05",3549
"61","2015-08-06",3360
"62","2015-08-07",3150
"63","2015-08-10",3034.5
"64","2015-08-11",3034.5
"65","2015-08-12",3087
"66","2015-08-13",3013.5
"67","2015-08-14",3034.5
"68","2015-08-17",3108
"69","2015-08-18",3076.5
"70","2015-08-19",3181.5
"71","2015-08-20",3045
"72","2015-08-21",2824.5
"73","2015-08-24",2709
"74","2015-08-25",3129
"75","2015-08-26",3402
"76","2015-08-27",4200
"77","2015-08-28",3601.5
"78","2015-08-31",3013.5
"79","2015-09-01",3570
"80","2015-09-02",3570
"81","2015-09-03",3538.5
"82","2015-09-04",3465
"83","2015-09-08",3528
"84","2015-09-09",3612
"85","2015-09-10",3675
"86","2015-09-11",3937.5
"87","2015-09-14",3496.5
"88","2015-09-15",3591
"89","2015-09-16",3538.5
"90","2015-09-17",3475.5
"91","2015-09-18",3612
"92","2015-09-21",3937.5
"93","2015-09-22",4200
"94","2015-09-23",4032
"95","2015-09-24",4074
"96","2015-09-25",3885
"97","2015-09-28",3738
"98","2015-09-29",3675
"99","2015-09-30",3402
"100","2015-10-01",3475.5
"101","2015-10-02",3465
"102","2015-10-05",3454.5
"103","2015-10-06",3171
"104","2015-10-07",2961
"105","2015-10-08",2961
"106","2015-10-09",2940
"107","2015-10-12",2478
"108","2015-10-13",2551.5
"109","2015-10-14",2541
"110","2015-10-15",2646
"111","2015-10-16",2425.5
"112","2015-10-19",2404.5
"113","2015-10-20",2352
"114","2015-10-21",2153.550049
"115","2015-10-22",2226
"116","2015-10-23",2215.5
"117","2015-10-26",2053.800049
"118","2015-10-27",2205
"119","2015-10-28",2887.5
"120","2015-10-29",4042.5
"121","2015-10-30",3864
"122","2015-11-02",3675
"123","2015-11-03",3601.5
"124","2015-11-04",3181.5
"125","2015-11-05",2625
"126","2015-11-06",2625
"127","2015-11-09",2856
"128","2015-11-10",2677.5
"129","2015-11-11",2688
"130","2015-11-12",2626.050049
"131","2015-11-13",2625
"132","2015-11-16",2835
"133","2015-11-17",2730
"134","2015-11-18",2383.5
"135","2015-11-19",2257.5
"136","2015-11-20",2415
"137","2015-11-23",2142
"138","2015-11-24",2100
"139","2015-11-25",2142
"140","2015-11-27",2205
"141","2015-11-30",2299.5
"142","2015-12-01",2331
"143","2015-12-02",2562
"144","2015-12-03",2520
"145","2015-12-04",2320.5
"146","2015-12-07",2320.5
"147","2015-12-08",2310
"148","2015-12-09",2320.5
"149","2015-12-10",2257.5
"150","2015-12-11",1974
"151","2015-12-14",1837.5
"152","2015-12-15",1963.5
"153","2015-12-16",2047.5
"154","2015-12-17",2352
"155","2015-12-18",2163
"156","2015-12-21",2205
"157","2015-12-22",2782.5
"158","2015-12-23",2520
"159","2015-12-24",2604
"160","2015-12-28",2446.5
"161","2015-12-29",2436
"162","2015-12-30",2509.5
"163","2015-12-31",2362.5
"164","2016-01-04",2488.5
"165","2016-01-05",2509.5
"166","2016-01-06",2572.5
"167","2016-01-07",2604
"168","2016-01-08",2709
"169","2016-01-11",2950.5
"170","2016-01-12",3675
"171","2016-01-13",4525.5
"172","2016-01-14",3570
"173","2016-01-15",3216.149902
"174","2016-01-19",3213
"175","2016-01-20",2803.5
"176","2016-01-21",2992.5
"177","2016-01-22",2908.5
"178","2016-01-25",3013.5
"179","2016-01-26",3097.5
"180","2016-01-27",2866.5
"181","2016-01-28",3045
"182","2016-01-29",3255
"183","2016-02-01",2898
"184","2016-02-02",2866.5
"185","2016-02-03",2037
"186","2016-02-04",1942.5
"187","2016-02-05",2016
"188","2016-02-08",2205
"189","2016-02-09",2016
"190","2016-02-10",2016
"191","2016-02-11",1932
"192","2016-02-12",1606.5
"193","2016-02-16",1751.400024
"194","2016-02-17",1795.5
"195","2016-02-18",1900.5
"196","2016-02-19",1963.5
"197","2016-02-22",2068.5
"198","2016-02-23",1911
"199","2016-02-24",1764
"200","2016-02-25",1732.5
"201","2016-02-26",1890
"202","2016-02-29",1816.5
"203","2016-03-01",1795.5
"204","2016-03-02",1785
"205","2016-03-03",1743
"206","2016-03-04",1596
"207","2016-03-07",1543.5
"208","2016-03-08",1522.5
"209","2016-03-09",1491
"210","2016-03-10",1564.5
"211","2016-03-11",1522.5
"212","2016-03-14",1575
"213","2016-03-15",1606.5
"214","2016-03-16",1816.5
"215","2016-03-17",1701
"216","2016-03-18",1827
"217","2016-03-21",1680
"218","2016-03-22",1690.5
"219","2016-03-23",1690.5
"220","2016-03-24",1806
"221","2016-03-28",1680
"222","2016-03-29",1722
"223","2016-03-30",1774.5
"224","2016-03-31",1659
"225","2016-04-01",1659
"226","2016-04-04",1711.5
"227","2016-04-05",1648.5
"228","2016-04-06",1638
"229","2016-04-07",1659
"230","2016-04-08",1663.199951
"231","2016-04-11",1690.5
"232","2016-04-12",1659
"233","2016-04-13",1618.050049
"234","2016-04-14",1512
"235","2016-04-15",1501.5
"236","2016-04-18",1596
"237","2016-04-19",1554
"238","2016-04-20",1543.5
"239","2016-04-21",1543.5
"240","2016-04-22",1533
"241","2016-04-25",1613.849976
"242","2016-04-26",1722
"243","2016-04-27",1764
"244","2016-04-28",1795.5
"245","2016-04-29",1785
"246","2016-05-02",1774.5
"247","2016-05-03",1848
"248","2016-05-04",1837.5
"249","2016-05-05",1921.5
"250","2016-05-06",1795.5
"251","2016-05-09",1743
"252","2016-05-10",1748.25
"253","2016-05-11",1753.5
"254","2016-05-12",1690.5
"255","2016-05-13",1680
"256","2016-05-16",1554
"257","2016-05-17",1564.5
"258","2016-05-18",1438.5
"259","2016-05-19",1450.050049
"260","2016-05-20",1470
"261","2016-05-23",1438.5
"262","2016-05-24",1522.5
"263","2016-05-25",1501.5
"264","2016-05-26",1417.5
"265","2016-05-27",1437.449951
"266","2016-05-31",1470
"267","2016-06-01",1459.5
"268","2016-06-02",1459.5
"269","2016-06-03",1391.25
"270","2016-06-06",1365
"271","2016-06-07",1386
"272","2016-06-08",1386
"273","2016-06-09",2446.5
"274","2016-06-10",2110.5
"275","2016-06-13",2016
"276","2016-06-14",1900.5
"277","2016-06-15",2005.5
"278","2016-06-16",2026.5
"279","2016-06-17",2257.5
"280","2016-06-20",2268
"281","2016-06-21",2184
"282","2016-06-22",1890
"283","2016-06-23",2089.5
"284","2016-06-24",2026.5
"285","2016-06-27",1995
"286","2016-06-28",2100
"287","2016-06-29",2110.5
"288","2016-06-30",1932
"289","2016-07-01",1995
"290","2016-07-05",1921.5
"291","2016-07-06",1932
"292","2016-07-07",1963.5
"293","2016-07-08",1974
"294","2016-07-11",1953
"295","2016-07-12",1995
"296","2016-07-13",1989.75
"297","2016-07-14",2016
"298","2016-07-15",2037
"299","2016-07-18",1953
"300","2016-07-19",1942.5
"301","2016-07-20",1932
"302","2016-07-21",1911
"303","2016-07-22",1879.5
"304","2016-07-25",2016
"305","2016-07-26",1858.5
"306","2016-07-27",1899.449951
"307","2016-07-28",1806
"308","2016-07-29",1827
"309","2016-08-01",1774.5
"310","2016-08-02",1732.5
"311","2016-08-03",1722
"312","2016-08-04",1669.5
"313","2016-08-05",1596
"314","2016-08-08",1606.5
"315","2016-08-09",1626.449951
"316","2016-08-10",1575
"317","2016-08-11",1606.5
"318","2016-08-12",1543.5
"319","2016-08-15",1543.5
"320","2016-08-16",1596
"321","2016-08-17",1491
"322","2016-08-18",1449
"323","2016-08-19",1449
"324","2016-08-22",1438.5
"325","2016-08-23",1375.5
"326","2016-08-24",1354.5
"327","2016-08-25",1375.5
"328","2016-08-26",1375.5
"329","2016-08-29",1365
"330","2016-08-30",1365
"331","2016-08-31",1365
"332","2016-09-01",1501.5
"333","2016-09-02",1344
"334","2016-09-06",1281
"335","2016-09-07",1291.5
"336","2016-09-08",1249.5
"337","2016-09-09",1228.5
"338","2016-09-12",1260
"339","2016-09-13",1207.5
"340","2016-09-14",1186.5
"341","2016-09-15",1207.5
"342","2016-09-16",1312.5
"343","2016-09-19",1260
"344","2016-09-20",1281
"345","2016-09-21",1323
"346","2016-09-22",1312.5
"347","2016-09-23",1281
"348","2016-09-26",1260
"349","2016-09-27",1199.099976
"350","2016-09-28",1291.5
"351","2016-09-29",1323
"352","2016-09-30",1344
"353","2016-10-03",1344
"354","2016-10-04",1197
"355","2016-10-05",1202.25
"356","2016-10-06",1144.5
"357","2016-10-07",1081.5
"358","2016-10-10",1050
"359","2016-10-11",1033.199951
"360","2016-10-12",900.900024
"361","2016-10-13",1039.5
"362","2016-10-14",987
"363","2016-10-17",927.150024
"364","2016-10-18",934.5
"365","2016-10-19",901.950012
"366","2016-10-20",913.5
"367","2016-10-21",976.5
"368","2016-10-24",913.5
"369","2016-10-25",945
"370","2016-10-26",955.5
"371","2016-10-27",992.25
"372","2016-10-28",966
"373","2016-10-31",987
"374","2016-11-01",976.5
"375","2016-11-02",968.099976
"376","2016-11-03",966
"377","2016-11-04",961.799988
"378","2016-11-07",962.849976
"379","2016-11-08",953.400024
"380","2016-11-09",934.5
"381","2016-11-10",924
"382","2016-11-11",1060.5
"383","2016-11-14",1039.5
"384","2016-11-15",1039.5
"385","2016-11-16",934.5
"386","2016-11-17",871.5
"387","2016-11-18",861
"388","2016-11-21",704.549988
"389","2016-11-22",784.349976
"390","2016-11-23",777
"391","2016-11-25",777
"392","2016-11-28",723.450012
"393","2016-11-29",724.5
"394","2016-11-30",704.549988
"395","2016-12-01",724.5
"396","2016-12-02",702.450012
"397","2016-12-05",703.5
"398","2016-12-06",694.049988
"399","2016-12-07",732.900024
"400","2016-12-08",693
"401","2016-12-09",892.5
"402","2016-12-12",1029
"403","2016-12-13",850.5
"404","2016-12-14",892.5
"405","2016-12-15",830.549988
"406","2016-12-16",799.049988
"407","2016-12-19",777
"408","2016-12-20",724.5
"409","2016-12-21",715.049988
"410","2016-12-22",682.5
"411","2016-12-23",682.5
"412","2016-12-27",682.5
"413","2016-12-28",666.75
"414","2016-12-29",647.849976
"415","2016-12-30",751.799988
"416","2017-01-03",704.549988
"417","2017-01-04",703.5
"418","2017-01-05",714
"419","2017-01-06",682.5
"420","2017-01-09",693
"421","2017-01-10",672
"422","2017-01-11",698.25
"423","2017-01-12",703.5
"424","2017-01-13",661.5
"425","2017-01-17",682.5
"426","2017-01-18",677.25
"427","2017-01-19",661.5
"428","2017-01-20",673.049988
"429","2017-01-23",598.5
"430","2017-01-24",535.5
"431","2017-01-25",577.5
"432","2017-01-26",576.450012
"433","2017-01-27",558.599976
"434","2017-01-30",556.5
"435","2017-01-31",871.5
"436","2017-02-01",827.400024
"437","2017-02-02",819
"438","2017-02-03",716.099976
"439","2017-02-06",726.599976
"440","2017-02-07",745.5
"441","2017-02-08",714
"442","2017-02-09",1081.5
"443","2017-02-10",955.5
"444","2017-02-13",945
"445","2017-02-14",913.5
"446","2017-02-15",899.849976
"447","2017-02-16",903
"448","2017-02-17",1008
"449","2017-02-21",1123.5
"450","2017-02-22",1113
"451","2017-02-23",1123.5
"452","2017-02-24",1207.5
"453","2017-02-27",1365
"454","2017-02-28",1249.5
