"","date","JFIN"
"1","2019-05-10",16.15
"2","2019-05-13",15.16
"3","2019-05-14",15.26
"4","2019-05-15",13.9
"5","2019-05-16",21.700001
"6","2019-05-17",13.51
"7","2019-05-20",12.51
"8","2019-05-21",10.53
"9","2019-05-22",10.55
"10","2019-05-23",11.03
"11","2019-05-24",11
"12","2019-05-28",10.58
"13","2019-05-29",10.49
"14","2019-05-30",10.52
"15","2019-05-31",12.04
"16","2019-06-03",11.07
"17","2019-06-04",10.9
"18","2019-06-05",10.51
"19","2019-06-06",10.94
"20","2019-06-07",10.5
"21","2019-06-10",10.52
"22","2019-06-11",11.2
"23","2019-06-12",11.51
"24","2019-06-13",11.36
"25","2019-06-14",13
"26","2019-06-17",12.3
"27","2019-06-18",12.14
"28","2019-06-19",12.5
"29","2019-06-20",13.94
"30","2019-06-21",14.39
"31","2019-06-24",13.99
"32","2019-06-25",12.76
"33","2019-06-26",12.947
"34","2019-06-27",14
"35","2019-06-28",15.99
"36","2019-07-01",15.19
"37","2019-07-02",16.209999
"38","2019-07-03",16
"39","2019-07-05",14.93
"40","2019-07-08",13.1
"41","2019-07-09",11.5
"42","2019-07-10",10.946
"43","2019-07-11",9.45
"44","2019-07-12",9.32
"45","2019-07-15",9.35
"46","2019-07-16",9.22
"47","2019-07-17",9.41
"48","2019-07-18",9.5
"49","2019-07-19",9.55
"50","2019-07-22",10.15
"51","2019-07-23",12.1
"52","2019-07-24",15.36
"53","2019-07-25",15.69
"54","2019-07-26",14.95
"55","2019-07-29",17
"56","2019-07-30",16.68
"57","2019-07-31",14.89
"58","2019-08-01",14.37
"59","2019-08-02",12.77
"60","2019-08-05",12.38
"61","2019-08-06",12.49
"62","2019-08-07",12.87
"63","2019-08-08",12.5
"64","2019-08-09",12.52
"65","2019-08-12",11.26
"66","2019-08-13",10.65
"67","2019-08-14",10.6
"68","2019-08-15",10.56
"69","2019-08-16",10.61
"70","2019-08-19",11.41
"71","2019-08-20",12.5
"72","2019-08-21",13
"73","2019-08-22",12.47
"74","2019-08-23",12.5
"75","2019-08-26",11.92
"76","2019-08-27",11.44
"77","2019-08-28",11.59
"78","2019-08-29",12.3
"79","2019-08-30",11.98
"80","2019-09-03",11.9
"81","2019-09-04",11.93
"82","2019-09-05",14.3
"83","2019-09-06",13.53
"84","2019-09-09",14.06
"85","2019-09-10",14.4
"86","2019-09-11",14.6
"87","2019-09-12",14.39
"88","2019-09-13",16.57
"89","2019-09-16",18.969999
"90","2019-09-17",14.1
"91","2019-09-18",13.91
"92","2019-09-19",13.8
"93","2019-09-20",13.6
"94","2019-09-23",13.25
"95","2019-09-24",13.07
"96","2019-09-25",14.88
"97","2019-09-26",14.77
"98","2019-09-27",14.54
"99","2019-09-30",16.690001
"100","2019-10-01",12.38
"101","2019-10-02",11.67
"102","2019-10-03",11.585
"103","2019-10-04",11.94
"104","2019-10-07",12.1
"105","2019-10-08",11.45
"106","2019-10-09",11.67
"107","2019-10-10",10.99
"108","2019-10-11",11.42
"109","2019-10-14",11.5
"110","2019-10-15",10.88
"111","2019-10-16",11.247
"112","2019-10-17",10.06
"113","2019-10-18",10.51
"114","2019-10-21",10.5
"115","2019-10-22",9.8
"116","2019-10-23",9.995
"117","2019-10-24",9.56
"118","2019-10-25",9.8
"119","2019-10-28",9.52
"120","2019-10-29",9.45
"121","2019-10-30",8.8
"122","2019-10-31",8
"123","2019-11-01",7.75
"124","2019-11-04",7.52
"125","2019-11-05",7.17
"126","2019-11-06",8.2
"127","2019-11-07",7.8
"128","2019-11-08",8.19
"129","2019-11-11",8
"130","2019-11-12",7.97
"131","2019-11-13",7.8
"132","2019-11-14",7.59
"133","2019-11-15",7.6
"134","2019-11-18",7.51
"135","2019-11-19",7.7
"136","2019-11-20",7.5
"137","2019-11-21",7.44
"138","2019-11-22",7.09
"139","2019-11-25",7.6
"140","2019-11-26",7.5
"141","2019-11-27",7.41
"142","2019-11-29",7.06
"143","2019-12-02",6.98
"144","2019-12-03",7.65
"145","2019-12-04",7.5
"146","2019-12-05",7.332
"147","2019-12-06",6.825
"148","2019-12-09",6.94
"149","2019-12-10",6.43
"150","2019-12-11",5.8
"151","2019-12-12",5.51
"152","2019-12-13",5.615
"153","2019-12-16",5.69
"154","2019-12-17",5.637
"155","2019-12-18",5.27
"156","2019-12-19",4.94
"157","2019-12-20",5.075
"158","2019-12-23",5.08
"159","2019-12-24",5.34
"160","2019-12-26",5.19
"161","2019-12-27",5.2
"162","2019-12-30",5.235
"163","2019-12-31",5.26
"164","2020-01-02",5.28
"165","2020-01-03",5.6
"166","2020-01-06",5.17
"167","2020-01-07",5.27
"168","2020-01-08",5.267
"169","2020-01-09",5.38
"170","2020-01-10",5.18
"171","2020-01-13",5.31
"172","2020-01-14",5.417
"173","2020-01-15",5.31
"174","2020-01-16",5.31
"175","2020-01-17",5.35
"176","2020-01-21",4.24
"177","2020-01-22",4.35
"178","2020-01-23",4.36
"179","2020-01-24",4.16
"180","2020-01-27",4
"181","2020-01-28",3.71
"182","2020-01-29",3.879
"183","2020-01-30",3.793
"184","2020-01-31",3
"185","2020-02-03",3.41
"186","2020-02-04",3.48
"187","2020-02-05",3.561
"188","2020-02-06",3.2
"189","2020-02-07",3.03
"190","2020-02-10",3.15
"191","2020-02-11",3.141
"192","2020-02-12",3.075
"193","2020-02-13",3.11
"194","2020-02-14",3.12
"195","2020-02-18",3.22
"196","2020-02-19",3.22
"197","2020-02-20",3.155
"198","2020-02-21",2.77
"199","2020-02-24",2.895
"200","2020-02-25",2.92
"201","2020-02-26",3.18
"202","2020-02-27",3.16
"203","2020-02-28",2.572
"204","2020-03-02",2.879
"205","2020-03-03",2.99
"206","2020-03-04",2.965
"207","2020-03-05",2.87
"208","2020-03-06",2.732
"209","2020-03-09",2.2
"210","2020-03-10",2.543
"211","2020-03-11",2.543
"212","2020-03-12",1.84
"213","2020-03-13",1.93
"214","2020-03-16",1.639
"215","2020-03-17",3.025
"216","2020-03-18",2.17
"217","2020-03-19",2.33
"218","2020-03-20",1.76
