"","date","JG"
"1","2018-07-26",8.8
"2","2018-07-27",8.5
"3","2018-07-30",8
"4","2018-07-31",7.65
"5","2018-08-01",7.18
"6","2018-08-02",7.25
"7","2018-08-03",7
"8","2018-08-06",6.86
"9","2018-08-07",6.82
"10","2018-08-08",6.36
"11","2018-08-09",5.89
"12","2018-08-10",5.51
"13","2018-08-13",5.79
"14","2018-08-14",5.86
"15","2018-08-15",5.41
"16","2018-08-16",5.7
"17","2018-08-17",5.95
"18","2018-08-20",6.11
"19","2018-08-21",7.54
"20","2018-08-22",7.02
"21","2018-08-23",8.14
"22","2018-08-24",8.5
"23","2018-08-27",9.35
"24","2018-08-28",9.61
"25","2018-08-29",11.37
"26","2018-08-30",11.27
"27","2018-08-31",10.5
"28","2018-09-04",9.57
"29","2018-09-05",8.56
"30","2018-09-06",9.49
"31","2018-09-07",7.83
"32","2018-09-10",8.03
"33","2018-09-11",8.19
"34","2018-09-12",8.44
"35","2018-09-13",8.49
"36","2018-09-14",8.5
"37","2018-09-17",8.19
"38","2018-09-18",8.2
"39","2018-09-19",8.22
"40","2018-09-20",8.34
"41","2018-09-21",8.24
"42","2018-09-24",7.52
"43","2018-09-25",7.37
"44","2018-09-26",7.39
"45","2018-09-27",6.67
"46","2018-09-28",6.86
"47","2018-10-01",6.66
"48","2018-10-02",6.62
"49","2018-10-03",7
"50","2018-10-04",6.45
"51","2018-10-05",6.4
"52","2018-10-08",6.32
"53","2018-10-09",6.65
"54","2018-10-10",6.29
"55","2018-10-11",5.7
"56","2018-10-12",6.05
"57","2018-10-15",6.23
"58","2018-10-16",6.39
"59","2018-10-17",6.5
"60","2018-10-18",6.6
"61","2018-10-19",6.77
"62","2018-10-22",6.75
"63","2018-10-23",6.18
"64","2018-10-24",6.01
"65","2018-10-25",6.14
"66","2018-10-26",6.27
"67","2018-10-29",6.1
"68","2018-10-30",6.32
"69","2018-10-31",6.22
"70","2018-11-01",6.75
"71","2018-11-02",6.99
"72","2018-11-05",6.7
"73","2018-11-06",6.77
"74","2018-11-07",7
"75","2018-11-08",7
"76","2018-11-09",6.85
"77","2018-11-12",6.24
"78","2018-11-13",6.28
"79","2018-11-14",6.24
"80","2018-11-15",6.38
"81","2018-11-16",6.35
"82","2018-11-19",6.22
"83","2018-11-20",6.02
"84","2018-11-21",6.06
"85","2018-11-23",6.04
"86","2018-11-26",6.08
"87","2018-11-27",6.05
"88","2018-11-28",6.08
"89","2018-11-29",6.02
"90","2018-11-30",6.15
"91","2018-12-03",6.2
"92","2018-12-04",6.19
"93","2018-12-06",6.15
"94","2018-12-07",6.07
"95","2018-12-10",6.15
"96","2018-12-11",6.09
"97","2018-12-12",6.71
"98","2018-12-13",6.98
"99","2018-12-14",6.86
"100","2018-12-17",6.9
"101","2018-12-18",6.83
"102","2018-12-19",6.82
"103","2018-12-20",6.95
"104","2018-12-21",6.98
"105","2018-12-24",6.94
"106","2018-12-26",7.02
"107","2018-12-27",6.98
"108","2018-12-28",6.91
"109","2018-12-31",7.02
"110","2019-01-02",6.86
"111","2019-01-03",6.8
"112","2019-01-04",6.8
"113","2019-01-07",6.84
"114","2019-01-08",6.86
"115","2019-01-09",6.79
"116","2019-01-10",6.7
"117","2019-01-11",6.73
"118","2019-01-14",6.77
"119","2019-01-15",6.55
"120","2019-01-16",6.42
"121","2019-01-17",6.4
"122","2019-01-18",6.29
"123","2019-01-22",6.13
"124","2019-01-23",6.02
"125","2019-01-24",6.66
"126","2019-01-25",6.82
"127","2019-01-28",7.5
"128","2019-01-29",7.71
"129","2019-01-30",7.73
"130","2019-01-31",7.8
"131","2019-02-01",7.98
"132","2019-02-04",8.39
"133","2019-02-05",8.4
"134","2019-02-06",8.4
"135","2019-02-07",8.74
"136","2019-02-08",8.95
"137","2019-02-11",9.24
"138","2019-02-12",9.42
"139","2019-02-13",9.25
"140","2019-02-14",9.35
"141","2019-02-15",9
"142","2019-02-19",7.97
"143","2019-02-20",7.91
"144","2019-02-21",7.95
"145","2019-02-22",8.29
"146","2019-02-25",8.99
"147","2019-02-26",8.95
"148","2019-02-27",8.97
"149","2019-02-28",8.5
"150","2019-03-01",8.43
"151","2019-03-04",8.45
"152","2019-03-05",9.07
"153","2019-03-06",8
"154","2019-03-07",7.94
"155","2019-03-08",7.81
"156","2019-03-11",7.2
"157","2019-03-12",7.14
"158","2019-03-13",7.06
"159","2019-03-14",7.35
"160","2019-03-15",7.17
"161","2019-03-18",7.1
"162","2019-03-19",7.06
"163","2019-03-20",6.4
"164","2019-03-21",6.84
"165","2019-03-22",6.81
"166","2019-03-25",6.6
"167","2019-03-26",6.87
"168","2019-03-27",6.81
"169","2019-03-28",6.8
"170","2019-03-29",6.6
"171","2019-04-01",6.56
"172","2019-04-02",6.7
"173","2019-04-03",6.8
"174","2019-04-04",6.82
"175","2019-04-05",6.9
"176","2019-04-08",7.11
"177","2019-04-09",7.5
"178","2019-04-10",7.99
"179","2019-04-11",8.97
"180","2019-04-12",8.85
"181","2019-04-15",8.52
"182","2019-04-16",8.67
"183","2019-04-17",8.62
"184","2019-04-18",8.29
"185","2019-04-22",8.23
"186","2019-04-23",8.89
"187","2019-04-24",8.48
"188","2019-04-25",8.04
"189","2019-04-26",8.09
"190","2019-04-29",8.34
"191","2019-04-30",8
"192","2019-05-01",8
"193","2019-05-02",8.02
"194","2019-05-03",8.02
"195","2019-05-06",8.02
"196","2019-05-07",8.1
"197","2019-05-08",7.98
"198","2019-05-09",7.82
"199","2019-05-10",8.11
"200","2019-05-13",7.51
"201","2019-05-14",7.8
"202","2019-05-15",7.98
"203","2019-05-16",7.64
"204","2019-05-17",7.74
"205","2019-05-20",7.7
"206","2019-05-21",7.8
"207","2019-05-22",8.87
"208","2019-05-23",8.32
"209","2019-05-24",8.01
"210","2019-05-28",7.78
"211","2019-05-29",7.76
"212","2019-05-30",7.34
"213","2019-05-31",7.06
"214","2019-06-03",7.05
"215","2019-06-04",7.2
"216","2019-06-05",6.66
"217","2019-06-06",6.26
"218","2019-06-07",5.62
"219","2019-06-10",5.41
"220","2019-06-11",5.01
"221","2019-06-12",4.72
"222","2019-06-13",4.85
"223","2019-06-14",5.3
"224","2019-06-17",5.4
"225","2019-06-18",5.77
"226","2019-06-19",5.35
"227","2019-06-20",5.34
"228","2019-06-21",5.31
"229","2019-06-24",5.06
"230","2019-06-25",5.03
"231","2019-06-26",4.86
"232","2019-06-27",4.74
"233","2019-06-28",4.75
"234","2019-07-01",4.91
"235","2019-07-02",4.99
"236","2019-07-03",4.9
"237","2019-07-05",5.09
"238","2019-07-08",5.4
"239","2019-07-09",5.61
"240","2019-07-10",5.91
"241","2019-07-11",5.31
"242","2019-07-12",5.84
"243","2019-07-15",5.71
"244","2019-07-16",5.64
"245","2019-07-17",5.58
"246","2019-07-18",5.57
"247","2019-07-19",5.52
"248","2019-07-22",5.44
"249","2019-07-23",5.6
"250","2019-07-24",5.5
"251","2019-07-25",5.5
"252","2019-07-26",5.59
"253","2019-07-29",5.34
"254","2019-07-30",5.29
"255","2019-07-31",5.32
"256","2019-08-01",5.27
"257","2019-08-02",5.17
"258","2019-08-05",4.85
"259","2019-08-06",4.95
"260","2019-08-07",4.85
"261","2019-08-08",4.9
"262","2019-08-09",4.78
"263","2019-08-12",4.9
"264","2019-08-13",4.89
"265","2019-08-14",4.7
"266","2019-08-15",4.75
"267","2019-08-16",4.61
"268","2019-08-19",4.54
"269","2019-08-20",4.15
"270","2019-08-21",3.6
"271","2019-08-22",3.9
"272","2019-08-23",3.7
"273","2019-08-26",3.59
"274","2019-08-27",3.72
"275","2019-08-28",3.62
"276","2019-08-29",3.55
"277","2019-08-30",3.67
"278","2019-09-03",3.58
"279","2019-09-04",3.63
"280","2019-09-05",3.55
"281","2019-09-06",3.57
"282","2019-09-09",3.44
"283","2019-09-10",3.38
"284","2019-09-11",3.52
"285","2019-09-12",3.5
"286","2019-09-13",3.5
"287","2019-09-16",3.45
"288","2019-09-17",3.53
"289","2019-09-18",3.55
"290","2019-09-19",3.47
"291","2019-09-20",3.5
"292","2019-09-23",3.34
"293","2019-09-24",3.51
"294","2019-09-25",3.52
"295","2019-09-26",3.64
"296","2019-09-27",3.67
"297","2019-09-30",3.98
"298","2019-10-01",4.08
"299","2019-10-02",3.85
"300","2019-10-03",3.77
"301","2019-10-04",3.8
"302","2019-10-07",3.75
"303","2019-10-08",3.51
"304","2019-10-09",3.55
"305","2019-10-10",3.44
"306","2019-10-11",3.67
"307","2019-10-14",3.46
"308","2019-10-15",3.41
"309","2019-10-16",3.8
"310","2019-10-17",3.78
"311","2019-10-18",3.99
"312","2019-10-21",3.99
"313","2019-10-22",3.78
"314","2019-10-23",3.98
"315","2019-10-24",3.98
"316","2019-10-25",3.98
"317","2019-10-28",3.9
"318","2019-10-29",3.97
"319","2019-10-30",3.96
"320","2019-10-31",4.02
"321","2019-11-01",4
"322","2019-11-04",4.05
"323","2019-11-05",4.1
"324","2019-11-06",4.04
"325","2019-11-07",4.15
"326","2019-11-08",4.25
"327","2019-11-11",4.29
"328","2019-11-12",4.21
"329","2019-11-13",4.15
"330","2019-11-14",4.14
"331","2019-11-15",4.28
"332","2019-11-18",4.1
"333","2019-11-19",4.2
"334","2019-11-20",4.22
"335","2019-11-21",3.7
"336","2019-11-22",3.34
"337","2019-11-25",3
"338","2019-11-26",2.75
"339","2019-11-27",2.55
"340","2019-11-29",2.4
"341","2019-12-02",2.2
"342","2019-12-03",2.24
"343","2019-12-04",2.1
"344","2019-12-05",2.09
"345","2019-12-06",2.26
"346","2019-12-09",2.27
"347","2019-12-10",2.25
"348","2019-12-11",2.39
"349","2019-12-12",2.36
"350","2019-12-13",2.34
"351","2019-12-16",2.3
"352","2019-12-17",2.26
"353","2019-12-18",2.27
"354","2019-12-19",2.15
"355","2019-12-20",2.07
"356","2019-12-23",2.19
"357","2019-12-24",2.12
"358","2019-12-26",2.16
"359","2019-12-27",2.26
"360","2019-12-30",2.61
"361","2019-12-31",2.95
"362","2020-01-02",2.77
"363","2020-01-03",2.57
"364","2020-01-06",2.47
"365","2020-01-07",2.43
"366","2020-01-08",2.27
"367","2020-01-09",2.32
"368","2020-01-10",2.38
"369","2020-01-13",2.36
"370","2020-01-14",2.85
"371","2020-01-15",2.63
"372","2020-01-16",2.55
"373","2020-01-17",2.65
"374","2020-01-21",2.5
"375","2020-01-22",2.6
"376","2020-01-23",2.61
"377","2020-01-24",2.65
"378","2020-01-27",2.62
"379","2020-01-28",2.73
"380","2020-01-29",2.77
"381","2020-01-30",2.73
"382","2020-01-31",2.75
"383","2020-02-03",2.71
"384","2020-02-04",2.77
"385","2020-02-05",2.82
"386","2020-02-06",2.9
"387","2020-02-07",2.9
"388","2020-02-10",2.93
"389","2020-02-11",2.99
"390","2020-02-12",2.99
"391","2020-02-13",3.07
"392","2020-02-14",3.08
"393","2020-02-18",3.1
"394","2020-02-19",3.06
"395","2020-02-20",2.98
"396","2020-02-21",3.02
"397","2020-02-24",2.94
"398","2020-02-25",2.7
"399","2020-02-26",2.59
"400","2020-02-27",2.41
"401","2020-02-28",2.68
"402","2020-03-02",2.86
"403","2020-03-03",2.87
"404","2020-03-04",2.77
"405","2020-03-05",2.75
"406","2020-03-06",2.75
"407","2020-03-09",2.66
