"","date","JKHY"
"1","2007-01-03",21.370001
"2","2007-01-04",21.639999
"3","2007-01-05",21.379999
"4","2007-01-08",21.549999
"5","2007-01-09",21.469999
"6","2007-01-10",21.610001
"7","2007-01-11",21.67
"8","2007-01-12",21.620001
"9","2007-01-16",21.459999
"10","2007-01-17",21.41
"11","2007-01-18",21.15
"12","2007-01-19",21.15
"13","2007-01-22",20.969999
"14","2007-01-23",21.17
"15","2007-01-24",21.459999
"16","2007-01-25",20.950001
"17","2007-01-26",21.1
"18","2007-01-29",21.299999
"19","2007-01-30",21.35
"20","2007-01-31",21.34
"21","2007-02-01",21.41
"22","2007-02-02",21.549999
"23","2007-02-05",21.629999
"24","2007-02-06",22.059999
"25","2007-02-07",22.540001
"26","2007-02-08",22.719999
"27","2007-02-09",22.879999
"28","2007-02-12",23.32
"29","2007-02-13",23.41
"30","2007-02-14",23.9
"31","2007-02-15",23.84
"32","2007-02-16",23.950001
"33","2007-02-20",24.18
"34","2007-02-21",24.18
"35","2007-02-22",24.309999
"36","2007-02-23",24.49
"37","2007-02-26",24.27
"38","2007-02-27",23.459999
"39","2007-02-28",23.459999
"40","2007-03-01",23.43
"41","2007-03-02",22.969999
"42","2007-03-05",22.76
"43","2007-03-06",23.049999
"44","2007-03-07",22.940001
"45","2007-03-08",22.92
"46","2007-03-09",23.139999
"47","2007-03-12",23.370001
"48","2007-03-13",22.68
"49","2007-03-14",23
"50","2007-03-15",23.129999
"51","2007-03-16",23.01
"52","2007-03-19",23.33
"53","2007-03-20",23.32
"54","2007-03-21",23.51
"55","2007-03-22",23.51
"56","2007-03-23",23.629999
"57","2007-03-26",23.860001
"58","2007-03-27",23.809999
"59","2007-03-28",23.82
"60","2007-03-29",23.790001
"61","2007-03-30",24.049999
"62","2007-04-02",24
"63","2007-04-03",24.190001
"64","2007-04-04",24.17
"65","2007-04-05",24.200001
"66","2007-04-09",24.17
"67","2007-04-10",24.280001
"68","2007-04-11",24.120001
"69","2007-04-12",24.42
"70","2007-04-13",24.4
"71","2007-04-16",24.91
"72","2007-04-17",24.77
"73","2007-04-18",24.469999
"74","2007-04-19",23.969999
"75","2007-04-20",24.23
"76","2007-04-23",24.120001
"77","2007-04-24",24.16
"78","2007-04-25",24.01
"79","2007-04-26",24.200001
"80","2007-04-27",24.15
"81","2007-04-30",23.75
"82","2007-05-01",23.700001
"83","2007-05-02",24.09
"84","2007-05-03",24.17
"85","2007-05-04",24.17
"86","2007-05-07",24.02
"87","2007-05-08",24.09
"88","2007-05-09",24.459999
"89","2007-05-10",24.02
"90","2007-05-11",24.51
"91","2007-05-14",24.33
"92","2007-05-15",24.299999
"93","2007-05-16",24.67
"94","2007-05-17",24.799999
"95","2007-05-18",25.639999
"96","2007-05-21",25.92
"97","2007-05-22",26.02
"98","2007-05-23",25.93
"99","2007-05-24",25.73
"100","2007-05-25",25.93
"101","2007-05-29",26.110001
"102","2007-05-30",26.219999
"103","2007-05-31",26.450001
"104","2007-06-01",26.469999
"105","2007-06-04",26.52
"106","2007-06-05",26.23
"107","2007-06-06",26.07
"108","2007-06-07",25.65
"109","2007-06-08",25.75
"110","2007-06-11",25.440001
"111","2007-06-12",25.24
"112","2007-06-13",25.610001
"113","2007-06-14",25.74
"114","2007-06-15",26.129999
"115","2007-06-18",25.9
"116","2007-06-19",25.879999
"117","2007-06-20",25.4
"118","2007-06-21",25.6
"119","2007-06-22",25.209999
"120","2007-06-25",25.01
"121","2007-06-26",25.219999
"122","2007-06-27",25.559999
"123","2007-06-28",25.84
"124","2007-06-29",25.75
"125","2007-07-02",26.459999
"126","2007-07-03",26.34
"127","2007-07-05",26.440001
"128","2007-07-06",26.48
"129","2007-07-09",26.49
"130","2007-07-10",26.190001
"131","2007-07-11",26.4
"132","2007-07-12",26.790001
"133","2007-07-13",26.969999
"134","2007-07-16",26.620001
"135","2007-07-17",26.65
"136","2007-07-18",26.52
"137","2007-07-19",26.870001
"138","2007-07-20",26.299999
"139","2007-07-23",26.32
"140","2007-07-24",25.469999
"141","2007-07-25",25.41
"142","2007-07-26",24.73
"143","2007-07-27",24.02
"144","2007-07-30",24.290001
"145","2007-07-31",24.02
"146","2007-08-01",24.290001
"147","2007-08-02",24.469999
"148","2007-08-03",23.629999
"149","2007-08-06",24.059999
"150","2007-08-07",24.26
"151","2007-08-08",25
"152","2007-08-09",25.41
"153","2007-08-10",25.629999
"154","2007-08-13",25.83
"155","2007-08-14",25.629999
"156","2007-08-15",24.719999
"157","2007-08-16",25.16
"158","2007-08-17",26.15
"159","2007-08-20",25.959999
"160","2007-08-21",25.77
"161","2007-08-22",26.639999
"162","2007-08-23",26.43
"163","2007-08-24",26.65
"164","2007-08-27",25.940001
"165","2007-08-28",25.4
"166","2007-08-29",25.780001
"167","2007-08-30",25.82
"168","2007-08-31",26.24
"169","2007-09-04",26.450001
"170","2007-09-05",25.98
"171","2007-09-06",26.440001
"172","2007-09-07",25.870001
"173","2007-09-10",25.700001
"174","2007-09-11",26.08
"175","2007-09-12",26.92
"176","2007-09-13",27.139999
"177","2007-09-14",26.57
"178","2007-09-17",26.549999
"179","2007-09-18",27.35
"180","2007-09-19",26.85
"181","2007-09-20",26.440001
"182","2007-09-21",26.34
"183","2007-09-24",25.77
"184","2007-09-25",25.93
"185","2007-09-26",25.790001
"186","2007-09-27",26.280001
"187","2007-09-28",25.860001
"188","2007-10-01",26.370001
"189","2007-10-02",26.32
"190","2007-10-03",26.5
"191","2007-10-04",26.66
"192","2007-10-05",27.209999
"193","2007-10-08",27.110001
"194","2007-10-09",27.809999
"195","2007-10-10",28.24
"196","2007-10-11",28.360001
"197","2007-10-12",28.389999
"198","2007-10-15",28.139999
"199","2007-10-16",27.799999
"200","2007-10-17",27.66
"201","2007-10-18",27.299999
"202","2007-10-19",26.459999
"203","2007-10-22",27.33
"204","2007-10-23",27.67
"205","2007-10-24",27.48
"206","2007-10-25",28.01
"207","2007-10-26",28.33
"208","2007-10-29",28.530001
"209","2007-10-30",28.030001
"210","2007-10-31",29.219999
"211","2007-11-01",28.32
"212","2007-11-02",28.52
"213","2007-11-05",28.52
"214","2007-11-06",28.700001
"215","2007-11-07",27.629999
"216","2007-11-08",27.33
"217","2007-11-09",27.02
"218","2007-11-12",26.76
"219","2007-11-13",26.9
"220","2007-11-14",26.58
"221","2007-11-15",26.23
"222","2007-11-16",26.5
"223","2007-11-19",25.950001
"224","2007-11-20",25.809999
"225","2007-11-21",25.77
"226","2007-11-23",26.16
"227","2007-11-26",25.4
"228","2007-11-27",26.34
"229","2007-11-28",27.120001
"230","2007-11-29",26.959999
"231","2007-11-30",26.76
"232","2007-12-03",26.4
"233","2007-12-04",26.1
"234","2007-12-05",26.66
