"","date","KELYB"
"1","2007-01-03",30
"2","2007-01-04",30
"3","2007-01-05",30
"4","2007-01-08",30
"5","2007-01-09",30
"6","2007-01-10",30
"7","2007-01-11",30
"8","2007-01-12",30
"9","2007-01-16",30
"10","2007-01-17",30
"11","2007-01-18",30
"12","2007-01-19",30
"13","2007-01-22",30
"14","2007-01-23",30
"15","2007-01-24",30
"16","2007-01-25",30
"17","2007-01-26",30
"18","2007-01-29",30
"19","2007-01-30",30
"20","2007-01-31",30
"21","2007-02-01",31.66
"22","2007-02-02",31.66
"23","2007-02-05",31.66
"24","2007-02-06",31.66
"25","2007-02-07",31.66
"26","2007-02-08",31.66
"27","2007-02-09",31.66
"28","2007-02-12",31.66
"29","2007-02-13",31.66
"30","2007-02-14",31.66
"31","2007-02-15",31.66
"32","2007-02-16",31.66
"33","2007-02-20",31.66
"34","2007-02-21",28.049999
"35","2007-02-22",28.049999
"36","2007-02-23",28.049999
"37","2007-02-26",28.049999
"38","2007-02-27",28.049999
"39","2007-02-28",32.099998
"40","2007-03-01",32.099998
"41","2007-03-02",31.709999
"42","2007-03-05",31.709999
"43","2007-03-06",31.709999
"44","2007-03-07",31.709999
"45","2007-03-08",31.709999
"46","2007-03-09",28.200001
"47","2007-03-12",28.200001
"48","2007-03-13",28.200001
"49","2007-03-14",28.200001
"50","2007-03-15",31.290001
"51","2007-03-16",31.290001
"52","2007-03-19",26.049999
"53","2007-03-20",26.049999
"54","2007-03-21",26.049999
"55","2007-03-22",26.049999
"56","2007-03-23",26.049999
"57","2007-03-26",26.049999
"58","2007-03-27",26.09
"59","2007-03-28",26.09
"60","2007-03-29",26.09
"61","2007-03-30",26.09
"62","2007-04-02",26.09
"63","2007-04-03",35.849998
"64","2007-04-04",33.189999
"65","2007-04-05",33.25
"66","2007-04-09",33.240002
"67","2007-04-10",31.540001
"68","2007-04-11",31.540001
"69","2007-04-12",31.540001
"70","2007-04-13",35.84
"71","2007-04-16",35.84
"72","2007-04-17",35.84
"73","2007-04-18",35.84
"74","2007-04-19",35.84
"75","2007-04-20",35.84
"76","2007-04-23",35.84
"77","2007-04-24",35.84
"78","2007-04-25",35.84
"79","2007-04-26",35.84
"80","2007-04-27",35.84
"81","2007-04-30",35.84
"82","2007-05-01",35.84
"83","2007-05-02",35.84
"84","2007-05-03",35.84
"85","2007-05-04",30.5
"86","2007-05-07",31.25
"87","2007-05-08",31.25
"88","2007-05-09",31.25
"89","2007-05-10",31.25
"90","2007-05-11",31.27
"91","2007-05-14",31.27
"92","2007-05-15",31.27
"93","2007-05-16",31.27
"94","2007-05-17",31.27
"95","2007-05-18",31.27
"96","2007-05-21",31.27
"97","2007-05-22",31.27
"98","2007-05-23",31.27
"99","2007-05-24",31.27
"100","2007-05-25",31.27
"101","2007-05-29",31.27
"102","2007-05-30",31.27
"103","2007-05-31",31.27
"104","2007-06-01",31.27
"105","2007-06-04",31.27
"106","2007-06-05",31.27
"107","2007-06-06",31.27
"108","2007-06-07",31.27
"109","2007-06-08",31.27
"110","2007-06-11",31.27
"111","2007-06-12",31.27
"112","2007-06-13",31.27
"113","2007-06-14",31.27
"114","2007-06-15",31.27
"115","2007-06-18",31.27
"116","2007-06-19",31.27
"117","2007-06-20",31.27
