"","date","KSPN"
"1","2020-03-10",3.8
"2","2020-03-11",3.59
"3","2020-03-12",2.7
"4","2020-03-13",2.9
"5","2020-03-16",2.55
"6","2020-03-17",2.39
"7","2020-03-18",3.88
"8","2020-03-19",3.14
"9","2020-03-20",3.13
"10","2020-03-23",2.97
"11","2020-03-24",2.93
"12","2020-03-25",3.03
"13","2020-03-26",3.3
"14","2020-03-27",3.19
"15","2020-03-30",3.42
"16","2020-03-31",3.32
"17","2020-04-01",3.09
"18","2020-04-02",3.09
"19","2020-04-03",3.11
"20","2020-04-06",3.11
"21","2020-04-07",3.16
"22","2020-04-08",3.42
"23","2020-04-09",3.68
"24","2020-04-13",4.22
"25","2020-04-14",3.98
"26","2020-04-15",4.2
"27","2020-04-16",4.25
"28","2020-04-17",4.06
"29","2020-04-20",4.2
"30","2020-04-21",4.09
"31","2020-04-22",4.12
"32","2020-04-23",4.16
"33","2020-04-24",4.12
"34","2020-04-27",4.9
"35","2020-04-28",5.2
"36","2020-04-29",5.09
"37","2020-04-30",4.53
"38","2020-05-01",4.27
"39","2020-05-04",4.12
"40","2020-05-05",4.23
"41","2020-05-06",3.62
"42","2020-05-07",4.22
"43","2020-05-08",4.32
"44","2020-05-11",4.14
"45","2020-05-12",4.13
"46","2020-05-13",4.19
"47","2020-05-14",3.94
"48","2020-05-15",4.08
"49","2020-05-18",4.24
"50","2020-05-19",4.46
"51","2020-05-20",4.81
"52","2020-05-21",4.7
"53","2020-05-22",4.45
"54","2020-05-26",4.98
"55","2020-05-27",5.14
"56","2020-05-28",4.8
"57","2020-05-29",NA
"58","2020-06-01",NA
"59","2020-06-02",NA
"60","2020-06-03",NA
"61","2020-06-04",NA
"62","2020-06-05",NA
"63","2020-06-08",NA
"64","2020-06-09",NA
"65","2020-06-10",NA
"66","2020-06-11",NA
"67","2020-06-12",NA
"68","2020-06-15",NA
"69","2020-06-16",NA
"70","2020-06-17",NA
"71","2020-06-18",NA
"72","2020-06-19",NA
"73","2020-06-22",NA
"74","2020-06-23",NA
"75","2020-06-24",NA
"76","2020-06-25",NA
"77","2020-06-26",NA
"78","2020-06-29",NA
"79","2020-06-30",NA
"80","2020-07-01",NA
"81","2020-07-02",NA
"82","2020-07-06",NA
"83","2020-07-07",NA
"84","2020-07-08",NA
"85","2020-07-09",NA
"86","2020-07-10",NA
"87","2020-07-13",NA
"88","2020-07-14",NA
"89","2020-07-15",NA
"90","2020-07-16",NA
"91","2020-07-17",NA
"92","2020-07-20",NA
"93","2020-07-21",NA
"94","2020-07-22",NA
"95","2020-07-23",NA
"96","2020-07-24",NA
"97","2020-07-27",NA
"98","2020-07-28",NA
"99","2020-07-29",NA
"100","2020-07-30",NA
"101","2020-07-31",NA
"102","2020-08-03",NA
"103","2020-08-04",NA
"104","2020-08-05",NA
"105","2020-08-06",NA
"106","2020-08-07",NA
"107","2020-08-10",NA
"108","2020-08-11",NA
"109","2020-08-12",NA
"110","2020-08-13",NA
"111","2020-08-14",NA
"112","2020-08-17",NA
"113","2020-08-18",NA
"114","2020-08-19",NA
"115","2020-08-20",NA
"116","2020-08-21",NA
"117","2020-08-24",NA
"118","2020-08-25",NA
"119","2020-08-26",NA
"120","2020-08-27",NA
"121","2020-08-28",NA
"122","2020-08-31",NA
"123","2020-09-01",NA
"124","2020-09-02",NA
"125","2020-09-03",NA
"126","2020-09-04",NA
"127","2020-09-08",11.12
"128","2020-09-09",8.85
"129","2020-09-10",8.19
"130","2020-09-11",8.45
"131","2020-09-14",8.5
"132","2020-09-15",7.92
"133","2020-09-16",7.75
"134","2020-09-17",7.88
"135","2020-09-18",8.44
"136","2020-09-21",7.6
"137","2020-09-22",7.7
"138","2020-09-23",7.7
"139","2020-09-24",7.7
"140","2020-09-25",7.5
"141","2020-09-28",7.22
"142","2020-09-29",8.19
"143","2020-09-30",7.72
"144","2020-10-01",7.55
"145","2020-10-02",7.57
"146","2020-10-05",8.32
"147","2020-10-06",8.45
"148","2020-10-07",8.14
"149","2020-10-08",8.5
"150","2020-10-09",8.99
"151","2020-10-12",9.81
"152","2020-10-13",9.66
"153","2020-10-14",10.06
"154","2020-10-15",10.15
"155","2020-10-16",9.95
"156","2020-10-19",10.14
"157","2020-10-20",9.2
"158","2020-10-21",10.51
"159","2020-10-22",10.4
"160","2020-10-23",10.25
"161","2020-10-26",10.55
"162","2020-10-27",12.38
"163","2020-10-28",11.63
"164","2020-10-29",11.43
"165","2020-10-30",11.25
"166","2020-11-02",11.4
"167","2020-11-03",11.43
"168","2020-11-04",10.8
"169","2020-11-05",10.75
"170","2020-11-06",10.41
"171","2020-11-09",10
"172","2020-11-10",10.46
"173","2020-11-11",10.52
"174","2020-11-12",10.25
"175","2020-11-13",10.81
"176","2020-11-16",11.01
"177","2020-11-17",11.51
"178","2020-11-18",12.5
"179","2020-11-19",12.67
"180","2020-11-20",12.7
"181","2020-11-23",12.82
"182","2020-11-24",12.55
"183","2020-11-25",12.07
"184","2020-11-27",11.95
