"","date","K"
"1","2007-01-03",50.450001
"2","2007-01-04",50.060001
"3","2007-01-05",49.720001
"4","2007-01-08",49.84
"5","2007-01-09",49.950001
"6","2007-01-10",50.209999
"7","2007-01-11",50.470001
"8","2007-01-12",50.23
"9","2007-01-16",50.439999
"10","2007-01-17",50.25
"11","2007-01-18",50.110001
"12","2007-01-19",50
"13","2007-01-22",50.369999
"14","2007-01-23",50.279999
"15","2007-01-24",50.48
"16","2007-01-25",50.27
"17","2007-01-26",50.32
"18","2007-01-29",50.810001
"19","2007-01-30",50.209999
"20","2007-01-31",49.27
"21","2007-02-01",49.389999
"22","2007-02-02",48.98
"23","2007-02-05",49
"24","2007-02-06",48.98
"25","2007-02-07",48.990002
"26","2007-02-08",48.990002
"27","2007-02-09",48.889999
"28","2007-02-12",48.959999
"29","2007-02-13",49.040001
"30","2007-02-14",49.630001
"31","2007-02-15",49.32
"32","2007-02-16",49.779999
"33","2007-02-20",49.599998
"34","2007-02-21",49.369999
"35","2007-02-22",49.77
"36","2007-02-23",49.84
"37","2007-02-26",50.349998
"38","2007-02-27",49.080002
"39","2007-02-28",49.84
"40","2007-03-01",49.689999
"41","2007-03-02",49.240002
"42","2007-03-05",49.259998
"43","2007-03-06",49.380001
"44","2007-03-07",49.860001
"45","2007-03-08",50.32
"46","2007-03-09",50.470001
"47","2007-03-12",50.889999
"48","2007-03-13",50.540001
"49","2007-03-14",50.669998
"50","2007-03-15",51.060001
"51","2007-03-16",50.549999
"52","2007-03-19",51.02
"53","2007-03-20",51.290001
"54","2007-03-21",51.689999
"55","2007-03-22",51.880001
"56","2007-03-23",51.740002
"57","2007-03-26",51.549999
"58","2007-03-27",51.439999
"59","2007-03-28",51.110001
"60","2007-03-29",51.18
"61","2007-03-30",51.43
"62","2007-04-02",51.900002
"63","2007-04-03",52.07
"64","2007-04-04",51.959999
"65","2007-04-05",51.77
"66","2007-04-09",51.779999
"67","2007-04-10",51.810001
"68","2007-04-11",51.529999
"69","2007-04-12",51.459999
"70","2007-04-13",51.560001
"71","2007-04-16",52.009998
"72","2007-04-17",52.25
"73","2007-04-18",52.310001
"74","2007-04-19",51.93
"75","2007-04-20",52.540001
"76","2007-04-23",52.540001
"77","2007-04-24",52.57
"78","2007-04-25",52.900002
"79","2007-04-26",52.759998
"80","2007-04-27",53.080002
"81","2007-04-30",52.91
"82","2007-05-01",53.369999
"83","2007-05-02",52.98
"84","2007-05-03",52.860001
"85","2007-05-04",53.209999
"86","2007-05-07",53.34
"87","2007-05-08",53.599998
"88","2007-05-09",54.110001
"89","2007-05-10",53.240002
"90","2007-05-11",53.07
"91","2007-05-14",53.299999
"92","2007-05-15",52.970001
"93","2007-05-16",53.580002
"94","2007-05-17",53.290001
"95","2007-05-18",53.650002
"96","2007-05-21",53.599998
"97","2007-05-22",53.619999
"98","2007-05-23",53.130001
"99","2007-05-24",53.349998
"100","2007-05-25",53.490002
"101","2007-05-29",53.779999
"102","2007-05-30",53.950001
"103","2007-05-31",53.98
"104","2007-06-01",54.32
"105","2007-06-04",54.040001
"106","2007-06-05",53.009998
"107","2007-06-06",52.889999
"108","2007-06-07",51.849998
"109","2007-06-08",52.049999
"110","2007-06-11",52.450001
"111","2007-06-12",51.650002
"112","2007-06-13",52.16
"113","2007-06-14",52.099998
"114","2007-06-15",52.169998
"115","2007-06-18",51.919998
"116","2007-06-19",51.919998
"117","2007-06-20",51.599998
"118","2007-06-21",51.830002
"119","2007-06-22",51.360001
"120","2007-06-25",51.900002
"121","2007-06-26",51.669998
"122","2007-06-27",51.400002
"123","2007-06-28",51.540001
"124","2007-06-29",51.790001
"125","2007-07-02",51.759998
"126","2007-07-03",51.5
"127","2007-07-05",51.939999
