"","date","LASR"
"1","2018-04-26",26.950001
"2","2018-04-27",25.01
"3","2018-04-30",24.93
"4","2018-05-01",26.870001
"5","2018-05-02",29.08
"6","2018-05-03",29.389999
"7","2018-05-04",29.26
"8","2018-05-07",29.15
"9","2018-05-08",29.92
"10","2018-05-09",30.959999
"11","2018-05-10",31.200001
"12","2018-05-11",30.059999
"13","2018-05-14",30.719999
"14","2018-05-15",30.059999
"15","2018-05-16",29.99
"16","2018-05-17",29.99
"17","2018-05-18",29.969999
"18","2018-05-21",30.5
"19","2018-05-22",31.799999
"20","2018-05-23",29.93
"21","2018-05-24",36.369999
"22","2018-05-25",37.43
"23","2018-05-29",37.869999
"24","2018-05-30",36.990002
"25","2018-05-31",37.150002
"26","2018-06-01",40.84
"27","2018-06-04",40.450001
"28","2018-06-05",38.509998
"29","2018-06-06",40.200001
"30","2018-06-07",38.16
"31","2018-06-08",34.27
"32","2018-06-11",35.599998
"33","2018-06-12",38.110001
"34","2018-06-13",37.66
"35","2018-06-14",39.02
"36","2018-06-15",38.59
"37","2018-06-18",38.419998
"38","2018-06-19",34.580002
"39","2018-06-20",35.700001
"40","2018-06-21",35.169998
"41","2018-06-22",35
"42","2018-06-25",34.990002
"43","2018-06-26",37.310001
"44","2018-06-27",35.73
"45","2018-06-28",33.27
"46","2018-06-29",33.060001
"47","2018-07-02",32.57
"48","2018-07-03",32.860001
"49","2018-07-05",32.5
"50","2018-07-06",31.93
"51","2018-07-09",32.279999
"52","2018-07-10",33.849998
"53","2018-07-11",33.849998
"54","2018-07-12",34.52
"55","2018-07-13",35.209999
"56","2018-07-16",37.41
"57","2018-07-17",40.900002
"58","2018-07-18",40.349998
"59","2018-07-19",39.66
"60","2018-07-20",40.169998
"61","2018-07-23",40.299999
"62","2018-07-24",38.849998
"63","2018-07-25",36.900002
"64","2018-07-26",39.360001
"65","2018-07-27",38.459999
"66","2018-07-30",36.669998
"67","2018-07-31",30.530001
"68","2018-08-01",30.5
"69","2018-08-02",30.48
"70","2018-08-03",30.68
"71","2018-08-06",32.41
"72","2018-08-07",31.469999
"73","2018-08-08",30.16
"74","2018-08-09",32.52
"75","2018-08-10",34.299999
"76","2018-08-13",34.380001
"77","2018-08-14",34.580002
"78","2018-08-15",34.830002
"79","2018-08-16",34.25
"80","2018-08-17",32.509998
"81","2018-08-20",30.82
"82","2018-08-21",29.82
"83","2018-08-22",28.52
"84","2018-08-23",28.9
"85","2018-08-24",29.969999
"86","2018-08-27",31.190001
"87","2018-08-28",30.83
"88","2018-08-29",29.17
"89","2018-08-30",28.959999
"90","2018-08-31",30.809999
"91","2018-09-04",27.99
"92","2018-09-05",28.15
"93","2018-09-06",27.41
"94","2018-09-07",27.040001
"95","2018-09-10",27.540001
"96","2018-09-11",27.110001
"97","2018-09-12",26.860001
"98","2018-09-13",26.719999
"99","2018-09-14",26.059999
"100","2018-09-17",24.15
"101","2018-09-18",24.889999
"102","2018-09-19",24.790001
"103","2018-09-20",24.58
"104","2018-09-21",26.24
"105","2018-09-24",25.25
"106","2018-09-25",24.83
"107","2018-09-26",23.549999
"108","2018-09-27",24.01
"109","2018-09-28",22.209999
"110","2018-10-01",22.190001
"111","2018-10-02",20.799999
"112","2018-10-03",21.889999
"113","2018-10-04",21.440001
"114","2018-10-05",19.280001
"115","2018-10-08",18.559999
"116","2018-10-09",17.91
"117","2018-10-10",17.389999
"118","2018-10-11",17.969999
"119","2018-10-12",19.129999
"120","2018-10-15",18.950001
"121","2018-10-16",19.52
"122","2018-10-17",19.139999
"123","2018-10-18",18.120001
"124","2018-10-19",17.76
"125","2018-10-22",18.559999
"126","2018-10-23",18
"127","2018-10-24",16.764999
"128","2018-10-25",17.01
"129","2018-10-26",17.57
"130","2018-10-29",17.01
"131","2018-10-30",17.73
"132","2018-10-31",17.84
"133","2018-11-01",19.120001
"134","2018-11-02",20.5
"135","2018-11-05",19.299999
"136","2018-11-06",21.959999
"137","2018-11-07",21.25
"138","2018-11-08",20.790001
"139","2018-11-09",20.48
"140","2018-11-12",19.629999
"141","2018-11-13",20.08
"142","2018-11-14",20.280001
"143","2018-11-15",21.07
"144","2018-11-16",19.98
"145","2018-11-19",18.93
"146","2018-11-20",18.610001
"147","2018-11-21",18.610001
"148","2018-11-23",18.940001
"149","2018-11-26",19.23
"150","2018-11-27",19.26
"151","2018-11-28",19.84
"152","2018-11-29",19.32
"153","2018-11-30",19.1
"154","2018-12-03",19.950001
"155","2018-12-04",20
"156","2018-12-06",19.68
"157","2018-12-07",19.110001
"158","2018-12-10",20.35
"159","2018-12-11",19.73
"160","2018-12-12",19.540001
"161","2018-12-13",19.09
"162","2018-12-14",17.110001
"163","2018-12-17",17.110001
"164","2018-12-18",17.110001
"165","2018-12-19",16.75
"166","2018-12-20",16.92
"167","2018-12-21",16.719999
"168","2018-12-24",16.620001
"169","2018-12-26",17.57
"170","2018-12-27",17.41
"171","2018-12-28",17.67
"172","2018-12-31",17.780001
"173","2019-01-02",18.23
"174","2019-01-03",16.709999
"175","2019-01-04",17.17
"176","2019-01-07",17.25
"177","2019-01-08",17.610001
"178","2019-01-09",18.25
"179","2019-01-10",17.34
"180","2019-01-11",17.68
"181","2019-01-14",17.440001
"182","2019-01-15",17.870001
"183","2019-01-16",18.93
"184","2019-01-17",18.49
"185","2019-01-18",19.379999
"186","2019-01-22",18.58
"187","2019-01-23",18.09
"188","2019-01-24",18.83
"189","2019-01-25",19.459999
"190","2019-01-28",19.17
"191","2019-01-29",19.26
"192","2019-01-30",18.74
"193","2019-01-31",19.549999
"194","2019-02-01",19.9
"195","2019-02-04",19.51
"196","2019-02-05",19.83
"197","2019-02-06",19.74
"198","2019-02-07",19.83
"199","2019-02-08",19.059999
"200","2019-02-11",19.280001
"201","2019-02-12",20.610001
"202","2019-02-13",20.99
"203","2019-02-14",20.82
"204","2019-02-15",21.690001
"205","2019-02-19",21.51
"206","2019-02-20",21.780001
"207","2019-02-21",21.309999
"208","2019-02-22",21
"209","2019-02-25",22.85
"210","2019-02-26",22.450001
"211","2019-02-27",21.1
"212","2019-02-28",21.389999
"213","2019-03-01",21.440001
"214","2019-03-04",22.110001
"215","2019-03-05",21.85
"216","2019-03-06",21.66
"217","2019-03-07",20.73
"218","2019-03-08",20.51
"219","2019-03-11",21.209999
"220","2019-03-12",21.26
"221","2019-03-13",21.48
"222","2019-03-14",20.92
"223","2019-03-15",22.110001
"224","2019-03-18",22.26
"225","2019-03-19",22.5
"226","2019-03-20",22.5
"227","2019-03-21",23.110001
"228","2019-03-22",22.389999
"229","2019-03-25",20.790001
"230","2019-03-26",21.27
"231","2019-03-27",21.809999
"232","2019-03-28",22
"233","2019-03-29",22.280001
"234","2019-04-01",22.860001
"235","2019-04-02",23.1
"236","2019-04-03",23.549999
"237","2019-04-04",24.02
"238","2019-04-05",24.85
"239","2019-04-08",24.6
"240","2019-04-09",23.98
"241","2019-04-10",24.040001
"242","2019-04-11",23.219999
"243","2019-04-12",23.49
"244","2019-04-15",23.969999
"245","2019-04-16",24.48
"246","2019-04-17",24.27
"247","2019-04-18",24.469999
"248","2019-04-22",24.799999
"249","2019-04-23",25.059999
"250","2019-04-24",25.23
"251","2019-04-25",25.5
"252","2019-04-26",26.02
"253","2019-04-29",25.9
"254","2019-04-30",26.129999
"255","2019-05-01",26.209999
"256","2019-05-02",25.74
"257","2019-05-03",26.700001
"258","2019-05-06",25.83
"259","2019-05-07",25.709999
"260","2019-05-08",24.139999
"261","2019-05-09",24.950001
"262","2019-05-10",25.030001
"263","2019-05-13",22.49
"264","2019-05-14",23.370001
