"","date","LBC"
"1","2017-12-08",11.75
"2","2017-12-11",12.06
"3","2017-12-12",11.82
"4","2017-12-13",12.01
"5","2017-12-14",12
"6","2017-12-15",11.92
"7","2017-12-18",12.06
"8","2017-12-19",12.09
"9","2017-12-20",12.25
"10","2017-12-21",12.26
"11","2017-12-22",12.06
"12","2017-12-26",12.1
"13","2017-12-27",12.24
"14","2017-12-28",11.99
"15","2017-12-29",12.04
"16","2018-01-02",12.18
"17","2018-01-03",12.16
"18","2018-01-04",12.06
"19","2018-01-05",11.99
"20","2018-01-08",12
"21","2018-01-09",11.96
"22","2018-01-10",12.2
"23","2018-01-11",12.39
"24","2018-01-12",12.36
"25","2018-01-16",12.33
"26","2018-01-17",12.55
"27","2018-01-18",12.49
"28","2018-01-19",12.5
"29","2018-01-22",12.75
"30","2018-01-23",12.79
"31","2018-01-24",12.58
"32","2018-01-25",12.77
"33","2018-01-26",12.92
"34","2018-01-29",12.98
"35","2018-01-30",12.95
"36","2018-01-31",12.8
"37","2018-02-01",12.89
"38","2018-02-02",12.79
"39","2018-02-05",12.65
"40","2018-02-06",12.76
"41","2018-02-07",12.98
"42","2018-02-08",12.79
"43","2018-02-09",12.8
"44","2018-02-12",12.93
"45","2018-02-13",12.85
"46","2018-02-14",12.9
"47","2018-02-15",12.66
"48","2018-02-16",12.82
"49","2018-02-20",12.81
"50","2018-02-21",13.5
"51","2018-02-22",13.03
"52","2018-02-23",13.14
"53","2018-02-26",13.13
"54","2018-02-27",12.94
"55","2018-02-28",12.79
"56","2018-03-01",12.92
"57","2018-03-02",13.12
"58","2018-03-05",13.15
"59","2018-03-06",13.24
"60","2018-03-07",13.1
"61","2018-03-08",13.15
"62","2018-03-09",12.81
"63","2018-03-12",13.05
"64","2018-03-13",12.41
"65","2018-03-14",12.55
"66","2018-03-15",12.81
"67","2018-03-16",12.83
"68","2018-03-19",12.69
"69","2018-03-20",12.85
"70","2018-03-21",13
"71","2018-03-22",12.85
"72","2018-03-23",12.29
"73","2018-03-26",12.18
"74","2018-03-27",11.83
"75","2018-03-28",11.91
"76","2018-03-29",12.01
"77","2018-04-02",11.81
"78","2018-04-03",12.17
"79","2018-04-04",12.09
"80","2018-04-05",12.22
"81","2018-04-06",11.86
"82","2018-04-09",11.49
"83","2018-04-10",11.47
"84","2018-04-11",11.44
"85","2018-04-12",11.73
"86","2018-04-13",11.7
"87","2018-04-16",11.84
"88","2018-04-17",11.96
"89","2018-04-18",11.63
"90","2018-04-19",12.09
"91","2018-04-20",11.93
"92","2018-04-23",11.76
"93","2018-04-24",11.54
"94","2018-04-25",11.54
"95","2018-04-26",11.71
"96","2018-04-27",12
"97","2018-04-30",12.46
"98","2018-05-01",12.53
"99","2018-05-02",12.65
"100","2018-05-03",12.6
"101","2018-05-04",12.65
"102","2018-05-07",12.6
"103","2018-05-08",12.7
"104","2018-05-09",12.94
"105","2018-05-10",12.99
"106","2018-05-11",12.85
"107","2018-05-14",12.05
"108","2018-05-15",12.4
"109","2018-05-16",12.79
"110","2018-05-17",12.92
"111","2018-05-18",12.75
"112","2018-05-21",12.77
"113","2018-05-22",12.71
"114","2018-05-23",12.69
"115","2018-05-24",12.43
"116","2018-05-25",12.35
"117","2018-05-29",12.14
"118","2018-05-30",12.21
"119","2018-05-31",12.25
"120","2018-06-01",12.55
"121","2018-06-04",12.68
"122","2018-06-05",12.7
"123","2018-06-06",12.8
"124","2018-06-07",12.61
"125","2018-06-08",12.75
"126","2018-06-11",12.79
"127","2018-06-12",12.81
"128","2018-06-13",12.75
"129","2018-06-14",12.55
"130","2018-06-15",12.44
"131","2018-06-18",12.46
"132","2018-06-19",12.38
"133","2018-06-20",12.44
"134","2018-06-21",12.45
"135","2018-06-22",12.32
"136","2018-06-25",12.3
"137","2018-06-26",12.29
"138","2018-06-27",11.95
"139","2018-06-28",11.69
"140","2018-06-29",11.505
"141","2018-07-02",11.62
"142","2018-07-03",11.51
"143","2018-07-05",11.67
"144","2018-07-06",11.8
"145","2018-07-09",11.93
"146","2018-07-10",11.91
"147","2018-07-11",11.8
"148","2018-07-12",11.81
"149","2018-07-13",11.53
"150","2018-07-16",11.53
"151","2018-07-17",11.47
"152","2018-07-18",11.51
"153","2018-07-19",11.47
"154","2018-07-20",11.44
"155","2018-07-23",11.47
"156","2018-07-24",11.34
"157","2018-07-25",11.09
"158","2018-07-26",11.25
"159","2018-07-27",10.76
"160","2018-07-30",10.8
"161","2018-07-31",10.88
"162","2018-08-01",10.69
"163","2018-08-02",10.99
"164","2018-08-03",10.65
"165","2018-08-06",10.68
"166","2018-08-07",10.58
"167","2018-08-08",10.61
"168","2018-08-09",10.64
"169","2018-08-10",10.61
"170","2018-08-13",10.8
"171","2018-08-14",10.97
"172","2018-08-15",11
"173","2018-08-16",10.86
"174","2018-08-17",10.95
"175","2018-08-20",10.94
"176","2018-08-21",11.11
"177","2018-08-22",11.14
"178","2018-08-23",11.05
"179","2018-08-24",10.99
"180","2018-08-27",10.97
"181","2018-08-28",11.12
"182","2018-08-29",11.15
"183","2018-08-30",11.36
"184","2018-08-31",11.4
"185","2018-09-04",11.65
"186","2018-09-05",11.69
"187","2018-09-06",11.81
"188","2018-09-07",11.95
"189","2018-09-10",12.3
"190","2018-09-11",12.22
"191","2018-09-12",11.67
"192","2018-09-13",11.36
"193","2018-09-14",11.45
"194","2018-09-17",11.18
"195","2018-09-18",11.15
"196","2018-09-19",11.27
"197","2018-09-20",11.56
"198","2018-09-21",11.24
"199","2018-09-24",10.98
"200","2018-09-25",10.9
"201","2018-09-26",10.89
"202","2018-09-27",10.92
"203","2018-09-28",10.88
"204","2018-10-01",10.88
"205","2018-10-02",10.91
"206","2018-10-03",11.03
"207","2018-10-04",10.89
"208","2018-10-05",10.82
"209","2018-10-08",10.92
"210","2018-10-09",10.76
"211","2018-10-10",10.55
"212","2018-10-11",10.25
"213","2018-10-12",9.93
"214","2018-10-15",10.02
"215","2018-10-16",10.16
"216","2018-10-17",10.14
"217","2018-10-18",9.85
"218","2018-10-19",9.81
"219","2018-10-22",9.55
"220","2018-10-23",9.7
"221","2018-10-24",9.3
"222","2018-10-25",9.3
"223","2018-10-26",9.81
"224","2018-10-29",10.02
"225","2018-10-30",9.87
"226","2018-10-31",9.67
"227","2018-11-01",9.7
"228","2018-11-02",9.57
"229","2018-11-05",9.51
"230","2018-11-06",9.49
"231","2018-11-07",9.73
"232","2018-11-08",9.72
"233","2018-11-09",9.67
"234","2018-11-12",9.82
"235","2018-11-13",9.89
"236","2018-11-14",9.69
"237","2018-11-15",9.86
"238","2018-11-16",9.77
"239","2018-11-19",9.84
"240","2018-11-20",10.02
"241","2018-11-21",9.82
"242","2018-11-23",9.73
"243","2018-11-26",10.56
"244","2018-11-27",10.49
"245","2018-11-28",10.49
"246","2018-11-29",10.49
"247","2018-11-30",10.4
"248","2018-12-03",10.41
"249","2018-12-04",9.88
"250","2018-12-06",10.04
"251","2018-12-07",9.8
"252","2018-12-10",9.8
"253","2018-12-11",9.39
"254","2018-12-12",9.15
"255","2018-12-13",8.99
"256","2018-12-14",8.94
"257","2018-12-17",9.02
"258","2018-12-18",8.92
"259","2018-12-19",8.3
"260","2018-12-20",8.34
"261","2018-12-21",8.09
"262","2018-12-24",8.12
"263","2018-12-26",8.44
"264","2018-12-27",8.41
"265","2018-12-28",8.92
"266","2018-12-31",9.02
"267","2019-01-02",9.18
"268","2019-01-03",9.21
"269","2019-01-04",9.51
"270","2019-01-07",9.6
"271","2019-01-08",9.68
"272","2019-01-09",9.72
"273","2019-01-10",9.66
"274","2019-01-11",9.72
"275","2019-01-14",9.61
"276","2019-01-15",9.5
"277","2019-01-16",9.66
"278","2019-01-17",9.76
"279","2019-01-18",9.96
"280","2019-01-22",9.72
"281","2019-01-23",9.58
"282","2019-01-24",9.79
"283","2019-01-25",10.01
"284","2019-01-28",9.97
"285","2019-01-29",9.56
"286","2019-01-30",9.48
"287","2019-01-31",9.45
"288","2019-02-01",9.51
"289","2019-02-04",9.72
"290","2019-02-05",9.69
"291","2019-02-06",9.81
"292","2019-02-07",9.75
"293","2019-02-08",9.72
"294","2019-02-11",9.9
"295","2019-02-12",10.16
"296","2019-02-13",10.37
"297","2019-02-14",10.41
"298","2019-02-15",10.42
"299","2019-02-19",10.55
"300","2019-02-20",10.59
"301","2019-02-21",10.6
"302","2019-02-22",10.65
"303","2019-02-25",10.72
"304","2019-02-26",10.57
"305","2019-02-27",10.4
"306","2019-02-28",10.46
"307","2019-03-01",10.47
"308","2019-03-04",10.32
"309","2019-03-05",10.42
"310","2019-03-06",10.26
"311","2019-03-07",10.17
"312","2019-03-08",10.07
"313","2019-03-11",10.09
"314","2019-03-12",10.11
"315","2019-03-13",10.1
"316","2019-03-14",10.23
"317","2019-03-15",10.36
"318","2019-03-18",10.42
"319","2019-03-19",10.22
"320","2019-03-20",10.13
"321","2019-03-21",10
"322","2019-03-22",9.74
"323","2019-03-25",9.88
"324","2019-03-26",9.98
"325","2019-03-27",9.97
"326","2019-03-28",9.99
"327","2019-03-29",10.1
"328","2019-04-01",10.39
"329","2019-04-02",10.45
"330","2019-04-03",10.57
"331","2019-04-04",10.62
"332","2019-04-05",10.76
"333","2019-04-08",10.78
"334","2019-04-09",10.57
"335","2019-04-10",10.78
"336","2019-04-11",10.69
"337","2019-04-12",10.72
"338","2019-04-15",10.6
"339","2019-04-16",10.79
"340","2019-04-17",10.78
"341","2019-04-18",10.64
"342","2019-04-22",10.51
"343","2019-04-23",10.58
"344","2019-04-24",10.75
"345","2019-04-25",10.54
"346","2019-04-26",10.57
"347","2019-04-29",10.71
"348","2019-04-30",10.53
"349","2019-05-01",10.44
"350","2019-05-02",10.48
"351","2019-05-03",10.5
"352","2019-05-06",10.35
"353","2019-05-07",10.4
"354","2019-05-08",10.39
"355","2019-05-09",10.4
"356","2019-05-10",10.37
"357","2019-05-13",10.32
"358","2019-05-14",10.27
"359","2019-05-15",10.2
"360","2019-05-16",10.15
"361","2019-05-17",10.14
"362","2019-05-20",10.24
"363","2019-05-21",10.2
"364","2019-05-22",10.1
"365","2019-05-23",10.01
"366","2019-05-24",10.14
"367","2019-05-28",10.13
"368","2019-05-29",10.11
"369","2019-05-30",10.05
"370","2019-05-31",9.95
"371","2019-06-03",10.17
"372","2019-06-04",10.28
"373","2019-06-05",10.26
"374","2019-06-06",10.27
"375","2019-06-07",10.35
"376","2019-06-10",10.24
"377","2019-06-11",10.3
"378","2019-06-12",10.39
"379","2019-06-13",10.42
"380","2019-06-14",10.59
"381","2019-06-17",10.43
"382","2019-06-18",10.49
"383","2019-06-19",10.35
"384","2019-06-20",10.25
"385","2019-06-21",10.39
"386","2019-06-24",10.33
"387","2019-06-25",10.48
"388","2019-06-26",10.35
"389","2019-06-27",10.76
"390","2019-06-28",10.89
"391","2019-07-01",11.07
"392","2019-07-02",11.05
"393","2019-07-03",11.07
"394","2019-07-05",11.27
"395","2019-07-08",11.15
"396","2019-07-09",11.21
"397","2019-07-10",11.14
"398","2019-07-11",11.02
"399","2019-07-12",11.2
"400","2019-07-15",11.11
"401","2019-07-16",10.96
"402","2019-07-17",10.74
"403","2019-07-18",10.82
"404","2019-07-19",10.89
"405","2019-07-22",10.84
"406","2019-07-23",10.93
"407","2019-07-24",11.11
"408","2019-07-25",11.01
"409","2019-07-26",11.21
"410","2019-07-29",11.11
"411","2019-07-30",11.28
"412","2019-07-31",11.16
"413","2019-08-01",10.89
"414","2019-08-02",10.72
"415","2019-08-05",10.37
"416","2019-08-06",10.45
"417","2019-08-07",10.32
"418","2019-08-08",10.54
"419","2019-08-09",10.47
"420","2019-08-12",10.53
"421","2019-08-13",10.51
"422","2019-08-14",10.33
"423","2019-08-15",10.2
"424","2019-08-16",10.77
"425","2019-08-19",10.65
"426","2019-08-20",10.7
"427","2019-08-21",10.63
"428","2019-08-22",10.6
"429","2019-08-23",10.46
"430","2019-08-26",10.65
"431","2019-08-27",10.43
"432","2019-08-28",10.53
"433","2019-08-29",10.53
"434","2019-08-30",10.46
"435","2019-09-03",10.32
"436","2019-09-04",10.39
"437","2019-09-05",10.63
"438","2019-09-06",10.62
"439","2019-09-09",10.8
"440","2019-09-10",11.04
"441","2019-09-11",11.3
"442","2019-09-12",11.52
"443","2019-09-13",11.55
"444","2019-09-16",11.41
"445","2019-09-17",11.29
"446","2019-09-18",11.43
"447","2019-09-19",11.31
"448","2019-09-20",11.42
"449","2019-09-23",11.49
"450","2019-09-24",11.39
"451","2019-09-25",11.47
"452","2019-09-26",11.35
"453","2019-09-27",11.2
"454","2019-09-30",11.33
"455","2019-10-01",11.09
"456","2019-10-02",10.93
"457","2019-10-03",10.85
"458","2019-10-04",10.78
"459","2019-10-07",10.78
"460","2019-10-08",10.78
"461","2019-10-09",10.82
"462","2019-10-10",10.79
"463","2019-10-11",11.06
"464","2019-10-14",10.9
"465","2019-10-15",11
"466","2019-10-16",11.02
"467","2019-10-17",11.02
"468","2019-10-18",10.96
"469","2019-10-21",11.11
"470","2019-10-22",11.09
"471","2019-10-23",11
"472","2019-10-24",11.14
"473","2019-10-25",11.45
"474","2019-10-28",11.89
"475","2019-10-29",11.79
"476","2019-10-30",11.65
"477","2019-10-31",11.57
"478","2019-11-01",11.66
"479","2019-11-04",11.73
"480","2019-11-05",11.79
"481","2019-11-06",11.84
"482","2019-11-07",11.83
"483","2019-11-08",11.77
"484","2019-11-11",11.8
"485","2019-11-12",11.76
"486","2019-11-13",11.69
"487","2019-11-14",11.72
"488","2019-11-15",11.68
"489","2019-11-18",11.65
"490","2019-11-19",11.65
"491","2019-11-20",11.63
"492","2019-11-21",11.53
"493","2019-11-22",11.45
"494","2019-11-25",11.54
"495","2019-11-26",11.56
"496","2019-11-27",11.61
"497","2019-11-29",11.56
"498","2019-12-02",11.37
"499","2019-12-03",11.24
"500","2019-12-04",11.25
"501","2019-12-05",11.23
"502","2019-12-06",11.24
"503","2019-12-09",11.1
"504","2019-12-10",11.1
"505","2019-12-11",11.45
"506","2019-12-12",11.5
"507","2019-12-13",11.5
"508","2019-12-16",11.35
"509","2019-12-17",11.43
"510","2019-12-18",11.43
"511","2019-12-19",11.49
"512","2019-12-20",11.44
"513","2019-12-23",11.67
"514","2019-12-24",11.66
"515","2019-12-26",11.5
"516","2019-12-27",11.54
"517","2019-12-30",11.51
"518","2019-12-31",11.53
"519","2020-01-02",11.62
"520","2020-01-03",11.61
"521","2020-01-06",11.69
"522","2020-01-07",11.58
"523","2020-01-08",11.66
"524","2020-01-09",11.61
"525","2020-01-10",11.7
"526","2020-01-13",11.79
"527","2020-01-14",11.75
"528","2020-01-15",11.54
"529","2020-01-16",11.76
"530","2020-01-17",11.5
"531","2020-01-21",11.6
"532","2020-01-22",11.78
"533","2020-01-23",11.84
"534","2020-01-24",11.74
"535","2020-01-27",11.68
"536","2020-01-28",11.73
"537","2020-01-29",10.78
"538","2020-01-30",10.7
"539","2020-01-31",10.31
"540","2020-02-03",11.06
"541","2020-02-04",10.85
"542","2020-02-05",10.97
"543","2020-02-06",10.91
"544","2020-02-07",10.92
"545","2020-02-10",11.01
"546","2020-02-11",10.91
"547","2020-02-12",10.99
"548","2020-02-13",10.98
"549","2020-02-14",10.86
"550","2020-02-18",10.84
"551","2020-02-19",10.93
"552","2020-02-20",10.9
"553","2020-02-21",10.87
"554","2020-02-24",10.66
"555","2020-02-25",10.62
"556","2020-02-26",10.74
"557","2020-02-27",10.46
"558","2020-02-28",10.43
"559","2020-03-02",10.7
"560","2020-03-03",10.25
"561","2020-03-04",10.21
"562","2020-03-05",10.01
"563","2020-03-06",10.12
"564","2020-03-09",9.47
"565","2020-03-10",9.21
"566","2020-03-11",8.62
"567","2020-03-12",8.07
"568","2020-03-13",8.61
"569","2020-03-16",8.18
"570","2020-03-17",8.86
"571","2020-03-18",7.79
"572","2020-03-19",8.09
"573","2020-03-20",7.53
"574","2020-03-23",7.85
"575","2020-03-24",8.62
"576","2020-03-25",8.92
"577","2020-03-26",9.19
"578","2020-03-27",8.59
"579","2020-03-30",8.96
"580","2020-03-31",9.17
"581","2020-04-01",8.26
"582","2020-04-02",9.26
"583","2020-04-03",8.96
"584","2020-04-06",8.75
"585","2020-04-07",8.75
"586","2020-04-08",9.36
"587","2020-04-09",10.53
"588","2020-04-13",9.27
"589","2020-04-14",9.16
"590","2020-04-15",8.5
"591","2020-04-16",8.65
"592","2020-04-17",9.68
"593","2020-04-20",9.45
"594","2020-04-21",9.44
"595","2020-04-22",9.41
"596","2020-04-23",9.67
"597","2020-04-24",9.71
"598","2020-04-27",9.95
"599","2020-04-28",10.52
"600","2020-04-29",11.02
"601","2020-04-30",10.76
"602","2020-05-01",10.57
"603","2020-05-04",9.62
"604","2020-05-05",9.01
"605","2020-05-06",9.2
"606","2020-05-07",9.21
"607","2020-05-08",9.49
"608","2020-05-11",9.3
"609","2020-05-12",9.09
"610","2020-05-13",8.69
"611","2020-05-14",8.54
"612","2020-05-15",8.77
"613","2020-05-18",9.68
"614","2020-05-19",9.24
"615","2020-05-20",9.7
"616","2020-05-21",9.94
"617","2020-05-22",10.17
"618","2020-05-26",10.57
"619","2020-05-27",11.15
"620","2020-05-28",10.54
"621","2020-05-29",10.28
"622","2020-06-01",10.11
"623","2020-06-02",9.93
"624","2020-06-03",10.26
"625","2020-06-04",10.4
"626","2020-06-05",11.01
"627","2020-06-08",11
"628","2020-06-09",11.01
"629","2020-06-10",10.37
"630","2020-06-11",9.33
"631","2020-06-12",9.63
"632","2020-06-15",9.5
"633","2020-06-16",9.74
"634","2020-06-17",9.26
"635","2020-06-18",9.19
"636","2020-06-19",9.18
"637","2020-06-22",9.1
"638","2020-06-23",9.1
"639","2020-06-24",8.81
"640","2020-06-25",9.31
"641","2020-06-26",9.65
"642","2020-06-29",9.65
"643","2020-06-30",10
"644","2020-07-01",9.48
"645","2020-07-02",9.43
"646","2020-07-06",9.45
"647","2020-07-07",9.09
"648","2020-07-08",9.07
"649","2020-07-09",8.85
"650","2020-07-10",9.22
"651","2020-07-13",9.34
"652","2020-07-14",9.37
"653","2020-07-15",9.76
"654","2020-07-16",9.73
"655","2020-07-17",9.59
"656","2020-07-20",9.43
"657","2020-07-21",9.9
"658","2020-07-22",9.72
"659","2020-07-23",9.8
"660","2020-07-24",9.64
"661","2020-07-27",9.41
"662","2020-07-28",9.33
"663","2020-07-29",9.65
"664","2020-07-30",9.71
"665","2020-07-31",9.57
"666","2020-08-03",9.66
"667","2020-08-04",9.675
"668","2020-08-05",9.77
"669","2020-08-06",9.76
"670","2020-08-07",10.2
"671","2020-08-10",10.51
"672","2020-08-11",10.48
"673","2020-08-12",10.55
"674","2020-08-13",10.14
"675","2020-08-14",10.09
"676","2020-08-17",9.98
"677","2020-08-18",9.66
"678","2020-08-19",9.56
"679","2020-08-20",9.45
"680","2020-08-21",9.14
"681","2020-08-24",9.4
"682","2020-08-25",9.42
"683","2020-08-26",9.25
"684","2020-08-27",9.26
"685","2020-08-28",9.4
"686","2020-08-31",9.29
"687","2020-09-01",9.33
"688","2020-09-02",9.31
"689","2020-09-03",9.26
"690","2020-09-04",9.3
"691","2020-09-08",9.27
"692","2020-09-09",9.18
"693","2020-09-10",9.08
"694","2020-09-11",9
"695","2020-09-14",9.14
"696","2020-09-15",9.04
"697","2020-09-16",9.09
"698","2020-09-17",9.05
"699","2020-09-18",8.77
"700","2020-09-21",8.28
"701","2020-09-22",8.085
"702","2020-09-23",7.89
"703","2020-09-24",7.75
"704","2020-09-25",8.01
