"","date","LEDS"
"1","2010-12-09",257.600006
"2","2010-12-10",252.5
"3","2010-12-13",249.800003
"4","2010-12-14",243.699997
"5","2010-12-15",244
"6","2010-12-16",262
"7","2010-12-17",255
"8","2010-12-20",261
"9","2010-12-21",304.200012
"10","2010-12-22",288
"11","2010-12-23",295
"12","2010-12-27",294.100006
"13","2010-12-28",293.799988
"14","2010-12-29",288.399994
"15","2010-12-30",290.100006
"16","2010-12-31",290.5
"17","2011-01-03",277.5
"18","2011-01-04",280.600006
"19","2011-01-05",280.899994
"20","2011-01-06",280
"21","2011-01-07",278.899994
"22","2011-01-10",282.5
"23","2011-01-11",284
"24","2011-01-12",286.299988
"25","2011-01-13",187.600006
"26","2011-01-14",177.199997
"27","2011-01-18",179.100006
"28","2011-01-19",188.100006
"29","2011-01-20",190
"30","2011-01-21",184.699997
"31","2011-01-24",184.800003
"32","2011-01-25",178.100006
"33","2011-01-26",179.5
"34","2011-01-27",182.800003
"35","2011-01-28",182.600006
"36","2011-01-31",180.800003
"37","2011-02-01",180.199997
"38","2011-02-02",178.399994
"39","2011-02-03",179.300003
"40","2011-02-04",179.399994
"41","2011-02-07",178.800003
"42","2011-02-08",178.699997
"43","2011-02-09",175.800003
"44","2011-02-10",175.899994
"45","2011-02-11",174.399994
"46","2011-02-14",174.600006
"47","2011-02-15",174
"48","2011-02-16",176.100006
"49","2011-02-17",178
"50","2011-02-18",176
"51","2011-02-22",173.5
"52","2011-02-23",159.600006
"53","2011-02-24",154.899994
"54","2011-02-25",158.699997
"55","2011-02-28",156.5
"56","2011-03-01",153
"57","2011-03-02",154.699997
"58","2011-03-03",155.899994
"59","2011-03-04",157.600006
"60","2011-03-07",154.300003
"61","2011-03-08",152.800003
"62","2011-03-09",151.399994
"63","2011-03-10",156.100006
"64","2011-03-11",161
"65","2011-03-14",165
"66","2011-03-15",163.5
"67","2011-03-16",162
"68","2011-03-17",159.899994
"69","2011-03-18",162
"70","2011-03-21",162.100006
"71","2011-03-22",164.899994
"72","2011-03-23",160.5
"73","2011-03-24",159
"74","2011-03-25",154.5
"75","2011-03-28",151.699997
"76","2011-03-29",157.5
"77","2011-03-30",152.899994
"78","2011-03-31",156.100006
"79","2011-04-01",150.600006
"80","2011-04-04",144.600006
"81","2011-04-05",119.599998
"82","2011-04-06",119.900002
"83","2011-04-07",120
"84","2011-04-08",119.800003
"85","2011-04-11",116.599998
"86","2011-04-12",114.099998
"87","2011-04-13",110.300003
"88","2011-04-14",108.800003
"89","2011-04-15",105
"90","2011-04-18",105
"91","2011-04-19",104.599998
"92","2011-04-20",108.800003
"93","2011-04-21",108.699997
"94","2011-04-25",106.5
"95","2011-04-26",112.199997
"96","2011-04-27",112.5
"97","2011-04-28",113.699997
"98","2011-04-29",113.699997
"99","2011-05-02",111.300003
"100","2011-05-03",109.699997
"101","2011-05-04",110
"102","2011-05-05",110.199997
"103","2011-05-06",109.599998
"104","2011-05-09",107.5
"105","2011-05-10",111.099998
"106","2011-05-11",110.599998
"107","2011-05-12",111.900002
"108","2011-05-13",111.599998
"109","2011-05-16",107.599998
"110","2011-05-17",105.5
"111","2011-05-18",105.099998
"112","2011-05-19",105
"113","2011-05-20",102.400002
"114","2011-05-23",100
"115","2011-05-24",99.800003
"116","2011-05-25",95.5
"117","2011-05-26",88.900002
"118","2011-05-27",87
"119","2011-05-31",83.900002
"120","2011-06-01",85
"121","2011-06-02",82.699997
"122","2011-06-03",79.900002
"123","2011-06-06",73.599998
"124","2011-06-07",76.699997
"125","2011-06-08",74.800003
"126","2011-06-09",71.5
"127","2011-06-10",73.599998
"128","2011-06-13",73.5
"129","2011-06-14",80.900002
"130","2011-06-15",78.599998
"131","2011-06-16",77
"132","2011-06-17",74.900002
"133","2011-06-20",71.900002
"134","2011-06-21",70.800003
"135","2011-06-22",78.800003
"136","2011-06-23",78.699997
"137","2011-06-24",75.099998
"138","2011-06-27",69.699997
"139","2011-06-28",65.199997
"140","2011-06-29",64.099998
"141","2011-06-30",64.5
"142","2011-07-01",65.5
"143","2011-07-05",62
"144","2011-07-06",60.799999
"145","2011-07-07",62
"146","2011-07-08",67.300003
"147","2011-07-11",65.800003
"148","2011-07-12",58.700001
"149","2011-07-13",55.099998
"150","2011-07-14",52.799999
"151","2011-07-15",52.400002
"152","2011-07-18",49.900002
"153","2011-07-19",56
"154","2011-07-20",51.299999
"155","2011-07-21",52.700001
"156","2011-07-22",53.299999
"157","2011-07-25",51.900002
"158","2011-07-26",50.900002
"159","2011-07-27",50.799999
"160","2011-07-28",52.700001
"161","2011-07-29",54.200001
"162","2011-08-01",51.599998
"163","2011-08-02",50.599998
"164","2011-08-03",50.400002
"165","2011-08-04",49
"166","2011-08-05",45.700001
"167","2011-08-08",42.299999
"168","2011-08-09",44.200001
"169","2011-08-10",46
"170","2011-08-11",49.5
"171","2011-08-12",47.5
"172","2011-08-15",48.900002
"173","2011-08-16",47.099998
"174","2011-08-17",45.900002
"175","2011-08-18",44.5
"176","2011-08-19",43.599998
"177","2011-08-22",42.299999
"178","2011-08-23",44.799999
"179","2011-08-24",43.700001
"180","2011-08-25",43.099998
"181","2011-08-26",44
"182","2011-08-29",49.299999
"183","2011-08-30",50
"184","2011-08-31",51.299999
"185","2011-09-01",51.099998
"186","2011-09-02",51.299999
"187","2011-09-06",49.200001
"188","2011-09-07",52.799999
"189","2011-09-08",51.099998
"190","2011-09-09",51.099998
"191","2011-09-12",48.400002
"192","2011-09-13",49.599998
"193","2011-09-14",50.299999
"194","2011-09-15",48.200001
"195","2011-09-16",46.200001
"196","2011-09-19",45.099998
"197","2011-09-20",45.5
"198","2011-09-21",43.299999
"199","2011-09-22",42.400002
"200","2011-09-23",42.099998
"201","2011-09-26",40.299999
"202","2011-09-27",40.099998
"203","2011-09-28",40
"204","2011-09-29",38.599998
"205","2011-09-30",38.200001
"206","2011-10-03",36.799999
"207","2011-10-04",36.900002
"208","2011-10-05",36.900002
"209","2011-10-06",37.200001
"210","2011-10-07",35.900002
"211","2011-10-10",38.900002
"212","2011-10-11",40.599998
"213","2011-10-12",41.5
"214","2011-10-13",39.799999
"215","2011-10-14",40.400002
"216","2011-10-17",38.200001
"217","2011-10-18",37.700001
"218","2011-10-19",36.200001
"219","2011-10-20",35.799999
"220","2011-10-21",35.900002
"221","2011-10-24",35.299999
"222","2011-10-25",33.599998
"223","2011-10-26",34
"224","2011-10-27",35.099998
"225","2011-10-28",34.099998
"226","2011-10-31",33
"227","2011-11-01",29.9
"228","2011-11-02",29.6
"229","2011-11-03",29.6
"230","2011-11-04",38.900002
"231","2011-11-07",38.5
"232","2011-11-08",38.200001
"233","2011-11-09",38.099998
"234","2011-11-10",37.099998
"235","2011-11-11",39.599998
"236","2011-11-14",39.900002
"237","2011-11-15",39.099998
"238","2011-11-16",38
"239","2011-11-17",37.599998
"240","2011-11-18",36.299999
"241","2011-11-21",35.200001
"242","2011-11-22",33.799999
"243","2011-11-23",31.9
"244","2011-11-25",31.4
"245","2011-11-28",31.299999
"246","2011-11-29",30.1
"247","2011-11-30",30.700001
"248","2011-12-01",29.6
"249","2011-12-02",30
"250","2011-12-05",30.700001
"251","2011-12-06",30
"252","2011-12-07",30.1
"253","2011-12-08",29.4
"254","2011-12-09",30.299999
"255","2011-12-12",30.200001
"256","2011-12-13",29.700001
"257","2011-12-14",29.1
"258","2011-12-15",28.299999
"259","2011-12-16",28.4
"260","2011-12-19",28.299999
"261","2011-12-20",28.9
"262","2011-12-21",32.799999
"263","2011-12-22",33.099998
"264","2011-12-23",32.799999
"265","2011-12-27",32.200001
"266","2011-12-28",38.299999
"267","2011-12-29",37.099998
"268","2011-12-30",34.099998
"269","2012-01-03",35.5
"270","2012-01-04",34
"271","2012-01-05",34
"272","2012-01-06",35.900002
"273","2012-01-09",34.400002
"274","2012-01-10",35.099998
"275","2012-01-11",36.5
"276","2012-01-12",36
"277","2012-01-13",34.200001
"278","2012-01-17",33.799999
"279","2012-01-18",33.5
"280","2012-01-19",34.400002
"281","2012-01-20",34.900002
"282","2012-01-23",34.799999
"283","2012-01-24",34
"284","2012-01-25",32.200001
"285","2012-01-26",31.4
"286","2012-01-27",32.700001
"287","2012-01-30",31
"288","2012-01-31",30.1
"289","2012-02-01",30.299999
"290","2012-02-02",31.700001
"291","2012-02-03",32.299999
"292","2012-02-06",32.700001
"293","2012-02-07",32.200001
"294","2012-02-08",32.5
"295","2012-02-09",33.5
"296","2012-02-10",34.799999
"297","2012-02-13",35
"298","2012-02-14",35
"299","2012-02-15",35.200001
"300","2012-02-16",35.400002
"301","2012-02-17",35.299999
"302","2012-02-21",37.900002
"303","2012-02-22",37.700001
"304","2012-02-23",38.400002
"305","2012-02-24",37.5
"306","2012-02-27",37.700001
"307","2012-02-28",41.599998
"308","2012-02-29",42.799999
"309","2012-03-01",45.799999
"310","2012-03-02",47.200001
"311","2012-03-05",42.400002
"312","2012-03-06",39
"313","2012-03-07",38.900002
"314","2012-03-08",40.900002
"315","2012-03-09",41.200001
"316","2012-03-12",38.900002
"317","2012-03-13",40.5
"318","2012-03-14",40.099998
"319","2012-03-15",44.200001
"320","2012-03-16",44.799999
"321","2012-03-19",46.200001
"322","2012-03-20",45.900002
"323","2012-03-21",44.5
"324","2012-03-22",43.200001
"325","2012-03-23",42.400002
"326","2012-03-26",41.5
"327","2012-03-27",40.299999
"328","2012-03-28",39.599998
"329","2012-03-29",39.400002
"330","2012-03-30",39.799999
"331","2012-04-02",40.299999
"332","2012-04-03",39.099998
"333","2012-04-04",39.5
"334","2012-04-05",36.299999
"335","2012-04-09",34.900002
"336","2012-04-10",35.099998
"337","2012-04-11",38.5
"338","2012-04-12",38.099998
"339","2012-04-13",36.400002
"340","2012-04-16",36.599998
"341","2012-04-17",38.099998
"342","2012-04-18",36.5
"343","2012-04-19",37.5
"344","2012-04-20",38.5
"345","2012-04-23",36.400002
"346","2012-04-24",34
"347","2012-04-25",33.5
"348","2012-04-26",36.400002
"349","2012-04-27",38
"350","2012-04-30",36.5
"351","2012-05-01",37.799999
"352","2012-05-02",37.299999
"353","2012-05-03",36.299999
"354","2012-05-04",33.799999
"355","2012-05-07",34.400002
"356","2012-05-08",33.700001
"357","2012-05-09",33.700001
"358","2012-05-10",34.299999
"359","2012-05-11",34.599998
"360","2012-05-14",33.299999
"361","2012-05-15",35.099998
"362","2012-05-16",34.5
"363","2012-05-17",33.599998
"364","2012-05-18",33.700001
"365","2012-05-21",34.799999
"366","2012-05-22",34.299999
"367","2012-05-23",34.5
"368","2012-05-24",33
"369","2012-05-25",31.4
"370","2012-05-29",31.700001
"371","2012-05-30",33.099998
"372","2012-05-31",31.799999
"373","2012-06-01",30.6
"374","2012-06-04",30.1
"375","2012-06-05",31.299999
"376","2012-06-06",31.799999
"377","2012-06-07",31.5
"378","2012-06-08",31.1
"379","2012-06-11",30.200001
"380","2012-06-12",29.5
"381","2012-06-13",27.200001
"382","2012-06-14",27
"383","2012-06-15",28.200001
"384","2012-06-18",27.6
"385","2012-06-19",26.700001
"386","2012-06-20",26.799999
"387","2012-06-21",26.9
"388","2012-06-22",26.799999
"389","2012-06-25",27.5
"390","2012-06-26",26
"391","2012-06-27",28.1
"392","2012-06-28",30.200001
"393","2012-06-29",30.9
"394","2012-07-02",30.299999
"395","2012-07-03",30.1
"396","2012-07-05",28.700001
"397","2012-07-06",28.299999
"398","2012-07-09",27.799999
"399","2012-07-10",26.299999
"400","2012-07-11",25
"401","2012-07-12",24.4
"402","2012-07-13",23.200001
"403","2012-07-16",23.1
"404","2012-07-17",22.700001
"405","2012-07-18",23
"406","2012-07-19",24.1
"407","2012-07-20",23.200001
"408","2012-07-23",22.299999
"409","2012-07-24",22.200001
"410","2012-07-25",21.4
"411","2012-07-26",23.4
"412","2012-07-27",22.799999
"413","2012-07-30",23
"414","2012-07-31",23.700001
"415","2012-08-01",24.6
"416","2012-08-02",25.4
"417","2012-08-03",24.1
"418","2012-08-06",24.700001
"419","2012-08-07",24.700001
"420","2012-08-08",23.299999
"421","2012-08-09",22.5
"422","2012-08-10",23.4
"423","2012-08-13",22.5
"424","2012-08-14",20.299999
"425","2012-08-15",20.299999
"426","2012-08-16",20.4
"427","2012-08-17",20.799999
"428","2012-08-20",20.1
"429","2012-08-21",20.4
"430","2012-08-22",20.4
"431","2012-08-23",23.700001
"432","2012-08-24",23
"433","2012-08-27",21.9
"434","2012-08-28",22.4
"435","2012-08-29",20.9
"436","2012-08-30",19.700001
"437","2012-08-31",20.200001
"438","2012-09-04",19.6
"439","2012-09-05",18.4
"440","2012-09-06",18.799999
"441","2012-09-07",18.5
"442","2012-09-10",19.5
