"","date","LOOP"
"1","2017-11-20",15.25
"2","2017-11-21",15.099
"3","2017-11-22",14.85
"4","2017-11-24",15.029
"5","2017-11-27",15
"6","2017-11-28",15.192
"7","2017-11-29",14.66
"8","2017-11-30",14.7
"9","2017-12-01",14.728
"10","2017-12-04",14.5
"11","2017-12-05",14.3
"12","2017-12-06",13.394
"13","2017-12-07",13.5
"14","2017-12-08",13.1
"15","2017-12-11",12.5
"16","2017-12-12",13.55
"17","2017-12-13",13.075
"18","2017-12-14",13.59
"19","2017-12-15",12.75
"20","2017-12-18",12.03
"21","2017-12-19",12.85
"22","2017-12-20",12.56
"23","2017-12-21",13.24
"24","2017-12-22",12.99
"25","2017-12-26",13
"26","2017-12-27",13.99
"27","2017-12-28",14.22
"28","2017-12-29",14.48
"29","2018-01-02",14.77
"30","2018-01-03",14.75
"31","2018-01-04",14.75
"32","2018-01-05",15.22
"33","2018-01-08",15.87
"34","2018-01-09",15.8
"35","2018-01-10",18
"36","2018-01-11",17
"37","2018-01-12",16.549999
"38","2018-01-16",16.49
"39","2018-01-17",16.299999
"40","2018-01-18",16.5
"41","2018-01-19",16.6
"42","2018-01-22",16.5
"43","2018-01-23",16.622999
"44","2018-01-24",16.5
"45","2018-01-25",16.469999
"46","2018-01-26",16.75
"47","2018-01-29",16.639999
"48","2018-01-30",16.5
"49","2018-01-31",16.49
"50","2018-02-01",16.48
"51","2018-02-02",16.209999
"52","2018-02-05",15.99
"53","2018-02-06",15.3
"54","2018-02-07",15.62
"55","2018-02-08",15.64
"56","2018-02-09",15.5
"57","2018-02-12",15.4
"58","2018-02-13",15
"59","2018-02-14",14.9
"60","2018-02-15",14.49
"61","2018-02-16",14.5
"62","2018-02-20",14.97
"63","2018-02-21",14.99
"64","2018-02-22",14.5
"65","2018-02-23",13.95
"66","2018-02-26",13.7
"67","2018-02-27",12.99
"68","2018-02-28",12.26
"69","2018-03-01",12.68
"70","2018-03-02",12.74
"71","2018-03-05",12.5
"72","2018-03-06",12.72
"73","2018-03-07",12.76
"74","2018-03-08",12.84
"75","2018-03-09",13
"76","2018-03-12",16.5
"77","2018-03-13",15.47
"78","2018-03-14",16.6
"79","2018-03-15",17.450001
"80","2018-03-16",16.59
"81","2018-03-19",16.059999
"82","2018-03-20",16.219999
"83","2018-03-21",15.72
"84","2018-03-22",15.86
"85","2018-03-23",15.45
"86","2018-03-26",15.54
"87","2018-03-27",15.9
"88","2018-03-28",14.99
"89","2018-03-29",14.5
"90","2018-04-02",14.46
"91","2018-04-03",14.59
"92","2018-04-04",14.33
"93","2018-04-05",14.44
"94","2018-04-06",14.24
"95","2018-04-09",13.46
"96","2018-04-10",13.25
"97","2018-04-11",14.08
"98","2018-04-12",13.53
"99","2018-04-13",13.25
"100","2018-04-16",14.17
"101","2018-04-17",14.05
"102","2018-04-18",14.02
"103","2018-04-19",14.1
"104","2018-04-20",13.71
"105","2018-04-23",13.82
"106","2018-04-24",13.04
"107","2018-04-25",12.77
"108","2018-04-26",12.96
"109","2018-04-27",13.08
"110","2018-04-30",13
"111","2018-05-01",12.87
"112","2018-05-02",12.67
"113","2018-05-03",12.4
"114","2018-05-04",12.89
"115","2018-05-07",12.98
"116","2018-05-08",12.78
"117","2018-05-09",12.11
"118","2018-05-10",12.1
"119","2018-05-11",12.31
"120","2018-05-14",12.47
"121","2018-05-15",11.83
"122","2018-05-16",11.5
"123","2018-05-17",12.05
"124","2018-05-18",12.15
"125","2018-05-21",11.636
"126","2018-05-22",11
"127","2018-05-23",11.25
"128","2018-05-24",11.78
"129","2018-05-25",11.72
"130","2018-05-29",11.24
"131","2018-05-30",11.24
"132","2018-05-31",12
"133","2018-06-01",12.32
"134","2018-06-04",12.84
"135","2018-06-05",12.04
"136","2018-06-06",12
"137","2018-06-07",11.55
"138","2018-06-08",11.33
"139","2018-06-11",11.32
"140","2018-06-12",10.34
"141","2018-06-13",10.42
"142","2018-06-14",10.07
"143","2018-06-15",10.61
"144","2018-06-18",10.24
"145","2018-06-19",10.25
"146","2018-06-20",10.86
"147","2018-06-21",10.53
"148","2018-06-22",10.49
"149","2018-06-25",10.83
"150","2018-06-26",10.66
"151","2018-06-27",10.99
"152","2018-06-28",10.87
"153","2018-06-29",10.89
"154","2018-07-02",11.19
"155","2018-07-03",11.29
"156","2018-07-05",11.23
"157","2018-07-06",11.22
"158","2018-07-09",11.44
"159","2018-07-10",11.52
"160","2018-07-11",11
"161","2018-07-12",11.66
"162","2018-07-13",11.52
"163","2018-07-16",11.5
"164","2018-07-17",10.64
"165","2018-07-18",10
"166","2018-07-19",10.1
"167","2018-07-20",9.88
"168","2018-07-23",9.46
"169","2018-07-24",9.65
"170","2018-07-25",9.32
"171","2018-07-26",9.74
"172","2018-07-27",10.31
"173","2018-07-30",10.8
"174","2018-07-31",11.72
"175","2018-08-01",10.4
"176","2018-08-02",9.66
"177","2018-08-03",9.66
"178","2018-08-06",9.46
"179","2018-08-07",9.28
"180","2018-08-08",9.44
"181","2018-08-09",9.24
"182","2018-08-10",9.215
"183","2018-08-13",8.945
"184","2018-08-14",9.1
"185","2018-08-15",9.15
"186","2018-08-16",9.53
"187","2018-08-17",9.5
"188","2018-08-20",9.48
"189","2018-08-21",8.72
"190","2018-08-22",8.53
"191","2018-08-23",8.89
"192","2018-08-24",9.37
"193","2018-08-27",9.48
"194","2018-08-28",9.5
"195","2018-08-29",9.75
"196","2018-08-30",9.65
"197","2018-08-31",9.88
"198","2018-09-04",9.91
"199","2018-09-05",9.77
"200","2018-09-06",10.03
"201","2018-09-07",9.65
"202","2018-09-10",9.5
"203","2018-09-11",9.1
"204","2018-09-12",9.23
"205","2018-09-13",9.12
"206","2018-09-14",9.46
"207","2018-09-17",9
"208","2018-09-18",8.946
"209","2018-09-19",8.72
"210","2018-09-20",8.667
"211","2018-09-21",9.73
"212","2018-09-24",9.55
"213","2018-09-25",10.24
"214","2018-09-26",10.09
"215","2018-09-27",10.15
"216","2018-09-28",10.05
"217","2018-10-01",10.49
"218","2018-10-02",10.18
"219","2018-10-03",10.12
"220","2018-10-04",9.5
"221","2018-10-05",9.05
"222","2018-10-08",8.61
"223","2018-10-09",8.85
"224","2018-10-10",10.3
"225","2018-10-11",9.87
"226","2018-10-12",10.03
"227","2018-10-15",10.21
"228","2018-10-16",10.23
"229","2018-10-17",9.91
"230","2018-10-18",9.95
"231","2018-10-19",9.5
"232","2018-10-22",9.54
"233","2018-10-23",9.58
"234","2018-10-24",9.45
"235","2018-10-25",9.52
"236","2018-10-26",9.75
"237","2018-10-29",9.5
"238","2018-10-30",8.71
"239","2018-10-31",9.19
"240","2018-11-01",9.19
"241","2018-11-02",8.58
"242","2018-11-05",8.5
"243","2018-11-06",8.55
"244","2018-11-07",8.48
"245","2018-11-08",8.2
"246","2018-11-09",8.255
"247","2018-11-12",7.21
"248","2018-11-13",7.475
"249","2018-11-14",8
"250","2018-11-15",7.91
"251","2018-11-16",7.65
"252","2018-11-19",7.99
"253","2018-11-20",7.599
"254","2018-11-21",7.62
"255","2018-11-23",7.42
"256","2018-11-26",7.77
"257","2018-11-27",7.88
"258","2018-11-28",8.05
"259","2018-11-29",8
"260","2018-11-30",8.19
"261","2018-12-03",7.99
"262","2018-12-04",7.62
"263","2018-12-06",8.12
"264","2018-12-07",7.55
"265","2018-12-10",7.34
"266","2018-12-11",6.63
"267","2018-12-12",7.02
"268","2018-12-13",8.01
"269","2018-12-14",7.79
"270","2018-12-17",7.86
"271","2018-12-18",7.61
"272","2018-12-19",8
"273","2018-12-20",7.69
"274","2018-12-21",8.2
"275","2018-12-24",7.99
"276","2018-12-26",7.28
"277","2018-12-27",7.71
"278","2018-12-28",7.73
"279","2018-12-31",7.77
"280","2019-01-02",8.24
"281","2019-01-03",8.92
"282","2019-01-04",9.39
"283","2019-01-07",9.62
"284","2019-01-08",9.98
"285","2019-01-09",9.85
"286","2019-01-10",10.25
"287","2019-01-11",9.48
"288","2019-01-14",8.8
"289","2019-01-15",8.84
"290","2019-01-16",8.84
"291","2019-01-17",8.76
"292","2019-01-18",8.75
"293","2019-01-22",8.7
"294","2019-01-23",8.7
"295","2019-01-24",8.6
"296","2019-01-25",8.65
"297","2019-01-28",8.7
"298","2019-01-29",8.715
"299","2019-01-30",8.68
"300","2019-01-31",8.73
"301","2019-02-01",8.93
"302","2019-02-04",9.52
"303","2019-02-05",10.14
"304","2019-02-06",10.06
"305","2019-02-07",10.25
"306","2019-02-08",10.54
"307","2019-02-11",10.32
"308","2019-02-12",10.42
"309","2019-02-13",10.88
"310","2019-02-14",11.95
"311","2019-02-15",11.82
"312","2019-02-19",11.8
"313","2019-02-20",11.91
"314","2019-02-21",12.17
"315","2019-02-22",11.95
"316","2019-02-25",11.8
"317","2019-02-26",11.54
"318","2019-02-27",9.8
"319","2019-02-28",9.69
"320","2019-03-01",9.792
"321","2019-03-04",9.96
"322","2019-03-05",9.73
"323","2019-03-06",9.55
"324","2019-03-07",9.25
"325","2019-03-08",9.5
"326","2019-03-11",9.09
"327","2019-03-12",9.13
"328","2019-03-13",9.27
"329","2019-03-14",9.24
"330","2019-03-15",9.53
"331","2019-03-18",9.31
"332","2019-03-19",9.3
"333","2019-03-20",8.895
"334","2019-03-21",8.65
"335","2019-03-22",8.47
"336","2019-03-25",8.43
"337","2019-03-26",8.28
"338","2019-03-27",8.06
"339","2019-03-28",8.17
"340","2019-03-29",7.92
"341","2019-04-01",7.93
"342","2019-04-02",7.76
"343","2019-04-03",7.52
"344","2019-04-04",7.47
"345","2019-04-05",7.43
"346","2019-04-08",7.69
"347","2019-04-09",7.42
"348","2019-04-10",7.2
"349","2019-04-11",7.14
"350","2019-04-12",7.26
"351","2019-04-15",7.48
"352","2019-04-16",7.55
"353","2019-04-17",7.3
"354","2019-04-18",7.34
"355","2019-04-22",7.74
"356","2019-04-23",7.58
"357","2019-04-24",7.5
"358","2019-04-25",7.13
"359","2019-04-26",7.2
"360","2019-04-29",7.07
"361","2019-04-30",7.08
"362","2019-05-01",7
"363","2019-05-02",6.63
"364","2019-05-03",6.65
"365","2019-05-06",6.89
"366","2019-05-07",7.2
"367","2019-05-08",6.9
"368","2019-05-09",6.8
"369","2019-05-10",7
"370","2019-05-13",7.35
"371","2019-05-14",7.24
"372","2019-05-15",6.83
"373","2019-05-16",7.12
"374","2019-05-17",6.98
"375","2019-05-20",6.79
"376","2019-05-21",7.18
"377","2019-05-22",6.99
"378","2019-05-23",6.77
"379","2019-05-24",7.35
"380","2019-05-28",7.74
"381","2019-05-29",7.56
