"","date","LUNG"
"1","2020-10-01",39.310001
"2","2020-10-02",41.900002
"3","2020-10-05",46.220001
"4","2020-10-06",46.790001
"5","2020-10-07",47.099998
"6","2020-10-08",43.119999
"7","2020-10-09",42.25
"8","2020-10-12",42
"9","2020-10-13",41.349998
"10","2020-10-14",42.130001
"11","2020-10-15",42.400002
"12","2020-10-16",44.459999
"13","2020-10-19",47.279999
"14","2020-10-20",48.75
"15","2020-10-21",43.900002
"16","2020-10-22",43.060001
"17","2020-10-23",42.240002
"18","2020-10-26",42.650002
"19","2020-10-27",41.889999
"20","2020-10-28",42.299999
"21","2020-10-29",43.060001
"22","2020-10-30",42.060001
"23","2020-11-02",42.939999
"24","2020-11-03",47.02
"25","2020-11-04",46.630001
"26","2020-11-05",48.220001
"27","2020-11-06",46.799999
"28","2020-11-09",48.110001
"29","2020-11-10",46.330002
"30","2020-11-11",45.73
"31","2020-11-12",46.25
"32","2020-11-13",46.490002
"33","2020-11-16",47.139999
"34","2020-11-17",46.740002
"35","2020-11-18",46.709999
"36","2020-11-19",46.68
"37","2020-11-20",46.450001
"38","2020-11-23",48.459999
"39","2020-11-24",50.799999
"40","2020-11-25",52.799999
"41","2020-11-27",55
