"","date","LWAY"
"1","2007-01-03",9.15
"2","2007-01-04",8.89
"3","2007-01-05",8.69
"4","2007-01-08",8.74
"5","2007-01-09",8.85
"6","2007-01-10",8.95
"7","2007-01-11",8.71
"8","2007-01-12",8.53
"9","2007-01-16",8.69
"10","2007-01-17",8.84
"11","2007-01-18",8.83
"12","2007-01-19",9.03
"13","2007-01-22",9.15
"14","2007-01-23",9.42
"15","2007-01-24",9.25
"16","2007-01-25",9.15
"17","2007-01-26",9
"18","2007-01-29",9.09
"19","2007-01-30",8.94
"20","2007-01-31",8.93
"21","2007-02-01",9
"22","2007-02-02",9.05
"23","2007-02-05",9.06
"24","2007-02-06",9.06
"25","2007-02-07",9.03
"26","2007-02-08",8.98
"27","2007-02-09",8.98
"28","2007-02-12",9.02
"29","2007-02-13",8.99
"30","2007-02-14",9.4
"31","2007-02-15",9.59
"32","2007-02-16",9.56
"33","2007-02-20",9.3
"34","2007-02-21",9.49
"35","2007-02-22",9.57
"36","2007-02-23",9.89
"37","2007-02-26",9.98
"38","2007-02-27",9.31
"39","2007-02-28",9.43
"40","2007-03-01",9.34
"41","2007-03-02",9.28
"42","2007-03-05",9.03
"43","2007-03-06",9.15
"44","2007-03-07",9.16
"45","2007-03-08",9.29
"46","2007-03-09",9.32
"47","2007-03-12",9.16
"48","2007-03-13",9.24
"49","2007-03-14",9.14
"50","2007-03-15",9.11
"51","2007-03-16",9.17
"52","2007-03-19",9.1
"53","2007-03-20",9.08
"54","2007-03-21",9.08
"55","2007-03-22",9.14
"56","2007-03-23",9.08
"57","2007-03-26",8.99
"58","2007-03-27",8.85
"59","2007-03-28",8.8
"60","2007-03-29",8.96
"61","2007-03-30",9
"62","2007-04-02",9.24
"63","2007-04-03",8.91
"64","2007-04-04",8.84
"65","2007-04-05",8.77
"66","2007-04-09",8.75
"67","2007-04-10",8.7
"68","2007-04-11",8.69
"69","2007-04-12",8.76
"70","2007-04-13",8.97
"71","2007-04-16",9.08
"72","2007-04-17",9.24
"73","2007-04-18",9.24
"74","2007-04-19",9.35
"75","2007-04-20",9.42
"76","2007-04-23",9.18
"77","2007-04-24",9.13
"78","2007-04-25",9.02
"79","2007-04-26",9
"80","2007-04-27",9.02
"81","2007-04-30",8.99
"82","2007-05-01",8.97
"83","2007-05-02",9.06
"84","2007-05-03",9.14
"85","2007-05-04",9.1
"86","2007-05-07",9.12
"87","2007-05-08",9.22
"88","2007-05-09",9.03
"89","2007-05-10",9.1
"90","2007-05-11",8.97
"91","2007-05-14",9.09
"92","2007-05-15",9.25
"93","2007-05-16",9.22
"94","2007-05-17",9.37
"95","2007-05-18",9.44
"96","2007-05-21",9.47
"97","2007-05-22",9.73
"98","2007-05-23",9.95
"99","2007-05-24",10.13
"100","2007-05-25",10.16
"101","2007-05-29",10.12
"102","2007-05-30",10.18
"103","2007-05-31",10.02
"104","2007-06-01",9.9
"105","2007-06-04",9.99
"106","2007-06-05",10.22
"107","2007-06-06",10.1
"108","2007-06-07",10.04
"109","2007-06-08",10.08
"110","2007-06-11",10.72
"111","2007-06-12",10.01
"112","2007-06-13",10.6
"113","2007-06-14",10.35
"114","2007-06-15",10.16
"115","2007-06-18",10.48
"116","2007-06-19",10.15
"117","2007-06-20",10.43
"118","2007-06-21",10.13
"119","2007-06-22",10.22
"120","2007-06-25",10.21
"121","2007-06-26",10.49
"122","2007-06-27",11.36
"123","2007-06-28",11.3
"124","2007-06-29",11.29
"125","2007-07-02",12.54
"126","2007-07-03",13.44
"127","2007-07-05",13.75
"128","2007-07-06",13.76
"129","2007-07-09",12.8
"130","2007-07-10",12.65
"131","2007-07-11",13.13
"132","2007-07-12",13.21
"133","2007-07-13",13.22
"134","2007-07-16",13.58
"135","2007-07-17",14.43
"136","2007-07-18",13.85
"137","2007-07-19",13.82
"138","2007-07-20",13.91
"139","2007-07-23",13.66
"140","2007-07-24",13.16
"141","2007-07-25",12.74
"142","2007-07-26",12.7
"143","2007-07-27",12.26
"144","2007-07-30",12.16
"145","2007-07-31",12.07
"146","2007-08-01",12.44
"147","2007-08-02",13.05
"148","2007-08-03",13.21
"149","2007-08-06",12.62
"150","2007-08-07",11.96
"151","2007-08-08",12.16
"152","2007-08-09",12.15
"153","2007-08-10",11.75
"154","2007-08-13",12.23
"155","2007-08-14",11.93
"156","2007-08-15",11.74
"157","2007-08-16",12.12
"158","2007-08-17",12.15
"159","2007-08-20",11.93
"160","2007-08-21",12.25
"161","2007-08-22",12.88
"162","2007-08-23",13.08
"163","2007-08-24",13.75
"164","2007-08-27",14
"165","2007-08-28",13.59
"166","2007-08-29",13.84
"167","2007-08-30",13.75
"168","2007-08-31",14.16
"169","2007-09-04",16.82
"170","2007-09-05",17.030001
"171","2007-09-06",17.24
"172","2007-09-07",15.71
"173","2007-09-10",15.67
"174","2007-09-11",16.030001
"175","2007-09-12",15.32
"176","2007-09-13",15.53
"177","2007-09-14",15.37
"178","2007-09-17",15.32
"179","2007-09-18",15.36
"180","2007-09-19",15.6
"181","2007-09-20",17.1
"182","2007-09-21",17.129999
"183","2007-09-24",16.870001
"184","2007-09-25",16.620001
"185","2007-09-26",16.719999
"186","2007-09-27",16.690001
"187","2007-09-28",16.83
"188","2007-10-01",19.9
"189","2007-10-02",19.26
"190","2007-10-03",18.65
"191","2007-10-04",18.52
"192","2007-10-05",18.9
"193","2007-10-08",19.15
"194","2007-10-09",19.27
"195","2007-10-10",19.43
"196","2007-10-11",18.34
"197","2007-10-12",18.450001
"198","2007-10-15",17.889999
"199","2007-10-16",17.24
"200","2007-10-17",17.200001
"201","2007-10-18",17.6
"202","2007-10-19",16.629999
"203","2007-10-22",15.92
"204","2007-10-23",16.43
"205","2007-10-24",16.17
"206","2007-10-25",16.110001
"207","2007-10-26",15.98
"208","2007-10-29",15.68
"209","2007-10-30",15.55
"210","2007-10-31",15.55
"211","2007-11-01",15.1
"212","2007-11-02",15.38
"213","2007-11-05",15.13
"214","2007-11-06",14.79
"215","2007-11-07",14.46
"216","2007-11-08",14.12
"217","2007-11-09",13.67
"218","2007-11-12",13
"219","2007-11-13",13.5
"220","2007-11-14",13.72
"221","2007-11-15",10.6
"222","2007-11-16",11.37
"223","2007-11-19",10.02
"224","2007-11-20",10.01
"225","2007-11-21",9.9
"226","2007-11-23",10.12
"227","2007-11-26",9.67
"228","2007-11-27",10
"229","2007-11-28",10.02
"230","2007-11-29",10.39
"231","2007-11-30",10.18
"232","2007-12-03",10.41
"233","2007-12-04",10.75
"234","2007-12-05",11.03
"235","2007-12-06",12.75
"236","2007-12-07",13.03
"237","2007-12-10",12.22
"238","2007-12-11",11.97
"239","2007-12-12",11.51
"240","2007-12-13",11.3
"241","2007-12-14",11.03
"242","2007-12-17",10.83
"243","2007-12-18",10.5
"244","2007-12-19",11.99
"245","2007-12-20",11.81
"246","2007-12-21",11.77
"247","2007-12-24",11.67
"248","2007-12-26",12.76
"249","2007-12-27",12.85
"250","2007-12-28",12.29
"251","2007-12-31",11.83
"252","2008-01-02",10.6
"253","2008-01-03",10.75
"254","2008-01-04",10.5
"255","2008-01-07",10.93
"256","2008-01-08",10.83
"257","2008-01-09",10.67
"258","2008-01-10",10.69
"259","2008-01-11",10.46
"260","2008-01-14",10.52
"261","2008-01-15",10.25
"262","2008-01-16",10.41
"263","2008-01-17",9.83
"264","2008-01-18",10
"265","2008-01-22",9.66
"266","2008-01-23",9.66
"267","2008-01-24",9.75
"268","2008-01-25",10.01
"269","2008-01-28",9.9
"270","2008-01-29",10.25
"271","2008-01-30",10.2
"272","2008-01-31",10.27
"273","2008-02-01",10.45
"274","2008-02-04",10.73
"275","2008-02-05",10.89
"276","2008-02-06",10.13
"277","2008-02-07",10.17
"278","2008-02-08",10.06
"279","2008-02-11",10
"280","2008-02-12",9.91
"281","2008-02-13",10.29
"282","2008-02-14",10.26
"283","2008-02-15",10.02
"284","2008-02-19",10.15
