"","date","MBRX"
"1","2016-06-02",8
"2","2016-06-03",8.9
"3","2016-06-06",8.9
"4","2016-06-07",8.3
"5","2016-06-08",8.37
"6","2016-06-09",8.08
"7","2016-06-10",7.33
"8","2016-06-13",6.385
"9","2016-06-14",6.24
"10","2016-06-15",6.53
"11","2016-06-16",6.57
"12","2016-06-17",6.68
"13","2016-06-20",6.475
"14","2016-06-21",6.88
"15","2016-06-22",6.7
"16","2016-06-23",6.99
"17","2016-06-24",6.84
"18","2016-06-27",6.74
"19","2016-06-28",6.76
"20","2016-06-29",6.64
"21","2016-06-30",6.63
"22","2016-07-01",7.035
"23","2016-07-05",6.85
"24","2016-07-06",6.61
"25","2016-07-07",6.76
"26","2016-07-08",6.79
"27","2016-07-11",6.94
"28","2016-07-12",6.91
"29","2016-07-13",6.94
"30","2016-07-14",6.82
"31","2016-07-15",6.868
"32","2016-07-18",6.898
"33","2016-07-19",6.61
"34","2016-07-20",6.5
"35","2016-07-21",6.41
"36","2016-07-22",6.5
"37","2016-07-25",6.8
"38","2016-07-26",6.95
"39","2016-07-27",7.02
"40","2016-07-28",6.95
"41","2016-07-29",6.98
"42","2016-08-01",7.01
"43","2016-08-02",6.9
"44","2016-08-03",6.68
"45","2016-08-04",6.64
"46","2016-08-05",6.559
"47","2016-08-08",6.518
"48","2016-08-09",6.25
"49","2016-08-10",6.22
"50","2016-08-11",6.43
"51","2016-08-12",6.27
"52","2016-08-15",6.25
"53","2016-08-16",6.17
"54","2016-08-17",6.08
"55","2016-08-18",5.82
"56","2016-08-19",5.85
"57","2016-08-22",6.29
"58","2016-08-23",6.39
"59","2016-08-24",6.02
"60","2016-08-25",6.06
"61","2016-08-26",6
"62","2016-08-29",6.06
"63","2016-08-30",6.01
"64","2016-08-31",6.2
"65","2016-09-01",6.31
"66","2016-09-02",6.36
"67","2016-09-06",6.5
"68","2016-09-07",6.65
"69","2016-09-08",6.74
"70","2016-09-09",6.58
"71","2016-09-12",6.4
"72","2016-09-13",6.39
"73","2016-09-14",6.21
"74","2016-09-15",6.39
"75","2016-09-16",6.11
"76","2016-09-19",5.96
"77","2016-09-20",5.79
"78","2016-09-21",6.12
"79","2016-09-22",5.96
"80","2016-09-23",5.71
"81","2016-09-26",5.5
"82","2016-09-27",5.97
"83","2016-09-28",5.875
"84","2016-09-29",6.09
"85","2016-09-30",5.71
"86","2016-10-03",5.9
"87","2016-10-04",5.64
"88","2016-10-05",5.788
"89","2016-10-06",5.11
"90","2016-10-07",4.92
"91","2016-10-10",4.43
"92","2016-10-11",4.24
"93","2016-10-12",4.08
"94","2016-10-13",3.99
"95","2016-10-14",3.14
"96","2016-10-17",2.86
"97","2016-10-18",2.41
"98","2016-10-19",2.69
"99","2016-10-20",4.33
"100","2016-10-21",3.53
"101","2016-10-24",3.02
"102","2016-10-25",2.98
"103","2016-10-26",3.56
"104","2016-10-27",3.28
"105","2016-10-28",2.97
"106","2016-10-31",3.38
"107","2016-11-01",3.42
"108","2016-11-02",3.34
"109","2016-11-03",3.12
"110","2016-11-04",3.09
"111","2016-11-07",3.03
"112","2016-11-08",3.05
"113","2016-11-09",3.02
"114","2016-11-10",2.8
"115","2016-11-11",2.79
"116","2016-11-14",2.73
"117","2016-11-15",2.75
"118","2016-11-16",2.626
"119","2016-11-17",3.03
"120","2016-11-18",2.95
"121","2016-11-21",3
"122","2016-11-22",2.878
"123","2016-11-23",2.82
"124","2016-11-25",3
"125","2016-11-28",2.73
"126","2016-11-29",2.716
"127","2016-11-30",2.71
"128","2016-12-01",2.77
"129","2016-12-02",2.63
"130","2016-12-05",2.5
"131","2016-12-06",2.42
"132","2016-12-07",2.5
"133","2016-12-08",2.4
"134","2016-12-09",2.12
"135","2016-12-12",1.859
"136","2016-12-13",1.8
"137","2016-12-14",1.79
"138","2016-12-15",1.82
"139","2016-12-16",1.65
"140","2016-12-19",1.54
"141","2016-12-20",1.46
"142","2016-12-21",1.46
"143","2016-12-22",1.51
"144","2016-12-23",1.96
"145","2016-12-27",2.75
"146","2016-12-28",2.37
"147","2016-12-29",2.21
"148","2016-12-30",2.28
"149","2017-01-03",2.05
"150","2017-01-04",2.04
"151","2017-01-05",2.18
"152","2017-01-06",2.12
"153","2017-01-09",2.1
