"","date","MCS"
"1","2007-01-03",25.85
"2","2007-01-04",26.02
"3","2007-01-05",24.889999
"4","2007-01-08",24.950001
"5","2007-01-09",24.440001
"6","2007-01-10",24.57
"7","2007-01-11",25.65
"8","2007-01-12",26.059999
"9","2007-01-16",25.59
"10","2007-01-17",25.33
"11","2007-01-18",24.49
"12","2007-01-19",24.93
"13","2007-01-22",24.66
"14","2007-01-23",24.709999
"15","2007-01-24",24.879999
"16","2007-01-25",24.17
"17","2007-01-26",24.16
"18","2007-01-29",24.059999
"19","2007-01-30",24.129999
"20","2007-01-31",23.91
"21","2007-02-01",24.32
"22","2007-02-02",24.16
"23","2007-02-05",23.6
"24","2007-02-06",23.440001
"25","2007-02-07",23.77
"26","2007-02-08",23.879999
"27","2007-02-09",23.139999
"28","2007-02-12",22.84
"29","2007-02-13",23.25
"30","2007-02-14",23.23
"31","2007-02-15",23.01
"32","2007-02-16",22.940001
"33","2007-02-20",23.48
"34","2007-02-21",23.23
"35","2007-02-22",23.93
"36","2007-02-23",23.82
"37","2007-02-26",22.93
"38","2007-02-27",21.65
"39","2007-02-28",22.02
"40","2007-03-01",22.01
"41","2007-03-02",21.42
"42","2007-03-05",20.860001
"43","2007-03-06",21.559999
"44","2007-03-07",21.200001
"45","2007-03-08",21.41
"46","2007-03-09",21.190001
"47","2007-03-12",21.59
"48","2007-03-13",21.129999
"49","2007-03-14",21.389999
"50","2007-03-15",21.690001
"51","2007-03-16",21.57
"52","2007-03-19",22.07
"53","2007-03-20",21.309999
"54","2007-03-21",21.049999
"55","2007-03-22",21.32
"56","2007-03-23",23.24
"57","2007-03-26",23.65
"58","2007-03-27",23.27
"59","2007-03-28",23.02
"60","2007-03-29",23.040001
"61","2007-03-30",23.26
"62","2007-04-02",22.9
"63","2007-04-03",23.360001
"64","2007-04-04",23.65
"65","2007-04-05",23.120001
"66","2007-04-09",23.110001
"67","2007-04-10",23.02
"68","2007-04-11",22.440001
"69","2007-04-12",22.35
"70","2007-04-13",22.4
"71","2007-04-16",22.41
"72","2007-04-17",22.24
"73","2007-04-18",21.879999
"74","2007-04-19",21.77
"75","2007-04-20",22.18
"76","2007-04-23",21.99
"77","2007-04-24",21.73
"78","2007-04-25",21.98
"79","2007-04-26",22.16
"80","2007-04-27",22.25
"81","2007-04-30",21.73
"82","2007-05-01",21.99
"83","2007-05-02",22.58
"84","2007-05-03",22.459999
"85","2007-05-04",22.33
"86","2007-05-07",22.530001
"87","2007-05-08",22.709999
"88","2007-05-09",22.889999
"89","2007-05-10",22.35
"90","2007-05-11",22.77
"91","2007-05-14",22.290001
"92","2007-05-15",22.549999
"93","2007-05-16",22.620001
"94","2007-05-17",22.5
"95","2007-05-18",22.549999
"96","2007-05-21",22.959999
"97","2007-05-22",23.09
"98","2007-05-23",22.76
"99","2007-05-24",22.469999
"100","2007-05-25",22.5
"101","2007-05-29",23.120001
"102","2007-05-30",23.040001
"103","2007-05-31",23.370001
"104","2007-06-01",23.75
"105","2007-06-04",23.309999
"106","2007-06-05",24.059999
"107","2007-06-06",23.58
"108","2007-06-07",23.25
"109","2007-06-08",23.76
"110","2007-06-11",23.780001
"111","2007-06-12",23.02
"112","2007-06-13",23.41
"113","2007-06-14",22.93
"114","2007-06-15",24.200001
"115","2007-06-18",24.25
"116","2007-06-19",24.360001
"117","2007-06-20",24.07
"118","2007-06-21",24.030001
"119","2007-06-22",23.540001
"120","2007-06-25",22.9
"121","2007-06-26",23.01
"122","2007-06-27",23.15
"123","2007-06-28",23.709999
"124","2007-06-29",23.76
"125","2007-07-02",23.040001
"126","2007-07-03",22.99
"127","2007-07-05",23.719999
"128","2007-07-06",23.530001
"129","2007-07-09",23.469999
"130","2007-07-10",22.75
"131","2007-07-11",23.02
"132","2007-07-12",23.33
"133","2007-07-13",23.190001
"134","2007-07-16",22.950001
"135","2007-07-17",22.780001
"136","2007-07-18",22.879999
"137","2007-07-19",22.879999
"138","2007-07-20",22.219999
"139","2007-07-23",21.74
"140","2007-07-24",20.719999
"141","2007-07-25",21.49
"142","2007-07-26",20.59
"143","2007-07-27",20.209999
"144","2007-07-30",19.91
"145","2007-07-31",19.68
"146","2007-08-01",19.809999
"147","2007-08-02",20.4
"148","2007-08-03",19.450001
"149","2007-08-06",19.969999
"150","2007-08-07",19.889999
"151","2007-08-08",21.059999
"152","2007-08-09",20.51
"153","2007-08-10",21.190001
"154","2007-08-13",20.51
"155","2007-08-14",19.959999
"156","2007-08-15",19.950001
"157","2007-08-16",21.4
"158","2007-08-17",21.84
"159","2007-08-20",21.870001
"160","2007-08-21",21.58
"161","2007-08-22",22.35
"162","2007-08-23",21.68
"163","2007-08-24",21.799999
"164","2007-08-27",21.23
"165","2007-08-28",20.34
"166","2007-08-29",21.33
"167","2007-08-30",20.98
"168","2007-08-31",21.120001
"169","2007-09-04",21.16
"170","2007-09-05",20.690001
"171","2007-09-06",20.48
"172","2007-09-07",19.85
"173","2007-09-10",19.700001
"174","2007-09-11",19.969999
"175","2007-09-12",19.76
"176","2007-09-13",19.66
"177","2007-09-14",19.940001
"178","2007-09-17",19.559999
"179","2007-09-18",20.959999
"180","2007-09-19",21.74
"181","2007-09-20",21.49
"182","2007-09-21",21.469999
"183","2007-09-24",20.799999
"184","2007-09-25",19.27
"185","2007-09-26",19.530001
"186","2007-09-27",19.4
"187","2007-09-28",19.200001
"188","2007-10-01",19.6
"189","2007-10-02",20.43
"190","2007-10-03",20.1
"191","2007-10-04",19.84
"192","2007-10-05",21.01
"193","2007-10-08",20.950001
"194","2007-10-09",21.24
"195","2007-10-10",20.32
"196","2007-10-11",19.959999
"197","2007-10-12",20.02
"198","2007-10-15",19.98
"199","2007-10-16",20.17
"200","2007-10-17",20.209999
"201","2007-10-18",19.65
"202","2007-10-19",18.809999
"203","2007-10-22",19.27
"204","2007-10-23",19.139999
"205","2007-10-24",18.65
"206","2007-10-25",18.75
"207","2007-10-26",19.52
"208","2007-10-29",19.5
"209","2007-10-30",19.129999
"210","2007-10-31",19.24
"211","2007-11-01",18.190001
"212","2007-11-02",18.280001
"213","2007-11-05",18.32
"214","2007-11-06",18.91
"215","2007-11-07",17.77
"216","2007-11-08",18.049999
"217","2007-11-09",17.77
"218","2007-11-12",18.110001
"219","2007-11-13",19.129999
"220","2007-11-14",19.09
"221","2007-11-15",19.129999
"222","2007-11-16",19.15
"223","2007-11-19",18.639999
"224","2007-11-20",18.700001
"225","2007-11-21",18.040001
"226","2007-11-23",18.450001
"227","2007-11-26",17.49
"228","2007-11-27",17.59
"229","2007-11-28",17.969999
"230","2007-11-29",17.85
"231","2007-11-30",18.02
"232","2007-12-03",17.26
"233","2007-12-04",17.25
"234","2007-12-05",17.75
"235","2007-12-06",18.58
"236","2007-12-07",18.35
"237","2007-12-10",17.950001
"238","2007-12-11",17.42
"239","2007-12-12",17.35
"240","2007-12-13",16.950001
"241","2007-12-14",16.4
"242","2007-12-17",15.56
"243","2007-12-18",15.57
"244","2007-12-19",15.52
"245","2007-12-20",15.88
"246","2007-12-21",16.33
"247","2007-12-24",16.41
"248","2007-12-26",16.879999
"249","2007-12-27",16.059999
"250","2007-12-28",15.95
"251","2007-12-31",15.45
"252","2008-01-02",14.95
"253","2008-01-03",14.6
"254","2008-01-04",14.14
"255","2008-01-07",14.78
"256","2008-01-08",14.09
