"","date","MDC"
"1","2007-01-03",51.870369
"2","2007-01-04",51.666668
"3","2007-01-05",51.287037
"4","2007-01-08",50.175926
"5","2007-01-09",50.648148
"6","2007-01-10",50.51852
"7","2007-01-11",51.166668
"8","2007-01-12",51.537037
"9","2007-01-16",50.898148
"10","2007-01-17",51.379631
"11","2007-01-18",51.398148
"12","2007-01-19",52.314816
"13","2007-01-22",52.027779
"14","2007-01-23",53.527779
"15","2007-01-24",55.370369
"16","2007-01-25",53.888889
"17","2007-01-26",52.444443
"18","2007-01-29",53.074074
"19","2007-01-30",52.620369
"20","2007-01-31",53.953705
"21","2007-02-01",53.648148
"22","2007-02-02",55.555557
"23","2007-02-05",54.527779
"24","2007-02-06",54.5
"25","2007-02-07",53.685184
"26","2007-02-08",52.370369
"27","2007-02-09",51.26852
"28","2007-02-12",50.416668
"29","2007-02-13",50.759258
"30","2007-02-14",51.361111
"31","2007-02-15",51.657406
"32","2007-02-16",51.879631
"33","2007-02-20",51.657406
"34","2007-02-21",51.537037
"35","2007-02-22",50.546295
"36","2007-02-23",48.759258
"37","2007-02-26",48.712963
"38","2007-02-27",47.814816
"39","2007-02-28",47.26852
"40","2007-03-01",47.194443
"41","2007-03-02",45.916668
"42","2007-03-05",44.611111
"43","2007-03-06",45.555557
"44","2007-03-07",46.148148
"45","2007-03-08",46.805557
"46","2007-03-09",46.629631
"47","2007-03-12",45.509258
"48","2007-03-13",44.212963
"49","2007-03-14",45.694443
"50","2007-03-15",46.611111
"51","2007-03-16",45.861111
"52","2007-03-19",46.175926
"53","2007-03-20",46.26852
"54","2007-03-21",47.611111
"55","2007-03-22",47.342594
"56","2007-03-23",47.175926
"57","2007-03-26",46.527779
"58","2007-03-27",45.75
"59","2007-03-28",45.046295
"60","2007-03-29",44.962963
"61","2007-03-30",44.509258
"62","2007-04-02",44.472221
"63","2007-04-03",45.351852
"64","2007-04-04",44.5
"65","2007-04-05",45.407406
"66","2007-04-09",45.972221
"67","2007-04-10",45.740742
"68","2007-04-11",44.787037
"69","2007-04-12",46.175926
"70","2007-04-13",45.601852
"71","2007-04-16",46.083332
"72","2007-04-17",47.361111
"73","2007-04-18",48.009258
"74","2007-04-19",47.740742
"75","2007-04-20",48.907406
"76","2007-04-23",48.064816
"77","2007-04-24",48.398148
"78","2007-04-25",48.944443
"79","2007-04-26",50.453705
"80","2007-04-27",48.462963
"81","2007-04-30",47.462963
"82","2007-05-01",47.861111
"83","2007-05-02",48.703705
"84","2007-05-03",48.777779
"85","2007-05-04",47.722221
"86","2007-05-07",47
"87","2007-05-08",48.787037
"88","2007-05-09",48.685184
"89","2007-05-10",47.157406
"90","2007-05-11",46.935184
"91","2007-05-14",46.75
"92","2007-05-15",46.342594
"93","2007-05-16",47.092594
"94","2007-05-17",47.76852
"95","2007-05-18",47.75
"96","2007-05-21",48.101852
"97","2007-05-22",49.629631
"98","2007-05-23",49.51852
"99","2007-05-24",49.629631
