"","date","MNOV"
"1","2007-01-03",14
"2","2007-01-04",13.06
"3","2007-01-05",13.06
"4","2007-01-08",13.25
"5","2007-01-09",13.25
"6","2007-01-10",13.41
"7","2007-01-11",13.01
"8","2007-01-12",13.05
"9","2007-01-16",13.23
"10","2007-01-17",13
"11","2007-01-18",12.79
"12","2007-01-19",12.39
"13","2007-01-22",12.3
"14","2007-01-23",11.94
"15","2007-01-24",11.25
"16","2007-01-25",11.3
"17","2007-01-26",12.15
"18","2007-01-29",12.15
"19","2007-01-30",12.1
"20","2007-01-31",12
"21","2007-02-01",11.99
"22","2007-02-02",12
"23","2007-02-05",12
"24","2007-02-06",12
"25","2007-02-07",12
"26","2007-02-08",12
"27","2007-02-09",11.8
"28","2007-02-12",11.8
"29","2007-02-13",12.13
"30","2007-02-14",11.91
"31","2007-02-15",12
"32","2007-02-16",12
"33","2007-02-20",12
"34","2007-02-21",12.24
"35","2007-02-22",13.08
"36","2007-02-23",12.45
"37","2007-02-26",12.09
"38","2007-02-27",12.06
"39","2007-02-28",12.19
"40","2007-03-01",12
"41","2007-03-02",12.1
"42","2007-03-05",12
"43","2007-03-06",11.9
"44","2007-03-07",11.89
"45","2007-03-08",11.7
"46","2007-03-09",11.7
"47","2007-03-12",11.65
"48","2007-03-13",11.6
"49","2007-03-14",11.59
"50","2007-03-15",11.5
"51","2007-03-16",11.2
"52","2007-03-19",11.19
"53","2007-03-20",11.1
"54","2007-03-21",11.21
"55","2007-03-22",11.05
"56","2007-03-23",11.2
"57","2007-03-26",10.78
"58","2007-03-27",10.82
"59","2007-03-28",10.86
"60","2007-03-29",10.73
"61","2007-03-30",10.76
"62","2007-04-02",10.58
"63","2007-04-03",10.64
"64","2007-04-04",10.49
"65","2007-04-05",10.61
"66","2007-04-09",10.56
"67","2007-04-10",10.23
"68","2007-04-11",10.01
"69","2007-04-12",10.01
"70","2007-04-13",10
"71","2007-04-16",9.76
"72","2007-04-17",9.55
"73","2007-04-18",9.69
"74","2007-04-19",9.74
"75","2007-04-20",9.51
"76","2007-04-23",9.34
"77","2007-04-24",9.49
"78","2007-04-25",9.64
"79","2007-04-26",9.49
"80","2007-04-27",9.49
"81","2007-04-30",9.75
"82","2007-05-01",9.41
"83","2007-05-02",9.58
"84","2007-05-03",9.74
"85","2007-05-04",9.52
"86","2007-05-07",9.52
"87","2007-05-08",9.49
"88","2007-05-09",9.5
"89","2007-05-10",9.49
"90","2007-05-11",9.56
"91","2007-05-14",9.43
"92","2007-05-15",9.37
"93","2007-05-16",9.31
"94","2007-05-17",9.25
"95","2007-05-18",9.2
"96","2007-05-21",9.08
"97","2007-05-22",9.06
"98","2007-05-23",9.2
"99","2007-05-24",9.2
"100","2007-05-25",9.15
"101","2007-05-29",9.11
"102","2007-05-30",9.2
"103","2007-05-31",9.15
"104","2007-06-01",9.49
"105","2007-06-04",9.07
"106","2007-06-05",9.1
"107","2007-06-06",8.99
"108","2007-06-07",8.75
"109","2007-06-08",8.74
"110","2007-06-11",8.87
"111","2007-06-12",8.77
"112","2007-06-13",8.7
"113","2007-06-14",8.56
"114","2007-06-15",8.73
"115","2007-06-18",8.8
"116","2007-06-19",8.75
"117","2007-06-20",8.61
"118","2007-06-21",8.68
"119","2007-06-22",8.65
"120","2007-06-25",8.6
"121","2007-06-26",8.35
"122","2007-06-27",8.37
"123","2007-06-28",8.3
"124","2007-06-29",8.38
"125","2007-07-02",8.37
"126","2007-07-03",8.49
"127","2007-07-05",8.5
"128","2007-07-06",8.54
"129","2007-07-09",8.7
"130","2007-07-10",8.37
"131","2007-07-11",8.44
"132","2007-07-12",8.45
"133","2007-07-13",8.45
"134","2007-07-16",8.4
"135","2007-07-17",8.5
"136","2007-07-18",8.5
"137","2007-07-19",8.47
"138","2007-07-20",8.49
"139","2007-07-23",8.48
"140","2007-07-24",8.49
"141","2007-07-25",8.5
"142","2007-07-26",8.37
"143","2007-07-27",8.56
"144","2007-07-30",8.45
"145","2007-07-31",8.3
"146","2007-08-01",8.3
"147","2007-08-02",8.5
"148","2007-08-03",8.39
"149","2007-08-06",8.3
"150","2007-08-07",8.3
"151","2007-08-08",8.46
"152","2007-08-09",8.39
"153","2007-08-10",8.19
"154","2007-08-13",8.34
"155","2007-08-14",8.34
"156","2007-08-15",8.07
"157","2007-08-16",7.26
"158","2007-08-17",7.22
"159","2007-08-20",7.35
"160","2007-08-21",7.09
"161","2007-08-22",7.14
"162","2007-08-23",6.91
"163","2007-08-24",6.82
"164","2007-08-27",6.75
"165","2007-08-28",6.61
"166","2007-08-29",7.2
"167","2007-08-30",6.7
"168","2007-08-31",6.59
"169","2007-09-04",6.56
"170","2007-09-05",6.43
"171","2007-09-06",6.38
"172","2007-09-07",6.63
"173","2007-09-10",6.64
"174","2007-09-11",6.82
"175","2007-09-12",6.7
"176","2007-09-13",6.77
"177","2007-09-14",6.79
"178","2007-09-17",6.71
"179","2007-09-18",6.8
"180","2007-09-19",6.91
"181","2007-09-20",7.26
"182","2007-09-21",7.36
"183","2007-09-24",7.26
"184","2007-09-25",7.45
"185","2007-09-26",7.6
"186","2007-09-27",7.67
"187","2007-09-28",7.9
"188","2007-10-01",8.09
"189","2007-10-02",8.1
"190","2007-10-03",8.04
"191","2007-10-04",8.07
"192","2007-10-05",8.08
"193","2007-10-08",8.08
"194","2007-10-09",8.48
"195","2007-10-10",8.26
"196","2007-10-11",7.96
"197","2007-10-12",7.9
"198","2007-10-15",8.02
"199","2007-10-16",7.44
"200","2007-10-17",7.46
"201","2007-10-18",7.45
"202","2007-10-19",7.34
"203","2007-10-22",6.99
"204","2007-10-23",7.08
"205","2007-10-24",7.26
"206","2007-10-25",6.1
"207","2007-10-26",5.83
"208","2007-10-29",5.58
"209","2007-10-30",5.4
"210","2007-10-31",5.7
"211","2007-11-01",5.49
"212","2007-11-02",5.7
"213","2007-11-05",5.51
"214","2007-11-06",5
"215","2007-11-07",4.99
"216","2007-11-08",4.91
"217","2007-11-09",5.08
"218","2007-11-12",5
"219","2007-11-13",4.98
"220","2007-11-14",5.1
"221","2007-11-15",4.81
"222","2007-11-16",5
"223","2007-11-19",5
"224","2007-11-20",4.9
"225","2007-11-21",4.9
"226","2007-11-23",4.9
"227","2007-11-26",4.75
"228","2007-11-27",4.65
"229","2007-11-28",4.56
"230","2007-11-29",4.5
"231","2007-11-30",4.55
"232","2007-12-03",4.33
"233","2007-12-04",4.5
"234","2007-12-05",4.46
"235","2007-12-06",4.5
"236","2007-12-07",4.48
"237","2007-12-10",4.76
"238","2007-12-11",4.76
"239","2007-12-12",4.7
"240","2007-12-13",4.78
"241","2007-12-14",4.89
"242","2007-12-17",4.79
"243","2007-12-18",4.88
"244","2007-12-19",4.59
"245","2007-12-20",4.71
"246","2007-12-21",4.8
"247","2007-12-24",4.74
"248","2007-12-26",4.58
"249","2007-12-27",4.64
"250","2007-12-28",4.55
"251","2007-12-31",4.6
"252","2008-01-02",4.6
"253","2008-01-03",4.65
"254","2008-01-04",4.66
"255","2008-01-07",4.42
"256","2008-01-08",4.38
"257","2008-01-09",4.3
"258","2008-01-10",4.12
"259","2008-01-11",4.44
"260","2008-01-14",4.51
"261","2008-01-15",4.48
"262","2008-01-16",4.28
"263","2008-01-17",4.05
"264","2008-01-18",4
"265","2008-01-22",3.81
"266","2008-01-23",3.83
"267","2008-01-24",3.7
"268","2008-01-25",3.65
"269","2008-01-28",3.56
"270","2008-01-29",3.52
"271","2008-01-30",3.71
"272","2008-01-31",3.58
"273","2008-02-01",3.5
"274","2008-02-04",3.36
"275","2008-02-05",3.39
"276","2008-02-06",3.35
"277","2008-02-07",3.69
"278","2008-02-08",3.61
"279","2008-02-11",3.49
"280","2008-02-12",3.53
"281","2008-02-13",3.5
"282","2008-02-14",3.75
"283","2008-02-15",3.6
"284","2008-02-19",3.71
"285","2008-02-20",3.79
"286","2008-02-21",3.78
"287","2008-02-22",3.8
"288","2008-02-25",3.83
"289","2008-02-26",3.88
"290","2008-02-27",3.81
"291","2008-02-28",3.55
"292","2008-02-29",3.7
"293","2008-03-03",3.6
"294","2008-03-04",3.6
"295","2008-03-05",3.6
"296","2008-03-06",3.55
"297","2008-03-07",3.35
"298","2008-03-10",3.65
"299","2008-03-11",3.65
"300","2008-03-12",3.65
"301","2008-03-13",3.5
"302","2008-03-14",3.5
"303","2008-03-17",3.5
"304","2008-03-18",3.69
"305","2008-03-19",3.5
"306","2008-03-20",3.72
"307","2008-03-24",3.6
"308","2008-03-25",3.68
"309","2008-03-26",3.5
"310","2008-03-27",3.35
"311","2008-03-28",3.45
"312","2008-03-31",3.45
"313","2008-04-01",3.31
"314","2008-04-02",3.33
"315","2008-04-03",3.6
"316","2008-04-04",4
"317","2008-04-07",3.55
"318","2008-04-08",3.7
"319","2008-04-09",3.6
"320","2008-04-10",3.75
"321","2008-04-11",3.75
"322","2008-04-14",4.04
"323","2008-04-15",4.15
"324","2008-04-16",4
"325","2008-04-17",3.57
"326","2008-04-18",3.94
"327","2008-04-21",3.8
"328","2008-04-22",3.8
"329","2008-04-23",3.7
"330","2008-04-24",3.8
"331","2008-04-25",3.72
"332","2008-04-28",3.73
"333","2008-04-29",3.7
"334","2008-04-30",4
"335","2008-05-01",4.1
"336","2008-05-02",4.2
"337","2008-05-05",4.07
"338","2008-05-06",4.08
"339","2008-05-07",4.08
"340","2008-05-08",4
"341","2008-05-09",3.7
"342","2008-05-12",3.7
"343","2008-05-13",3.9
"344","2008-05-14",3.91
"345","2008-05-15",4.11
"346","2008-05-16",4.05
"347","2008-05-19",4.05
"348","2008-05-20",4.15
"349","2008-05-21",4.08
"350","2008-05-22",4.08
"351","2008-05-23",4.15
