"","date","MRCC"
"1","2012-10-25",15.25
"2","2012-10-26",15.14
"3","2012-10-31",15.25
"4","2012-11-01",15
"5","2012-11-02",15.007
"6","2012-11-05",14.93
"7","2012-11-06",15
"8","2012-11-07",15
"9","2012-11-08",15.02
"10","2012-11-09",15.01
"11","2012-11-12",15.25
"12","2012-11-13",15.02
"13","2012-11-14",15
"14","2012-11-15",14.97
"15","2012-11-16",15.24
"16","2012-11-19",15.02
"17","2012-11-20",15.01
"18","2012-11-21",15.01
"19","2012-11-23",15
"20","2012-11-26",15.05
"21","2012-11-27",15.05
"22","2012-11-28",15
"23","2012-11-29",14.87
"24","2012-11-30",15
"25","2012-12-03",14.89
"26","2012-12-04",15.1
"27","2012-12-05",15.3
"28","2012-12-06",15
"29","2012-12-07",14.97
"30","2012-12-10",15.03
"31","2012-12-11",15.15
"32","2012-12-12",14.99
"33","2012-12-13",15
"34","2012-12-14",15
"35","2012-12-17",15.1
"36","2012-12-18",15
"37","2012-12-19",15
"38","2012-12-20",14.71
"39","2012-12-21",14.9
"40","2012-12-24",15.14
"41","2012-12-26",14.81
"42","2012-12-27",14.75
"43","2012-12-28",14.59
"44","2012-12-31",14.83
"45","2013-01-02",15.04
"46","2013-01-03",15.09
"47","2013-01-04",15
"48","2013-01-07",15.06
"49","2013-01-08",15.06
"50","2013-01-09",14.85
"51","2013-01-10",14.7
"52","2013-01-11",14.55
"53","2013-01-14",15.1
"54","2013-01-15",14.98
"55","2013-01-16",15.05
"56","2013-01-17",15
"57","2013-01-18",15.1
"58","2013-01-22",15.2
"59","2013-01-23",15.2
"60","2013-01-24",15.3
"61","2013-01-25",15.2
"62","2013-01-28",14.87
"63","2013-01-29",15.03
"64","2013-01-30",15.2
"65","2013-01-31",15.172
"66","2013-02-01",15.2
"67","2013-02-04",15.01
"68","2013-02-05",15.15
"69","2013-02-06",15.084
"70","2013-02-07",15.02
"71","2013-02-08",15.2
"72","2013-02-11",15.05
"73","2013-02-12",15.25
"74","2013-02-13",15.25
"75","2013-02-14",15.17
"76","2013-02-15",15.25
"77","2013-02-19",15.35
"78","2013-02-20",15.25
"79","2013-02-21",15.1
"80","2013-02-22",15.15
"81","2013-02-25",15
"82","2013-02-26",15.146
"83","2013-02-27",15.267
"84","2013-02-28",15.06
"85","2013-03-01",15.11
"86","2013-03-04",15.05
"87","2013-03-05",15.354
"88","2013-03-06",15.25
"89","2013-03-07",15.19
"90","2013-03-08",15.22
"91","2013-03-11",15.16
"92","2013-03-12",15.2
"93","2013-03-13",15.3
"94","2013-03-14",15.39
"95","2013-03-15",15.04
"96","2013-03-18",15.31
"97","2013-03-19",15.15
"98","2013-03-20",15.04
"99","2013-03-21",15.05
"100","2013-03-22",15.219
"101","2013-03-25",15.1
"102","2013-03-26",15
"103","2013-03-27",15
"104","2013-03-28",15.04
"105","2013-04-01",15.044
"106","2013-04-02",14.96
"107","2013-04-03",15.02
"108","2013-04-04",15.155
"109","2013-04-05",15.146
"110","2013-04-08",15.17
"111","2013-04-09",15.02
"112","2013-04-10",15.023
"113","2013-04-11",15.05
"114","2013-04-12",14.85
"115","2013-04-15",14.99
"116","2013-04-16",15.075
"117","2013-04-17",15.19
"118","2013-04-18",15.33
"119","2013-04-19",15.31
"120","2013-04-22",15.1
"121","2013-04-23",15.2
"122","2013-04-24",15.44
"123","2013-04-25",15.44
"124","2013-04-26",15.18
"125","2013-04-29",15.15
"126","2013-04-30",15.249
"127","2013-05-01",15.1
"128","2013-05-02",14.98
"129","2013-05-03",15
"130","2013-05-06",15.175
"131","2013-05-07",15.19
"132","2013-05-08",15.22
"133","2013-05-09",15.06
"134","2013-05-10",15.04
"135","2013-05-13",14.95
"136","2013-05-14",15.33
"137","2013-05-15",15.45
"138","2013-05-16",15.25
"139","2013-05-17",15.4
"140","2013-05-20",15.39
"141","2013-05-21",15.46
"142","2013-05-22",15.297
"143","2013-05-23",15.07
"144","2013-05-24",15.143
"145","2013-05-28",14.95
"146","2013-05-29",15.09
"147","2013-05-30",15.19
"148","2013-05-31",15.16
"149","2013-06-03",15.19
"150","2013-06-04",15.2
"151","2013-06-05",15.17
"152","2013-06-06",15.19
"153","2013-06-07",15.188
"154","2013-06-10",15.09
"155","2013-06-11",15.1
"156","2013-06-12",14.75
"157","2013-06-13",15.09
"158","2013-06-14",14.85
"159","2013-06-17",15.1
"160","2013-06-18",14.91
"161","2013-06-19",14.98
"162","2013-06-20",14.99
"163","2013-06-21",14.75
"164","2013-06-24",14.65
"165","2013-06-25",14.629
"166","2013-06-26",14.6
"167","2013-06-27",14.8
"168","2013-06-28",14.98
"169","2013-07-01",14.76
"170","2013-07-02",14.886
"171","2013-07-03",14.85
"172","2013-07-05",14.99
"173","2013-07-08",14.76
"174","2013-07-09",14.92
"175","2013-07-10",14.845
"176","2013-07-11",14.89
"177","2013-07-12",14.67
"178","2013-07-15",13.84
"179","2013-07-16",14.05
"180","2013-07-17",13.97
"181","2013-07-18",14.05
"182","2013-07-19",14.05
"183","2013-07-22",14.05
"184","2013-07-23",13.975
"185","2013-07-24",13.91
"186","2013-07-25",13.85
"187","2013-07-26",13.8
"188","2013-07-29",13.94
"189","2013-07-30",14.1
"190","2013-07-31",14.19
"191","2013-08-01",14.05
"192","2013-08-02",13.95
"193","2013-08-05",13.94
"194","2013-08-06",13.99
"195","2013-08-07",13.8
"196","2013-08-08",13.84
"197","2013-08-09",13.87
"198","2013-08-12",13.75
"199","2013-08-13",13.78
"200","2013-08-14",13.84
"201","2013-08-15",13.43
"202","2013-08-16",13.5
"203","2013-08-19",13.52
"204","2013-08-20",13.8
"205","2013-08-21",13.73
"206","2013-08-22",13.68
"207","2013-08-23",13.61
"208","2013-08-26",13.85
"209","2013-08-27",13.83
"210","2013-08-28",13.55
"211","2013-08-29",13.63
"212","2013-08-30",13.95
"213","2013-09-03",13.98
"214","2013-09-04",14
"215","2013-09-05",13.98
"216","2013-09-06",13.86
"217","2013-09-09",13.74
"218","2013-09-10",13.8
"219","2013-09-11",13.49
"220","2013-09-12",13.49
"221","2013-09-13",13.3
"222","2013-09-16",13.39
"223","2013-09-17",13.33
"224","2013-09-18",13.19
"225","2013-09-19",13.18
"226","2013-09-20",13.15
"227","2013-09-23",13.12
"228","2013-09-24",12.98
"229","2013-09-25",12.95
"230","2013-09-26",13.16
"231","2013-09-27",13.27
"232","2013-09-30",12.99
"233","2013-10-01",13.21
"234","2013-10-02",13.19
"235","2013-10-03",13.57
"236","2013-10-04",13.47
"237","2013-10-07",13.87
"238","2013-10-08",13.8
"239","2013-10-09",13.56
"240","2013-10-10",13.45
"241","2013-10-11",13.43
"242","2013-10-14",13.43
"243","2013-10-15",13.35
"244","2013-10-16",13.55
"245","2013-10-17",13.5
"246","2013-10-18",13.6
"247","2013-10-21",13.4
"248","2013-10-22",13.38
"249","2013-10-23",13.18
"250","2013-10-24",13.19
"251","2013-10-25",13.34
"252","2013-10-28",13.02
"253","2013-10-29",12.99
"254","2013-10-30",12.76
"255","2013-10-31",12.86
"256","2013-11-01",12.8
"257","2013-11-04",12.72
"258","2013-11-05",12.46
"259","2013-11-06",12.5
"260","2013-11-07",11.99
"261","2013-11-08",11.85
"262","2013-11-11",12.14
"263","2013-11-12",12.11
"264","2013-11-13",12.46
"265","2013-11-14",12.76
"266","2013-11-15",12.6
"267","2013-11-18",12.62
"268","2013-11-19",12.54
"269","2013-11-20",12.58
"270","2013-11-21",12.46
"271","2013-11-22",12.51
"272","2013-11-25",12.68
"273","2013-11-26",12.6
"274","2013-11-27",12.61
"275","2013-11-29",12.93
"276","2013-12-02",12.84
"277","2013-12-03",12.6
"278","2013-12-04",12.55
"279","2013-12-05",12.38
"280","2013-12-06",12.45
"281","2013-12-09",12.39
"282","2013-12-10",12.28
"283","2013-12-11",11.95
"284","2013-12-12",11.75
"285","2013-12-13",11.9
"286","2013-12-16",11.95
"287","2013-12-17",12.05
"288","2013-12-18",11.88
"289","2013-12-19",12
"290","2013-12-20",11.96
"291","2013-12-23",11.95
"292","2013-12-24",11.91
"293","2013-12-26",12.1
"294","2013-12-27",12.46
"295","2013-12-30",12.18
"296","2013-12-31",12.2
"297","2014-01-02",12.29
"298","2014-01-03",12.3
"299","2014-01-06",12.27
"300","2014-01-07",12.21
"301","2014-01-08",12.19
"302","2014-01-09",12.27
"303","2014-01-10",12.32
"304","2014-01-13",12.33
"305","2014-01-14",12.49
"306","2014-01-15",12.7
"307","2014-01-16",12.77
"308","2014-01-17",12.74
"309","2014-01-21",12.95
"310","2014-01-22",12.89
"311","2014-01-23",12.95
"312","2014-01-24",12.88
"313","2014-01-27",13
"314","2014-01-28",13.06
"315","2014-01-29",12.99
"316","2014-01-30",13.25
"317","2014-01-31",13.14
"318","2014-02-03",13.02
"319","2014-02-04",12.89
"320","2014-02-05",12.8
"321","2014-02-06",12.97
"322","2014-02-07",13.07
"323","2014-02-10",13.2
"324","2014-02-11",13.17
"325","2014-02-12",13.19
"326","2014-02-13",13.28
"327","2014-02-14",13.14
"328","2014-02-18",13.43
"329","2014-02-19",13.36
"330","2014-02-20",13.22
"331","2014-02-21",13.19
"332","2014-02-24",13.24
"333","2014-02-25",13.01
"334","2014-02-26",12.93
"335","2014-02-27",13
"336","2014-02-28",13.25
"337","2014-03-03",13.13
