"","date","MRUS"
"1","2016-05-19",10.04
"2","2016-05-20",10
"3","2016-05-23",10.01
"4","2016-05-24",10.16
"5","2016-05-25",10.22
"6","2016-05-26",8.35
"7","2016-05-27",7.62
"8","2016-05-31",8.61
"9","2016-06-01",8.69
"10","2016-06-02",8.82
"11","2016-06-03",8.51
"12","2016-06-06",9.35
"13","2016-06-07",9.8
"14","2016-06-08",9.06
"15","2016-06-09",9.65
"16","2016-06-10",9.15
"17","2016-06-13",9.29
"18","2016-06-14",8.36
"19","2016-06-15",8.2
"20","2016-06-16",8.52
"21","2016-06-17",8.15
"22","2016-06-20",8.17
"23","2016-06-21",7.81
"24","2016-06-22",7.98
"25","2016-06-23",7.86
"26","2016-06-24",8
"27","2016-06-27",8.09
"28","2016-06-28",8
"29","2016-06-29",8
"30","2016-06-30",7.99
"31","2016-07-01",8.02
"32","2016-07-05",8.11
"33","2016-07-06",8.2
"34","2016-07-07",8.44
"35","2016-07-08",8.66
"36","2016-07-11",8.44
"37","2016-07-12",8.2
"38","2016-07-13",8.15
"39","2016-07-14",8.16
"40","2016-07-15",8.39
"41","2016-07-18",8.26
"42","2016-07-19",8.25
"43","2016-07-20",8.39
"44","2016-07-21",8.45
"45","2016-07-22",8.48
"46","2016-07-25",8.48
"47","2016-07-26",8.41
"48","2016-07-27",8.47
"49","2016-07-28",8.5
"50","2016-07-29",10.54
"51","2016-08-01",9.69
"52","2016-08-02",9.44
"53","2016-08-03",8.97
"54","2016-08-04",8.97
"55","2016-08-05",9.313
"56","2016-08-08",9.28
"57","2016-08-09",9.17
"58","2016-08-10",9.21
"59","2016-08-11",9
"60","2016-08-12",9
"61","2016-08-15",9.08
"62","2016-08-16",9.3
"63","2016-08-17",9.4
"64","2016-08-18",9.12
"65","2016-08-19",9.03
"66","2016-08-22",9.2
"67","2016-08-23",9.12
"68","2016-08-24",9.2
"69","2016-08-25",9.13
"70","2016-08-26",8.91
"71","2016-08-29",9.07
"72","2016-08-30",9.1
"73","2016-08-31",9.1
"74","2016-09-01",9.1
"75","2016-09-02",9.1
"76","2016-09-06",9.15
"77","2016-09-07",9.26
"78","2016-09-08",9.425
"79","2016-09-09",9.98
"80","2016-09-12",9.86
"81","2016-09-13",9.69
"82","2016-09-14",9.89
"83","2016-09-15",9.87
"84","2016-09-16",10.3
"85","2016-09-19",10.64
"86","2016-09-20",10.34
"87","2016-09-21",10.66
"88","2016-09-22",10.65
"89","2016-09-23",11.68
"90","2016-09-26",11.51
"91","2016-09-27",11.24
"92","2016-09-28",12.197
"93","2016-09-29",14.99
"94","2016-09-30",16.75
"95","2016-10-03",17.82
"96","2016-10-04",18
"97","2016-10-05",18.16
"98","2016-10-06",17.459999
"99","2016-10-07",17.99
"100","2016-10-10",17.66
"101","2016-10-11",17.209999
"102","2016-10-12",16.73
"103","2016-10-13",16.92
"104","2016-10-14",17.51
"105","2016-10-17",17.52
"106","2016-10-18",17.91
"107","2016-10-19",18.549999
"108","2016-10-20",18.6
"109","2016-10-21",18.76
"110","2016-10-24",18.799999
"111","2016-10-25",18.287001
"112","2016-10-26",18.413
"113","2016-10-27",18.413
"114","2016-10-28",18.120001
"115","2016-10-31",17.799999
"116","2016-11-01",16.799999
"117","2016-11-02",15.36
"118","2016-11-03",17.950001
"119","2016-11-04",15.21
"120","2016-11-07",15.25
"121","2016-11-08",15.85
"122","2016-11-09",15.85
"123","2016-11-10",16.486
"124","2016-11-11",17.4
"125","2016-11-14",16.85
"126","2016-11-15",16.99
"127","2016-11-16",16.76
"128","2016-11-17",16
"129","2016-11-18",17.49
"130","2016-11-21",15.51
"131","2016-11-22",15.51
"132","2016-11-23",15.51
"133","2016-11-25",15.51
"134","2016-11-28",15.9
"135","2016-11-29",15.9
"136","2016-11-30",15.166
"137","2016-12-01",15.01
"138","2016-12-02",15.1
"139","2016-12-05",15.09
"140","2016-12-06",15.32
"141","2016-12-07",15.6
"142","2016-12-08",15.5
"143","2016-12-09",15.75
"144","2016-12-12",15.65
"145","2016-12-13",15.5
"146","2016-12-14",15.125
"147","2016-12-15",15
"148","2016-12-16",13.85
"149","2016-12-19",14.15
"150","2016-12-20",14.15
"151","2016-12-21",20.219999
"152","2016-12-22",19.99
"153","2016-12-23",19.940001
"154","2016-12-27",20.91
"155","2016-12-28",20.969999
"156","2016-12-29",21.379999
"157","2016-12-30",21.110001
"158","2017-01-03",21.07
"159","2017-01-04",25.879999
