"","date","MSBI"
"1","2016-05-24",21.9
"2","2016-05-25",22.01
"3","2016-05-26",22.08
"4","2016-05-27",22.42
"5","2016-05-31",22.51
"6","2016-06-01",22.57
"7","2016-06-02",22.92
"8","2016-06-03",22.559999
"9","2016-06-06",22.940001
"10","2016-06-07",22.73
"11","2016-06-08",22.52
"12","2016-06-09",22.389999
"13","2016-06-10",22.280001
"14","2016-06-13",22.190001
"15","2016-06-14",21.870001
"16","2016-06-15",21.77
"17","2016-06-16",21.940001
"18","2016-06-17",21.99
"19","2016-06-20",22.139999
"20","2016-06-21",22
"21","2016-06-22",21.83
"22","2016-06-23",21.860001
"23","2016-06-24",21.52
"24","2016-06-27",21.25
"25","2016-06-28",21.059999
"26","2016-06-29",21.59
"27","2016-06-30",21.690001
"28","2016-07-01",21.780001
"29","2016-07-05",21.75
"30","2016-07-06",21.950001
"31","2016-07-07",21.940001
"32","2016-07-08",22.09
"33","2016-07-11",22.040001
"34","2016-07-12",22.030001
"35","2016-07-13",22.030001
"36","2016-07-14",22.049999
"37","2016-07-15",22.110001
"38","2016-07-18",22.15
"39","2016-07-19",22.34
"40","2016-07-20",22.049999
"41","2016-07-21",22.09
"42","2016-07-22",22.35
"43","2016-07-25",22.129999
"44","2016-07-26",22.25
"45","2016-07-27",22.25
"46","2016-07-28",22.120001
"47","2016-07-29",22.76
"48","2016-08-01",22.73
"49","2016-08-02",22.620001
"50","2016-08-03",22.68
"51","2016-08-04",22.459999
"52","2016-08-05",22.530001
"53","2016-08-08",22.559999
"54","2016-08-09",22.610001
"55","2016-08-10",22.459999
"56","2016-08-11",23.030001
"57","2016-08-12",22.950001
"58","2016-08-15",22.940001
"59","2016-08-16",23.219999
"60","2016-08-17",23.26
"61","2016-08-18",23.780001
"62","2016-08-19",23.559999
"63","2016-08-22",23.91
"64","2016-08-23",23.91
"65","2016-08-24",23.959999
"66","2016-08-25",24.08
"67","2016-08-26",24.290001
"68","2016-08-29",24.25
"69","2016-08-30",24.4
"70","2016-08-31",24.34
"71","2016-09-01",24.459999
"72","2016-09-02",24.780001
"73","2016-09-06",24.73
"74","2016-09-07",24.67
"75","2016-09-08",24.59
"76","2016-09-09",25.1
"77","2016-09-12",25
"78","2016-09-13",24.82
"79","2016-09-14",24.67
"80","2016-09-15",24.84
"81","2016-09-16",24.120001
"82","2016-09-19",24.809999
"83","2016-09-20",24.309999
"84","2016-09-21",24.33
"85","2016-09-22",24.959999
"86","2016-09-23",24.66
"87","2016-09-26",24.82
"88","2016-09-27",24.940001
"89","2016-09-28",24.9
"90","2016-09-29",24.74
"91","2016-09-30",25.34
"92","2016-10-03",25.280001
"93","2016-10-04",25.17
"94","2016-10-05",26.040001
"95","2016-10-06",25.629999
"96","2016-10-07",25.49
"97","2016-10-10",25.809999
"98","2016-10-11",25.540001
"99","2016-10-12",25.690001
"100","2016-10-13",25.66
"101","2016-10-14",25.93
"102","2016-10-17",25.67
"103","2016-10-18",25.879999
"104","2016-10-19",26.1
"105","2016-10-20",26.469999
"106","2016-10-21",26.59
"107","2016-10-24",26.58
"108","2016-10-25",26.15
"109","2016-10-26",26.360001
"110","2016-10-27",25.98
