"","date","MSGN"
"1","2010-01-25",6.571947
"2","2010-01-26",6.441959
"3","2010-01-27",6.181983
"4","2010-01-28",6.166868
"5","2010-01-29",5.92503
"6","2010-02-01",5.940145
"7","2010-02-02",5.92503
"8","2010-02-03",5.834341
"9","2010-02-04",5.592503
"10","2010-02-05",5.465538
"11","2010-02-08",5.713422
"12","2010-02-09",5.50786
"13","2010-02-10",5.290205
"14","2010-02-11",5.356711
"15","2010-02-12",5.973398
"16","2010-02-16",6.045949
"17","2010-02-17",6.00665
"18","2010-02-18",5.952237
"19","2010-02-19",5.894801
"20","2010-02-22",5.84341
"21","2010-02-23",5.728537
"22","2010-02-24",5.734583
"23","2010-02-25",5.828295
"24","2010-02-26",5.894801
"25","2010-03-01",6.121523
"26","2010-03-02",6.197098
"27","2010-03-03",6.142684
"28","2010-03-04",6.033857
"29","2010-03-05",5.92503
"30","2010-03-08",5.894801
"31","2010-03-09",5.855502
"32","2010-03-10",5.740629
"33","2010-03-11",5.710399
"34","2010-03-12",5.864571
"35","2010-03-15",5.737606
"36","2010-03-16",5.897823
"37","2010-03-17",6.055018
"38","2010-03-18",6.064087
"39","2010-03-19",6.070133
"40","2010-03-22",6.079202
"41","2010-03-23",6.345224
"42","2010-03-24",6.296856
"43","2010-03-25",6.523579
"44","2010-03-26",6.650544
"45","2010-03-29",6.620315
"46","2010-03-30",6.623337
"47","2010-03-31",6.568924
"48","2010-04-01",6.593108
"49","2010-04-05",6.587062
"50","2010-04-06",6.668682
"51","2010-04-07",6.65659
"52","2010-04-08",6.659613
"53","2010-04-09",6.698912
"54","2010-04-12",6.750302
"55","2010-04-13",6.620315
"56","2010-04-14",6.647521
"57","2010-04-15",6.644498
"58","2010-04-16",6.593108
"59","2010-04-19",6.599154
"60","2010-04-20",6.62636
"61","2010-04-21",6.629383
"62","2010-04-22",6.553809
"63","2010-04-23",6.526602
"64","2010-04-26",6.550786
"65","2010-04-27",6.46312
"66","2010-04-28",6.333132
"67","2010-04-29",6.348247
"68","2010-04-30",6.272672
"69","2010-05-03",6.275695
"70","2010-05-04",6.17896
"71","2010-05-05",6.033857
"72","2010-05-06",5.894801
"73","2010-05-07",6.142684
"74","2010-05-10",6.393591
"75","2010-05-11",6.559855
"76","2010-05-12",6.674728
"77","2010-05-13",6.692866
"78","2010-05-14",6.650544
"79","2010-05-17",6.659613
