"","date","MTB"
"1","2007-01-03",122.68
"2","2007-01-04",122.550003
"3","2007-01-05",120.410004
"4","2007-01-08",121.260002
"5","2007-01-09",120.959999
"6","2007-01-10",122.68
"7","2007-01-11",121.419998
"8","2007-01-12",120.309998
"9","2007-01-16",119.860001
"10","2007-01-17",118.93
"11","2007-01-18",119.07
"12","2007-01-19",119.07
"13","2007-01-22",119.330002
"14","2007-01-23",119.57
"15","2007-01-24",121.139999
"16","2007-01-25",119.889999
"17","2007-01-26",119.470001
"18","2007-01-29",120.169998
"19","2007-01-30",121.050003
"20","2007-01-31",121.309998
"21","2007-02-01",121.639999
"22","2007-02-02",122.349998
"23","2007-02-05",121.790001
"24","2007-02-06",122.139999
"25","2007-02-07",122.949997
"26","2007-02-08",122.440002
"27","2007-02-09",121.669998
"28","2007-02-12",122
"29","2007-02-13",123.129997
"30","2007-02-14",124.029999
"31","2007-02-15",124.129997
"32","2007-02-16",124.419998
"33","2007-02-20",124.739998
"34","2007-02-21",124.550003
"35","2007-02-22",124.239998
"36","2007-02-23",124.18
"37","2007-02-26",123.129997
"38","2007-02-27",119.889999
"39","2007-02-28",119.919998
"40","2007-03-01",119.419998
"41","2007-03-02",118.279999
"42","2007-03-05",116.610001
"43","2007-03-06",118.32
"44","2007-03-07",117.07
"45","2007-03-08",117.449997
"46","2007-03-09",117.440002
"47","2007-03-12",117.010002
"48","2007-03-13",113.639999
"49","2007-03-14",114.040001
"50","2007-03-15",115.25
"51","2007-03-16",116
"52","2007-03-19",116.32
"53","2007-03-20",117.089996
"54","2007-03-21",119.709999
"55","2007-03-22",118.269997
"56","2007-03-23",118.559998
"57","2007-03-26",117.919998
"58","2007-03-27",116.709999
"59","2007-03-28",115.57
"60","2007-03-29",116.370003
"61","2007-03-30",115.830002
"62","2007-04-02",105.949997
"63","2007-04-03",106.269997
"64","2007-04-04",104.599998
"65","2007-04-05",105.989998
"66","2007-04-09",105.269997
"67","2007-04-10",106.089996
"68","2007-04-11",105.360001
"69","2007-04-12",104.639999
"70","2007-04-13",105.879997
"71","2007-04-16",107.57
"72","2007-04-17",109.120003
"73","2007-04-18",112.099998
"74","2007-04-19",112.559998
"75","2007-04-20",113.589996
"76","2007-04-23",112.110001
"77","2007-04-24",112.099998
"78","2007-04-25",113.07
"79","2007-04-26",112.419998
"80","2007-04-27",111.620003
"81","2007-04-30",111.339996
"82","2007-05-01",111.919998
"83","2007-05-02",112.559998
"84","2007-05-03",113.050003
"85","2007-05-04",113.620003
"86","2007-05-07",113.480003
"87","2007-05-08",112.75
"88","2007-05-09",113.080002
"89","2007-05-10",111.389999
"90","2007-05-11",112.050003
"91","2007-05-14",111.709999
"92","2007-05-15",111.150002
"93","2007-05-16",112.120003
"94","2007-05-17",112.410004
"95","2007-05-18",112.699997
"96","2007-05-21",112.940002
"97","2007-05-22",113.110001
"98","2007-05-23",112.860001
"99","2007-05-24",110.980003
"100","2007-05-25",110.75
"101","2007-05-29",110.879997
"102","2007-05-30",110.75
"103","2007-05-31",110.43
"104","2007-06-01",111.339996
"105","2007-06-04",110.559998
"106","2007-06-05",109.010002
"107","2007-06-06",108.199997
"108","2007-06-07",107.290001
"109","2007-06-08",109.57
"110","2007-06-11",109.510002
"111","2007-06-12",107.220001
"112","2007-06-13",109.550003
"113","2007-06-14",108.82
"114","2007-06-15",108.75
"115","2007-06-18",108.68
"116","2007-06-19",109.389999
"117","2007-06-20",107.650002
"118","2007-06-21",108.519997
"119","2007-06-22",106.940002
"120","2007-06-25",106.779999
"121","2007-06-26",107.209999
"122","2007-06-27",108.389999
"123","2007-06-28",108.330002
"124","2007-06-29",106.900002
"125","2007-07-02",108.540001
"126","2007-07-03",109.199997
"127","2007-07-05",108.040001
"128","2007-07-06",108.699997
"129","2007-07-09",107.959999
"130","2007-07-10",106.540001
"131","2007-07-11",107.730003
"132","2007-07-12",111.739998
"133","2007-07-13",111.720001
"134","2007-07-16",112.120003
"135","2007-07-17",112.690002
"136","2007-07-18",110.5
"137","2007-07-19",110.739998
"138","2007-07-20",108.709999
"139","2007-07-23",108.32
"140","2007-07-24",105.550003
"141","2007-07-25",107.059998
"142","2007-07-26",105.040001
"143","2007-07-27",105.400002
"144","2007-07-30",107.160004
"145","2007-07-31",106.290001
"146","2007-08-01",106.529999
"147","2007-08-02",105.370003
"148","2007-08-03",99.849998
"149","2007-08-06",106.93
"150","2007-08-07",106.269997
"151","2007-08-08",107.349998
"152","2007-08-09",99.949997
"153","2007-08-10",102.389999
"154","2007-08-13",101.599998
"155","2007-08-14",100.040001
"156","2007-08-15",100.550003
"157","2007-08-16",108.43
"158","2007-08-17",111.669998
"159","2007-08-20",107.699997
"160","2007-08-21",108.57
"161","2007-08-22",108.290001
"162","2007-08-23",106.089996
"163","2007-08-24",108.040001
"164","2007-08-27",106.529999
"165","2007-08-28",103.410004
"166","2007-08-29",106.599998
"167","2007-08-30",104.150002
"168","2007-08-31",105.879997
"169","2007-09-04",106.470001
"170","2007-09-05",105.330002
"171","2007-09-06",105.099998
"172","2007-09-07",103.199997
"173","2007-09-10",103.790001
"174","2007-09-11",105.089996
"175","2007-09-12",103.93
"176","2007-09-13",105.059998
"177","2007-09-14",104.800003
"178","2007-09-17",104.410004
"179","2007-09-18",109.18
"180","2007-09-19",109.339996
"181","2007-09-20",108.220001
"182","2007-09-21",107.599998
"183","2007-09-24",105.339996
"184","2007-09-25",104.300003
"185","2007-09-26",104.449997
"186","2007-09-27",105.050003
"187","2007-09-28",103.449997
"188","2007-10-01",105.32
"189","2007-10-02",105.910004
"190","2007-10-03",106.339996
"191","2007-10-04",107.129997
"192","2007-10-05",107.730003
"193","2007-10-08",106.419998
"194","2007-10-09",107.019997
"195","2007-10-10",105.309998
"196","2007-10-11",104.839996
"197","2007-10-12",101.339996
"198","2007-10-15",99.889999
"199","2007-10-16",97.940002
"200","2007-10-17",100
"201","2007-10-18",98.599998
"202","2007-10-19",97.389999
"203","2007-10-22",98.110001
"204","2007-10-23",97.959999
"205","2007-10-24",97.160004
"206","2007-10-25",97.580002
"207","2007-10-26",100.260002
"208","2007-10-29",99.5
"209","2007-10-30",98.650002
"210","2007-10-31",99.480003
"211","2007-11-01",93.440002
"212","2007-11-02",91.470001
"213","2007-11-05",90.769997
