"","date","NERV"
"1","2014-07-01",6.05
"2","2014-07-02",6
"3","2014-07-03",6.13
"4","2014-07-07",5.9
"5","2014-07-08",5.97
"6","2014-07-09",5.93
"7","2014-07-10",6.68
"8","2014-07-11",6.61
"9","2014-07-14",6.8
"10","2014-07-15",5.85
"11","2014-07-16",6.09
"12","2014-07-17",6.35
"13","2014-07-18",6.4
"14","2014-07-21",6.33
"15","2014-07-22",6.15
"16","2014-07-23",6.1
"17","2014-07-24",6.56
"18","2014-07-25",6.78
"19","2014-07-28",7.53
"20","2014-07-29",7.19
"21","2014-07-30",6.53
"22","2014-07-31",6.31
"23","2014-08-01",6.26
"24","2014-08-04",6.63
"25","2014-08-05",6.24
"26","2014-08-06",6.82
"27","2014-08-07",7
"28","2014-08-08",6.51
"29","2014-08-11",6.54
"30","2014-08-12",6.975
"31","2014-08-13",6.86
"32","2014-08-14",6.99
"33","2014-08-15",7.29
"34","2014-08-18",6.97
"35","2014-08-19",6.96
"36","2014-08-20",6.67
"37","2014-08-21",6.75
"38","2014-08-22",6.75
"39","2014-08-25",6.76
"40","2014-08-26",6.8
"41","2014-08-27",6.9
"42","2014-08-28",6.94
"43","2014-08-29",7.08
"44","2014-09-02",7.1
"45","2014-09-03",7.06
"46","2014-09-04",7.19
"47","2014-09-05",7.01
"48","2014-09-08",7.48
"49","2014-09-09",7.63
"50","2014-09-10",7.65
"51","2014-09-11",7.5
"52","2014-09-12",7.57
"53","2014-09-15",7.56
"54","2014-09-16",7.29
"55","2014-09-17",7.09
"56","2014-09-18",6.6
"57","2014-09-19",6.21
"58","2014-09-22",5.8
"59","2014-09-23",5.97
"60","2014-09-24",5.8
"61","2014-09-25",5.87
"62","2014-09-26",5.91
"63","2014-09-29",6.01
"64","2014-09-30",6.05
"65","2014-10-01",6.138
"66","2014-10-02",6.06
"67","2014-10-03",6.25
"68","2014-10-06",6.11
"69","2014-10-07",5.95
"70","2014-10-08",5.38
"71","2014-10-09",5.1
"72","2014-10-10",4.56
"73","2014-10-13",4.65
"74","2014-10-14",4.54
"75","2014-10-15",4.32
"76","2014-10-16",4.57
"77","2014-10-17",4.48
"78","2014-10-20",4.25
"79","2014-10-21",4.57
"80","2014-10-22",4.36
"81","2014-10-23",4.39
"82","2014-10-24",4.43
"83","2014-10-27",4.45
"84","2014-10-28",4.51
"85","2014-10-29",4.43
"86","2014-10-30",4.36
"87","2014-10-31",4.38
"88","2014-11-03",4.37
"89","2014-11-04",4.35
"90","2014-11-05",4.35
"91","2014-11-06",4.28
"92","2014-11-07",4.18
"93","2014-11-10",4.21
"94","2014-11-11",4.18
"95","2014-11-12",4.21
"96","2014-11-13",4.21
"97","2014-11-14",4.29
"98","2014-11-17",4.54
"99","2014-11-18",4.37
"100","2014-11-19",4.26
"101","2014-11-20",4.4
"102","2014-11-21",4.33
"103","2014-11-24",4.42
"104","2014-11-25",4.7
"105","2014-11-26",4.75
"106","2014-11-28",4.7
"107","2014-12-01",4.83
"108","2014-12-02",4.7
"109","2014-12-03",4.56
"110","2014-12-04",4.45
"111","2014-12-05",4.4
"112","2014-12-08",4.69
"113","2014-12-09",4.55
"114","2014-12-10",4.74
"115","2014-12-11",4.61
"116","2014-12-12",4.5
"117","2014-12-15",4.5
"118","2014-12-16",4.51
"119","2014-12-17",4.77
"120","2014-12-18",4.85
"121","2014-12-19",5.67
"122","2014-12-22",5.32
"123","2014-12-23",5.48
"124","2014-12-24",5.63
"125","2014-12-26",5.53
"126","2014-12-29",5.53
"127","2014-12-30",6.13
"128","2014-12-31",6.02
"129","2015-01-02",6.11
"130","2015-01-05",6
"131","2015-01-06",6.49
"132","2015-01-07",5.69
"133","2015-01-08",5.53
"134","2015-01-09",5.62
"135","2015-01-12",5.35
"136","2015-01-13",4.98
"137","2015-01-14",4.8
"138","2015-01-15",4.59
"139","2015-01-16",4.66
"140","2015-01-20",4.65
"141","2015-01-21",4.366
"142","2015-01-22",5.09
"143","2015-01-23",5.15
"144","2015-01-26",5.02
"145","2015-01-27",5.1
"146","2015-01-28",4.91
"147","2015-01-29",4.59
"148","2015-01-30",4.38
"149","2015-02-02",4.34
"150","2015-02-03",4.44
"151","2015-02-04",4.34
"152","2015-02-05",4.85
"153","2015-02-06",4.77
"154","2015-02-09",4.88
"155","2015-02-10",4.75
"156","2015-02-11",4.69
"157","2015-02-12",4.585
"158","2015-02-13",4.68
"159","2015-02-17",4.92
"160","2015-02-18",5.68
"161","2015-02-19",5.485
"162","2015-02-20",5.32
"163","2015-02-23",5.03
"164","2015-02-24",4.97
"165","2015-02-25",5.16
"166","2015-02-26",5.09
"167","2015-02-27",5.14
"168","2015-03-02",5.02
"169","2015-03-03",5.14
"170","2015-03-04",5.2
"171","2015-03-05",5.58
"172","2015-03-06",5.34
"173","2015-03-09",5.37
"174","2015-03-10",5.05
"175","2015-03-11",4.86
"176","2015-03-12",4.81
"177","2015-03-13",5.2
"178","2015-03-16",5.95
"179","2015-03-17",6.05
"180","2015-03-18",6.26
"181","2015-03-19",6.07
"182","2015-03-20",5.98
"183","2015-03-23",5.93
"184","2015-03-24",5.675
"185","2015-03-25",5.29
"186","2015-03-26",5.36
"187","2015-03-27",5.29
"188","2015-03-30",5.08
"189","2015-03-31",5
"190","2015-04-01",4.87
"191","2015-04-02",4.86
"192","2015-04-06",5.26
"193","2015-04-07",5.2
"194","2015-04-08",5.223
"195","2015-04-09",5.34
"196","2015-04-10",5.3
"197","2015-04-13",5.18
"198","2015-04-14",5.19
"199","2015-04-15",5.31
"200","2015-04-16",5.83
"201","2015-04-17",5.77
"202","2015-04-20",5.78
"203","2015-04-21",5.63
"204","2015-04-22",5.68
"205","2015-04-23",5.59
"206","2015-04-24",5.74
"207","2015-04-27",5.59
"208","2015-04-28",5.381
"209","2015-04-29",5.172
"210","2015-04-30",5.07
"211","2015-05-01",5.05
"212","2015-05-04",5.1
"213","2015-05-05",5.17
"214","2015-05-06",5.1
"215","2015-05-07",5.15
"216","2015-05-08",5.21
"217","2015-05-11",5.21
"218","2015-05-12",5.11
"219","2015-05-13",5.15
"220","2015-05-14",5.07
"221","2015-05-15",5.13
"222","2015-05-18",5.06
"223","2015-05-19",5.06
"224","2015-05-20",5.1
"225","2015-05-21",5.06
"226","2015-05-22",5.12
"227","2015-05-26",5.02
"228","2015-05-27",4.98
"229","2015-05-28",5.03
"230","2015-05-29",5.03
"231","2015-06-01",5.01
"232","2015-06-02",4.99
"233","2015-06-03",5
"234","2015-06-04",5.05
"235","2015-06-05",5.14
"236","2015-06-08",5.55
"237","2015-06-09",5.59
"238","2015-06-10",5.64
"239","2015-06-11",5.84
"240","2015-06-12",5.52
"241","2015-06-15",5.61
"242","2015-06-16",5.65
"243","2015-06-17",5.71
"244","2015-06-18",5.61
"245","2015-06-19",5.25
"246","2015-06-22",5.6
"247","2015-06-23",5.62
"248","2015-06-24",5.58
"249","2015-06-25",5.9
"250","2015-06-26",6.06
"251","2015-06-29",5.41
"252","2015-06-30",5.8
"253","2015-07-01",5.6
"254","2015-07-02",5.54
"255","2015-07-06",5.53
"256","2015-07-07",5.59
"257","2015-07-08",5.38
"258","2015-07-09",5.52
"259","2015-07-10",5.7
"260","2015-07-13",5.82
"261","2015-07-14",5.89
"262","2015-07-15",5.88
"263","2015-07-16",5.86
"264","2015-07-17",6.38
"265","2015-07-20",6.36
"266","2015-07-21",6.25
"267","2015-07-22",6.29
"268","2015-07-23",6.18
"269","2015-07-24",6.05
"270","2015-07-27",5.76
"271","2015-07-28",5.85
"272","2015-07-29",5.73
"273","2015-07-30",5.74
"274","2015-07-31",5.737
"275","2015-08-03",5.64
"276","2015-08-04",5.7
"277","2015-08-05",5.84
"278","2015-08-06",5.6
"279","2015-08-07",5.55
"280","2015-08-10",5.6
"281","2015-08-11",5.64
"282","2015-08-12",5.66
"283","2015-08-13",5.79
"284","2015-08-14",5.63
"285","2015-08-17",5.705
"286","2015-08-18",5.79
"287","2015-08-19",5.68
"288","2015-08-20",5.6
"289","2015-08-21",5.37
"290","2015-08-24",5.28
"291","2015-08-25",5.4
"292","2015-08-26",5.39
"293","2015-08-27",5.5
"294","2015-08-28",5.52
"295","2015-08-31",5.58
"296","2015-09-01",5.91
"297","2015-09-02",6.1
"298","2015-09-03",6.02
"299","2015-09-04",6.09
"300","2015-09-08",5.97
"301","2015-09-09",6.08
"302","2015-09-10",6.05
"303","2015-09-11",5.94
"304","2015-09-14",5.79
"305","2015-09-15",5.71
"306","2015-09-16",5.67
"307","2015-09-17",5.81
"308","2015-09-18",6.01
"309","2015-09-21",5.76
"310","2015-09-22",5.54
"311","2015-09-23",5.54
"312","2015-09-24",5.85
"313","2015-09-25",5.62
"314","2015-09-28",5.28
"315","2015-09-29",5.33
"316","2015-09-30",5.25
"317","2015-10-01",5.27
"318","2015-10-02",5.22
"319","2015-10-05",5.4
"320","2015-10-06",5.29
"321","2015-10-07",5.23
