"","date","NET"
"1","2019-09-13",18
"2","2019-09-16",18.629999
"3","2019-09-17",18.75
"4","2019-09-18",19.59
"5","2019-09-19",18.75
"6","2019-09-20",19.870001
"7","2019-09-23",20.959999
"8","2019-09-24",20.709999
"9","2019-09-25",20.52
"10","2019-09-26",19.549999
"11","2019-09-27",18.24
"12","2019-09-30",18.57
"13","2019-10-01",16.84
"14","2019-10-02",17.25
"15","2019-10-03",16.780001
"16","2019-10-04",17.27
"17","2019-10-07",17.040001
"18","2019-10-08",17.190001
"19","2019-10-09",17.34
"20","2019-10-10",16.33
"21","2019-10-11",16.469999
"22","2019-10-14",15.69
"23","2019-10-15",16.360001
"24","2019-10-16",15.85
"25","2019-10-17",15.91
"26","2019-10-18",15.29
"27","2019-10-21",14.97
"28","2019-10-22",14.62
"29","2019-10-23",14.73
"30","2019-10-24",15.84
"31","2019-10-25",16.17
"32","2019-10-28",16.030001
"33","2019-10-29",15.72
"34","2019-10-30",16.73
"35","2019-10-31",16.84
"36","2019-11-01",16.83
"37","2019-11-04",17.370001
"38","2019-11-05",17.1
"39","2019-11-06",16.219999
"40","2019-11-07",15.89
"41","2019-11-08",16.120001
"42","2019-11-11",16.23
"43","2019-11-12",16.16
"44","2019-11-13",16.26
"45","2019-11-14",16.67
"46","2019-11-15",16.74
"47","2019-11-18",16.889999
"48","2019-11-19",16.299999
"49","2019-11-20",16.92
"50","2019-11-21",17.360001
"51","2019-11-22",17.77
"52","2019-11-25",18.07
"53","2019-11-26",18.790001
"54","2019-11-27",19.610001
"55","2019-11-29",19.48
"56","2019-12-02",18.940001
"57","2019-12-03",18.950001
"58","2019-12-04",18.959999
"59","2019-12-05",17.73
"60","2019-12-06",18.48
"61","2019-12-09",17.709999
"62","2019-12-10",17.67
"63","2019-12-11",17.17
"64","2019-12-12",17.66
"65","2019-12-13",17.950001
"66","2019-12-16",18.370001
"67","2019-12-17",17.610001
"68","2019-12-18",17.389999
"69","2019-12-19",18
"70","2019-12-20",18.120001
"71","2019-12-23",17.34
"72","2019-12-24",17.35
"73","2019-12-26",17.18
"74","2019-12-27",16.690001
"75","2019-12-30",17.209999
"76","2019-12-31",17.059999
"77","2020-01-02",17.030001
"78","2020-01-03",17.17
"79","2020-01-06",17.690001
"80","2020-01-07",17.67
"81","2020-01-08",17.780001
"82","2020-01-09",17.02
"83","2020-01-10",17.48
"84","2020-01-13",18.360001
"85","2020-01-14",18.700001
"86","2020-01-15",18.85
"87","2020-01-16",18.959999
"88","2020-01-17",18.6
"89","2020-01-21",18
"90","2020-01-22",18.049999
"91","2020-01-23",18.17
"92","2020-01-24",17.77
"93","2020-01-27",17.82
"94","2020-01-28",18.08
"95","2020-01-29",17.59
"96","2020-01-30",18.32
"97","2020-01-31",17.860001
"98","2020-02-03",17.690001
"99","2020-02-04",17.93
"100","2020-02-05",18
"101","2020-02-06",17.77
"102","2020-02-07",18.17
"103","2020-02-10",18.34
"104","2020-02-11",18.370001
"105","2020-02-12",17.82
"106","2020-02-13",18.07
"107","2020-02-14",17.75
"108","2020-02-18",17.5
"109","2020-02-19",18.01
"110","2020-02-20",20.299999
"111","2020-02-21",21.02
"112","2020-02-24",19.809999
"113","2020-02-25",20.290001
"114","2020-02-26",22.110001
"115","2020-02-27",21.940001
"116","2020-02-28",21.299999
"117","2020-03-02",22.08
"118","2020-03-03",22.08
"119","2020-03-04",22.700001
"120","2020-03-05",23.35
"121","2020-03-06",22.77
"122","2020-03-09",20.74
"123","2020-03-10",21.110001
"124","2020-03-11",20.59
"125","2020-03-12",19.16
"126","2020-03-13",19.059999
"127","2020-03-16",15.92
"128","2020-03-17",18.690001
"129","2020-03-18",19.700001
"130","2020-03-19",20.690001
"131","2020-03-20",21.719999
"132","2020-03-23",21.41
"133","2020-03-24",22.41
"134","2020-03-25",21.66
"135","2020-03-26",21.6
"136","2020-03-27",21.959999
"137","2020-03-30",23.889999
"138","2020-03-31",23.48
"139","2020-04-01",24.120001
"140","2020-04-02",23.059999
"141","2020-04-03",24.08
"142","2020-04-06",23.639999
"143","2020-04-07",22.799999
"144","2020-04-08",22.84
"145","2020-04-09",21.18
"146","2020-04-13",23.620001
"147","2020-04-14",22.91
"148","2020-04-15",23.889999
"149","2020-04-16",25.42
"150","2020-04-17",24.83
"151","2020-04-20",26.18
"152","2020-04-21",23.940001
"153","2020-04-22",24.610001
"154","2020-04-23",23.73
"155","2020-04-24",23.280001
"156","2020-04-27",24.469999
"157","2020-04-28",23.469999
"158","2020-04-29",23.780001
"159","2020-04-30",23.559999
"160","2020-05-01",22.84
"161","2020-05-04",23.67
"162","2020-05-05",24.51
"163","2020-05-06",24.950001
"164","2020-05-07",29.52
"165","2020-05-08",26.26
"166","2020-05-11",28.120001
"167","2020-05-12",28.790001
"168","2020-05-13",27.870001
"169","2020-05-14",28.02
"170","2020-05-15",29.49
"171","2020-05-18",28.07
"172","2020-05-19",28.040001
"173","2020-05-20",27.549999
"174","2020-05-21",28.040001
"175","2020-05-22",28.26
"176","2020-05-26",28.09
"177","2020-05-27",28.190001
"178","2020-05-28",28.1
"179","2020-05-29",29.07
"180","2020-06-01",30.049999
"181","2020-06-02",30.200001
"182","2020-06-03",29.379999
"183","2020-06-04",28.469999
"184","2020-06-05",29.139999
"185","2020-06-08",29.17
"186","2020-06-09",28.719999
"187","2020-06-10",29.4
"188","2020-06-11",28.5
"189","2020-06-12",28.82
"190","2020-06-15",30.98
"191","2020-06-16",31.65
"192","2020-06-17",35.799999
"193","2020-06-18",36.73
"194","2020-06-19",36
"195","2020-06-22",37
"196","2020-06-23",35.400002
"197","2020-06-24",35
"198","2020-06-25",36
"199","2020-06-26",35.529999
"200","2020-06-29",35.110001
"201","2020-06-30",35.950001
"202","2020-07-01",36.93
"203","2020-07-02",36.470001
"204","2020-07-06",38.34
"205","2020-07-07",37.91
"206","2020-07-08",38.400002
"207","2020-07-09",39.73
"208","2020-07-10",40.080002
"209","2020-07-13",36.75
"210","2020-07-14",36.75
"211","2020-07-15",36.119999
"212","2020-07-16",35.099998
"213","2020-07-17",37.02
"214","2020-07-20",38.369999
"215","2020-07-21",38.18
"216","2020-07-22",38.040001
"217","2020-07-23",36.43
"218","2020-07-24",35.720001
"219","2020-07-27",37.360001
"220","2020-07-28",37.650002
"221","2020-07-29",38.700001
"222","2020-07-30",41.130001
"223","2020-07-31",41.619999
"224","2020-08-03",42.509998
"225","2020-08-04",42.310001
"226","2020-08-05",42.490002
"227","2020-08-06",41.349998
"228","2020-08-07",40.060001
"229","2020-08-10",36.990002
"230","2020-08-11",37.810001
"231","2020-08-12",38.860001
"232","2020-08-13",38.849998
"233","2020-08-14",38.5
"234","2020-08-17",39.919998
"235","2020-08-18",40.060001
"236","2020-08-19",39.290001
"237","2020-08-20",40.310001
"238","2020-08-21",38.919998
"239","2020-08-24",38.09
"240","2020-08-25",39.029999
"241","2020-08-26",39.900002
"242","2020-08-27",39.73
"243","2020-08-28",39.650002
"244","2020-08-31",38.259998
"245","2020-09-01",39.740002
"246","2020-09-02",39
"247","2020-09-03",36.23
"248","2020-09-04",34.77
"249","2020-09-08",32.939999
"250","2020-09-09",34.009998
"251","2020-09-10",33.580002
"252","2020-09-11",34.169998
"253","2020-09-14",34.830002
"254","2020-09-15",36.169998
"255","2020-09-16",35.900002
"256","2020-09-17",36.099998
"257","2020-09-18",37.099998
"258","2020-09-21",38.959999
"259","2020-09-22",39.869999
"260","2020-09-23",39.98
"261","2020-09-24",38.52
"262","2020-09-25",40.040001
"263","2020-09-28",40.880001
"264","2020-09-29",40.669998
