"","date","NIO"
"1","2018-09-12",6.6
"2","2018-09-13",11.6
"3","2018-09-14",9.9
"4","2018-09-17",8.5
"5","2018-09-18",7.68
"6","2018-09-19",8.5
"7","2018-09-20",8.78
"8","2018-09-21",8.59
"9","2018-09-24",7.87
"10","2018-09-25",7.58
"11","2018-09-26",7.5
"12","2018-09-27",7.01
"13","2018-09-28",6.98
"14","2018-10-01",6.6
"15","2018-10-02",5.93
"16","2018-10-03",6.3
"17","2018-10-04",6.25
"18","2018-10-05",6.26
"19","2018-10-08",6.04
"20","2018-10-09",7.39
"21","2018-10-10",7.75
"22","2018-10-11",7.18
"23","2018-10-12",7.46
"24","2018-10-15",7.82
"25","2018-10-16",8.04
"26","2018-10-17",7.77
"27","2018-10-18",7.5
"28","2018-10-19",7.32
"29","2018-10-22",7.03
"30","2018-10-23",6.81
"31","2018-10-24",6.17
"32","2018-10-25",6.45
"33","2018-10-26",6.35
"34","2018-10-29",6.19
"35","2018-10-30",5.95
"36","2018-10-31",5.9
"37","2018-11-01",6.62
"38","2018-11-02",6.49
"39","2018-11-05",6.68
"40","2018-11-06",6.4
"41","2018-11-07",6.74
"42","2018-11-08",6.69
"43","2018-11-09",6.77
"44","2018-11-12",6.65
"45","2018-11-13",6.78
"46","2018-11-14",7.1
"47","2018-11-15",7.34
"48","2018-11-16",7.19
"49","2018-11-19",7.84
"50","2018-11-20",7.67
"51","2018-11-21",7.71
"52","2018-11-23",7.46
"53","2018-11-26",7.37
"54","2018-11-27",7.48
"55","2018-11-28",8.12
"56","2018-11-29",7.79
"57","2018-11-30",7.71
"58","2018-12-03",7.58
"59","2018-12-04",7.08
"60","2018-12-06",7.37
"61","2018-12-07",6.99
"62","2018-12-10",7.03
"63","2018-12-11",7.08
"64","2018-12-12",7.54
"65","2018-12-13",7.75
"66","2018-12-14",7.7
"67","2018-12-17",7.03
"68","2018-12-18",7.07
"69","2018-12-19",6.83
"70","2018-12-20",6.52
"71","2018-12-21",6.07
"72","2018-12-24",5.92
"73","2018-12-26",6.36
"74","2018-12-27",6.43
"75","2018-12-28",6.47
"76","2018-12-31",6.37
"77","2019-01-02",6.2
"78","2019-01-03",6.05
"79","2019-01-04",6.36
"80","2019-01-07",6.5
"81","2019-01-08",6.4
"82","2019-01-09",6.63
"83","2019-01-10",6.66
"84","2019-01-11",6.59
"85","2019-01-14",6.8
"86","2019-01-15",6.82
"87","2019-01-16",6.71
"88","2019-01-17",6.81
"89","2019-01-18",6.71
"90","2019-01-22",6.57
"91","2019-01-23",6.55
"92","2019-01-24",6.58
"93","2019-01-25",6.65
"94","2019-01-28",6.67
"95","2019-01-29",6.94
"96","2019-01-30",7.46
"97","2019-01-31",7.88
"98","2019-02-01",7.9
"99","2019-02-04",7.85
"100","2019-02-05",7.88
"101","2019-02-06",8.4
"102","2019-02-07",8.04
"103","2019-02-08",7.67
"104","2019-02-11",7.46
"105","2019-02-12",7.44
"106","2019-02-13",7.49
"107","2019-02-14",7.48
"108","2019-02-15",7.41
"109","2019-02-19",7.26
"110","2019-02-20",7.62
"111","2019-02-21",7.64
"112","2019-02-22",8.17
"113","2019-02-25",9
"114","2019-02-26",9.79
"115","2019-02-27",9.85
"116","2019-02-28",9.57
"117","2019-03-01",10.06
"118","2019-03-04",9.78
"119","2019-03-05",10.16
"120","2019-03-06",8.01
"121","2019-03-07",7.09
"122","2019-03-08",7.06
"123","2019-03-11",6.59
"124","2019-03-12",6.39
"125","2019-03-13",6.53
"126","2019-03-14",6.03
"127","2019-03-15",5.71
"128","2019-03-18",5.75
"129","2019-03-19",5.96
"130","2019-03-20",5.85
"131","2019-03-21",5.84
"132","2019-03-22",5.62
"133","2019-03-25",5.35
"134","2019-03-26",4.96
"135","2019-03-27",4.98
"136","2019-03-28",5.01
"137","2019-03-29",5.1
"138","2019-04-01",5.21
"139","2019-04-02",5.39
"140","2019-04-03",5.31
"141","2019-04-04",5.35
"142","2019-04-05",5.36
"143","2019-04-08",5.3
"144","2019-04-09",5.08
"145","2019-04-10",5.05
"146","2019-04-11",5.01
"147","2019-04-12",4.99
