"","date","NRP"
"1","2007-01-03",284.700012
"2","2007-01-04",283.799988
"3","2007-01-05",283.799988
"4","2007-01-08",287.600006
"5","2007-01-09",291
"6","2007-01-10",293.950012
"7","2007-01-11",296.25
"8","2007-01-12",296.149994
"9","2007-01-16",297.450012
"10","2007-01-17",296.5
"11","2007-01-18",292.399994
"12","2007-01-19",299.049988
"13","2007-01-22",299.75
"14","2007-01-23",302.700012
"15","2007-01-24",305
"16","2007-01-25",304.700012
"17","2007-01-26",307.25
"18","2007-01-29",307.600006
"19","2007-01-30",304.399994
"20","2007-01-31",303.950012
"21","2007-02-01",304.549988
"22","2007-02-02",304.899994
"23","2007-02-05",304.700012
"24","2007-02-06",306.049988
"25","2007-02-07",308.5
"26","2007-02-08",307.600006
"27","2007-02-09",307.950012
"28","2007-02-12",308.049988
"29","2007-02-13",306.100006
"30","2007-02-14",309.700012
"31","2007-02-15",311.700012
"32","2007-02-16",310.399994
"33","2007-02-20",310.899994
"34","2007-02-21",313.049988
"35","2007-02-22",317.5
"36","2007-02-23",321.399994
"37","2007-02-26",319.5
"38","2007-02-27",314.299988
"39","2007-02-28",315.200012
"40","2007-03-01",314.850006
"41","2007-03-02",312.549988
"42","2007-03-05",308.149994
"43","2007-03-06",319.700012
"44","2007-03-07",319.850006
"45","2007-03-08",313.149994
"46","2007-03-09",312.25
"47","2007-03-12",313.950012
"48","2007-03-13",312.350006
"49","2007-03-14",314.399994
"50","2007-03-15",309.149994
"51","2007-03-16",313.799988
"52","2007-03-19",320.25
"53","2007-03-20",321.850006
"54","2007-03-21",325.350006
"55","2007-03-22",329.25
"56","2007-03-23",333.799988
"57","2007-03-26",332.600006
"58","2007-03-27",332.850006
"59","2007-03-28",331.350006
"60","2007-03-29",334.049988
"61","2007-03-30",336
"62","2007-04-02",342.200012
"63","2007-04-03",344.25
"64","2007-04-04",354.75
"65","2007-04-05",350.950012
"66","2007-04-09",347.649994
"67","2007-04-10",344.049988
"68","2007-04-11",348.5
"69","2007-04-12",348.950012
"70","2007-04-13",350.350006
"71","2007-04-16",349.049988
"72","2007-04-17",346.5
"73","2007-04-18",351.350006
"74","2007-04-19",348.100006
"75","2007-04-20",347.5
"76","2007-04-23",350.100006
"77","2007-04-24",354.799988
"78","2007-04-25",359.5
"79","2007-04-26",361
"80","2007-04-27",361.5
"81","2007-04-30",359.600006
"82","2007-05-01",359.299988
"83","2007-05-02",355
"84","2007-05-03",349.899994
"85","2007-05-04",339
"86","2007-05-07",338.5
"87","2007-05-08",345.200012
"88","2007-05-09",347.5
"89","2007-05-10",348.600006
"90","2007-05-11",351.600006
"91","2007-05-14",352.799988
"92","2007-05-15",357.600006
"93","2007-05-16",355.600006
"94","2007-05-17",355.899994
"95","2007-05-18",355
"96","2007-05-21",359.100006
"97","2007-05-22",361.700012
"98","2007-05-23",355.399994
"99","2007-05-24",347.399994
"100","2007-05-25",351.299988
"101","2007-05-29",359.799988
"102","2007-05-30",363.799988
"103","2007-05-31",365.700012
"104","2007-06-01",370.700012
"105","2007-06-04",373.799988
"106","2007-06-05",373.5
"107","2007-06-06",370
"108","2007-06-07",362.299988
"109","2007-06-08",361
"110","2007-06-11",367.100006
"111","2007-06-12",364.899994
"112","2007-06-13",375.700012
"113","2007-06-14",377
"114","2007-06-15",380.100006
"115","2007-06-18",375.399994
"116","2007-06-19",372
"117","2007-06-20",373.700012
"118","2007-06-21",376
"119","2007-06-22",369.700012
"120","2007-06-25",372
"121","2007-06-26",373.600006
"122","2007-06-27",376.700012
"123","2007-06-28",384.5
"124","2007-06-29",380.399994
"125","2007-07-02",389.799988
"126","2007-07-03",399
"127","2007-07-05",405.399994
"128","2007-07-06",403.100006
"129","2007-07-09",411.600006
"130","2007-07-10",415.299988
"131","2007-07-11",414
"132","2007-07-12",415
"133","2007-07-13",414.700012
"134","2007-07-16",418
"135","2007-07-17",416
"136","2007-07-18",410.899994
"137","2007-07-19",401.899994
"138","2007-07-20",403.600006
"139","2007-07-23",400.799988
"140","2007-07-24",392.299988
"141","2007-07-25",376.600006
