"","date","NTAP"
"1","2007-01-03",39.950001
"2","2007-01-04",39.57
"3","2007-01-05",39.07
"4","2007-01-08",40.23
"5","2007-01-09",39.740002
"6","2007-01-10",39.73
"7","2007-01-11",40.060001
"8","2007-01-12",39.799999
"9","2007-01-16",39.830002
"10","2007-01-17",38.889999
"11","2007-01-18",37.709999
"12","2007-01-19",37.060001
"13","2007-01-22",36.5
"14","2007-01-23",37.200001
"15","2007-01-24",37.639999
"16","2007-01-25",37.150002
"17","2007-01-26",36.73
"18","2007-01-29",36.91
"19","2007-01-30",37.68
"20","2007-01-31",37.599998
"21","2007-02-01",37.310001
"22","2007-02-02",37.330002
"23","2007-02-05",37.52
"24","2007-02-06",37.119999
"25","2007-02-07",38.119999
"26","2007-02-08",38.240002
"27","2007-02-09",37.700001
"28","2007-02-12",37.759998
"29","2007-02-13",37.34
"30","2007-02-14",38.41
"31","2007-02-15",40.299999
"32","2007-02-16",40.009998
"33","2007-02-20",40.490002
"34","2007-02-21",40.099998
"35","2007-02-22",39.880001
"36","2007-02-23",40.09
"37","2007-02-26",39.650002
"38","2007-02-27",37.75
"39","2007-02-28",38.669998
"40","2007-03-01",38.150002
"41","2007-03-02",37.32
"42","2007-03-05",36.799999
"43","2007-03-06",37.310001
"44","2007-03-07",36.470001
"45","2007-03-08",37.720001
"46","2007-03-09",37.689999
"47","2007-03-12",38.23
"48","2007-03-13",36.16
"49","2007-03-14",36.299999
"50","2007-03-15",36.549999
"51","2007-03-16",36.720001
"52","2007-03-19",36.369999
"53","2007-03-20",36.82
"54","2007-03-21",37.98
"55","2007-03-22",37.650002
"56","2007-03-23",38.130001
"57","2007-03-26",38.52
"58","2007-03-27",38.02
"59","2007-03-28",36.419998
"60","2007-03-29",36.389999
"61","2007-03-30",36.52
"62","2007-04-02",35.91
"63","2007-04-03",36.419998
"64","2007-04-04",36.25
"65","2007-04-05",36.509998
"66","2007-04-09",36.07
"67","2007-04-10",35.619999
"68","2007-04-11",35.169998
"69","2007-04-12",35.59
"70","2007-04-13",35.91
"71","2007-04-16",35.830002
"72","2007-04-17",35.349998
"73","2007-04-18",35.470001
"74","2007-04-19",35.189999
"75","2007-04-20",34.93
"76","2007-04-23",35.25
"77","2007-04-24",35.650002
"78","2007-04-25",36.119999
"79","2007-04-26",37.240002
"80","2007-04-27",37.810001
"81","2007-04-30",37.209999
"82","2007-05-01",37.080002
"83","2007-05-02",37.799999
"84","2007-05-03",38.419998
"85","2007-05-04",38.16
"86","2007-05-07",37.91
"87","2007-05-08",38.57
"88","2007-05-09",38.52
"89","2007-05-10",38.23
"90","2007-05-11",39.049999
"91","2007-05-14",38.68
"92","2007-05-15",37.48
"93","2007-05-16",37.389999
"94","2007-05-17",37.130001
"95","2007-05-18",37.990002
"96","2007-05-21",38.209999
"97","2007-05-22",37.84
"98","2007-05-23",38.060001
"99","2007-05-24",31.76
"100","2007-05-25",31.799999
"101","2007-05-29",31.360001
"102","2007-05-30",31.48
"103","2007-05-31",32.16
"104","2007-06-01",30.74
"105","2007-06-04",31.200001
"106","2007-06-05",31.75
"107","2007-06-06",31.25
"108","2007-06-07",30.540001
"109","2007-06-08",31.469999
"110","2007-06-11",31.23
"111","2007-06-12",30.58
"112","2007-06-13",30.860001
"113","2007-06-14",31.209999
"114","2007-06-15",31.889999
"115","2007-06-18",31.91
"116","2007-06-19",33.209999
"117","2007-06-20",32.029999
"118","2007-06-21",32.400002
"119","2007-06-22",31.200001
"120","2007-06-25",31.280001
"121","2007-06-26",30.98
"122","2007-06-27",31.530001
"123","2007-06-28",30.25
"124","2007-06-29",29.190001
"125","2007-07-02",28.91
"126","2007-07-03",28.68
"127","2007-07-05",28.98
"128","2007-07-06",29.620001
"129","2007-07-09",29.309999
"130","2007-07-10",29.58
"131","2007-07-11",29.25
"132","2007-07-12",30
"133","2007-07-13",29.860001
"134","2007-07-16",29.48
"135","2007-07-17",30.42
"136","2007-07-18",31.23
"137","2007-07-19",32.66
"138","2007-07-20",31.84
"139","2007-07-23",31.389999
"140","2007-07-24",30.85
"141","2007-07-25",31.09
"142","2007-07-26",30.35
"143","2007-07-27",29.24
"144","2007-07-30",29.92
"145","2007-07-31",28.34
"146","2007-08-01",29.09
"147","2007-08-02",28.709999
"148","2007-08-03",22.969999
"149","2007-08-06",23.18
"150","2007-08-07",24.629999
"151","2007-08-08",24.540001
"152","2007-08-09",23.4
"153","2007-08-10",23.459999
"154","2007-08-13",24.15
"155","2007-08-14",23.43
"156","2007-08-15",24.16
"157","2007-08-16",25.27
"158","2007-08-17",25.98
"159","2007-08-20",25.620001
"160","2007-08-21",25.99
"161","2007-08-22",27.450001
"162","2007-08-23",27.34
"163","2007-08-24",28.09
"164","2007-08-27",28.4
"165","2007-08-28",27.690001
"166","2007-08-29",28.389999
"167","2007-08-30",28.17
"168","2007-08-31",27.860001
"169","2007-09-04",28.219999
"170","2007-09-05",28.219999
"171","2007-09-06",28.27
"172","2007-09-07",27.120001
