"","date","NTRS"
"1","2007-01-03",61.310001
"2","2007-01-04",60.77
"3","2007-01-05",59.970001
"4","2007-01-08",60.52
"5","2007-01-09",61.02
"6","2007-01-10",61.310001
"7","2007-01-11",61.529999
"8","2007-01-12",61.57
"9","2007-01-16",62.330002
"10","2007-01-17",60.169998
"11","2007-01-18",60.59
"12","2007-01-19",60.57
"13","2007-01-22",60.610001
"14","2007-01-23",60.369999
"15","2007-01-24",60.950001
"16","2007-01-25",60.200001
"17","2007-01-26",60.029999
"18","2007-01-29",60.220001
"19","2007-01-30",60.470001
"20","2007-01-31",60.75
"21","2007-02-01",61.040001
"22","2007-02-02",60.66
"23","2007-02-05",61.990002
"24","2007-02-06",62.259998
"25","2007-02-07",62.400002
"26","2007-02-08",62.380001
"27","2007-02-09",61.939999
"28","2007-02-12",62.009998
"29","2007-02-13",62.169998
"30","2007-02-14",62.720001
"31","2007-02-15",63.09
"32","2007-02-16",63.080002
"33","2007-02-20",63.360001
"34","2007-02-21",63.040001
"35","2007-02-22",63.150002
"36","2007-02-23",62.810001
"37","2007-02-26",62.369999
"38","2007-02-27",59.91
"39","2007-02-28",60.299999
"40","2007-03-01",60.09
"41","2007-03-02",59.509998
"42","2007-03-05",58.509998
"43","2007-03-06",59.790001
"44","2007-03-07",58.98
"45","2007-03-08",59.419998
"46","2007-03-09",59.400002
"47","2007-03-12",58.950001
"48","2007-03-13",56.82
"49","2007-03-14",57.84
"50","2007-03-15",58.029999
"51","2007-03-16",57.849998
"52","2007-03-19",58.610001
"53","2007-03-20",59.139999
"54","2007-03-21",61.330002
"55","2007-03-22",61.009998
"56","2007-03-23",61.360001
"57","2007-03-26",61.18
"58","2007-03-27",60.310001
"59","2007-03-28",59.779999
"60","2007-03-29",60.389999
"61","2007-03-30",60.139999
"62","2007-04-02",59.959999
"63","2007-04-03",60.689999
"64","2007-04-04",60.349998
"65","2007-04-05",61.049999
"66","2007-04-09",60.830002
"67","2007-04-10",60.5
"68","2007-04-11",60.43
"69","2007-04-12",60.41
"70","2007-04-13",61.200001
"71","2007-04-16",62.549999
"72","2007-04-17",64.279999
"73","2007-04-18",64.639999
"74","2007-04-19",63.939999
"75","2007-04-20",64.599998
"76","2007-04-23",64.239998
"77","2007-04-24",63.970001
"78","2007-04-25",64.860001
"79","2007-04-26",64.43
"80","2007-04-27",64.120003
"81","2007-04-30",62.950001
"82","2007-05-01",63.029999
"83","2007-05-02",63.419998
"84","2007-05-03",63.84
"85","2007-05-04",63.759998
"86","2007-05-07",64.110001
"87","2007-05-08",64.099998
"88","2007-05-09",65.07
"89","2007-05-10",64.220001
"90","2007-05-11",64.830002
"91","2007-05-14",64.089996
"92","2007-05-15",63.709999
"93","2007-05-16",64.349998
"94","2007-05-17",64.029999
"95","2007-05-18",64.169998
"96","2007-05-21",64.07
"97","2007-05-22",64.209999
"98","2007-05-23",64.279999
"99","2007-05-24",63.790001
"100","2007-05-25",64.550003
"101","2007-05-29",64.5
"102","2007-05-30",65.019997
"103","2007-05-31",65.080002
"104","2007-06-01",65.040001
