"","date","NVEE"
"1","2013-09-30",7.7
"2","2013-10-01",7.7
"3","2013-10-02",7.7
"4","2013-10-03",7.85
"5","2013-10-04",7.85
"6","2013-10-07",7.85
"7","2013-10-08",7.85
"8","2013-10-09",7
"9","2013-10-10",7
"10","2013-10-11",8.79
"11","2013-10-14",9
"12","2013-10-15",9.03
"13","2013-10-16",9
"14","2013-10-17",8.78
"15","2013-10-18",8.55
"16","2013-10-21",8.55
"17","2013-10-22",8.5
"18","2013-10-23",8.683
"19","2013-10-24",8.508
"20","2013-10-25",8.5
"21","2013-10-28",8.5
"22","2013-10-29",8.5
"23","2013-10-30",8.5
"24","2013-10-31",8.68
"25","2013-11-01",8.68
"26","2013-11-04",8.49
"27","2013-11-05",8.45
"28","2013-11-06",8.5
"29","2013-11-07",8.5
"30","2013-11-08",8.5
"31","2013-11-11",8.49
"32","2013-11-12",8.52
"33","2013-11-13",8.457
"34","2013-11-14",8.42
"35","2013-11-15",8.425
"36","2013-11-18",8.28
"37","2013-11-19",8.3
"38","2013-11-20",8.47
"39","2013-11-21",8.32
"40","2013-11-22",8.32
"41","2013-11-25",8.26
"42","2013-11-26",8.15
"43","2013-11-27",8.15
"44","2013-11-29",8.099
"45","2013-12-02",8.1
"46","2013-12-03",8.05
"47","2013-12-04",8.1
"48","2013-12-05",8.1
"49","2013-12-06",8.1
"50","2013-12-09",8.13
"51","2013-12-10",8.13
"52","2013-12-11",8.13
"53","2013-12-12",8.13
"54","2013-12-13",8.11
"55","2013-12-16",8.11
"56","2013-12-17",8.11
"57","2013-12-18",8.11
"58","2013-12-19",8.12
"59","2013-12-20",8.12
"60","2013-12-23",8.12
"61","2013-12-24",8.12
"62","2013-12-26",8.12
"63","2013-12-27",7.95
"64","2013-12-30",7.95
"65","2013-12-31",8.14
"66","2014-01-02",8.14
"67","2014-01-03",8.14
"68","2014-01-06",8.14
"69","2014-01-07",8.14
"70","2014-01-08",8.14
"71","2014-01-09",8.14
"72","2014-01-10",8.14
"73","2014-01-13",8.14
"74","2014-01-14",8.01
"75","2014-01-15",8.06
"76","2014-01-16",8.06
"77","2014-01-17",8.07
"78","2014-01-21",7.84
"79","2014-01-22",7.85
"80","2014-01-23",7.82
"81","2014-01-24",7.88
"82","2014-01-27",7.8
"83","2014-01-28",7.8
"84","2014-01-29",7.7
"85","2014-01-30",7.95
"86","2014-01-31",7.93
"87","2014-02-03",7.93
"88","2014-02-04",7.93
"89","2014-02-05",7.93
"90","2014-02-06",7.97
"91","2014-02-07",7.97
"92","2014-02-10",7.97
"93","2014-02-11",7.97
"94","2014-02-12",7.97
"95","2014-02-13",7.97
"96","2014-02-14",7.97
"97","2014-02-18",7.97
"98","2014-02-19",7.97
"99","2014-02-20",7.97
"100","2014-02-21",7.97
"101","2014-02-24",7.97
"102","2014-02-25",7.97
"103","2014-02-26",7.97
"104","2014-02-27",7.97
"105","2014-02-28",7.55
"106","2014-03-03",7.76
"107","2014-03-04",7.76
"108","2014-03-05",7.74
"109","2014-03-06",7.74
"110","2014-03-07",7.74
"111","2014-03-10",7.74
"112","2014-03-11",7.74
"113","2014-03-12",7.74
"114","2014-03-13",7.75
"115","2014-03-14",7.74
"116","2014-03-17",7.74
"117","2014-03-18",7.71
"118","2014-03-19",7.52
"119","2014-03-20",7.75
"120","2014-03-21",8
"121","2014-03-24",8
"122","2014-03-25",8.1
"123","2014-03-26",8.27
"124","2014-03-27",9
"125","2014-03-28",9.1
"126","2014-03-31",9.92
"127","2014-04-01",9.93
"128","2014-04-02",10.01
"129","2014-04-03",10
"130","2014-04-04",10
"131","2014-04-07",10
"132","2014-04-08",9.85
"133","2014-04-09",9.89
"134","2014-04-10",9.95
"135","2014-04-11",9.95
"136","2014-04-14",9.9
"137","2014-04-15",9.95
"138","2014-04-16",9.95
"139","2014-04-17",10
"140","2014-04-21",10
"141","2014-04-22",10
"142","2014-04-23",9.91
"143","2014-04-24",9.9
"144","2014-04-25",9.9
"145","2014-04-28",9.85
"146","2014-04-29",9.85
"147","2014-04-30",9.85
"148","2014-05-01",9.56
"149","2014-05-02",9.56
"150","2014-05-05",9.2
"151","2014-05-06",9.4
"152","2014-05-07",9.4
"153","2014-05-08",9.4
"154","2014-05-09",9.5
"155","2014-05-12",9.5
"156","2014-05-13",9.5
"157","2014-05-14",9.6
"158","2014-05-15",9.55
"159","2014-05-16",10
"160","2014-05-19",10.05
"161","2014-05-20",9
"162","2014-05-21",9.81
"163","2014-05-22",9.7
"164","2014-05-23",9.7
"165","2014-05-27",9.73
"166","2014-05-28",9.75
"167","2014-05-29",9.95
"168","2014-05-30",9.9
"169","2014-06-02",9.88
"170","2014-06-03",9.88
"171","2014-06-04",9.85
"172","2014-06-05",10
"173","2014-06-06",10.05
"174","2014-06-09",10.2
"175","2014-06-10",10.43
"176","2014-06-11",10.184
"177","2014-06-12",10
"178","2014-06-13",10.22
"179","2014-06-16",10.22
"180","2014-06-17",10.22
"181","2014-06-18",10
"182","2014-06-19",10.25
"183","2014-06-20",10.19
"184","2014-06-23",10
"185","2014-06-24",10
"186","2014-06-25",10.15
"187","2014-06-26",9.826
"188","2014-06-27",9.55
"189","2014-06-30",9.85
"190","2014-07-01",9.93
"191","2014-07-02",9.93
"192","2014-07-03",10
"193","2014-07-07",10.02
"194","2014-07-08",9.89
"195","2014-07-09",9.89
"196","2014-07-10",9.89
"197","2014-07-11",9.89
"198","2014-07-14",9.9
"199","2014-07-15",9.9
"200","2014-07-16",9.5
"201","2014-07-17",9.6
"202","2014-07-18",9.5
"203","2014-07-21",9.09
"204","2014-07-22",9.27
"205","2014-07-23",9.5
"206","2014-07-24",9.5
"207","2014-07-25",9.5
"208","2014-07-28",9.5
"209","2014-07-29",9.45
"210","2014-07-30",9.89
"211","2014-07-31",9.9
"212","2014-08-01",9.63
"213","2014-08-04",9.63
"214","2014-08-05",9.63
"215","2014-08-06",9.63
"216","2014-08-07",9.6
"217","2014-08-08",9.55
"218","2014-08-11",9.55
"219","2014-08-12",9.45
"220","2014-08-13",9.45
"221","2014-08-14",9.5
"222","2014-08-15",9.38
