"","date","NVIV"
"1","2010-11-15",7500
"2","2010-11-16",6240
"3","2010-11-17",6300
"4","2010-11-18",6750
"5","2010-11-19",6600
"6","2010-11-22",6270
"7","2010-11-23",3900
"8","2010-11-24",4950
"9","2010-11-26",6270
"10","2010-11-29",6000
"11","2010-11-30",6150
"12","2010-12-01",6450
"13","2010-12-02",6510
"14","2010-12-03",6660
"15","2010-12-06",6660
"16","2010-12-07",6750
"17","2010-12-08",6600
"18","2010-12-09",6630
"19","2010-12-10",6780
"20","2010-12-13",6360
"21","2010-12-14",6300
"22","2010-12-15",6060
"23","2010-12-16",6030
"24","2010-12-17",6150
"25","2010-12-20",6240
"26","2010-12-21",6600
"27","2010-12-22",6660
"28","2010-12-23",6660
"29","2010-12-27",6660
"30","2010-12-28",6660
"31","2010-12-29",6660
"32","2010-12-30",6660
"33","2010-12-31",6750
"34","2011-01-03",5880
"35","2011-01-04",6000
"36","2011-01-05",5700
"37","2011-01-06",5850
"38","2011-01-07",5850
"39","2011-01-10",6000
"40","2011-01-11",5850
"41","2011-01-12",6000
"42","2011-01-13",5850
"43","2011-01-14",6150
"44","2011-01-18",5850
"45","2011-01-19",5700
"46","2011-01-20",4830
"47","2011-01-21",5250
"48","2011-01-24",5250
"49","2011-01-25",6030
"50","2011-01-26",4800
"51","2011-01-27",4800
"52","2011-01-28",4800
"53","2011-01-31",5280
"54","2011-02-01",5280
"55","2011-02-02",5400
"56","2011-02-03",5550
"57","2011-02-04",5250
"58","2011-02-07",5250
"59","2011-02-08",4950
"60","2011-02-09",4950
"61","2011-02-10",4950
"62","2011-02-11",4950
"63","2011-02-14",5100
"64","2011-02-15",5550
"65","2011-02-16",5820
"66","2011-02-17",5550
"67","2011-02-18",5700
"68","2011-02-22",5640
"69","2011-02-23",5550
"70","2011-02-24",5550
"71","2011-02-25",5550
"72","2011-02-28",5760
"73","2011-03-01",5760
"74","2011-03-02",5610
"75","2011-03-03",5700
"76","2011-03-04",5610
"77","2011-03-07",5550
"78","2011-03-08",5700
"79","2011-03-09",5310
"80","2011-03-10",4800
"81","2011-03-11",4800
"82","2011-03-14",4500
"83","2011-03-15",3600
"84","2011-03-16",3900
"85","2011-03-17",3750
"86","2011-03-18",3450
"87","2011-03-21",3750
"88","2011-03-22",3300
"89","2011-03-23",3300
"90","2011-03-24",3030
"91","2011-03-25",2310
"92","2011-03-28",2490
"93","2011-03-29",2340
"94","2011-03-30",2550
"95","2011-03-31",2550
"96","2011-04-01",2400
"97","2011-04-04",2400
"98","2011-04-05",2520
"99","2011-04-06",2460
"100","2011-04-07",2550
"101","2011-04-08",2550
"102","2011-04-11",2400
"103","2011-04-12",2400
"104","2011-04-13",2610
"105","2011-04-14",2460
"106","2011-04-15",2430
"107","2011-04-18",2460
"108","2011-04-19",2490
"109","2011-04-20",2520
"110","2011-04-21",2520
"111","2011-04-25",2400
"112","2011-04-26",2460
"113","2011-04-27",1800
"114","2011-04-28",2670
"115","2011-04-29",2490
"116","2011-05-02",2580
"117","2011-05-03",2460
"118","2011-05-04",2460
"119","2011-05-05",2250
"120","2011-05-06",2250
"121","2011-05-09",2400
"122","2011-05-10",2700
"123","2011-05-11",2250
"124","2011-05-12",2370
"125","2011-05-13",2370
"126","2011-05-16",2370
"127","2011-05-17",2370
"128","2011-05-18",2700
"129","2011-05-19",2250
"130","2011-05-20",2100
"131","2011-05-23",2550
"132","2011-05-24",2250
"133","2011-05-25",2250
"134","2011-05-26",2250
"135","2011-05-27",2250
"136","2011-05-31",2100
"137","2011-06-01",2100
"138","2011-06-02",2100
"139","2011-06-03",2250
"140","2011-06-06",2100
"141","2011-06-07",3000
"142","2011-06-08",3000
"143","2011-06-09",2550
"144","2011-06-10",2400
"145","2011-06-13",2550
"146","2011-06-14",2400
"147","2011-06-15",2550
"148","2011-06-16",2550
"149","2011-06-17",2550
"150","2011-06-20",2550
"151","2011-06-21",2130
"152","2011-06-22",2550
"153","2011-06-23",3000
"154","2011-06-24",1980
"155","2011-06-27",2550
"156","2011-06-28",2550
"157","2011-06-29",3000
"158","2011-06-30",2970
"159","2011-07-01",2700
"160","2011-07-05",2700
"161","2011-07-06",2700
"162","2011-07-07",2700
"163","2011-07-08",2700
"164","2011-07-11",3030
"165","2011-07-12",3150
"166","2011-07-13",3600
"167","2011-07-14",3300
"168","2011-07-15",3060
"169","2011-07-18",2700
"170","2011-07-19",2730
"171","2011-07-20",2850
"172","2011-07-21",2850
"173","2011-07-22",2700
"174","2011-07-25",2850
"175","2011-07-26",2880
"176","2011-07-27",3300
"177","2011-07-28",2700
"178","2011-07-29",2970
"179","2011-08-01",3000
"180","2011-08-02",3300
"181","2011-08-03",3000
"182","2011-08-04",2970
"183","2011-08-05",2850
"184","2011-08-08",2730
"185","2011-08-09",2700
"186","2011-08-10",2700
"187","2011-08-11",2460
"188","2011-08-12",2550
"189","2011-08-15",2910
