"","date","NWS"
"1","2013-06-19",15.53
"2","2013-06-20",15.44
"3","2013-06-21",15.8
"4","2013-06-24",15.52
"5","2013-06-25",15.66
"6","2013-06-26",15.47
"7","2013-06-27",15.37
"8","2013-06-28",15.38
"9","2013-07-01",14.87
"10","2013-07-02",14.99
"11","2013-07-03",14.97
"12","2013-07-05",15.61
"13","2013-07-08",16.02
"14","2013-07-09",15.73
"15","2013-07-10",15.45
"16","2013-07-11",15.21
"17","2013-07-12",14.99
"18","2013-07-15",14.8
"19","2013-07-16",15.39
"20","2013-07-17",16.02
"21","2013-07-18",15.6
"22","2013-07-19",16.120001
"23","2013-07-22",15.9
"24","2013-07-23",15.85
"25","2013-07-24",15.92
"26","2013-07-25",15.76
"27","2013-07-26",16.09
"28","2013-07-29",15.71
"29","2013-07-30",16.139999
"30","2013-07-31",16.09
"31","2013-08-01",16.389999
"32","2013-08-02",16.5
"33","2013-08-05",16.209999
"34","2013-08-06",16.389999
"35","2013-08-07",16.16
"36","2013-08-08",16.379999
"37","2013-08-09",16.24
"38","2013-08-12",16.110001
"39","2013-08-13",16.049999
"40","2013-08-14",16.18
"41","2013-08-15",16.32
"42","2013-08-16",16.190001
"43","2013-08-19",15.89
"44","2013-08-20",15.88
"45","2013-08-21",15.94
"46","2013-08-22",15.88
"47","2013-08-23",15.92
"48","2013-08-26",16.059999
"49","2013-08-27",15.94
"50","2013-08-28",15.97
"51","2013-08-29",15.96
"52","2013-08-30",15.84
"53","2013-09-03",16
"54","2013-09-04",16.209999
"55","2013-09-05",16.389999
"56","2013-09-06",16.34
"57","2013-09-09",16.49
"58","2013-09-10",16.719999
"59","2013-09-11",17.200001
"60","2013-09-12",17.299999
"61","2013-09-13",17.110001
"62","2013-09-16",17.17
"63","2013-09-17",17.219999
"64","2013-09-18",17.25
"65","2013-09-19",17.129999
"66","2013-09-20",16.91
"67","2013-09-23",16.790001
"68","2013-09-24",17.33
"69","2013-09-25",17.09
"70","2013-09-26",16.67
"71","2013-09-27",16.559999
"72","2013-09-30",16.43
"73","2013-10-01",16.290001
"74","2013-10-02",16.49
"75","2013-10-03",16.27
"76","2013-10-04",16.27
"77","2013-10-07",16.27
"78","2013-10-08",16.23
"79","2013-10-09",16.34
"80","2013-10-10",16.65
"81","2013-10-11",16.92
"82","2013-10-14",17.059999
"83","2013-10-15",17.16
"84","2013-10-16",17.26
"85","2013-10-17",17.26
"86","2013-10-18",17.32
"87","2013-10-21",17.299999
"88","2013-10-22",17.450001
"89","2013-10-23",17.49
"90","2013-10-24",17.719999
"91","2013-10-25",17.559999
"92","2013-10-28",17.68
"93","2013-10-29",17.870001
"94","2013-10-30",17.75
"95","2013-10-31",17.93
"96","2013-11-01",18.110001
"97","2013-11-04",18.129999
"98","2013-11-05",18.1
"99","2013-11-06",17.77
"100","2013-11-07",17.610001
"101","2013-11-08",17.940001
"102","2013-11-11",17.780001
"103","2013-11-12",17.49
"104","2013-11-13",17.530001
"105","2013-11-14",17.51
"106","2013-11-15",18.02
"107","2013-11-18",17.690001
"108","2013-11-19",17.73
"109","2013-11-20",17.85
"110","2013-11-21",17.799999
"111","2013-11-22",17.709999
"112","2013-11-25",17.610001
"113","2013-11-26",17.76
"114","2013-11-27",17.889999
"115","2013-11-29",17.969999
"116","2013-12-02",17.66
"117","2013-12-03",17.530001
"118","2013-12-04",17.5
"119","2013-12-05",17.370001
"120","2013-12-06",17.360001
"121","2013-12-09",17.360001
"122","2013-12-10",17.5
"123","2013-12-11",17.469999
"124","2013-12-12",17.35
"125","2013-12-13",17.5
"126","2013-12-16",17.629999
"127","2013-12-17",17.209999
"128","2013-12-18",17.35
"129","2013-12-19",17.209999
"130","2013-12-20",17.58
"131","2013-12-23",17.780001
"132","2013-12-24",17.82
"133","2013-12-26",17.700001
"134","2013-12-27",17.68
"135","2013-12-30",17.75
"136","2013-12-31",17.83
"137","2014-01-02",17.889999
"138","2014-01-03",17.73
"139","2014-01-06",17.549999
"140","2014-01-07",17.32
"141","2014-01-08",17.24
"142","2014-01-09",17.299999
"143","2014-01-10",17.34
"144","2014-01-13",17.08
"145","2014-01-14",17.24
"146","2014-01-15",17.15
"147","2014-01-16",17.040001
"148","2014-01-17",17.02
"149","2014-01-21",16.76
"150","2014-01-22",16.67
"151","2014-01-23",16.549999
"152","2014-01-24",16.15
"153","2014-01-27",16.15
"154","2014-01-28",16.01
"155","2014-01-29",15.92
"156","2014-01-30",15.8
"157","2014-01-31",15.61
"158","2014-02-03",15.07
"159","2014-02-04",15.07
"160","2014-02-05",15.31
"161","2014-02-06",15.66
"162","2014-02-07",17
"163","2014-02-10",17.15
"164","2014-02-11",17.5
"165","2014-02-12",17.299999
"166","2014-02-13",17.26
"167","2014-02-14",17.219999
"168","2014-02-18",17.290001
"169","2014-02-19",17.25
"170","2014-02-20",17.110001
"171","2014-02-21",17.219999
"172","2014-02-24",17.5
"173","2014-02-25",17.620001
"174","2014-02-26",17.59
"175","2014-02-27",17.66
"176","2014-02-28",17.889999
"177","2014-03-03",17.700001
"178","2014-03-04",17.889999
"179","2014-03-05",17.889999
"180","2014-03-06",17.860001
"181","2014-03-07",17.540001
"182","2014-03-10",17.48
"183","2014-03-11",17.370001
"184","2014-03-12",17.5
"185","2014-03-13",17.07
"186","2014-03-14",17.049999
"187","2014-03-17",17.08
"188","2014-03-18",17.35
"189","2014-03-19",17.24
"190","2014-03-20",17.110001
"191","2014-03-21",17.01
"192","2014-03-24",16.959999
"193","2014-03-25",16.84
"194","2014-03-26",16.52
"195","2014-03-27",16.5
"196","2014-03-28",16.540001
"197","2014-03-31",16.700001
"198","2014-04-01",16.93
"199","2014-04-02",16.950001
"200","2014-04-03",16.690001
"201","2014-04-04",16.709999
"202","2014-04-07",16.73
"203","2014-04-08",16.65
"204","2014-04-09",16.82
"205","2014-04-10",16.48
"206","2014-04-11",16.26
"207","2014-04-14",16.4
"208","2014-04-15",16.290001
"209","2014-04-16",16.41
"210","2014-04-17",16.469999
"211","2014-04-21",16.66
"212","2014-04-22",16.76
"213","2014-04-23",16.92
"214","2014-04-24",16.950001
"215","2014-04-25",16.780001
"216","2014-04-28",16.780001
"217","2014-04-29",16.809999
"218","2014-04-30",16.540001
"219","2014-05-01",16.76
"220","2014-05-02",16.83
"221","2014-05-05",16.84
"222","2014-05-06",16.65
"223","2014-05-07",16.540001
"224","2014-05-08",16.57
"225","2014-05-09",17.4
"226","2014-05-12",17.450001
"227","2014-05-13",17.309999
"228","2014-05-14",16.809999
"229","2014-05-15",16.559999
"230","2014-05-16",16.700001
"231","2014-05-19",16.67
"232","2014-05-20",16.43
"233","2014-05-21",16.5
"234","2014-05-22",16.77
"235","2014-05-23",16.74
"236","2014-05-27",16.860001
"237","2014-05-28",16.709999
"238","2014-05-29",16.639999
"239","2014-05-30",16.59
"240","2014-06-02",16.780001
"241","2014-06-03",16.92
"242","2014-06-04",17.01
"243","2014-06-05",17.27
"244","2014-06-06",17.27
"245","2014-06-09",17.25
"246","2014-06-10",17.18
"247","2014-06-11",17.17
"248","2014-06-12",16.85
"249","2014-06-13",16.73
"250","2014-06-16",16.73
"251","2014-06-17",16.809999
"252","2014-06-18",17.07
"253","2014-06-19",17.16
"254","2014-06-20",17.110001
"255","2014-06-23",16.84
"256","2014-06-24",17
"257","2014-06-25",17.200001
"258","2014-06-26",17.540001
"259","2014-06-27",17.549999
"260","2014-06-30",17.450001
"261","2014-07-01",17.6
"262","2014-07-02",17.719999
"263","2014-07-03",17.77
"264","2014-07-07",17.629999
"265","2014-07-08",17.58
"266","2014-07-09",17.67
"267","2014-07-10",17.51
"268","2014-07-11",17.559999
"269","2014-07-14",17.59
"270","2014-07-15",17.66
"271","2014-07-16",17.629999
"272","2014-07-17",17.5
"273","2014-07-18",17.65
"274","2014-07-21",17.540001
"275","2014-07-22",17.51
"276","2014-07-23",17.549999
"277","2014-07-24",17.73
"278","2014-07-25",17.610001
"279","2014-07-28",17.49
"280","2014-07-29",17.389999
"281","2014-07-30",17.379999
"282","2014-07-31",17.209999
"283","2014-08-01",17.360001
"284","2014-08-04",17.389999
"285","2014-08-05",17.219999
"286","2014-08-06",17.15
"287","2014-08-07",17
"288","2014-08-08",16.75
"289","2014-08-11",16.940001
"290","2014-08-12",16.83
"291","2014-08-13",16.76
"292","2014-08-14",16.969999
"293","2014-08-15",16.809999
"294","2014-08-18",16.84
"295","2014-08-19",16.75
"296","2014-08-20",17.09
"297","2014-08-21",17.190001
"298","2014-08-22",17.139999
"299","2014-08-25",17.309999
"300","2014-08-26",17.25
"301","2014-08-27",17.290001
"302","2014-08-28",17.290001
"303","2014-08-29",17.26
"304","2014-09-02",17.059999
"305","2014-09-03",17.25
"306","2014-09-04",17.299999
"307","2014-09-05",17.389999
"308","2014-09-08",17.26
"309","2014-09-09",16.969999
"310","2014-09-10",17.120001
"311","2014-09-11",16.950001
"312","2014-09-12",16.790001
"313","2014-09-15",16.719999
"314","2014-09-16",16.709999
"315","2014-09-17",16.67
"316","2014-09-18",16.690001
"317","2014-09-19",16.84
"318","2014-09-22",16.68
"319","2014-09-23",16.66
"320","2014-09-24",16.629999
"321","2014-09-25",16.42
"322","2014-09-26",16.629999
"323","2014-09-29",16.5
"324","2014-09-30",16.129999
"325","2014-10-01",15.82
"326","2014-10-02",15.65
"327","2014-10-03",15.76
"328","2014-10-06",15.76
"329","2014-10-07",15.33
"330","2014-10-08",15.74
"331","2014-10-09",15.26
"332","2014-10-10",14.97
"333","2014-10-13",14.53
"334","2014-10-14",14.58
"335","2014-10-15",14.48
"336","2014-10-16",14.24
"337","2014-10-17",14.26
"338","2014-10-20",14.43
"339","2014-10-21",15.01
"340","2014-10-22",14.86
"341","2014-10-23",15.1
"342","2014-10-24",15.32
"343","2014-10-27",15.07
"344","2014-10-28",15.07
"345","2014-10-29",15.14
"346","2014-10-30",15.06
"347","2014-10-31",15.05
"348","2014-11-03",15.1
"349","2014-11-04",14.74
"350","2014-11-05",14.86
"351","2014-11-06",14.99
"352","2014-11-07",14.84
"353","2014-11-10",14.94
"354","2014-11-11",14.92
"355","2014-11-12",15
"356","2014-11-13",14.82
"357","2014-11-14",14.98
"358","2014-11-17",14.94
"359","2014-11-18",14.91
"360","2014-11-19",14.98
"361","2014-11-20",14.76
