"","date","NXTC"
"1","2019-05-09",19.9
"2","2019-05-10",19.5
"3","2019-05-13",19.4
"4","2019-05-14",19.48
"5","2019-05-15",20.01
"6","2019-05-16",20.18
"7","2019-05-17",19.799999
"8","2019-05-20",20.639999
"9","2019-05-21",20.01
"10","2019-05-22",19.879999
"11","2019-05-23",19.57
"12","2019-05-24",19.9
"13","2019-05-28",19.719999
"14","2019-05-29",18.34
"15","2019-05-30",19.18
"16","2019-05-31",18.620001
"17","2019-06-03",17.35
"18","2019-06-04",17.709999
"19","2019-06-05",16.25
"20","2019-06-06",16.65
"21","2019-06-07",16.57
"22","2019-06-10",15.63
"23","2019-06-11",15.45
"24","2019-06-12",14.49
"25","2019-06-13",15.57
"26","2019-06-14",15.53
"27","2019-06-17",15.12
"28","2019-06-18",15.52
"29","2019-06-19",15.42
"30","2019-06-20",15.17
"31","2019-06-21",14.62
"32","2019-06-24",14.56
"33","2019-06-25",14.34
"34","2019-06-26",14.4
"35","2019-06-27",14.16
"36","2019-06-28",14.98
"37","2019-07-01",17.65
"38","2019-07-02",17.1
"39","2019-07-03",16.889999
"40","2019-07-05",16.629999
"41","2019-07-08",15.73
"42","2019-07-09",16.950001
"43","2019-07-10",16.65
"44","2019-07-11",17.01
"45","2019-07-12",16.780001
"46","2019-07-15",16.57
"47","2019-07-16",16.280001
"48","2019-07-17",16.5
"49","2019-07-18",17.549999
"50","2019-07-19",19.09
"51","2019-07-22",19.34
"52","2019-07-23",18.639999
"53","2019-07-24",19.219999
"54","2019-07-25",19.75
"55","2019-07-26",19.77
"56","2019-07-29",20.549999
"57","2019-07-30",20.91
"58","2019-07-31",21.969999
"59","2019-08-01",22.25
"60","2019-08-02",22.049999
"61","2019-08-05",21.549999
"62","2019-08-06",23.120001
"63","2019-08-07",24.4
"64","2019-08-08",22.77
"65","2019-08-09",23.91
"66","2019-08-12",24.24
"67","2019-08-13",26.709999
"68","2019-08-14",24.9
"69","2019-08-15",25.75
"70","2019-08-16",26.559999
"71","2019-08-19",26.82
"72","2019-08-20",25.92
"73","2019-08-21",29.52
"74","2019-08-22",29.83
"75","2019-08-23",30.129999
"76","2019-08-26",30.5
"77","2019-08-27",31.17
"78","2019-08-28",31.290001
"79","2019-08-29",34.009998
"80","2019-08-30",34.73
"81","2019-09-03",36.82
"82","2019-09-04",39.43
"83","2019-09-05",41.599998
"84","2019-09-06",34.34
"85","2019-09-09",35.32
"86","2019-09-10",36.759998
"87","2019-09-11",36.799999
"88","2019-09-12",37.68
"89","2019-09-13",37.049999
"90","2019-09-16",37.130001
"91","2019-09-17",40.040001
"92","2019-09-18",39.529999
"93","2019-09-19",39.610001
"94","2019-09-20",38.68
"95","2019-09-23",37.779999
"96","2019-09-24",38.220001
"97","2019-09-25",38.830002
"98","2019-09-26",35.689999
"99","2019-09-27",32.75
"100","2019-09-30",30.85
"101","2019-10-01",31.200001
"102","2019-10-02",30.17
"103","2019-10-03",31.01
"104","2019-10-04",31
"105","2019-10-07",29.82
"106","2019-10-08",28.5
"107","2019-10-09",25.540001
"108","2019-10-10",25.98
"109","2019-10-11",27.200001
"110","2019-10-14",26.18
"111","2019-10-15",27.139999
"112","2019-10-16",26.700001
"113","2019-10-17",26.85
"114","2019-10-18",27.120001
"115","2019-10-21",27.309999
"116","2019-10-22",27.23
"117","2019-10-23",25.98
"118","2019-10-24",25.790001
"119","2019-10-25",26.780001
"120","2019-10-28",26.110001
