"","date","OMEX"
"1","2007-01-03",34.919998
"2","2007-01-04",34.560001
"3","2007-01-05",34.080002
"4","2007-01-08",34.560001
"5","2007-01-09",33.959999
"6","2007-01-10",34.560001
"7","2007-01-11",36
"8","2007-01-12",36.240002
"9","2007-01-16",36.119999
"10","2007-01-17",37.080002
"11","2007-01-18",37.799999
"12","2007-01-19",38.16
"13","2007-01-22",34.799999
"14","2007-01-23",32.639999
"15","2007-01-24",37.32
"16","2007-01-25",36
"17","2007-01-26",36.119999
"18","2007-01-29",36
"19","2007-01-30",35.52
"20","2007-01-31",36
"21","2007-02-01",35.880001
"22","2007-02-02",36
"23","2007-02-05",35.400002
"24","2007-02-06",35.279999
"25","2007-02-07",34.799999
"26","2007-02-08",34.919998
"27","2007-02-09",34.919998
"28","2007-02-12",35.279999
"29","2007-02-13",35.040001
"30","2007-02-14",35.880001
"31","2007-02-15",35.759998
"32","2007-02-16",35.52
"33","2007-02-20",35.040001
"34","2007-02-21",35.400002
"35","2007-02-22",35.16
"36","2007-02-23",34.560001
"37","2007-02-26",34.799999
"38","2007-02-27",34.080002
"39","2007-02-28",34.32
"40","2007-03-01",34.919998
"41","2007-03-02",34.560001
"42","2007-03-05",34.200001
"43","2007-03-06",34.080002
"44","2007-03-07",34.200001
"45","2007-03-08",33.720001
"46","2007-03-09",33.240002
"47","2007-03-12",34.200001
"48","2007-03-13",33.599998
"49","2007-03-14",33.599998
"50","2007-03-15",33.360001
"51","2007-03-16",33.119999
"52","2007-03-19",34.919998
"53","2007-03-20",36.360001
"54","2007-03-21",37.200001
"55","2007-03-22",38.52
"56","2007-03-23",40.560001
"57","2007-03-26",46.799999
"58","2007-03-27",46.080002
"59","2007-03-28",44.880001
"60","2007-03-29",43.799999
"61","2007-03-30",43.68
"62","2007-04-02",43.200001
"63","2007-04-03",44.040001
"64","2007-04-04",42.959999
"65","2007-04-05",43.919998
"66","2007-04-09",45.720001
"67","2007-04-10",45.599998
"68","2007-04-11",47.16
"69","2007-04-12",49.919998
"70","2007-04-13",53.040001
"71","2007-04-16",53.639999
"72","2007-04-17",53.639999
"73","2007-04-18",54.48
"74","2007-04-19",54.599998
"75","2007-04-20",54.240002
"76","2007-04-23",53.759998
"77","2007-04-24",53.040001
"78","2007-04-25",52.560001
"79","2007-04-26",50.279999
"80","2007-04-27",49.919998
"81","2007-04-30",49.919998
"82","2007-05-01",48.599998
"83","2007-05-02",48.84
"84","2007-05-03",50.16
"85","2007-05-04",50.880001
"86","2007-05-07",49.560001
"87","2007-05-08",49.439999
"88","2007-05-09",48.720001
"89","2007-05-10",48.360001
"90","2007-05-11",48.84
"91","2007-05-14",48.959999
"92","2007-05-15",52.200001
"93","2007-05-16",53.880001
"94","2007-05-17",55.200001
"95","2007-05-18",99.839996
"96","2007-05-21",97.199997
"97","2007-05-22",86.879997
"98","2007-05-23",80.160004
"99","2007-05-24",83.519997
"100","2007-05-25",82.199997
"101","2007-05-29",82.199997
"102","2007-05-30",81.599998
"103","2007-05-31",79.199997
"104","2007-06-01",82.199997
"105","2007-06-04",81.599998
"106","2007-06-05",79.32
"107","2007-06-06",75.120003
"108","2007-06-07",74.400002
"109","2007-06-08",73.68
"110","2007-06-11",76.080002
"111","2007-06-12",73.919998
"112","2007-06-13",75.599998
"113","2007-06-14",73.800003
"114","2007-06-15",79.68
"115","2007-06-18",75.839996
"116","2007-06-19",77.279999
"117","2007-06-20",79.199997
"118","2007-06-21",76.440002
"119","2007-06-22",73.559998
"120","2007-06-25",69
"121","2007-06-26",72.239998
"122","2007-06-27",72.239998
"123","2007-06-28",73.199997
"124","2007-06-29",72.120003
"125","2007-07-02",74.879997
"126","2007-07-03",77.400002
"127","2007-07-05",76.32
"128","2007-07-06",76.32
"129","2007-07-09",76.559998
"130","2007-07-10",76.199997
"131","2007-07-11",74.040001
"132","2007-07-12",75.839996
"133","2007-07-13",71.160004
"134","2007-07-16",69.720001
"135","2007-07-17",72.599998
"136","2007-07-18",72
"137","2007-07-19",71.400002
"138","2007-07-20",69.720001
"139","2007-07-23",68.160004
"140","2007-07-24",63.360001
"141","2007-07-25",59.279999
"142","2007-07-26",59.16
"143","2007-07-27",60
"144","2007-07-30",62.52
"145","2007-07-31",62.040001
"146","2007-08-01",61.560001
"147","2007-08-02",63.360001
"148","2007-08-03",61.32
"149","2007-08-06",60.240002
"150","2007-08-07",65.400002
"151","2007-08-08",71.040001
"152","2007-08-09",75.239998
"153","2007-08-10",72.599998
"154","2007-08-13",72.360001
"155","2007-08-14",70.080002
"156","2007-08-15",68.400002
"157","2007-08-16",75
"158","2007-08-17",74.400002
"159","2007-08-20",75
"160","2007-08-21",74.279999
"161","2007-08-22",74.279999
"162","2007-08-23",73.800003
"163","2007-08-24",72.720001
"164","2007-08-27",72
"165","2007-08-28",71.400002
"166","2007-08-29",72.120003
"167","2007-08-30",73.559998
"168","2007-08-31",73.68
"169","2007-09-04",75.239998
"170","2007-09-05",71.879997
"171","2007-09-06",73.559998
"172","2007-09-07",71.400002
"173","2007-09-10",71.760002
"174","2007-09-11",71.040001
"175","2007-09-12",72
"176","2007-09-13",70.800003
"177","2007-09-14",71.639999
"178","2007-09-17",70.919998
"179","2007-09-18",73.199997
"180","2007-09-19",74.160004
"181","2007-09-20",73.68
"182","2007-09-21",75.480003
"183","2007-09-24",74.519997
"184","2007-09-25",73.919998
"185","2007-09-26",74.519997
"186","2007-09-27",75
"187","2007-09-28",74.279999
"188","2007-10-01",73.32
"189","2007-10-02",74.639999
"190","2007-10-03",72.839996
"191","2007-10-04",73.080002
"192","2007-10-05",74.639999
"193","2007-10-08",74.279999
"194","2007-10-09",74.400002
"195","2007-10-10",74.519997
"196","2007-10-11",74.400002
"197","2007-10-12",74.040001
"198","2007-10-15",76.32
"199","2007-10-16",80.040001
"200","2007-10-17",89.639999
"201","2007-10-18",85.199997
"202","2007-10-19",80.279999
"203","2007-10-22",81
"204","2007-10-23",83.519997
"205","2007-10-24",81
"206","2007-10-25",79.199997
"207","2007-10-26",81.239998
"208","2007-10-29",80.160004
"209","2007-10-30",81.839996
"210","2007-10-31",84.120003
"211","2007-11-01",79.68
"212","2007-11-02",80.400002
"213","2007-11-05",77.400002
"214","2007-11-06",77.760002
"215","2007-11-07",72.480003
"216","2007-11-08",69.239998
"217","2007-11-09",69.120003
"218","2007-11-12",69.720001
"219","2007-11-13",71.279999
"220","2007-11-14",70.199997
"221","2007-11-15",69.120003
"222","2007-11-16",67.559998
"223","2007-11-19",64.199997
"224","2007-11-20",64.440002
"225","2007-11-21",64.32
"226","2007-11-23",67.440002
"227","2007-11-26",66
"228","2007-11-27",65.879997
"229","2007-11-28",69
"230","2007-11-29",69.120003
"231","2007-11-30",67.559998
"232","2007-12-03",66.720001
"233","2007-12-04",64.199997
"234","2007-12-05",65.040001
"235","2007-12-06",68.400002
"236","2007-12-07",68.519997
"237","2007-12-10",67.559998
"238","2007-12-11",64.919998
"239","2007-12-12",64.559998
"240","2007-12-13",66.959999
"241","2007-12-14",67.440002
"242","2007-12-17",58.080002
"243","2007-12-18",61.799999
"244","2007-12-19",64.199997
"245","2007-12-20",67.68
"246","2007-12-21",71.160004
"247","2007-12-24",73.800003
"248","2007-12-26",75.959999
"249","2007-12-27",72.839996
"250","2007-12-28",73.199997
"251","2007-12-31",74.279999
"252","2008-01-02",65.400002
"253","2008-01-03",63.720001
"254","2008-01-04",60.240002
"255","2008-01-07",61.799999
"256","2008-01-08",63.240002
"257","2008-01-09",63.720001
"258","2008-01-10",64.919998
"259","2008-01-11",62.400002
"260","2008-01-14",62.639999
"261","2008-01-15",62.880001
"262","2008-01-16",62.759998
"263","2008-01-17",64.199997
"264","2008-01-18",62.52
"265","2008-01-22",62.880001
"266","2008-01-23",63.959999
"267","2008-01-24",61.68
"268","2008-01-25",60.119999
"269","2008-01-28",62.400002
"270","2008-01-29",61.919998
"271","2008-01-30",60.240002
"272","2008-01-31",60.48
"273","2008-02-01",61.68
"274","2008-02-04",59.639999
"275","2008-02-05",58.080002
"276","2008-02-06",56.52
"277","2008-02-07",57
"278","2008-02-08",55.32
"279","2008-02-11",58.799999
"280","2008-02-12",58.32
"281","2008-02-13",60.84
"282","2008-02-14",57.599998
"283","2008-02-15",57.599998
"284","2008-02-19",57.48
"285","2008-02-20",58.560001
"286","2008-02-21",56.040001
"287","2008-02-22",59.52
"288","2008-02-25",60.240002
"289","2008-02-26",64.68
"290","2008-02-27",64.080002
"291","2008-02-28",60.599998
"292","2008-02-29",58.799999
"293","2008-03-03",63.720001
"294","2008-03-04",66.120003
"295","2008-03-05",65.639999
"296","2008-03-06",64.199997
"297","2008-03-07",65.400002
"298","2008-03-10",65.519997
"299","2008-03-11",67.440002
"300","2008-03-12",70.68
"301","2008-03-13",69.480003
"302","2008-03-14",65.400002
"303","2008-03-17",63.48
"304","2008-03-18",66
"305","2008-03-19",66.239998
"306","2008-03-20",68.400002
"307","2008-03-24",67.68
"308","2008-03-25",65.879997
"309","2008-03-26",65.519997
"310","2008-03-27",66.239998
"311","2008-03-28",65.400002
"312","2008-03-31",64.68
"313","2008-04-01",66.120003
"314","2008-04-02",65.400002
"315","2008-04-03",65.160004
"316","2008-04-04",65.639999
"317","2008-04-07",64.32
"318","2008-04-08",63.959999
"319","2008-04-09",62.52
"320","2008-04-10",61.32
"321","2008-04-11",59.759998
"322","2008-04-14",61.439999
