"","date","ONEW"
"1","2020-02-07",15.14
"2","2020-02-10",14.61
"3","2020-02-11",14.98
"4","2020-02-12",15.11
"5","2020-02-13",17.4
"6","2020-02-14",17.5
"7","2020-02-18",17.299999
"8","2020-02-19",17.66
"9","2020-02-20",18
"10","2020-02-21",17.860001
"11","2020-02-24",16.719999
"12","2020-02-25",16.120001
"13","2020-02-26",16.09
"14","2020-02-27",16
"15","2020-02-28",16.01
"16","2020-03-02",15.8
"17","2020-03-03",13.65
"18","2020-03-04",13.9
"19","2020-03-05",12.67
"20","2020-03-06",11.85
"21","2020-03-09",9.63
"22","2020-03-10",10.02
"23","2020-03-11",9.13
"24","2020-03-12",7.71
"25","2020-03-13",8.42
"26","2020-03-16",6.49
"27","2020-03-17",6.12
"28","2020-03-18",4.01
"29","2020-03-19",5.01
"30","2020-03-20",5.2
"31","2020-03-23",5.02
"32","2020-03-24",6.61
"33","2020-03-25",6.6
"34","2020-03-26",7
"35","2020-03-27",6.16
"36","2020-03-30",6.3
"37","2020-03-31",7.65
"38","2020-04-01",6.16
"39","2020-04-02",6.07
"40","2020-04-03",5.92
"41","2020-04-06",6.33
"42","2020-04-07",7.28
"43","2020-04-08",7.41
"44","2020-04-09",6.76
"45","2020-04-13",6.77
"46","2020-04-14",7.28
"47","2020-04-15",7.1
"48","2020-04-16",7.5
"49","2020-04-17",7.12
"50","2020-04-20",7.53
"51","2020-04-21",7.07
"52","2020-04-22",7.06
"53","2020-04-23",7.42
"54","2020-04-24",7.94
"55","2020-04-27",8.85
"56","2020-04-28",10.93
"57","2020-04-29",11.45
"58","2020-04-30",11.49
"59","2020-05-01",10.36
"60","2020-05-04",10.61
"61","2020-05-05",11.05
"62","2020-05-06",11
"63","2020-05-07",12.3
"64","2020-05-08",12.08
"65","2020-05-11",12.57
"66","2020-05-12",12.92
"67","2020-05-13",12.52
"68","2020-05-14",12
"69","2020-05-15",14
"70","2020-05-18",13.41
"71","2020-05-19",13.57
"72","2020-05-20",14.3
"73","2020-05-21",15.3
"74","2020-05-22",16
"75","2020-05-26",15.92
"76","2020-05-27",15.6
"77","2020-05-28",14.99
"78","2020-05-29",14.75
"79","2020-06-01",15.74
"80","2020-06-02",15.85
"81","2020-06-03",18.389999
"82","2020-06-04",18.370001
"83","2020-06-05",18.719999
"84","2020-06-08",19.67
"85","2020-06-09",19.91
"86","2020-06-10",20.32
"87","2020-06-11",19.219999
"88","2020-06-12",20.83
"89","2020-06-15",21.51
"90","2020-06-16",21.43
"91","2020-06-17",22.360001
"92","2020-06-18",22.459999
"93","2020-06-19",22.629999
"94","2020-06-22",23.5
"95","2020-06-23",24.549999
"96","2020-06-24",22.93
"97","2020-06-25",23.08
"98","2020-06-26",23.74
"99","2020-06-29",24.32
"100","2020-06-30",24.280001
"101","2020-07-01",24.24
"102","2020-07-02",24.23
"103","2020-07-06",24.219999
"104","2020-07-07",22.84
"105","2020-07-08",22.219999
"106","2020-07-09",22.459999
"107","2020-07-10",21.92
"108","2020-07-13",21.92
"109","2020-07-14",22.360001
"110","2020-07-15",24
"111","2020-07-16",23.549999
"112","2020-07-17",22.940001
"113","2020-07-20",22.200001
"114","2020-07-21",22.49
"115","2020-07-22",23.17
"116","2020-07-23",24.459999
"117","2020-07-24",24.07
"118","2020-07-27",26.360001
"119","2020-07-28",26.77
"120","2020-07-29",28.25
"121","2020-07-30",26.629999
"122","2020-07-31",25
"123","2020-08-03",26.219999
"124","2020-08-04",26.49
"125","2020-08-05",27.67
"126","2020-08-06",26.629999
"127","2020-08-07",28.120001
"128","2020-08-10",27.450001
"129","2020-08-11",27.23
"130","2020-08-12",29
"131","2020-08-13",29.25
"132","2020-08-14",28.5
"133","2020-08-17",29.15
"134","2020-08-18",28.57
"135","2020-08-19",28.77
"136","2020-08-20",30.530001
"137","2020-08-21",30
"138","2020-08-24",30.629999
"139","2020-08-25",30.610001
"140","2020-08-26",28.209999
"141","2020-08-27",28.969999
"142","2020-08-28",29.049999
"143","2020-08-31",28.58
"144","2020-09-01",28.76
"145","2020-09-02",28.91
"146","2020-09-03",27.559999
"147","2020-09-04",27.040001
"148","2020-09-08",27.09
"149","2020-09-09",27.450001
"150","2020-09-10",24.84
"151","2020-09-11",25.799999
"152","2020-09-14",23.58
"153","2020-09-15",22.82
"154","2020-09-16",21.57
"155","2020-09-17",22.16
"156","2020-09-18",20.02
"157","2020-09-21",19.610001
"158","2020-09-22",21.059999
"159","2020-09-23",20.35
"160","2020-09-24",19.790001
"161","2020-09-25",20.24
"162","2020-09-28",21.09
"163","2020-09-29",20.82
"164","2020-09-30",20.49
"165","2020-10-01",20.9
"166","2020-10-02",21
"167","2020-10-05",21.879999
"168","2020-10-06",21.77
"169","2020-10-07",21.68
"170","2020-10-08",20.67
"171","2020-10-09",21.059999
"172","2020-10-12",21.49
"173","2020-10-13",21.709999
"174","2020-10-14",21.559999
"175","2020-10-15",21.879999
"176","2020-10-16",21.559999
"177","2020-10-19",21.049999
"178","2020-10-20",20.5
"179","2020-10-21",19.299999
"180","2020-10-22",19.32
"181","2020-10-23",19.99
"182","2020-10-26",19.190001
"183","2020-10-27",18.82
"184","2020-10-28",19.049999
"185","2020-10-29",19.129999
"186","2020-10-30",18.629999
"187","2020-11-02",18.700001
"188","2020-11-03",19.25
"189","2020-11-04",19.5
"190","2020-11-05",19.91
"191","2020-11-06",19.98
"192","2020-11-09",18.91
"193","2020-11-10",18.99
"194","2020-11-11",19.610001
"195","2020-11-12",20.91
"196","2020-11-13",21.879999
"197","2020-11-16",23.27
"198","2020-11-17",24.309999
"199","2020-11-18",24.059999
"200","2020-11-19",22.74
"201","2020-11-20",24.51
"202","2020-11-23",26.4
"203","2020-11-24",27.780001
"204","2020-11-25",27.82
"205","2020-11-27",28.24
