"","date","ON"
"1","2007-01-03",7.5
"2","2007-01-04",7.62
"3","2007-01-05",7.51
"4","2007-01-08",8.06
"5","2007-01-09",8.03
"6","2007-01-10",8.35
"7","2007-01-11",8.17
"8","2007-01-12",8.2
"9","2007-01-16",8.28
"10","2007-01-17",8.18
"11","2007-01-18",7.91
"12","2007-01-19",8.01
"13","2007-01-22",7.99
"14","2007-01-23",8.14
"15","2007-01-24",8.32
"16","2007-01-25",8.27
"17","2007-01-26",8.48
"18","2007-01-29",8.58
"19","2007-01-30",8.41
"20","2007-01-31",8.36
"21","2007-02-01",9.72
"22","2007-02-02",9.7
"23","2007-02-05",9.68
"24","2007-02-06",9.61
"25","2007-02-07",9.72
"26","2007-02-08",9.55
"27","2007-02-09",9.55
"28","2007-02-12",9.48
"29","2007-02-13",9.69
"30","2007-02-14",9.87
"31","2007-02-15",9.98
"32","2007-02-16",10.2
"33","2007-02-20",10.27
"34","2007-02-21",10.25
"35","2007-02-22",10.44
"36","2007-02-23",10.76
"37","2007-02-26",10.58
"38","2007-02-27",10.1
"39","2007-02-28",9.82
"40","2007-03-01",9.75
"41","2007-03-02",9.49
"42","2007-03-05",9.21
"43","2007-03-06",9.75
"44","2007-03-07",9.57
"45","2007-03-08",9.99
"46","2007-03-09",10.34
"47","2007-03-12",10.35
"48","2007-03-13",9.98
"49","2007-03-14",10.04
"50","2007-03-15",9.97
"51","2007-03-16",9.86
"52","2007-03-19",9.88
"53","2007-03-20",9.72
"54","2007-03-21",9.9
"55","2007-03-22",9.83
"56","2007-03-23",9.57
"57","2007-03-26",9.52
"58","2007-03-27",9.6
"59","2007-03-28",9.16
"60","2007-03-29",8.87
"61","2007-03-30",8.92
"62","2007-04-02",8.81
"63","2007-04-03",8.92
"64","2007-04-04",9.47
"65","2007-04-05",9.68
"66","2007-04-09",9.55
"67","2007-04-10",9.53
"68","2007-04-11",9.71
"69","2007-04-12",9.9
"70","2007-04-13",9.84
"71","2007-04-16",9.73
"72","2007-04-17",9.72
"73","2007-04-18",10.02
"74","2007-04-19",10.06
"75","2007-04-20",10.01
"76","2007-04-23",10.17
"77","2007-04-24",10.3
"78","2007-04-25",10.39
"79","2007-04-26",10.38
"80","2007-04-27",11.16
"81","2007-04-30",10.71
"82","2007-05-01",10.64
"83","2007-05-02",10.57
"84","2007-05-03",10.98
"85","2007-05-04",11.15
"86","2007-05-07",11.23
"87","2007-05-08",11.24
"88","2007-05-09",11.35
"89","2007-05-10",11.14
"90","2007-05-11",11.09
"91","2007-05-14",10.98
"92","2007-05-15",10.89
"93","2007-05-16",11.19
"94","2007-05-17",11.06
"95","2007-05-18",11.08
"96","2007-05-21",11.19
"97","2007-05-22",11.24
"98","2007-05-23",10.9
"99","2007-05-24",10.48
"100","2007-05-25",10.55
"101","2007-05-29",10.72
"102","2007-05-30",10.7
"103","2007-05-31",10.74
"104","2007-06-01",10.81
"105","2007-06-04",10.85
"106","2007-06-05",10.8
"107","2007-06-06",10.66
"108","2007-06-07",10.51
"109","2007-06-08",10.9
"110","2007-06-11",10.86
"111","2007-06-12",10.83
"112","2007-06-13",10.62
"113","2007-06-14",10.91
"114","2007-06-15",11.06
"115","2007-06-18",11.18
"116","2007-06-19",11.04
"117","2007-06-20",10.85
"118","2007-06-21",11.03
"119","2007-06-22",10.76
"120","2007-06-25",10.6
"121","2007-06-26",10.46
"122","2007-06-27",10.65
"123","2007-06-28",10.91
"124","2007-06-29",10.72
"125","2007-07-02",11.1
"126","2007-07-03",11.27
"127","2007-07-05",11.35
"128","2007-07-06",11.4
"129","2007-07-09",11.32
"130","2007-07-10",11.19
"131","2007-07-11",11.2
"132","2007-07-12",11.7
"133","2007-07-13",11.84
"134","2007-07-16",11.78
"135","2007-07-17",11.9
"136","2007-07-18",11.57
"137","2007-07-19",11.75
"138","2007-07-20",11.56
"139","2007-07-23",11.7
"140","2007-07-24",11.4
"141","2007-07-25",11.53
"142","2007-07-26",11.15
"143","2007-07-27",10.8
"144","2007-07-30",11.01
"145","2007-07-31",11.82
"146","2007-08-01",11.8
"147","2007-08-02",11.94
"148","2007-08-03",11.39
"149","2007-08-06",11.33
"150","2007-08-07",11.13
"151","2007-08-08",11.32
"152","2007-08-09",10.57
"153","2007-08-10",11.37
"154","2007-08-13",11.37
"155","2007-08-14",11.23
"156","2007-08-15",11.15
"157","2007-08-16",11.18
"158","2007-08-17",11.08
"159","2007-08-20",11.19
"160","2007-08-21",11.4
"161","2007-08-22",11.58
"162","2007-08-23",11.7
"163","2007-08-24",12.2
"164","2007-08-27",11.75
"165","2007-08-28",11.29
"166","2007-08-29",11.48
"167","2007-08-30",11.4
"168","2007-08-31",11.72
"169","2007-09-04",12.09
"170","2007-09-05",12.08
"171","2007-09-06",11.86
"172","2007-09-07",11.7
"173","2007-09-10",11.78
"174","2007-09-11",11.99
"175","2007-09-12",11.58
"176","2007-09-13",11.57
"177","2007-09-14",11.49
"178","2007-09-17",11.51
"179","2007-09-18",12.22
"180","2007-09-19",12.63
"181","2007-09-20",12.51
"182","2007-09-21",12.72
"183","2007-09-24",12.47
"184","2007-09-25",12.85
"185","2007-09-26",12.74
"186","2007-09-27",12.57
"187","2007-09-28",12.56
"188","2007-10-01",12.55
"189","2007-10-02",12.47
"190","2007-10-03",12.4
"191","2007-10-04",12.43
"192","2007-10-05",12.6
"193","2007-10-08",12.54
"194","2007-10-09",12.44
"195","2007-10-10",12.61
"196","2007-10-11",12.27
"197","2007-10-12",12.5
"198","2007-10-15",12.52
"199","2007-10-16",12.26
"200","2007-10-17",12.5
"201","2007-10-18",12.81
"202","2007-10-19",12.48
"203","2007-10-22",12.45
"204","2007-10-23",12.99
"205","2007-10-24",12.38
"206","2007-10-25",12.1
"207","2007-10-26",12.24
"208","2007-10-29",12.19
"209","2007-10-30",10.22
"210","2007-10-31",10.2
"211","2007-11-01",9.86
"212","2007-11-02",9.75
"213","2007-11-05",9.61
"214","2007-11-06",9.54
"215","2007-11-07",9.1
"216","2007-11-08",8.73
"217","2007-11-09",9.22
"218","2007-11-12",8.85
"219","2007-11-13",9.23
"220","2007-11-14",9.38
"221","2007-11-15",9.04
"222","2007-11-16",8.99
"223","2007-11-19",8.76
"224","2007-11-20",8.61
"225","2007-11-21",8.48
"226","2007-11-23",8.62
"227","2007-11-26",8.31
"228","2007-11-27",8.62
"229","2007-11-28",9.35
"230","2007-11-29",9.45
"231","2007-11-30",9.19
"232","2007-12-03",8.86
"233","2007-12-04",8.78
"234","2007-12-05",9.04
"235","2007-12-06",9.02
"236","2007-12-07",9.13
"237","2007-12-10",9.03
"238","2007-12-11",8.88
"239","2007-12-12",8.82
"240","2007-12-13",8.54
"241","2007-12-14",8.24
"242","2007-12-17",8.19
"243","2007-12-18",8.11
"244","2007-12-19",8.26
"245","2007-12-20",8.49
"246","2007-12-21",8.85
"247","2007-12-24",8.95
"248","2007-12-26",9.17
"249","2007-12-27",8.86
"250","2007-12-28",8.92
"251","2007-12-31",8.88
"252","2008-01-02",8.58
"253","2008-01-03",8.28
"254","2008-01-04",7.89
"255","2008-01-07",7.69
"256","2008-01-08",7.35
"257","2008-01-09",7.54
"258","2008-01-10",7.71
"259","2008-01-11",7.47
"260","2008-01-14",7.5
"261","2008-01-15",7.13
"262","2008-01-16",7.18
"263","2008-01-17",7.06
"264","2008-01-18",7.25
"265","2008-01-22",7.14
"266","2008-01-23",7.1
"267","2008-01-24",7.25
"268","2008-01-25",6.82
"269","2008-01-28",6.74
"270","2008-01-29",6.86
"271","2008-01-30",6.51
"272","2008-01-31",6.48
"273","2008-02-01",7.27
"274","2008-02-04",6.99
"275","2008-02-05",6.65
"276","2008-02-06",6.3
"277","2008-02-07",6.46
"278","2008-02-08",6.45
"279","2008-02-11",6.25
"280","2008-02-12",6.32
"281","2008-02-13",6.41
"282","2008-02-14",6.13
"283","2008-02-15",5.78
"284","2008-02-19",5.72
"285","2008-02-20",6.09
"286","2008-02-21",5.81
"287","2008-02-22",5.88
"288","2008-02-25",6.01
"289","2008-02-26",5.96
"290","2008-02-27",6.27
"291","2008-02-28",5.98
"292","2008-02-29",6
"293","2008-03-03",5.93
"294","2008-03-04",5.83
"295","2008-03-05",5.9
"296","2008-03-06",5.59
"297","2008-03-07",5.6
"298","2008-03-10",5.46
"299","2008-03-11",5.56
"300","2008-03-12",5.52
"301","2008-03-13",5.41
"302","2008-03-14",5.22
"303","2008-03-17",4.99
"304","2008-03-18",5.34
"305","2008-03-19",5.01
"306","2008-03-20",5.22
"307","2008-03-24",5.6
"308","2008-03-25",5.9
"309","2008-03-26",5.69
"310","2008-03-27",5.55
"311","2008-03-28",5.53
"312","2008-03-31",5.68
"313","2008-04-01",6.08
"314","2008-04-02",6.35
"315","2008-04-03",6.58
"316","2008-04-04",6.79
"317","2008-04-07",6.83
"318","2008-04-08",6.6
"319","2008-04-09",6.66
"320","2008-04-10",6.79
"321","2008-04-11",6.48
"322","2008-04-14",6.49
"323","2008-04-15",6.53
"324","2008-04-16",6.88
"325","2008-04-17",6.56
"326","2008-04-18",6.8
"327","2008-04-21",6.92
"328","2008-04-22",6.69
"329","2008-04-23",6.9
"330","2008-04-24",7.06
"331","2008-04-25",7.11
"332","2008-04-28",7.48
"333","2008-04-29",7.41
"334","2008-04-30",7.47
"335","2008-05-01",7.69
"336","2008-05-02",7.72
"337","2008-05-05",7.72
"338","2008-05-06",7.81
"339","2008-05-07",9.4
"340","2008-05-08",9.63
"341","2008-05-09",9.59
"342","2008-05-12",9.7
"343","2008-05-13",9.68
"344","2008-05-14",9.83
"345","2008-05-15",10
"346","2008-05-16",10.39
"347","2008-05-19",10.18
