"","date","ORGO"
"1","2017-01-05",9.75
"2","2017-01-06",9.75
"3","2017-01-09",9.75
"4","2017-01-10",9.8
"5","2017-01-11",9.8
"6","2017-01-12",9.8
"7","2017-01-13",9.8
"8","2017-01-17",9.8
"9","2017-01-18",9.85
"10","2017-01-19",9.85
"11","2017-01-20",9.88
"12","2017-01-23",9.88
"13","2017-01-24",9.88
"14","2017-01-25",9.88
"15","2017-01-26",9.88
"16","2017-01-27",9.88
"17","2017-01-30",9.88
"18","2017-01-31",9.88
"19","2017-02-01",9.88
"20","2017-02-02",9.88
"21","2017-02-03",9.88
"22","2017-02-06",9.88
"23","2017-02-07",9.9
"24","2017-02-08",9.9
"25","2017-02-09",9.9
"26","2017-02-10",9.9
"27","2017-02-13",9.9
"28","2017-02-14",9.9
"29","2017-02-15",9.91
"30","2017-02-16",9.9
"31","2017-02-17",9.95
"32","2017-02-21",9.95
"33","2017-02-22",9.91
"34","2017-02-23",9.91
"35","2017-02-24",9.91
"36","2017-02-27",9.91
"37","2017-02-28",9.91
"38","2017-03-01",9.9
"39","2017-03-02",9.9
"40","2017-03-03",9.9
"41","2017-03-06",9.9
"42","2017-03-07",9.9
"43","2017-03-08",9.91
"44","2017-03-09",9.91
"45","2017-03-10",9.91
"46","2017-03-13",9.91
"47","2017-03-14",9.91
"48","2017-03-15",9.92
"49","2017-03-16",9.92
"50","2017-03-17",9.92
"51","2017-03-20",9.9
"52","2017-03-21",9.86
"53","2017-03-22",9.86
"54","2017-03-23",9.86
"55","2017-03-24",9.88
"56","2017-03-27",9.88
"57","2017-03-28",9.92
"58","2017-03-29",9.88
"59","2017-03-30",9.88
"60","2017-03-31",9.88
"61","2017-04-03",9.88
"62","2017-04-04",9.88
"63","2017-04-05",9.85
"64","2017-04-06",9.85
"65","2017-04-07",9.85
"66","2017-04-10",9.89
"67","2017-04-11",9.89
"68","2017-04-12",9.89
"69","2017-04-13",9.89
"70","2017-04-17",9.89
"71","2017-04-18",9.89
"72","2017-04-19",9.8
"73","2017-04-20",9.8
"74","2017-04-21",9.8
"75","2017-04-24",9.8
"76","2017-04-25",9.8
"77","2017-04-26",9.88
"78","2017-04-27",9.88
"79","2017-04-28",9.88
"80","2017-05-01",9.88
"81","2017-05-02",9.88
"82","2017-05-03",9.8
"83","2017-05-04",9.8
"84","2017-05-05",9.8
"85","2017-05-08",9.8
"86","2017-05-09",9.8
"87","2017-05-10",9.8
"88","2017-05-11",9.829
"89","2017-05-12",9.8
"90","2017-05-15",9.8
"91","2017-05-16",9.8
"92","2017-05-17",9.8
"93","2017-05-18",9.8
"94","2017-05-19",9.8
"95","2017-05-22",9.8
"96","2017-05-23",9.8
"97","2017-05-24",9.8
"98","2017-05-25",9.89
"99","2017-05-26",9.89
"100","2017-05-30",9.89
"101","2017-05-31",9.87
"102","2017-06-01",9.83
"103","2017-06-02",9.81
"104","2017-06-05",9.81
"105","2017-06-06",9.85
"106","2017-06-07",9.85
"107","2017-06-08",9.88
"108","2017-06-09",9.88
"109","2017-06-12",9.84
"110","2017-06-13",9.84
"111","2017-06-14",9.85
"112","2017-06-15",9.81
"113","2017-06-16",9.81
"114","2017-06-19",9.81
