"","date","ORRF"
"1","2007-01-03",35.238094
"2","2007-01-04",36.190475
"3","2007-01-05",35.238094
"4","2007-01-08",35.238094
"5","2007-01-09",35.238094
"6","2007-01-10",35.238094
"7","2007-01-11",35.238094
"8","2007-01-12",35.523811
"9","2007-01-16",35.523811
"10","2007-01-17",35.514286
"11","2007-01-18",35
"12","2007-01-19",35.323811
"13","2007-01-22",35.323811
"14","2007-01-23",35.323811
"15","2007-01-24",35.333332
"16","2007-01-25",35
"17","2007-01-26",35
"18","2007-01-29",35.238094
"19","2007-01-30",35
"20","2007-01-31",35
"21","2007-02-01",35
"22","2007-02-02",35
"23","2007-02-05",34.761906
"24","2007-02-06",34.761906
"25","2007-02-07",35.238094
"26","2007-02-08",35.238094
"27","2007-02-09",35.238094
"28","2007-02-12",35.238094
"29","2007-02-13",34.904762
"30","2007-02-14",34.295238
"31","2007-02-15",34.285713
"32","2007-02-16",34.285713
"33","2007-02-20",34.42857
"34","2007-02-21",34.42857
"35","2007-02-22",34.466667
"36","2007-02-23",34.42857
"37","2007-02-26",34.42857
"38","2007-02-27",34.42857
"39","2007-02-28",34.42857
"40","2007-03-01",34.42857
"41","2007-03-02",34.42857
"42","2007-03-05",35.133335
"43","2007-03-06",34.285713
"44","2007-03-07",34.333332
"45","2007-03-08",34.285713
"46","2007-03-09",34.285713
"47","2007-03-12",34.285713
"48","2007-03-13",34.285713
"49","2007-03-14",34.285713
"50","2007-03-15",34.285713
"51","2007-03-16",34.285713
"52","2007-03-19",34.285713
"53","2007-03-20",34.285713
"54","2007-03-21",34.285713
"55","2007-03-22",34.285713
"56","2007-03-23",34.285713
"57","2007-03-26",33.666668
"58","2007-03-27",33.666668
"59","2007-03-28",33.809525
"60","2007-03-29",33.809525
"61","2007-03-30",33.809525
"62","2007-04-02",33.809525
"63","2007-04-03",33.666668
"64","2007-04-04",33.238094
"65","2007-04-05",33.400002
"66","2007-04-09",32.857143
"67","2007-04-10",32.857143
"68","2007-04-11",32.857143
"69","2007-04-12",32.761906
"70","2007-04-13",32.761906
"71","2007-04-16",32.761906
"72","2007-04-17",32.761906
"73","2007-04-18",32.390476
"74","2007-04-19",31.904762
"75","2007-04-20",32.666668
"76","2007-04-23",33.095238
"77","2007-04-24",32.714287
"78","2007-04-25",32.714287
"79","2007-04-26",32.714287
"80","2007-04-27",33.285713
"81","2007-04-30",33.761906
"82","2007-05-01",33.809525
"83","2007-05-02",32.761906
"84","2007-05-03",32.761906
"85","2007-05-04",32.761906
"86","2007-05-07",32.761906
"87","2007-05-08",33.095238
"88","2007-05-09",33.809525
"89","2007-05-10",33.809525
"90","2007-05-11",33.809525
"91","2007-05-14",33.809525
"92","2007-05-15",33.809525
"93","2007-05-16",33.809525
"94","2007-05-17",33.809525
"95","2007-05-18",33.809525
"96","2007-05-21",33.809525
"97","2007-05-22",33.809525
"98","2007-05-23",33.810001
"99","2007-05-24",33.810001
"100","2007-05-25",35.5
"101","2007-05-29",35.599998
"102","2007-05-30",33.349998
"103","2007-05-31",33.349998
"104","2007-06-01",33.25
"105","2007-06-04",33.25
"106","2007-06-05",33.5
"107","2007-06-06",33.5
"108","2007-06-07",33.5
"109","2007-06-08",33.5
"110","2007-06-11",33.5
"111","2007-06-12",33.25
"112","2007-06-13",33.5
"113","2007-06-14",33.099998
"114","2007-06-15",33.5
"115","2007-06-18",33.169998
"116","2007-06-19",33.169998
"117","2007-06-20",33.169998
"118","2007-06-21",33.169998
"119","2007-06-22",33.169998
"120","2007-06-25",33.5
"121","2007-06-26",32
