"","date","OVBC"
"1","2007-01-03",25.15
"2","2007-01-04",25.15
"3","2007-01-05",25.6
"4","2007-01-08",25.6
"5","2007-01-09",25.719999
"6","2007-01-10",25.719999
"7","2007-01-11",25.75
"8","2007-01-12",26.49
"9","2007-01-16",25.99
"10","2007-01-17",25.75
"11","2007-01-18",25.049999
"12","2007-01-19",25.9
"13","2007-01-22",25.48
"14","2007-01-23",25.25
"15","2007-01-24",25.43
"16","2007-01-25",25.25
"17","2007-01-26",25.25
"18","2007-01-29",25.25
"19","2007-01-30",25.25
"20","2007-01-31",25.25
"21","2007-02-01",25.25
"22","2007-02-02",25.25
"23","2007-02-05",25.4
"24","2007-02-06",25.4
"25","2007-02-07",25.4
"26","2007-02-08",25.35
"27","2007-02-09",25.35
"28","2007-02-12",25.35
"29","2007-02-13",25.360001
"30","2007-02-14",25.549999
"31","2007-02-15",25.35
"32","2007-02-16",25.25
"33","2007-02-20",25.35
"34","2007-02-21",25.35
"35","2007-02-22",25.26
"36","2007-02-23",25.26
"37","2007-02-26",25.26
"38","2007-02-27",25.27
"39","2007-02-28",25.5
"40","2007-03-01",25.25
"41","2007-03-02",25.25
"42","2007-03-05",25.25
"43","2007-03-06",25.25
"44","2007-03-07",25.25
"45","2007-03-08",25.25
"46","2007-03-09",25.25
"47","2007-03-12",25.25
"48","2007-03-13",25.25
"49","2007-03-14",25.35
"50","2007-03-15",25.35
"51","2007-03-16",25.25
"52","2007-03-19",25.25
"53","2007-03-20",25.25
"54","2007-03-21",25.25
"55","2007-03-22",25.25
"56","2007-03-23",25.25
"57","2007-03-26",25.25
"58","2007-03-27",25.25
"59","2007-03-28",25.25
"60","2007-03-29",25.25
"61","2007-03-30",25.26
"62","2007-04-02",25.25
"63","2007-04-03",25.25
"64","2007-04-04",25.25
"65","2007-04-05",25.25
"66","2007-04-09",25.25
"67","2007-04-10",25.25
"68","2007-04-11",25.25
"69","2007-04-12",25.26
"70","2007-04-13",25.26
"71","2007-04-16",25.27
"72","2007-04-17",25.27
"73","2007-04-18",25.26
"74","2007-04-19",25.25
"75","2007-04-20",25.25
"76","2007-04-23",25.25
"77","2007-04-24",25.26
"78","2007-04-25",25.049999
"79","2007-04-26",25.07
"80","2007-04-27",25.07
"81","2007-04-30",25.07
"82","2007-05-01",25.200001
"83","2007-05-02",25.25
"84","2007-05-03",25.25
"85","2007-05-04",25.25
"86","2007-05-07",25.25
"87","2007-05-08",25.25
"88","2007-05-09",25.25
"89","2007-05-10",25.370001
"90","2007-05-11",25.25
"91","2007-05-14",25.25
"92","2007-05-15",25.25
"93","2007-05-16",25.25
"94","2007-05-17",25.25
"95","2007-05-18",25.25
"96","2007-05-21",25.25
"97","2007-05-22",25.25
"98","2007-05-23",25.25
"99","2007-05-24",25.25
"100","2007-05-25",25.25
"101","2007-05-29",25.25
"102","2007-05-30",25.25
"103","2007-05-31",25.25
"104","2007-06-01",25.35
"105","2007-06-04",25.25
"106","2007-06-05",25.25
"107","2007-06-06",25.25
"108","2007-06-07",25.26
"109","2007-06-08",25.26
"110","2007-06-11",25.25
"111","2007-06-12",25.25
"112","2007-06-13",25.25
"113","2007-06-14",25.25
"114","2007-06-15",25.25
"115","2007-06-18",25.25
"116","2007-06-19",25.25
"117","2007-06-20",25.25
"118","2007-06-21",25.25
"119","2007-06-22",25.25
"120","2007-06-25",25.25
"121","2007-06-26",25.120001
"122","2007-06-27",25.120001
"123","2007-06-28",25.120001
"124","2007-06-29",25.1
"125","2007-07-02",25
"126","2007-07-03",25
"127","2007-07-05",25
"128","2007-07-06",25.02
