"","date","PDSB"
"1","2015-09-30",220
"2","2015-10-01",258.799988
"3","2015-10-02",349.600006
"4","2015-10-05",370.600006
"5","2015-10-06",360
"6","2015-10-07",355.799988
"7","2015-10-08",352.399994
"8","2015-10-09",352
"9","2015-10-12",373
"10","2015-10-13",442.799988
"11","2015-10-14",425
"12","2015-10-15",431
"13","2015-10-16",438
"14","2015-10-19",448.600006
"15","2015-10-20",469.799988
"16","2015-10-21",447.600006
"17","2015-10-22",438.799988
"18","2015-10-23",411.200012
"19","2015-10-26",405.799988
"20","2015-10-27",405.899994
"21","2015-10-28",417.600006
"22","2015-10-29",415
"23","2015-10-30",357.600006
"24","2015-11-02",329.799988
"25","2015-11-03",379.799988
"26","2015-11-04",369.600006
"27","2015-11-05",338.200012
"28","2015-11-06",336.799988
"29","2015-11-09",340
"30","2015-11-10",333
"31","2015-11-11",328.600006
"32","2015-11-12",315.399994
"33","2015-11-13",301.200012
"34","2015-11-16",298.399994
"35","2015-11-17",298.200012
"36","2015-11-18",287.399994
"37","2015-11-19",283.399994
"38","2015-11-20",275.600006
"39","2015-11-23",279.799988
"40","2015-11-24",270
"41","2015-11-25",270
"42","2015-11-27",277.799988
"43","2015-11-30",277.600006
"44","2015-12-01",280.799988
"45","2015-12-02",272
"46","2015-12-03",269.399994
"47","2015-12-04",260
"48","2015-12-07",253
"49","2015-12-08",258
"50","2015-12-09",286
"51","2015-12-10",271.399994
"52","2015-12-11",267
"53","2015-12-14",245.600006
"54","2015-12-15",252
"55","2015-12-16",249.800003
"56","2015-12-17",251.199997
"57","2015-12-18",251.199997
"58","2015-12-21",241.199997
"59","2015-12-22",256
"60","2015-12-23",265
"61","2015-12-24",260.200012
"62","2015-12-28",264.399994
"63","2015-12-29",257.200012
"64","2015-12-30",253
"65","2015-12-31",250
"66","2016-01-04",248
"67","2016-01-05",268.600006
"68","2016-01-06",275.200012
"69","2016-01-07",252.199997
"70","2016-01-08",257
"71","2016-01-11",243
"72","2016-01-12",248.800003
"73","2016-01-13",236.600006
"74","2016-01-14",228.399994
"75","2016-01-15",218
"76","2016-01-19",205.399994
