"","date","PEGA"
"1","2007-01-03",5.005
"2","2007-01-04",4.915
"3","2007-01-05",4.7
"4","2007-01-08",4.63
"5","2007-01-09",4.685
"6","2007-01-10",4.75
"7","2007-01-11",4.705
"8","2007-01-12",4.735
"9","2007-01-16",4.685
"10","2007-01-17",4.86
"11","2007-01-18",4.69
"12","2007-01-19",5.005
"13","2007-01-22",4.72
"14","2007-01-23",4.77
"15","2007-01-24",4.82
"16","2007-01-25",4.76
"17","2007-01-26",4.785
"18","2007-01-29",4.855
"19","2007-01-30",4.76
"20","2007-01-31",4.645
"21","2007-02-01",4.845
"22","2007-02-02",4.725
"23","2007-02-05",4.68
"24","2007-02-06",4.805
"25","2007-02-07",4.82
"26","2007-02-08",4.735
"27","2007-02-09",4.71
"28","2007-02-12",4.77
"29","2007-02-13",4.695
"30","2007-02-14",4.695
"31","2007-02-15",4.56
"32","2007-02-16",4.7
"33","2007-02-20",4.66
"34","2007-02-21",4.705
"35","2007-02-22",4.735
"36","2007-02-23",4.68
"37","2007-02-26",4.64
"38","2007-02-27",4.255
"39","2007-02-28",4.42
"40","2007-03-01",4.41
"41","2007-03-02",4.2
"42","2007-03-05",4.095
"43","2007-03-06",4.34
"44","2007-03-07",4.36
"45","2007-03-08",4.36
"46","2007-03-09",4.32
"47","2007-03-12",4.24
"48","2007-03-13",4.035
"49","2007-03-14",4.265
"50","2007-03-15",4.235
"51","2007-03-16",4.27
"52","2007-03-19",4.365
"53","2007-03-20",4.29
"54","2007-03-21",4.425
"55","2007-03-22",4.48
"56","2007-03-23",4.345
"57","2007-03-26",4.52
"58","2007-03-27",4.555
"59","2007-03-28",4.565
"60","2007-03-29",4.61
"61","2007-03-30",4.625
"62","2007-04-02",4.725
"63","2007-04-03",4.755
"64","2007-04-04",4.685
"65","2007-04-05",4.64
"66","2007-04-09",4.68
"67","2007-04-10",4.73
"68","2007-04-11",4.655
"69","2007-04-12",4.615
"70","2007-04-13",4.535
"71","2007-04-16",4.645
"72","2007-04-17",4.635
"73","2007-04-18",4.695
"74","2007-04-19",4.63
"75","2007-04-20",4.625
"76","2007-04-23",4.72
"77","2007-04-24",4.72
"78","2007-04-25",4.64
"79","2007-04-26",5.005
"80","2007-04-27",4.905
"81","2007-04-30",4.76
"82","2007-05-01",4.735
"83","2007-05-02",4.91
"84","2007-05-03",5.07
"85","2007-05-04",5.02
"86","2007-05-07",4.885
"87","2007-05-08",4.86
"88","2007-05-09",4.755
"89","2007-05-10",4.695
"90","2007-05-11",4.82
"91","2007-05-14",4.835
"92","2007-05-15",4.675
"93","2007-05-16",4.675
"94","2007-05-17",4.66
"95","2007-05-18",4.715
"96","2007-05-21",5.2
"97","2007-05-22",5.25
"98","2007-05-23",5.105
"99","2007-05-24",5.105
"100","2007-05-25",5.185
"101","2007-05-29",5.225
"102","2007-05-30",5.3
"103","2007-05-31",5.375
"104","2007-06-01",5.41
"105","2007-06-04",5.32
"106","2007-06-05",5.31
"107","2007-06-06",5.42
"108","2007-06-07",5.265
"109","2007-06-08",5.32
"110","2007-06-11",5.3
"111","2007-06-12",5.13
"112","2007-06-13",5.11
"113","2007-06-14",5.065
"114","2007-06-15",5.175
"115","2007-06-18",5.18
"116","2007-06-19",5.28
"117","2007-06-20",5.195
"118","2007-06-21",5.23
"119","2007-06-22",5.315
"120","2007-06-25",5.16
"121","2007-06-26",5.265
"122","2007-06-27",5.415
"123","2007-06-28",5.56
"124","2007-06-29",5.465
"125","2007-07-02",5.52
"126","2007-07-03",5.445
"127","2007-07-05",5.55
"128","2007-07-06",5.545
"129","2007-07-09",5.555
"130","2007-07-10",5.49
"131","2007-07-11",5.31
"132","2007-07-12",5.41
"133","2007-07-13",5.31
"134","2007-07-16",5.245
"135","2007-07-17",5.305
"136","2007-07-18",5.365
"137","2007-07-19",5.405
"138","2007-07-20",5.315
"139","2007-07-23",5.47
"140","2007-07-24",5.325
"141","2007-07-25",5.35
"142","2007-07-26",5.3
"143","2007-07-27",5.285
"144","2007-07-30",5.335
"145","2007-07-31",5.27
"146","2007-08-01",5.395
"147","2007-08-02",5.57
"148","2007-08-03",5.54
"149","2007-08-06",5.525
"150","2007-08-07",5.59
"151","2007-08-08",5.55
"152","2007-08-09",5.255
"153","2007-08-10",5.425
"154","2007-08-13",5.615
"155","2007-08-14",5.465
"156","2007-08-15",5.575
"157","2007-08-16",5.86
"158","2007-08-17",6.105
"159","2007-08-20",5.925
"160","2007-08-21",5.88
"161","2007-08-22",6.015
"162","2007-08-23",5.835
"163","2007-08-24",5.925
"164","2007-08-27",5.885
"165","2007-08-28",5.875
"166","2007-08-29",5.935
"167","2007-08-30",5.965
"168","2007-08-31",5.94
"169","2007-09-04",5.86
"170","2007-09-05",5.885
"171","2007-09-06",5.855
"172","2007-09-07",5.78
"173","2007-09-10",5.7
"174","2007-09-11",5.885
"175","2007-09-12",5.83
"176","2007-09-13",5.875
"177","2007-09-14",5.76
"178","2007-09-17",5.715
"179","2007-09-18",6
"180","2007-09-19",6.16
"181","2007-09-20",6.15
"182","2007-09-21",6.175
"183","2007-09-24",6.035
"184","2007-09-25",6.09
"185","2007-09-26",6.12
"186","2007-09-27",6.095
"187","2007-09-28",5.95
"188","2007-10-01",6.11
"189","2007-10-02",6.035
"190","2007-10-03",6.04
"191","2007-10-04",6.01
"192","2007-10-05",6.115
"193","2007-10-08",6.01
"194","2007-10-09",5.93
"195","2007-10-10",5.995
"196","2007-10-11",5.905
"197","2007-10-12",6.03
"198","2007-10-15",5.97
"199","2007-10-16",5.905
"200","2007-10-17",5.965
"201","2007-10-18",5.94
"202","2007-10-19",5.76
"203","2007-10-22",5.91
"204","2007-10-23",5.875
"205","2007-10-24",5.855
"206","2007-10-25",5.81
"207","2007-10-26",5.85
"208","2007-10-29",5.84
"209","2007-10-30",5.89
"210","2007-10-31",5.855
"211","2007-11-01",5.425
"212","2007-11-02",5.45
"213","2007-11-05",5.385
"214","2007-11-06",6.48
"215","2007-11-07",6.145
"216","2007-11-08",6.36
"217","2007-11-09",6.09
"218","2007-11-12",6.07
"219","2007-11-13",6.27
"220","2007-11-14",6.145
"221","2007-11-15",6.135
"222","2007-11-16",6.14
"223","2007-11-19",6.135
"224","2007-11-20",6.145
"225","2007-11-21",6.03
"226","2007-11-23",6.195
"227","2007-11-26",6.02
"228","2007-11-27",5.995
"229","2007-11-28",6.405
"230","2007-11-29",6.31
"231","2007-11-30",6.19
"232","2007-12-03",5.965
"233","2007-12-04",5.9
"234","2007-12-05",6.025
"235","2007-12-06",6.245
"236","2007-12-07",6.155
"237","2007-12-10",6.22
"238","2007-12-11",6.025
"239","2007-12-12",6
"240","2007-12-13",6
"241","2007-12-14",5.79
"242","2007-12-17",5.645
"243","2007-12-18",5.84
"244","2007-12-19",5.89
"245","2007-12-20",5.99
"246","2007-12-21",5.985
"247","2007-12-24",6.06
"248","2007-12-26",6.14
"249","2007-12-27",5.84
"250","2007-12-28",5.835
"251","2007-12-31",5.965
"252","2008-01-02",5.56
"253","2008-01-03",5.38
"254","2008-01-04",5.32
"255","2008-01-07",5.415
"256","2008-01-08",5.125
"257","2008-01-09",5.275
"258","2008-01-10",5.36
"259","2008-01-11",5.025
"260","2008-01-14",5.18
"261","2008-01-15",5.19
"262","2008-01-16",5.195
"263","2008-01-17",4.965
"264","2008-01-18",4.82
"265","2008-01-22",4.715
"266","2008-01-23",5.045
"267","2008-01-24",4.975
"268","2008-01-25",4.895
"269","2008-01-28",5.2
"270","2008-01-29",5.01
"271","2008-01-30",4.86
"272","2008-01-31",4.905
"273","2008-02-01",5
"274","2008-02-04",4.97
"275","2008-02-05",4.97
"276","2008-02-06",4.825
"277","2008-02-07",4.905
"278","2008-02-08",4.77
"279","2008-02-11",4.675
"280","2008-02-12",4.655
"281","2008-02-13",4.9
"282","2008-02-14",4.82
"283","2008-02-15",4.87
"284","2008-02-19",4.835
"285","2008-02-20",4.875
"286","2008-02-21",4.575
"287","2008-02-22",4.565
"288","2008-02-25",4.65
"289","2008-02-26",4.845
"290","2008-02-27",4.81
"291","2008-02-28",4.775
"292","2008-02-29",4.7
"293","2008-03-03",4.79
"294","2008-03-04",4.74
"295","2008-03-05",4.81
"296","2008-03-06",4.575
"297","2008-03-07",4.87
"298","2008-03-10",4.795
"299","2008-03-11",5.13
"300","2008-03-12",5.175
"301","2008-03-13",5.165
"302","2008-03-14",4.96
"303","2008-03-17",4.865
"304","2008-03-18",5.055
"305","2008-03-19",4.9
"306","2008-03-20",5
"307","2008-03-24",4.995
"308","2008-03-25",4.95
"309","2008-03-26",4.88
"310","2008-03-27",4.835
"311","2008-03-28",4.515
"312","2008-03-31",4.815
"313","2008-04-01",5.005
"314","2008-04-02",4.96
"315","2008-04-03",4.865
"316","2008-04-04",4.91
"317","2008-04-07",4.875
"318","2008-04-08",4.865
"319","2008-04-09",4.87
"320","2008-04-10",4.92
"321","2008-04-11",4.89
"322","2008-04-14",4.87
"323","2008-04-15",4.9
"324","2008-04-16",4.965
"325","2008-04-17",4.945
"326","2008-04-18",5.125
"327","2008-04-21",5.095
"328","2008-04-22",5.02
"329","2008-04-23",4.99
"330","2008-04-24",5.205
"331","2008-04-25",5.33
"332","2008-04-28",5.255
"333","2008-04-29",5.29
"334","2008-04-30",5.285
"335","2008-05-01",5.305
"336","2008-05-02",5.305
"337","2008-05-05",5.21
"338","2008-05-06",5.195
"339","2008-05-07",5.025
"340","2008-05-08",5.215
"341","2008-05-09",6.285
"342","2008-05-12",5.945
"343","2008-05-13",6.005
"344","2008-05-14",6.095
"345","2008-05-15",6.19
"346","2008-05-16",6.15
"347","2008-05-19",6.055
"348","2008-05-20",5.995
"349","2008-05-21",5.945
"350","2008-05-22",6.15
"351","2008-05-23",6.165
"352","2008-05-27",6.205
"353","2008-05-28",6.24
"354","2008-05-29",6.22
"355","2008-05-30",6.16
"356","2008-06-02",6.21
