"","date","PFBC"
"1","2007-01-03",197.5
"2","2007-01-04",196.96666
"3","2007-01-05",186.03334
"4","2007-01-08",186.03334
"5","2007-01-09",188.333328
"6","2007-01-10",187.96666
"7","2007-01-11",188.899994
"8","2007-01-12",190.166672
"9","2007-01-16",183.300003
"10","2007-01-17",182.666672
"11","2007-01-18",181.03334
"12","2007-01-19",184.03334
"13","2007-01-22",181.199997
"14","2007-01-23",182.933334
"15","2007-01-24",185.633331
"16","2007-01-25",193.03334
"17","2007-01-26",201.266663
"18","2007-01-29",209.833328
"19","2007-01-30",212.100006
"20","2007-01-31",217.933334
"21","2007-02-01",217.800003
"22","2007-02-02",217.933334
"23","2007-02-05",223
"24","2007-02-06",215.233337
"25","2007-02-07",206
"26","2007-02-08",208.733337
"27","2007-02-09",206.899994
"28","2007-02-12",214.833328
"29","2007-02-13",213.166672
"30","2007-02-14",211.866669
"31","2007-02-15",212.266663
"32","2007-02-16",212.833328
"33","2007-02-20",217.5
"34","2007-02-21",218.350006
"35","2007-02-22",216.75
"36","2007-02-23",217.75
"37","2007-02-26",215.199997
"38","2007-02-27",208
"39","2007-02-28",206.149994
"40","2007-03-01",206.600006
"41","2007-03-02",200.699997
"42","2007-03-05",201.100006
"43","2007-03-06",199.949997
"44","2007-03-07",197.300003
"45","2007-03-08",197.449997
"46","2007-03-09",207
"47","2007-03-12",201.449997
"48","2007-03-13",193.149994
"49","2007-03-14",200.100006
"50","2007-03-15",199.75
"51","2007-03-16",198.25
"52","2007-03-19",202.100006
"53","2007-03-20",200.5
"54","2007-03-21",205.949997
"55","2007-03-22",203.699997
"56","2007-03-23",201.199997
"57","2007-03-26",201.050003
"58","2007-03-27",196.350006
"59","2007-03-28",194.25
"60","2007-03-29",194.300003
"61","2007-03-30",196.050003
"62","2007-04-02",195.100006
"63","2007-04-03",191.25
"64","2007-04-04",191.75
"65","2007-04-05",191.800003
"66","2007-04-09",193.350006
"67","2007-04-10",190.300003
"68","2007-04-11",189.25
"69","2007-04-12",189.5
"70","2007-04-13",191.399994
"71","2007-04-16",194.5
"72","2007-04-17",196.600006
"73","2007-04-18",193.399994
"74","2007-04-19",190.800003
"75","2007-04-20",188.25
"76","2007-04-23",187.25
"77","2007-04-24",187.350006
"78","2007-04-25",187.5
"79","2007-04-26",188.850006
"80","2007-04-27",185.949997
"81","2007-04-30",183
"82","2007-05-01",183.649994
"83","2007-05-02",182.100006
"84","2007-05-03",188.899994
"85","2007-05-04",187.350006
"86","2007-05-07",189
"87","2007-05-08",186.75
"88","2007-05-09",186.800003
"89","2007-05-10",182.699997
"90","2007-05-11",184.949997
"91","2007-05-14",183.25
"92","2007-05-15",184.25
"93","2007-05-16",184.600006
"94","2007-05-17",184.5
"95","2007-05-18",187.949997
"96","2007-05-21",191.449997
"97","2007-05-22",193.75
"98","2007-05-23",190.850006
"99","2007-05-24",187.300003
"100","2007-05-25",187.050003
"101","2007-05-29",186.550003
"102","2007-05-30",194.350006
"103","2007-05-31",190.850006
"104","2007-06-01",190.25
"105","2007-06-04",191.449997
"106","2007-06-05",191.5
"107","2007-06-06",193.649994
"108","2007-06-07",191.5
"109","2007-06-08",191.899994
"110","2007-06-11",195.25
"111","2007-06-12",197.350006
"112","2007-06-13",199.399994
"113","2007-06-14",199.649994
"114","2007-06-15",203.550003
"115","2007-06-18",202.350006
"116","2007-06-19",200.399994
"117","2007-06-20",200.5
"118","2007-06-21",207.399994
"119","2007-06-22",203.300003
"120","2007-06-25",200.25
"121","2007-06-26",197.550003
"122","2007-06-27",200
"123","2007-06-28",204.350006
