"","date","PFSI"
"1","2013-05-09",19.1
"2","2013-05-10",19.6
"3","2013-05-13",19.309999
"4","2013-05-14",19.51
"5","2013-05-15",19.709999
"6","2013-05-16",20.030001
"7","2013-05-17",20
"8","2013-05-20",21.66
"9","2013-05-21",22.450001
"10","2013-05-22",21.639999
"11","2013-05-23",22.08
"12","2013-05-24",21.67
"13","2013-05-28",21.52
"14","2013-05-29",21.190001
"15","2013-05-30",21.98
"16","2013-05-31",21.799999
"17","2013-06-03",21.139999
"18","2013-06-04",21.440001
"19","2013-06-05",21.389999
"20","2013-06-06",21
"21","2013-06-07",20.48
"22","2013-06-10",20.450001
"23","2013-06-11",20.4
"24","2013-06-12",21.01
"25","2013-06-13",21.030001
"26","2013-06-14",21.02
"27","2013-06-17",21.610001
"28","2013-06-18",21.85
"29","2013-06-19",21.799999
"30","2013-06-20",21.42
"31","2013-06-21",21.34
"32","2013-06-24",21.01
"33","2013-06-25",21.1
"34","2013-06-26",20.780001
"35","2013-06-27",21.030001
"36","2013-06-28",21.27
"37","2013-07-01",21.219999
"38","2013-07-02",21.309999
"39","2013-07-03",21.15
"40","2013-07-05",20.6
"41","2013-07-08",20.41
"42","2013-07-09",20.74
"43","2013-07-10",20.719999
"44","2013-07-11",20.9
"45","2013-07-12",20.34
"46","2013-07-15",20.15
"47","2013-07-16",20
"48","2013-07-17",19.93
"49","2013-07-18",19.950001
"50","2013-07-19",19.969999
"51","2013-07-22",19.969999
"52","2013-07-23",19.85
"53","2013-07-24",19.85
"54","2013-07-25",19.9
"55","2013-07-26",19.120001
"56","2013-07-29",19.59
"57","2013-07-30",19.459999
"58","2013-07-31",19.6
"59","2013-08-01",19.969999
"60","2013-08-02",19.76
"61","2013-08-05",19.799999
"62","2013-08-06",19.629999
"63","2013-08-07",19.389999
"64","2013-08-08",18.99
"65","2013-08-09",18.110001
"66","2013-08-12",18.02
"67","2013-08-13",18.07
"68","2013-08-14",18.120001
"69","2013-08-15",17.620001
"70","2013-08-16",17.299999
"71","2013-08-19",17.1
"72","2013-08-20",16.82
"73","2013-08-21",16.209999
"74","2013-08-22",16.27
"75","2013-08-23",16.1
"76","2013-08-26",16.98
"77","2013-08-27",16.719999
"78","2013-08-28",16.799999
"79","2013-08-29",17.34
"80","2013-08-30",17.07
"81","2013-09-03",16.9
"82","2013-09-04",17.5
"83","2013-09-05",16.780001
"84","2013-09-06",17.32
"85","2013-09-09",17.540001
"86","2013-09-10",17.799999
"87","2013-09-11",18
"88","2013-09-12",18.030001
"89","2013-09-13",18.889999
"90","2013-09-16",18.75
"91","2013-09-17",18.91
"92","2013-09-18",18.940001
"93","2013-09-19",18.59
"94","2013-09-20",18.68
"95","2013-09-23",18.780001
"96","2013-09-24",18.700001
"97","2013-09-25",18.66
"98","2013-09-26",18.870001
"99","2013-09-27",18.9
"100","2013-09-30",18.790001
"101","2013-10-01",18.58
"102","2013-10-02",18.280001
"103","2013-10-03",17.84
"104","2013-10-04",17.780001
"105","2013-10-07",17.68
"106","2013-10-08",17.67
"107","2013-10-09",17.77
"108","2013-10-10",18.27
"109","2013-10-11",18.040001
"110","2013-10-14",17.959999
"111","2013-10-15",17.17
"112","2013-10-16",17.08
"113","2013-10-17",16.950001
"114","2013-10-18",17.040001
"115","2013-10-21",16.18
"116","2013-10-22",16.26
"117","2013-10-23",16.41
"118","2013-10-24",16.35
"119","2013-10-25",16.129999
"120","2013-10-28",15.96
"121","2013-10-29",16.059999
"122","2013-10-30",16.02
"123","2013-10-31",16.1
"124","2013-11-01",16.709999
"125","2013-11-04",16.73
"126","2013-11-05",16.5
"127","2013-11-06",16.709999
"128","2013-11-07",17.530001
"129","2013-11-08",17.15
"130","2013-11-11",18.02
"131","2013-11-12",17.01
"132","2013-11-13",16.870001
"133","2013-11-14",16.5
"134","2013-11-15",17.07
"135","2013-11-18",17.32
"136","2013-11-19",17.16
"137","2013-11-20",17.110001
"138","2013-11-21",17.459999
"139","2013-11-22",17.530001
"140","2013-11-25",17.459999
"141","2013-11-26",17.23
"142","2013-11-27",17.620001
"143","2013-11-29",17.9
"144","2013-12-02",17.440001
"145","2013-12-03",17.389999
"146","2013-12-04",17.75
"147","2013-12-05",17.540001
"148","2013-12-06",17.65
"149","2013-12-09",17.799999
"150","2013-12-10",17.860001
"151","2013-12-11",17.74
"152","2013-12-12",17.58
"153","2013-12-13",17.719999
"154","2013-12-16",17.950001
"155","2013-12-17",17.719999
"156","2013-12-18",17.780001
"157","2013-12-19",17.83
"158","2013-12-20",16.879999
"159","2013-12-23",17.049999
"160","2013-12-24",17.18
"161","2013-12-26",17.67
"162","2013-12-27",17.889999
"163","2013-12-30",17.860001
"164","2013-12-31",17.549999
"165","2014-01-02",17.73
"166","2014-01-03",18.07
"167","2014-01-06",18.16
"168","2014-01-07",18.41
"169","2014-01-08",18.530001
"170","2014-01-09",18.32
"171","2014-01-10",17.35
"172","2014-01-13",17.26
"173","2014-01-14",17.26
"174","2014-01-15",18.25
"175","2014-01-16",18.280001
"176","2014-01-17",17.75
"177","2014-01-21",17.780001
"178","2014-01-22",17.58
"179","2014-01-23",17.4
"180","2014-01-24",17.549999
"181","2014-01-27",16.719999
"182","2014-01-28",17.040001
"183","2014-01-29",16.790001
"184","2014-01-30",17.01
"185","2014-01-31",16.98
"186","2014-02-03",17.35
"187","2014-02-04",17.07
"188","2014-02-05",16.870001
"189","2014-02-06",16.35
"190","2014-02-07",16.200001
"191","2014-02-10",16.209999
"192","2014-02-11",16.52
"193","2014-02-12",16.540001
"194","2014-02-13",16.540001
"195","2014-02-14",16.639999
"196","2014-02-18",17.5
"197","2014-02-19",17.049999
"198","2014-02-20",16.780001
"199","2014-02-21",17.059999
"200","2014-02-24",17
"201","2014-02-25",17.16
"202","2014-02-26",17.26
"203","2014-02-27",17.290001
"204","2014-02-28",17.290001
"205","2014-03-03",17.459999
"206","2014-03-04",17.860001
"207","2014-03-05",17.77
"208","2014-03-06",17.860001
"209","2014-03-07",18.01
"210","2014-03-10",18.059999
"211","2014-03-11",17.959999
"212","2014-03-12",17.780001
"213","2014-03-13",17.959999
"214","2014-03-14",17.950001
"215","2014-03-17",18.18
"216","2014-03-18",18.68
"217","2014-03-19",18.41
"218","2014-03-20",18.440001
"219","2014-03-21",18.58
"220","2014-03-24",18.360001
"221","2014-03-25",17.209999
"222","2014-03-26",16.57
"223","2014-03-27",16.1
"224","2014-03-28",15.91
"225","2014-03-31",16.639999
"226","2014-04-01",17.280001
"227","2014-04-02",17.620001
"228","2014-04-03",17.799999
"229","2014-04-04",17.629999
"230","2014-04-07",17.42
"231","2014-04-08",17.52
"232","2014-04-09",17.559999
"233","2014-04-10",17
"234","2014-04-11",16.450001
"235","2014-04-14",16.280001
"236","2014-04-15",16.450001
"237","2014-04-16",16.450001
"238","2014-04-17",16.41
"239","2014-04-21",16.08
"240","2014-04-22",16.280001
"241","2014-04-23",16.01
"242","2014-04-24",16.040001
"243","2014-04-25",16.01
"244","2014-04-28",15.86
"245","2014-04-29",16.1
"246","2014-04-30",15.87
"247","2014-05-01",15.76
"248","2014-05-02",15.74
"249","2014-05-05",15.59
"250","2014-05-06",15.57
"251","2014-05-07",15.03
"252","2014-05-08",15.6
"253","2014-05-09",15.46
"254","2014-05-12",15.46
"255","2014-05-13",15.72
"256","2014-05-14",15.54
"257","2014-05-15",15.69
"258","2014-05-16",15.59
"259","2014-05-19",15.78
"260","2014-05-20",15.49
"261","2014-05-21",15.65
"262","2014-05-22",15.72
"263","2014-05-23",15.81
"264","2014-05-27",16.08
"265","2014-05-28",16.08
"266","2014-05-29",15.98
"267","2014-05-30",15.87
"268","2014-06-02",15.9
"269","2014-06-03",15.82
"270","2014-06-04",15.83
"271","2014-06-05",15.98
"272","2014-06-06",15.88
"273","2014-06-09",15.85
"274","2014-06-10",15.67
"275","2014-06-11",15.57
"276","2014-06-12",15.46
"277","2014-06-13",16.33
"278","2014-06-16",15.52
"279","2014-06-17",15.45
"280","2014-06-18",15.56
"281","2014-06-19",15.38
"282","2014-06-20",15.41
"283","2014-06-23",15.3
"284","2014-06-24",15.2
"285","2014-06-25",15.35
"286","2014-06-26",15.28
"287","2014-06-27",15.23
"288","2014-06-30",15.19
