"","date","PGNY"
"1","2019-10-25",15.94
"2","2019-10-28",17.209999
"3","2019-10-29",16.43
"4","2019-10-30",16.209999
"5","2019-10-31",16.43
"6","2019-11-01",18.379999
"7","2019-11-04",19.049999
"8","2019-11-05",19.790001
"9","2019-11-06",19.9
"10","2019-11-07",20.92
"11","2019-11-08",21.75
"12","2019-11-11",21.99
"13","2019-11-12",20.809999
"14","2019-11-13",20.5
"15","2019-11-14",20.559999
"16","2019-11-15",23.76
"17","2019-11-18",24.92
"18","2019-11-19",26.82
"19","2019-11-20",26.559999
"20","2019-11-21",27
"21","2019-11-22",25.68
"22","2019-11-25",25.719999
"23","2019-11-26",25.76
"24","2019-11-27",26.99
"25","2019-11-29",26.639999
"26","2019-12-02",28.540001
"27","2019-12-03",27.719999
"28","2019-12-04",26.34
"29","2019-12-05",27.860001
"30","2019-12-06",30.49
"31","2019-12-09",27.809999
"32","2019-12-10",27.33
"33","2019-12-11",26.459999
"34","2019-12-12",25.16
"35","2019-12-13",25.99
"36","2019-12-16",24.91
"37","2019-12-17",25.49
"38","2019-12-18",24.459999
"39","2019-12-19",23.84
"40","2019-12-20",23.540001
"41","2019-12-23",25.700001
"42","2019-12-24",25.65
"43","2019-12-26",26.27
"44","2019-12-27",27.950001
"45","2019-12-30",28.205
"46","2019-12-31",27.450001
"47","2020-01-02",25.959999
"48","2020-01-03",25.91
"49","2020-01-06",27.969999
"50","2020-01-07",29.32
"51","2020-01-08",29.389999
"52","2020-01-09",28.6
"53","2020-01-10",29.26
"54","2020-01-13",31.809999
"55","2020-01-14",33.34
"56","2020-01-15",31.030001
"57","2020-01-16",31.610001
"58","2020-01-17",30.49
"59","2020-01-21",32.369999
"60","2020-01-22",32.02
"61","2020-01-23",32.5
"62","2020-01-24",32.099998
"63","2020-01-27",31.620001
"64","2020-01-28",31.85
"65","2020-01-29",30.51
"66","2020-01-30",28.690001
"67","2020-01-31",27.799999
"68","2020-02-03",26.65
"69","2020-02-04",28.705
"70","2020-02-05",30.049999
"71","2020-02-06",29.9
"72","2020-02-07",28.950001
"73","2020-02-10",29.969999
"74","2020-02-11",30.959999
"75","2020-02-12",34.279999
"76","2020-02-13",33.080002
"77","2020-02-14",33.009998
"78","2020-02-18",35.599998
"79","2020-02-19",34.759998
"80","2020-02-20",33.669998
"81","2020-02-21",29.99
"82","2020-02-24",29.059999
"83","2020-02-25",27.59
"84","2020-02-26",26.940001
"85","2020-02-27",26.639999
"86","2020-02-28",27.530001
"87","2020-03-02",27.41
"88","2020-03-03",26.58
"89","2020-03-04",28.73
"90","2020-03-05",27.43
"91","2020-03-06",25.219999
"92","2020-03-09",23.16
"93","2020-03-10",24.290001
"94","2020-03-11",22.309999
"95","2020-03-12",20.07
"96","2020-03-13",21.700001
"97","2020-03-16",19.59
"98","2020-03-17",23.950001
"99","2020-03-18",20.99
"100","2020-03-19",20.25
"101","2020-03-20",19.5
"102","2020-03-23",16.469999
"103","2020-03-24",18.120001
"104","2020-03-25",18.969999
"105","2020-03-26",22.6
"106","2020-03-27",21.280001
"107","2020-03-30",22.57
"108","2020-03-31",21.190001
"109","2020-04-01",17.530001
"110","2020-04-02",16.5
"111","2020-04-03",17.530001
"112","2020-04-06",18.959999
"113","2020-04-07",18.690001
"114","2020-04-08",19.18
"115","2020-04-09",21.23
"116","2020-04-13",19.07
"117","2020-04-14",21.16
"118","2020-04-15",20.4
"119","2020-04-16",20.4
"120","2020-04-17",22.99
"121","2020-04-20",22.120001
"122","2020-04-21",21.379999
"123","2020-04-22",23.379999
"124","2020-04-23",21.459999
"125","2020-04-24",20.73
"126","2020-04-27",21.200001
"127","2020-04-28",21.82
"128","2020-04-29",24.049999
"129","2020-04-30",23.43
"130","2020-05-01",22.620001
"131","2020-05-04",21.870001
"132","2020-05-05",23
"133","2020-05-06",21.75
"134","2020-05-07",23
"135","2020-05-08",22.02
"136","2020-05-11",21.450001
"137","2020-05-12",20.49
"138","2020-05-13",26.129999
"139","2020-05-14",24.549999
"140","2020-05-15",25.49
"141","2020-05-18",27.65
"142","2020-05-19",27.389999
"143","2020-05-20",25.51
"144","2020-05-21",24.93
"145","2020-05-22",25.1
"146","2020-05-26",24.059999
"147","2020-05-27",24.01
"148","2020-05-28",24.809999
"149","2020-05-29",24.959999
"150","2020-06-01",24
"151","2020-06-02",24.389999
"152","2020-06-03",24.35
"153","2020-06-04",24.620001
"154","2020-06-05",24.9
"155","2020-06-08",24.85
"156","2020-06-09",24.83
"157","2020-06-10",24.74
"158","2020-06-11",21.91
"159","2020-06-12",22.559999
"160","2020-06-15",22.610001
"161","2020-06-16",23.379999
"162","2020-06-17",22.549999
"163","2020-06-18",23.07
"164","2020-06-19",23.879999
"165","2020-06-22",24.34
"166","2020-06-23",25.08
"167","2020-06-24",25.83
"168","2020-06-25",25.66
"169","2020-06-26",24.690001
"170","2020-06-29",24.4
"171","2020-06-30",25.809999
"172","2020-07-01",26.610001
"173","2020-07-02",26.309999
"174","2020-07-06",26.85
"175","2020-07-07",25.940001
"176","2020-07-08",25.870001
"177","2020-07-09",26.110001
"178","2020-07-10",26.809999
"179","2020-07-13",25.309999
"180","2020-07-14",24.77
"181","2020-07-15",25.860001
"182","2020-07-16",25.42
"183","2020-07-17",26.360001
"184","2020-07-20",26.1
"185","2020-07-21",25.83
"186","2020-07-22",25.65
"187","2020-07-23",27.18
"188","2020-07-24",26.84
"189","2020-07-27",26.799999
"190","2020-07-28",26.200001
"191","2020-07-29",25.959999
"192","2020-07-30",26.25
"193","2020-07-31",26.625
"194","2020-08-03",26.77
"195","2020-08-04",27.18
"196","2020-08-05",27.559999
"197","2020-08-06",27.280001
"198","2020-08-07",26.809999
"199","2020-08-10",29.459999
"200","2020-08-11",29.860001
"201","2020-08-12",29.67
"202","2020-08-13",29.219999
"203","2020-08-14",29.66
"204","2020-08-17",29.530001
"205","2020-08-18",29.285
"206","2020-08-19",32.599998
"207","2020-08-20",30.99
"208","2020-08-21",29.379999
"209","2020-08-24",28.690001
"210","2020-08-25",29.299999
"211","2020-08-26",28.370001
"212","2020-08-27",28.73
"213","2020-08-28",28.59
"214","2020-08-31",28.549999
"215","2020-09-01",29.65
"216","2020-09-02",28.870001
"217","2020-09-03",27.299999
"218","2020-09-04",26.93
"219","2020-09-08",27.780001
"220","2020-09-09",28.5
"221","2020-09-10",26.559999
"222","2020-09-11",25.860001
"223","2020-09-14",27.91
"224","2020-09-15",27.370001
"225","2020-09-16",29.1
"226","2020-09-17",27.389999
"227","2020-09-18",26.35
"228","2020-09-21",25.4
"229","2020-09-22",26.709999
"230","2020-09-23",26.9
"231","2020-09-24",27.43
"232","2020-09-25",28.620001
"233","2020-09-28",28.23
"234","2020-09-29",29.16
"235","2020-09-30",29.43
"236","2020-10-01",28.91
"237","2020-10-02",28.85
"238","2020-10-05",29.799999
"239","2020-10-06",28.700001
"240","2020-10-07",27.4
"241","2020-10-08",28.09
"242","2020-10-09",28.889999
"243","2020-10-12",29.51
"244","2020-10-13",29.26
"245","2020-10-14",28.75
"246","2020-10-15",28.35
"247","2020-10-16",27.809999
"248","2020-10-19",27.57
"249","2020-10-20",27.1
"250","2020-10-21",27.24
"251","2020-10-22",27.4
"252","2020-10-23",27.950001
"253","2020-10-26",26.690001
"254","2020-10-27",26.620001
"255","2020-10-28",24.6
"256","2020-10-29",24.6
"257","2020-10-30",24.370001
"258","2020-11-02",24.719999
"259","2020-11-03",25.26
"260","2020-11-04",27.1
"261","2020-11-05",27.35
"262","2020-11-06",27.01
"263","2020-11-09",28.57
"264","2020-11-10",29.01
"265","2020-11-11",29.75
"266","2020-11-12",29.73
"267","2020-11-13",30.700001
"268","2020-11-16",29.68
"269","2020-11-17",30
"270","2020-11-18",28.9
"271","2020-11-19",29.309999
"272","2020-11-20",30.49
"273","2020-11-23",32.220001
"274","2020-11-24",34.459999
"275","2020-11-25",34.709999
"276","2020-11-27",35.98
