"","date","PHCF"
"1","2019-01-02",6
"2","2019-01-03",5.99
"3","2019-01-04",5.75
"4","2019-01-07",6
"5","2019-01-08",5.99
"6","2019-01-09",5.95
"7","2019-01-10",5.72
"8","2019-01-11",5.772
"9","2019-01-14",5.701
"10","2019-01-15",5.551
"11","2019-01-16",5.75
"12","2019-01-17",5.877
"13","2019-01-18",5.7
"14","2019-01-22",5.51
"15","2019-01-23",5.54
"16","2019-01-24",5.354
"17","2019-01-25",5.18
"18","2019-01-28",5.24
"19","2019-01-29",5.1
"20","2019-01-30",4.829
"21","2019-01-31",5.1
"22","2019-02-01",5
"23","2019-02-04",5.23
"24","2019-02-05",5.247
"25","2019-02-06",5.22
"26","2019-02-07",5.22
"27","2019-02-08",5.22
"28","2019-02-11",4.64
"29","2019-02-12",4.71
"30","2019-02-13",4.89
"31","2019-02-14",3.44
"32","2019-02-15",4.5
"33","2019-02-19",3.71
"34","2019-02-20",3.7
"35","2019-02-21",3.605
"36","2019-02-22",3.621
"37","2019-02-25",3.98
"38","2019-02-26",4.15
"39","2019-02-27",4.1
"40","2019-02-28",4.1
"41","2019-03-01",4.04
"42","2019-03-04",3.98
"43","2019-03-05",4.09
"44","2019-03-06",4.049
"45","2019-03-07",4.02
"46","2019-03-08",4.02
"47","2019-03-11",3.99
"48","2019-03-12",3.85
"49","2019-03-13",4
"50","2019-03-14",4.009
"51","2019-03-15",3.98
"52","2019-03-18",3.41
"53","2019-03-19",3.78
"54","2019-03-20",3.18
"55","2019-03-21",2.966
"56","2019-03-22",3.125
"57","2019-03-25",3.13
"58","2019-03-26",3.267
"59","2019-03-27",3.24
"60","2019-03-28",3.199
"61","2019-03-29",3.299
"62","2019-04-01",3.14
"63","2019-04-02",3.03
"64","2019-04-03",3.1
"65","2019-04-04",3.1
"66","2019-04-05",3.248
"67","2019-04-08",2.981
"68","2019-04-09",3.087
"69","2019-04-10",3.099
"70","2019-04-11",3.099
"71","2019-04-12",3.096
"72","2019-04-15",2.83
"73","2019-04-16",2.8
"74","2019-04-17",2.8
"75","2019-04-18",2.984
"76","2019-04-22",2.874
"77","2019-04-23",2.9
"78","2019-04-24",2.875
"79","2019-04-25",2.67
"80","2019-04-26",2.813
"81","2019-04-29",2.95
"82","2019-04-30",2.77
"83","2019-05-01",2.68
"84","2019-05-02",2.858
"85","2019-05-03",2.77
"86","2019-05-06",2.81
"87","2019-05-07",2.8
"88","2019-05-08",2.864
"89","2019-05-09",2.88
"90","2019-05-10",2.9
"91","2019-05-13",2.86
"92","2019-05-14",2.8
"93","2019-05-15",2.91
"94","2019-05-16",2.85
"95","2019-05-17",2.89
"96","2019-05-20",2.89
"97","2019-05-21",2.98
"98","2019-05-22",2.93
"99","2019-05-23",2.785
"100","2019-05-24",2.785
"101","2019-05-28",2.785
"102","2019-05-29",2.89
"103","2019-05-30",2.94
"104","2019-05-31",2.92
"105","2019-06-03",2.85
"106","2019-06-04",2.97
"107","2019-06-05",2.938
"108","2019-06-06",2.849
"109","2019-06-07",2.85
"110","2019-06-10",2.85
"111","2019-06-11",2.85
"112","2019-06-12",2.65
"113","2019-06-13",2.813
"114","2019-06-14",2.95
"115","2019-06-17",3.09
"116","2019-06-18",2.99
"117","2019-06-19",2.93
"118","2019-06-20",2.794
"119","2019-06-21",2.7
"120","2019-06-24",2.83
"121","2019-06-25",2.82
"122","2019-06-26",2.88
"123","2019-06-27",2.8
"124","2019-06-28",2.799
"125","2019-07-01",2.629
"126","2019-07-02",2.75
"127","2019-07-03",2.84
"128","2019-07-05",2.79
"129","2019-07-08",2.79
"130","2019-07-09",2.78
"131","2019-07-10",2.78
"132","2019-07-11",2.7
"133","2019-07-12",2.76
"134","2019-07-15",2.76
"135","2019-07-16",2.498
"136","2019-07-17",2.498
"137","2019-07-18",2.49
"138","2019-07-19",2.49
"139","2019-07-22",2.558
"140","2019-07-23",2.362
"141","2019-07-24",2.5
"142","2019-07-25",2.5
"143","2019-07-26",2.585
"144","2019-07-29",2.555
"145","2019-07-30",2.87
"146","2019-07-31",2.87
"147","2019-08-01",2.78
"148","2019-08-02",2.58
"149","2019-08-05",2.58
"150","2019-08-06",2.58
"151","2019-08-07",2.685
"152","2019-08-08",2.6
"153","2019-08-09",2.65
"154","2019-08-12",2.6
"155","2019-08-13",2.7
"156","2019-08-14",2.64
"157","2019-08-15",2.64
"158","2019-08-16",2.23
"159","2019-08-19",2.49
"160","2019-08-20",2.49
"161","2019-08-21",2.42
"162","2019-08-22",2.42
"163","2019-08-23",2.42
"164","2019-08-26",2.31
"165","2019-08-27",2.42
"166","2019-08-28",2.42
"167","2019-08-29",2.42
"168","2019-08-30",2.42
"169","2019-09-03",2.52
"170","2019-09-04",2.59
"171","2019-09-05",2.67
"172","2019-09-06",2.68
"173","2019-09-09",2.68
"174","2019-09-10",2.68
"175","2019-09-11",2.68
"176","2019-09-12",2.64
"177","2019-09-13",2.66
"178","2019-09-16",2.59
"179","2019-09-17",2.49
"180","2019-09-18",2.49
"181","2019-09-19",2.39
"182","2019-09-20",2.507
"183","2019-09-23",2.58
"184","2019-09-24",2.64
"185","2019-09-25",2.4
"186","2019-09-26",2.46
"187","2019-09-27",2.56
"188","2019-09-30",2.63
"189","2019-10-01",2.67
"190","2019-10-02",2.64
"191","2019-10-03",2.587
"192","2019-10-04",2.63
"193","2019-10-07",2.63
"194","2019-10-08",2.503
"195","2019-10-09",2.577
"196","2019-10-10",2.6
"197","2019-10-11",2.64
"198","2019-10-14",2.64
"199","2019-10-15",2.63
"200","2019-10-16",2.63
"201","2019-10-17",2.63
"202","2019-10-18",2.63
"203","2019-10-21",2.51
"204","2019-10-22",2.64
"205","2019-10-23",2.64
"206","2019-10-24",2.65
"207","2019-10-25",2.64
"208","2019-10-28",2.64
"209","2019-10-29",2.64
"210","2019-10-30",2.65
"211","2019-10-31",2.64
"212","2019-11-01",2.64
"213","2019-11-04",2.64
"214","2019-11-05",2.63
"215","2019-11-06",2.563
"216","2019-11-07",2.37
"217","2019-11-08",2.6
"218","2019-11-11",2.57
"219","2019-11-12",2.62
"220","2019-11-13",2.577
"221","2019-11-14",2.577
"222","2019-11-15",2.6
"223","2019-11-18",2.45
"224","2019-11-19",2.6
"225","2019-11-20",2.6
"226","2019-11-21",2.6
"227","2019-11-22",2.6
"228","2019-11-25",2.6
"229","2019-11-26",2.6
"230","2019-11-27",2.6
"231","2019-11-29",2.62
"232","2019-12-02",2.594
"233","2019-12-03",2.581
"234","2019-12-04",2.581
"235","2019-12-05",2.581
"236","2019-12-06",2.63
"237","2019-12-09",2.5
"238","2019-12-10",2.45
"239","2019-12-11",2.36
"240","2019-12-12",2.36
"241","2019-12-13",2.36
"242","2019-12-16",2.33
"243","2019-12-17",2.27
"244","2019-12-18",2.155
"245","2019-12-19",2.2
"246","2019-12-20",2.2
"247","2019-12-23",2.11
"248","2019-12-24",2.09
"249","2019-12-26",2.14
"250","2019-12-27",2.04
"251","2019-12-30",2.14
"252","2019-12-31",2.14
"253","2020-01-02",2.1
"254","2020-01-03",2
"255","2020-01-06",2.087
"256","2020-01-07",2.12
"257","2020-01-08",2.14
"258","2020-01-09",2.096
"259","2020-01-10",2.056
"260","2020-01-13",2.072
"261","2020-01-14",2.2
"262","2020-01-15",2.22
"263","2020-01-16",2.22
"264","2020-01-17",2.16
"265","2020-01-21",2.2
"266","2020-01-22",2.2
"267","2020-01-23",2.19
"268","2020-01-24",2.19
"269","2020-01-27",2.17
"270","2020-01-28",2.17
"271","2020-01-29",2.17
"272","2020-01-30",2.17
"273","2020-01-31",2.21
"274","2020-02-03",2.21
"275","2020-02-04",2.21
"276","2020-02-05",2.27
"277","2020-02-06",2.1
"278","2020-02-07",2.18
"279","2020-02-10",2.159
"280","2020-02-11",2.453
"281","2020-02-12",2.453
"282","2020-02-13",2.453
"283","2020-02-14",2.362
"284","2020-02-18",2.56
"285","2020-02-19",2.56
"286","2020-02-20",2.56
"287","2020-02-21",2.56
"288","2020-02-24",2.56
"289","2020-02-25",2.56
"290","2020-02-26",2.56
"291","2020-02-27",2.56
"292","2020-02-28",2.56
"293","2020-03-02",2.56
"294","2020-03-03",2.24
"295","2020-03-04",2.24
"296","2020-03-05",2.22
"297","2020-03-06",2.22
"298","2020-03-09",2.22
"299","2020-03-10",2.1
"300","2020-03-11",2.2
"301","2020-03-12",2.2
"302","2020-03-13",2.26
"303","2020-03-16",2.26
"304","2020-03-17",2.26
"305","2020-03-18",2.26
"306","2020-03-19",2.26
"307","2020-03-20",2.1
"308","2020-03-23",2.1
"309","2020-03-24",2.14
"310","2020-03-25",2.18
"311","2020-03-26",2.18
"312","2020-03-27",2.18
"313","2020-03-30",2.13
"314","2020-03-31",2.15
"315","2020-04-01",2.15
"316","2020-04-02",2.12
"317","2020-04-03",2.14
"318","2020-04-06",2.12
"319","2020-04-07",2.11
"320","2020-04-08",2.11
"321","2020-04-09",2.15
"322","2020-04-13",2.15
"323","2020-04-14",2.15
"324","2020-04-15",2.15
"325","2020-04-16",2.15
"326","2020-04-17",2.39
"327","2020-04-20",2.43
"328","2020-04-21",2.307
"329","2020-04-22",2.307
"330","2020-04-23",2.138
"331","2020-04-24",2.11
"332","2020-04-27",2.1
"333","2020-04-28",2.063
"334","2020-04-29",2.1
"335","2020-04-30",2.1
"336","2020-05-01",2.1
"337","2020-05-04",2.1
"338","2020-05-05",2.1
"339","2020-05-06",2.16
"340","2020-05-07",2.17
"341","2020-05-08",2.15
"342","2020-05-11",2.169
"343","2020-05-12",2.18
"344","2020-05-13",2.18
"345","2020-05-14",2.19
"346","2020-05-15",2.19
"347","2020-05-18",2.22
"348","2020-05-19",2.24
"349","2020-05-20",2.23
"350","2020-05-21",2.22
"351","2020-05-22",2.21
"352","2020-05-26",2.22
"353","2020-05-27",2.21
"354","2020-05-28",2.35
"355","2020-05-29",2.198
"356","2020-06-01",2.21
"357","2020-06-02",2.22
"358","2020-06-03",2.177
"359","2020-06-04",2.2
"360","2020-06-05",2.2
"361","2020-06-08",2.2
"362","2020-06-09",2.2
"363","2020-06-10",2.6
"364","2020-06-11",2.209
"365","2020-06-12",2.33
"366","2020-06-15",2.172
"367","2020-06-16",2.07
"368","2020-06-17",2.165
"369","2020-06-18",2.16
"370","2020-06-19",2.1
"371","2020-06-22",2.14
"372","2020-06-23",2.2
"373","2020-06-24",3.28
"374","2020-06-25",6.75
"375","2020-06-26",5.4
"376","2020-06-29",8.08
"377","2020-06-30",6.23
"378","2020-07-01",4.81
"379","2020-07-02",5.45
"380","2020-07-06",5.69
"381","2020-07-07",5.68
"382","2020-07-08",5.46
"383","2020-07-09",5.64
"384","2020-07-10",5.85
"385","2020-07-13",4.19
"386","2020-07-14",4.67
"387","2020-07-15",4.62
"388","2020-07-16",4.16
"389","2020-07-17",4.53
"390","2020-07-20",5.45
"391","2020-07-21",5.52
"392","2020-07-22",4.12
"393","2020-07-23",4.42
"394","2020-07-24",4.15
"395","2020-07-27",3.9
"396","2020-07-28",3.54
"397","2020-07-29",3.73
"398","2020-07-30",3.6
"399","2020-07-31",3.62
"400","2020-08-03",3.618
"401","2020-08-04",3.73
"402","2020-08-05",2.77
"403","2020-08-06",3.04
"404","2020-08-07",2.84
"405","2020-08-10",2.85
"406","2020-08-11",2.95
"407","2020-08-12",3.04
"408","2020-08-13",3.21
"409","2020-08-14",3.61
"410","2020-08-17",4
"411","2020-08-18",3.72
"412","2020-08-19",3
"413","2020-08-20",3.24
"414","2020-08-21",3.05
"415","2020-08-24",3.01
"416","2020-08-25",3.18
"417","2020-08-26",3.02
"418","2020-08-27",3.1
"419","2020-08-28",3.17
"420","2020-08-31",3.08
"421","2020-09-01",2.98
"422","2020-09-02",3.08
"423","2020-09-03",3.09
"424","2020-09-04",3
"425","2020-09-08",2.96
"426","2020-09-09",3.08
"427","2020-09-10",3.21
"428","2020-09-11",3.1
"429","2020-09-14",3.13
"430","2020-09-15",3.07
"431","2020-09-16",3.125
"432","2020-09-17",3.06
"433","2020-09-18",3.095
"434","2020-09-21",3.02
"435","2020-09-22",3.04
"436","2020-09-23",3.01
"437","2020-09-24",2.9
"438","2020-09-25",2.95
"439","2020-09-28",3
"440","2020-09-29",3.03
"441","2020-09-30",3
"442","2020-10-01",2.94
"443","2020-10-02",2.98
"444","2020-10-05",3.04
"445","2020-10-06",3.1
"446","2020-10-07",3
"447","2020-10-08",3
"448","2020-10-09",3.01
"449","2020-10-12",3.35
"450","2020-10-13",3.05
"451","2020-10-14",3
"452","2020-10-15",2.996
"453","2020-10-16",3.1
"454","2020-10-19",3.2
"455","2020-10-20",3.3
"456","2020-10-21",4.65
"457","2020-10-22",4.26
"458","2020-10-23",3.47
"459","2020-10-26",2.95
"460","2020-10-27",3.09
"461","2020-10-28",2.96
"462","2020-10-29",2.77
"463","2020-10-30",2.76
"464","2020-11-02",2.62
"465","2020-11-03",2.56
"466","2020-11-04",2.61
"467","2020-11-05",2.7
"468","2020-11-06",2.7
"469","2020-11-09",2.65
"470","2020-11-10",2.68
"471","2020-11-11",2.7
"472","2020-11-12",2.74
"473","2020-11-13",2.74
"474","2020-11-16",2.8
"475","2020-11-17",2.87
"476","2020-11-18",2.8
"477","2020-11-19",2.857
"478","2020-11-20",2.86
"479","2020-11-23",2.92
"480","2020-11-24",2.86
"481","2020-11-25",2.95
"482","2020-11-27",3.08
