"","date","PI"
"1","2016-07-21",17.969999
"2","2016-07-22",19.559999
"3","2016-07-25",19.73
"4","2016-07-26",18.610001
"5","2016-07-27",18.1
"6","2016-07-28",18.49
"7","2016-07-29",18.41
"8","2016-08-01",19.719999
"9","2016-08-02",19.4
"10","2016-08-03",18.83
"11","2016-08-04",19.33
"12","2016-08-05",19.219999
"13","2016-08-08",19.809999
"14","2016-08-09",19.76
"15","2016-08-10",20
"16","2016-08-11",19.99
"17","2016-08-12",19.969999
"18","2016-08-15",21.700001
"19","2016-08-16",20.950001
"20","2016-08-17",23.469999
"21","2016-08-18",22.559999
"22","2016-08-19",21.969999
"23","2016-08-22",21.290001
"24","2016-08-23",21.809999
"25","2016-08-24",21.16
"26","2016-08-25",20.85
"27","2016-08-26",20
"28","2016-08-29",22.790001
"29","2016-08-30",22.75
"30","2016-08-31",22.82
"31","2016-09-01",27.57
"32","2016-09-02",32.669998
"33","2016-09-06",33.700001
"34","2016-09-07",34.599998
"35","2016-09-08",35.25
"36","2016-09-09",32.549999
"37","2016-09-12",34.009998
"38","2016-09-13",35.599998
"39","2016-09-14",36.650002
"40","2016-09-15",37.07
"41","2016-09-16",36.970001
"42","2016-09-19",36.330002
"43","2016-09-20",33.349998
"44","2016-09-21",34.32
"45","2016-09-22",33.849998
"46","2016-09-23",34.240002
"47","2016-09-26",32.130001
"48","2016-09-27",35.68
"49","2016-09-28",35.91
"50","2016-09-29",36.549999
"51","2016-09-30",37.419998
"52","2016-10-03",36
"53","2016-10-04",33.32
"54","2016-10-05",32.509998
"55","2016-10-06",34.25
"56","2016-10-07",33.439999
"57","2016-10-10",32.509998
"58","2016-10-11",28.209999
"59","2016-10-12",28.24
"60","2016-10-13",28.24
"61","2016-10-14",27.51
"62","2016-10-17",27.59
"63","2016-10-18",27.959999
"64","2016-10-19",28.1
"65","2016-10-20",27.459999
"66","2016-10-21",26.799999
"67","2016-10-24",27.93
"68","2016-10-25",27.02
"69","2016-10-26",26.700001
"70","2016-10-27",25.75
"71","2016-10-28",25.15
"72","2016-10-31",24.690001
"73","2016-11-01",24.42
"74","2016-11-02",25.09
"75","2016-11-03",25.299999
"76","2016-11-04",27.52
"77","2016-11-07",26.469999
"78","2016-11-08",27.809999
"79","2016-11-09",30.950001
"80","2016-11-10",30.549999
"81","2016-11-11",30.77
"82","2016-11-14",32.049999
"83","2016-11-15",33.32
"84","2016-11-16",32.139999
"85","2016-11-17",32.830002
"86","2016-11-18",29.83
"87","2016-11-21",29.6
"88","2016-11-22",29.379999
"89","2016-11-23",28.799999
"90","2016-11-25",28.6
"91","2016-11-28",26.57
"92","2016-11-29",27.25
"93","2016-11-30",27.309999
"94","2016-12-01",27.709999
"95","2016-12-02",26.719999
"96","2016-12-05",27.48
"97","2016-12-06",29.58
"98","2016-12-07",36.830002
"99","2016-12-08",34.200001
"100","2016-12-09",31.889999
"101","2016-12-12",32.880001
"102","2016-12-13",33.369999
"103","2016-12-14",32.07
"104","2016-12-15",32.669998
"105","2016-12-16",34.040001
"106","2016-12-19",35.330002
"107","2016-12-20",39.900002
"108","2016-12-21",38.330002
"109","2016-12-22",39.240002
"110","2016-12-23",38.650002
"111","2016-12-27",39.27
"112","2016-12-28",35.639999
"113","2016-12-29",35.16
"114","2016-12-30",35.34
"115","2017-01-03",35.349998
"116","2017-01-04",34.23
"117","2017-01-05",33.16
"118","2017-01-06",32.360001
"119","2017-01-09",32.25
"120","2017-01-10",34.91
"121","2017-01-11",33.529999
"122","2017-01-12",33.869999
"123","2017-01-13",33.529999
"124","2017-01-17",31.709999
"125","2017-01-18",30.639999
"126","2017-01-19",30.41
"127","2017-01-20",31.129999
"128","2017-01-23",33.610001
"129","2017-01-24",33.380001
"130","2017-01-25",35.049999
"131","2017-01-26",35.380001
"132","2017-01-27",35.400002
"133","2017-01-30",35.369999
"134","2017-01-31",35.209999
"135","2017-02-01",34.740002
"136","2017-02-02",34.119999
"137","2017-02-03",34.41
"138","2017-02-06",34.200001
"139","2017-02-07",33.380001
"140","2017-02-08",34
"141","2017-02-09",33.830002
"142","2017-02-10",33.189999
"143","2017-02-13",33.52
"144","2017-02-14",34.73
"145","2017-02-15",36.490002
"146","2017-02-16",35.360001
"147","2017-02-17",31.17
"148","2017-02-21",28.83
"149","2017-02-22",28.49
"150","2017-02-23",30.940001
"151","2017-02-24",29.99
"152","2017-02-27",29.120001
"153","2017-02-28",28.360001
"154","2017-03-01",29.370001
"155","2017-03-02",29.09
"156","2017-03-03",29.139999
"157","2017-03-06",28.200001
"158","2017-03-07",27.360001
"159","2017-03-08",27.58
"160","2017-03-09",28.280001
"161","2017-03-10",27.950001
"162","2017-03-13",28.98
"163","2017-03-14",28.02
"164","2017-03-15",28.43
"165","2017-03-16",28.540001
"166","2017-03-17",28.73
"167","2017-03-20",28.799999
"168","2017-03-21",28.700001
"169","2017-03-22",28.110001
"170","2017-03-23",28.120001
"171","2017-03-24",28.139999
"172","2017-03-27",29.030001
"173","2017-03-28",29.780001
"174","2017-03-29",30.26
"175","2017-03-30",30.469999
"176","2017-03-31",30.27
"177","2017-04-03",28.68
"178","2017-04-04",28.620001
"179","2017-04-05",28.799999
"180","2017-04-06",29.959999
"181","2017-04-07",29.52
"182","2017-04-10",30.440001
"183","2017-04-11",31.040001
"184","2017-04-12",31.389999
"185","2017-04-13",31.889999
"186","2017-04-17",31.99
"187","2017-04-18",33.150002
"188","2017-04-19",34.490002
"189","2017-04-20",35.669998
"190","2017-04-21",36.240002
"191","2017-04-24",36.77
"192","2017-04-25",37.459999
"193","2017-04-26",37.57
"194","2017-04-27",39.02
"195","2017-04-28",37.48
"196","2017-05-01",35.529999
"197","2017-05-02",36.799999
"198","2017-05-03",36.509998
"199","2017-05-04",37.84
"200","2017-05-05",41.119999
"201","2017-05-08",38.130001
"202","2017-05-09",38.889999
"203","2017-05-10",39.419998
"204","2017-05-11",39.209999
"205","2017-05-12",39.450001
"206","2017-05-15",42.310001
"207","2017-05-16",40.580002
"208","2017-05-17",41.389999
"209","2017-05-18",40.73
"210","2017-05-19",40.959999
"211","2017-05-22",44.380001
"212","2017-05-23",43.82
"213","2017-05-24",45.799999
"214","2017-05-25",46.009998
"215","2017-05-26",44.830002
"216","2017-05-30",45.27
"217","2017-05-31",43.650002
"218","2017-06-01",45.830002
"219","2017-06-02",45.77
"220","2017-06-05",46.27
"221","2017-06-06",47.959999
"222","2017-06-07",48.259998
"223","2017-06-08",49.139999
"224","2017-06-09",42.639999
"225","2017-06-12",45.75
"226","2017-06-13",46.490002
"227","2017-06-14",46.540001
"228","2017-06-15",46.77
"229","2017-06-16",55.709999
"230","2017-06-19",55.849998
"231","2017-06-20",54.68
"232","2017-06-21",54.66
"233","2017-06-22",54.650002
"234","2017-06-23",58.790001
"235","2017-06-26",59.369999
"236","2017-06-27",53.150002
"237","2017-06-28",54.860001
"238","2017-06-29",51.18
"239","2017-06-30",48.650002
"240","2017-07-03",47.84
"241","2017-07-05",49.84
"242","2017-07-06",49.369999
"243","2017-07-07",51.150002
"244","2017-07-10",51.43
"245","2017-07-11",52.5
"246","2017-07-12",52.73
"247","2017-07-13",53.470001
"248","2017-07-14",52.619999
"249","2017-07-17",54.220001
"250","2017-07-18",52.41
"251","2017-07-19",51.25
"252","2017-07-20",54
"253","2017-07-21",52.41
"254","2017-07-24",53.150002
"255","2017-07-25",52.349998
"256","2017-07-26",53.009998
"257","2017-07-27",50.330002
"258","2017-07-28",50.77
"259","2017-07-31",49.139999
"260","2017-08-01",50.09
"261","2017-08-02",49.049999
"262","2017-08-03",47.919998
"263","2017-08-04",37.52
"264","2017-08-07",37.040001
"265","2017-08-08",37.419998
"266","2017-08-09",36.57
"267","2017-08-10",33.610001
"268","2017-08-11",33.77
"269","2017-08-14",33.580002
"270","2017-08-15",32
"271","2017-08-16",32.139999
"272","2017-08-17",30.540001
"273","2017-08-18",31.440001
"274","2017-08-21",30.23
"275","2017-08-22",30.940001
"276","2017-08-23",31.77
"277","2017-08-24",35.439999
"278","2017-08-25",36.419998
"279","2017-08-28",36.119999
"280","2017-08-29",36.279999
"281","2017-08-30",37.029999
"282","2017-08-31",38.240002
"283","2017-09-01",39
"284","2017-09-05",38.060001
"285","2017-09-06",38.619999
"286","2017-09-07",37.990002
"287","2017-09-08",36.98
"288","2017-09-11",37.560001
"289","2017-09-12",39.57
"290","2017-09-13",38.080002
"291","2017-09-14",38.130001
"292","2017-09-15",40.810001
"293","2017-09-18",39.200001
"294","2017-09-19",39.549999
"295","2017-09-20",40.07
"296","2017-09-21",40.470001
"297","2017-09-22",41.25
"298","2017-09-25",38.439999
"299","2017-09-26",37.630001
"300","2017-09-27",39.139999
"301","2017-09-28",40.580002
"302","2017-09-29",41.610001
"303","2017-10-02",40.689999
"304","2017-10-03",39.560001
"305","2017-10-04",40.290001
"306","2017-10-05",39.310001
"307","2017-10-06",37.09
"308","2017-10-09",37.740002
"309","2017-10-10",36.849998
"310","2017-10-11",37.080002
"311","2017-10-12",37.470001
"312","2017-10-13",35.689999
"313","2017-10-16",34.98
"314","2017-10-17",35.959999
"315","2017-10-18",36.169998
"316","2017-10-19",35.91
"317","2017-10-20",34.950001
"318","2017-10-23",34.810001
"319","2017-10-24",35.98
"320","2017-10-25",35.540001
"321","2017-10-26",34.91
"322","2017-10-27",35.040001
"323","2017-10-30",34.759998
"324","2017-10-31",34.139999
"325","2017-11-01",32.799999
"326","2017-11-02",21.549999
"327","2017-11-03",22.23
"328","2017-11-06",24
"329","2017-11-07",24.440001
"330","2017-11-08",25.57
"331","2017-11-09",25.049999
"332","2017-11-10",26.440001
"333","2017-11-13",25.58
"334","2017-11-14",27.530001
"335","2017-11-15",25.709999
"336","2017-11-16",25.23
"337","2017-11-17",25.309999
"338","2017-11-20",25.23
"339","2017-11-21",25
"340","2017-11-22",26.17
"341","2017-11-24",26.27
"342","2017-11-27",26.26
"343","2017-11-28",25.58
"344","2017-11-29",24.719999
"345","2017-11-30",25.469999
"346","2017-12-01",24.559999
"347","2017-12-04",22.950001
"348","2017-12-05",23.74
"349","2017-12-06",23.309999
"350","2017-12-07",23.559999
"351","2017-12-08",23.42
"352","2017-12-11",24.049999
"353","2017-12-12",23.379999
"354","2017-12-13",23.280001
"355","2017-12-14",23.17
"356","2017-12-15",23.77
"357","2017-12-18",24.66
"358","2017-12-19",23.809999
"359","2017-12-20",23.67
"360","2017-12-21",23.59
"361","2017-12-22",22.57
"362","2017-12-26",22.049999
"363","2017-12-27",22.370001
"364","2017-12-28",21.99
"365","2017-12-29",22.530001
"366","2018-01-02",23.559999
"367","2018-01-03",24.34
"368","2018-01-04",24.01
"369","2018-01-05",24.01
"370","2018-01-08",23.370001
"371","2018-01-09",23.23
"372","2018-01-10",23.34
"373","2018-01-11",23.299999
"374","2018-01-12",23.41
"375","2018-01-16",23
"376","2018-01-17",22.99
"377","2018-01-18",23.75
"378","2018-01-19",23.219999
"379","2018-01-22",25.309999
"380","2018-01-23",24.43
"381","2018-01-24",23.1
"382","2018-01-25",22.27
"383","2018-01-26",21.700001
"384","2018-01-29",21.719999
"385","2018-01-30",21.65
"386","2018-01-31",22.370001
"387","2018-02-01",22.860001
"388","2018-02-02",12.16
"389","2018-02-05",11.94
"390","2018-02-06",11.74
"391","2018-02-07",11.41
"392","2018-02-08",12.05
"393","2018-02-09",12.27
"394","2018-02-12",13
"395","2018-02-13",12.88
"396","2018-02-14",12.91
"397","2018-02-15",13.43
"398","2018-02-16",11.07
"399","2018-02-20",12.055
"400","2018-02-21",12.15
"401","2018-02-22",12.54
"402","2018-02-23",12.84
"403","2018-02-26",13.04
"404","2018-02-27",13.6
"405","2018-02-28",12.74
"406","2018-03-01",13.14
"407","2018-03-02",13.32
"408","2018-03-05",13.84
"409","2018-03-06",13.57
"410","2018-03-07",13.76
"411","2018-03-08",14.38
"412","2018-03-09",13.625
"413","2018-03-12",13.93
"414","2018-03-13",13.66
"415","2018-03-14",13.63
"416","2018-03-15",13.36
"417","2018-03-16",13.6
"418","2018-03-19",13.5
"419","2018-03-20",13.56
"420","2018-03-21",13.75
"421","2018-03-22",13.11
"422","2018-03-23",12.86
"423","2018-03-26",13.02
"424","2018-03-27",12.89
"425","2018-03-28",12.89
"426","2018-03-29",13.02
"427","2018-04-02",12.58
"428","2018-04-03",12.88
"429","2018-04-04",12.88
"430","2018-04-05",12.99
"431","2018-04-06",12.6
"432","2018-04-09",12.56
"433","2018-04-10",12.79
"434","2018-04-11",13.4
"435","2018-04-12",14.14
"436","2018-04-13",13.46
"437","2018-04-16",13.36
"438","2018-04-17",13.75
"439","2018-04-18",14.3
"440","2018-04-19",13.47
"441","2018-04-20",13.27
"442","2018-04-23",12.85
"443","2018-04-24",12.72
"444","2018-04-25",12.34
"445","2018-04-26",12.23
"446","2018-04-27",11.87
"447","2018-04-30",12.29
"448","2018-05-01",12.61
"449","2018-05-02",12.4
"450","2018-05-03",12.57
"451","2018-05-04",13.01
"452","2018-05-07",13.58
"453","2018-05-08",17.4
"454","2018-05-09",18.09
"455","2018-05-10",18.440001
"456","2018-05-11",17.08
"457","2018-05-14",17.780001
"458","2018-05-15",17.07
"459","2018-05-16",17.33
"460","2018-05-17",17.629999
"461","2018-05-18",17.51
"462","2018-05-21",17.49
"463","2018-05-22",16.959999
"464","2018-05-23",16.700001
"465","2018-05-24",16.9
"466","2018-05-25",16.74
"467","2018-05-29",19.08
"468","2018-05-30",18.1
"469","2018-05-31",17.9
"470","2018-06-01",18.18
"471","2018-06-04",18.08
"472","2018-06-05",20.48
"473","2018-06-06",20.51
"474","2018-06-07",20.549999
"475","2018-06-08",21.209999
"476","2018-06-11",21.389999
"477","2018-06-12",21.23
"478","2018-06-13",21.25
"479","2018-06-14",22.5
"480","2018-06-15",22.4
"481","2018-06-18",22.26
"482","2018-06-19",21.440001
"483","2018-06-20",22.889999
"484","2018-06-21",22.66
"485","2018-06-22",23
"486","2018-06-25",21.540001
"487","2018-06-26",21.73
"488","2018-06-27",21.02
"489","2018-06-28",21.76
"490","2018-06-29",22.110001
"491","2018-07-02",22.469999
"492","2018-07-03",22.094999
"493","2018-07-05",23.34
"494","2018-07-06",23.82
"495","2018-07-09",24.1
"496","2018-07-10",23.559999
"497","2018-07-11",24
"498","2018-07-12",24.049999
"499","2018-07-13",23.790001
"500","2018-07-16",24.129999
"501","2018-07-17",24.139999
"502","2018-07-18",24.459999
"503","2018-07-19",25.049999
"504","2018-07-20",24.98
"505","2018-07-23",25.35
"506","2018-07-24",23.98
"507","2018-07-25",24.870001
"508","2018-07-26",24
"509","2018-07-27",22.959999
"510","2018-07-30",20.5
"511","2018-07-31",21.309999
"512","2018-08-01",21.91
"513","2018-08-02",21.99
"514","2018-08-03",18.969999
"515","2018-08-06",18.879999
"516","2018-08-07",19.389999
"517","2018-08-08",19.4
"518","2018-08-09",19.139999
"519","2018-08-10",19.559999
"520","2018-08-13",19.5
"521","2018-08-14",19.370001
"522","2018-08-15",18.83
"523","2018-08-16",18.860001
"524","2018-08-17",19.190001
"525","2018-08-20",19.25
"526","2018-08-21",19.959999
"527","2018-08-22",20.360001
"528","2018-08-23",20.309999
"529","2018-08-24",20.41
