"","date","PKE"
"1","2007-01-03",25.66
"2","2007-01-04",25.99
"3","2007-01-05",25.09
"4","2007-01-08",25.309999
"5","2007-01-09",25.299999
"6","2007-01-10",25.15
"7","2007-01-11",25.530001
"8","2007-01-12",25.610001
"9","2007-01-16",25.299999
"10","2007-01-17",25.52
"11","2007-01-18",25.059999
"12","2007-01-19",25.48
"13","2007-01-22",25.73
"14","2007-01-23",26.25
"15","2007-01-24",26.67
"16","2007-01-25",26.549999
"17","2007-01-26",26.610001
"18","2007-01-29",26.52
"19","2007-01-30",26.790001
"20","2007-01-31",26.690001
"21","2007-02-01",27.059999
"22","2007-02-02",27.08
"23","2007-02-05",27.1
"24","2007-02-06",27.309999
"25","2007-02-07",27.709999
"26","2007-02-08",28.07
"27","2007-02-09",28.389999
"28","2007-02-12",28.33
"29","2007-02-13",28.4
"30","2007-02-14",28.200001
"31","2007-02-15",28.139999
"32","2007-02-16",28.5
"33","2007-02-20",28.6
"34","2007-02-21",28.65
"35","2007-02-22",28.74
"36","2007-02-23",28.59
"37","2007-02-26",28.809999
"38","2007-02-27",27.9
"39","2007-02-28",27.959999
"40","2007-03-01",27.969999
"41","2007-03-02",27.559999
"42","2007-03-05",27.02
"43","2007-03-06",27.4
"44","2007-03-07",26.99
"45","2007-03-08",26.870001
"46","2007-03-09",26.82
"47","2007-03-12",26.75
"48","2007-03-13",26.219999
"49","2007-03-14",25.75
"50","2007-03-15",26.620001
"51","2007-03-16",26.549999
"52","2007-03-19",26.790001
"53","2007-03-20",26.6
"54","2007-03-21",26.74
"55","2007-03-22",26.5
"56","2007-03-23",26.299999
"57","2007-03-26",26.450001
"58","2007-03-27",26.4
"59","2007-03-28",26.9
"60","2007-03-29",27.17
"61","2007-03-30",27.120001
"62","2007-04-02",27.120001
"63","2007-04-03",27.57
"64","2007-04-04",27.360001
"65","2007-04-05",27.450001
"66","2007-04-09",27.700001
"67","2007-04-10",27.99
"68","2007-04-11",27.33
"69","2007-04-12",27.889999
"70","2007-04-13",27.93
"71","2007-04-16",28.459999
"72","2007-04-17",28.58
"73","2007-04-18",27.99
"74","2007-04-19",27.66
"75","2007-04-20",28.25
"76","2007-04-23",28.309999
"77","2007-04-24",28.360001
"78","2007-04-25",28.42
"79","2007-04-26",28.33
"80","2007-04-27",28.02
"81","2007-04-30",27.549999
"82","2007-05-01",28.780001
"83","2007-05-02",28.889999
"84","2007-05-03",28.42
"85","2007-05-04",28.969999
"86","2007-05-07",28.940001
"87","2007-05-08",28.68
"88","2007-05-09",28.85
"89","2007-05-10",28.540001
"90","2007-05-11",28.969999
"91","2007-05-14",28.77
"92","2007-05-15",28.66
"93","2007-05-16",28.879999
"94","2007-05-17",28.77
"95","2007-05-18",28.889999
"96","2007-05-21",29.190001
"97","2007-05-22",29.280001
"98","2007-05-23",28.59
"99","2007-05-24",27.799999
"100","2007-05-25",28.309999
"101","2007-05-29",27.98
"102","2007-05-30",27.73
"103","2007-05-31",27.85
"104","2007-06-01",27.82
"105","2007-06-04",28.540001
"106","2007-06-05",28.389999
"107","2007-06-06",28.639999
"108","2007-06-07",28.389999
"109","2007-06-08",28.57
"110","2007-06-11",28.950001
"111","2007-06-12",28.860001
"112","2007-06-13",29.49
"113","2007-06-14",30.030001
"114","2007-06-15",31.16
"115","2007-06-18",31.450001
"116","2007-06-19",31.5
"117","2007-06-20",30.469999
"118","2007-06-21",31.33
"119","2007-06-22",31.42
"120","2007-06-25",31.41
"121","2007-06-26",31.549999
"122","2007-06-27",28.02
"123","2007-06-28",27.67
"124","2007-06-29",28.18
"125","2007-07-02",28.780001
"126","2007-07-03",28.85
"127","2007-07-05",29.049999
"128","2007-07-06",28.809999
"129","2007-07-09",29.01
"130","2007-07-10",29.07
"131","2007-07-11",29.559999
"132","2007-07-12",30.969999
"133","2007-07-13",31
"134","2007-07-16",31.209999
"135","2007-07-17",30.639999
"136","2007-07-18",30.860001
"137","2007-07-19",31.93
"138","2007-07-20",31.309999
"139","2007-07-23",31.129999
"140","2007-07-24",30.76
"141","2007-07-25",31.290001
"142","2007-07-26",30.709999
"143","2007-07-27",30.639999
"144","2007-07-30",30.059999
"145","2007-07-31",29.65
"146","2007-08-01",29.969999
"147","2007-08-02",30.440001
"148","2007-08-03",30.02
"149","2007-08-06",29.93
"150","2007-08-07",29.76
"151","2007-08-08",30.98
"152","2007-08-09",33.639999
"153","2007-08-10",33.080002
"154","2007-08-13",31.139999
"155","2007-08-14",30.280001
"156","2007-08-15",29.309999
"157","2007-08-16",29.73
"158","2007-08-17",30.360001
"159","2007-08-20",30.17
"160","2007-08-21",29.860001
"161","2007-08-22",30.33
"162","2007-08-23",30.41
"163","2007-08-24",29.76
"164","2007-08-27",29.379999
"165","2007-08-28",28.469999
"166","2007-08-29",28.93
"167","2007-08-30",29.120001
"168","2007-08-31",29.559999
"169","2007-09-04",29.459999
"170","2007-09-05",29.620001
"171","2007-09-06",29.540001
"172","2007-09-07",28.82
"173","2007-09-10",29.18
"174","2007-09-11",29.52
"175","2007-09-12",29.549999
"176","2007-09-13",29.309999
"177","2007-09-14",29.1
"178","2007-09-17",29.17
"179","2007-09-18",30
"180","2007-09-19",30.74
"181","2007-09-20",32.950001
"182","2007-09-21",33.68
"183","2007-09-24",33.150002
"184","2007-09-25",33
"185","2007-09-26",34.009998
"186","2007-09-27",33.889999
"187","2007-09-28",33.580002
"188","2007-10-01",34.91
"189","2007-10-02",35.450001
"190","2007-10-03",34.599998
"191","2007-10-04",35.549999
"192","2007-10-05",36.630001
"193","2007-10-08",34.990002
"194","2007-10-09",34.509998
"195","2007-10-10",34.700001
"196","2007-10-11",33.43
"197","2007-10-12",33.880001
"198","2007-10-15",32.209999
"199","2007-10-16",32.099998
"200","2007-10-17",30.879999
"201","2007-10-18",31.75
"202","2007-10-19",30.5
"203","2007-10-22",31.209999
"204","2007-10-23",31.450001
"205","2007-10-24",30.4
"206","2007-10-25",30.540001
"207","2007-10-26",30.370001
"208","2007-10-29",30.51
"209","2007-10-30",30.76
"210","2007-10-31",31.32
"211","2007-11-01",29.559999
"212","2007-11-02",30.280001
"213","2007-11-05",29.780001
"214","2007-11-06",30.540001
"215","2007-11-07",29.629999
"216","2007-11-08",30.120001
"217","2007-11-09",29.450001
"218","2007-11-12",29.540001
"219","2007-11-13",30.610001
"220","2007-11-14",30.639999
"221","2007-11-15",30.450001
"222","2007-11-16",30.99
"223","2007-11-19",29.59
"224","2007-11-20",30.280001
"225","2007-11-21",29.15
"226","2007-11-23",30.52
"227","2007-11-26",28.68
"228","2007-11-27",28.530001
"229","2007-11-28",29
"230","2007-11-29",29.42
"231","2007-11-30",29.450001
"232","2007-12-03",29.440001
"233","2007-12-04",28.709999
"234","2007-12-05",30.17
"235","2007-12-06",31.26
"236","2007-12-07",30.84
"237","2007-12-10",31.030001
"238","2007-12-11",29.85
"239","2007-12-12",30.59
"240","2007-12-13",30.35
"241","2007-12-14",29.49
"242","2007-12-17",28.77
"243","2007-12-18",29.709999
"244","2007-12-19",26.58
"245","2007-12-20",29.49
"246","2007-12-21",31.549999
"247","2007-12-24",30.58
"248","2007-12-26",30.959999
"249","2007-12-27",29.77
"250","2007-12-28",29.16
"251","2007-12-31",28.24
"252","2008-01-02",27.41
"253","2008-01-03",27.120001
"254","2008-01-04",26.030001
"255","2008-01-07",26.200001
"256","2008-01-08",25.309999
"257","2008-01-09",25.08
"258","2008-01-10",24.940001
"259","2008-01-11",23.66
"260","2008-01-14",24
"261","2008-01-15",23.530001
"262","2008-01-16",23.549999
"263","2008-01-17",22.59
"264","2008-01-18",22.469999
"265","2008-01-22",22.290001
"266","2008-01-23",23.08
"267","2008-01-24",22.799999
"268","2008-01-25",22.68
"269","2008-01-28",24.110001
"270","2008-01-29",23.860001
"271","2008-01-30",23.67
"272","2008-01-31",23.49
"273","2008-02-01",25.030001
"274","2008-02-04",25.110001
"275","2008-02-05",24
"276","2008-02-06",23.950001
"277","2008-02-07",23.83
"278","2008-02-08",23.66
"279","2008-02-11",23.799999
"280","2008-02-12",24.02
"281","2008-02-13",24.809999
"282","2008-02-14",24.17
"283","2008-02-15",24.07
"284","2008-02-19",24.219999
"285","2008-02-20",24.639999
"286","2008-02-21",23.610001
"287","2008-02-22",23.74
"288","2008-02-25",24.379999
"289","2008-02-26",24.870001
"290","2008-02-27",25.809999
"291","2008-02-28",23.76
"292","2008-02-29",23.549999
"293","2008-03-03",23.27
"294","2008-03-04",23.83
"295","2008-03-05",24.219999
"296","2008-03-06",24.389999
"297","2008-03-07",24.23
"298","2008-03-10",23.98
"299","2008-03-11",24.790001
"300","2008-03-12",24.6
"301","2008-03-13",25.129999
"302","2008-03-14",24.559999
"303","2008-03-17",24.059999
"304","2008-03-18",26.34
"305","2008-03-19",25.1
"306","2008-03-20",25.870001
"307","2008-03-24",27.34
"308","2008-03-25",26.879999
"309","2008-03-26",25.889999
"310","2008-03-27",25.76
"311","2008-03-28",26.26
"312","2008-03-31",25.85
"313","2008-04-01",26.629999
"314","2008-04-02",27.42
"315","2008-04-03",27.24
"316","2008-04-04",27.450001
"317","2008-04-07",27.24
"318","2008-04-08",27.209999
"319","2008-04-09",26.290001
"320","2008-04-10",26.860001
"321","2008-04-11",25.549999
"322","2008-04-14",26.059999
"323","2008-04-15",26.610001
"324","2008-04-16",27.67
"325","2008-04-17",27.16
"326","2008-04-18",27.709999
"327","2008-04-21",27.26
"328","2008-04-22",26.48
"329","2008-04-23",26.67
"330","2008-04-24",27.52
"331","2008-04-25",27.18
"332","2008-04-28",27.25
"333","2008-04-29",26.940001
