"","date","PMT"
"1","2009-07-30",19.1
"2","2009-07-31",18.799999
"3","2009-08-03",19
"4","2009-08-04",19.1
"5","2009-08-05",19.09
"6","2009-08-06",19.02
"7","2009-08-07",19.07
"8","2009-08-10",19.139999
"9","2009-08-11",19.139999
"10","2009-08-12",19.09
"11","2009-08-13",19.540001
"12","2009-08-14",19.35
"13","2009-08-17",19.049999
"14","2009-08-18",19.120001
"15","2009-08-19",19.049999
"16","2009-08-20",19.440001
"17","2009-08-21",19.65
"18","2009-08-24",19.639999
"19","2009-08-25",19.540001
"20","2009-08-26",19.41
"21","2009-08-27",19.639999
"22","2009-08-28",19.709999
"23","2009-08-31",19.75
"24","2009-09-01",19.450001
"25","2009-09-02",19.290001
"26","2009-09-03",19.4
"27","2009-09-04",19.34
"28","2009-09-08",19.610001
"29","2009-09-09",19.610001
"30","2009-09-10",19.530001
"31","2009-09-11",19.540001
"32","2009-09-14",19.639999
"33","2009-09-15",19.68
"34","2009-09-16",19.860001
"35","2009-09-17",19.85
"36","2009-09-18",19.950001
"37","2009-09-21",19.82
"38","2009-09-22",19.870001
"39","2009-09-23",19.74
"40","2009-09-24",19.59
"41","2009-09-25",19.190001
"42","2009-09-28",19.370001
"43","2009-09-29",19.84
"44","2009-09-30",19.91
"45","2009-10-01",19.67
"46","2009-10-02",19.26
"47","2009-10-05",19.35
"48","2009-10-06",19.23
"49","2009-10-07",19.24
"50","2009-10-08",19.27
"51","2009-10-09",19.25
"52","2009-10-12",19.15
"53","2009-10-13",19.24
"54","2009-10-14",19.190001
"55","2009-10-15",19.219999
"56","2009-10-16",19.09
"57","2009-10-19",19.209999
"58","2009-10-20",19.040001
"59","2009-10-21",18.959999
"60","2009-10-22",19.040001
"61","2009-10-23",18.879999
"62","2009-10-26",18.67
"63","2009-10-27",18.5
"64","2009-10-28",18.620001
"65","2009-10-29",18.83
"66","2009-10-30",18.41
"67","2009-11-02",18.34
"68","2009-11-03",18.309999
"69","2009-11-04",18.41
"70","2009-11-05",18.58
"71","2009-11-06",17.809999
"72","2009-11-09",17.58
"73","2009-11-10",17.09
"74","2009-11-11",17.030001
"75","2009-11-12",16.9
"76","2009-11-13",17.040001
"77","2009-11-16",17.75
"78","2009-11-17",17.690001
"79","2009-11-18",17.74
"80","2009-11-19",17.59
"81","2009-11-20",17.6
"82","2009-11-23",17.6
"83","2009-11-24",17.52
"84","2009-11-25",17.5
"85","2009-11-27",17.290001
"86","2009-11-30",17.719999
"87","2009-12-01",17.75
"88","2009-12-02",17.75
"89","2009-12-03",17.5
"90","2009-12-04",17.65
"91","2009-12-07",17.57
"92","2009-12-08",17.52
"93","2009-12-09",17.629999
"94","2009-12-10",17.450001
"95","2009-12-11",17.52
"96","2009-12-14",17.66
"97","2009-12-15",17.58
"98","2009-12-16",17.6
"99","2009-12-17",17.559999
"100","2009-12-18",17.639999
"101","2009-12-21",17.6
"102","2009-12-22",17.48
"103","2009-12-23",17.440001
"104","2009-12-24",17.48
"105","2009-12-28",17.299999
"106","2009-12-29",17.280001
"107","2009-12-30",17.25
"108","2009-12-31",17.18
"109","2010-01-04",17.32
"110","2010-01-05",17.200001
"111","2010-01-06",17.23
"112","2010-01-07",17.34
"113","2010-01-08",17.24
"114","2010-01-11",17.32
"115","2010-01-12",17.290001
"116","2010-01-13",17.33
"117","2010-01-14",17.24
"118","2010-01-15",17.07
"119","2010-01-19",17.129999
"120","2010-01-20",17
"121","2010-01-21",17.01
"122","2010-01-22",16.379999
"123","2010-01-25",16.620001
"124","2010-01-26",16.549999
"125","2010-01-27",16.4
"126","2010-01-28",16.18
"127","2010-01-29",16.1
"128","2010-02-01",16.25
"129","2010-02-02",16.25
"130","2010-02-03",16.200001
"131","2010-02-04",15.94
"132","2010-02-05",16.08
"133","2010-02-08",16.120001
"134","2010-02-09",16.219999
"135","2010-02-10",16.15
"136","2010-02-11",16.41
"137","2010-02-12",16.51
"138","2010-02-16",16.51
"139","2010-02-17",16.200001
"140","2010-02-18",16.17
"141","2010-02-19",16.51
