"","date","PPG"
"1","2007-01-03",32.27
"2","2007-01-04",32.259998
"3","2007-01-05",32.365002
"4","2007-01-08",32.150002
"5","2007-01-09",32.599998
"6","2007-01-10",32.645
"7","2007-01-11",33.215
"8","2007-01-12",33.535
"9","2007-01-16",33.645
"10","2007-01-17",33.915001
"11","2007-01-18",33.005001
"12","2007-01-19",33.075001
"13","2007-01-22",32.735001
"14","2007-01-23",33.02
"15","2007-01-24",33.119999
"16","2007-01-25",32.849998
"17","2007-01-26",32.564999
"18","2007-01-29",32.685001
"19","2007-01-30",32.834999
"20","2007-01-31",33.145
"21","2007-02-01",33.91
"22","2007-02-02",33.855
"23","2007-02-05",33.535
"24","2007-02-06",33.959999
"25","2007-02-07",34.169998
"26","2007-02-08",33.799999
"27","2007-02-09",33.950001
"28","2007-02-12",33.974998
"29","2007-02-13",34.404999
"30","2007-02-14",34.305
"31","2007-02-15",34.34
"32","2007-02-16",34.105
"33","2007-02-20",34.099998
"34","2007-02-21",34.134998
"35","2007-02-22",33.720001
"36","2007-02-23",33.869999
"37","2007-02-26",34
"38","2007-02-27",33.044998
"39","2007-02-28",33.125
"40","2007-03-01",32.994999
"41","2007-03-02",32.744999
"42","2007-03-05",32.544998
"43","2007-03-06",32.950001
"44","2007-03-07",32.759998
"45","2007-03-08",33.25
"46","2007-03-09",33.985001
"47","2007-03-12",34.355
"48","2007-03-13",33.900002
"49","2007-03-14",34.130001
"50","2007-03-15",34.490002
"51","2007-03-16",34.52
"52","2007-03-19",35.154999
"53","2007-03-20",35.610001
"54","2007-03-21",36.07
"55","2007-03-22",35.939999
"56","2007-03-23",36.139999
"57","2007-03-26",36.145
"58","2007-03-27",35.790001
"59","2007-03-28",35.345001
"60","2007-03-29",35.305
"61","2007-03-30",35.154999
"62","2007-04-02",35.294998
"63","2007-04-03",35.599998
"64","2007-04-04",35.66
"65","2007-04-05",35.529999
"66","2007-04-09",35.904999
"67","2007-04-10",35.445
"68","2007-04-11",35.279999
"69","2007-04-12",35.68
"70","2007-04-13",35.5
"71","2007-04-16",36.055
"72","2007-04-17",35.389999
"73","2007-04-18",35.459999
"74","2007-04-19",37.75
"75","2007-04-20",37.625
"76","2007-04-23",37.509998
"77","2007-04-24",37.115002
"78","2007-04-25",37.490002
"79","2007-04-26",37.200001
"80","2007-04-27",37.360001
"81","2007-04-30",36.794998
"82","2007-05-01",36.630001
"83","2007-05-02",37.009998
"84","2007-05-03",37.509998
"85","2007-05-04",37.400002
"86","2007-05-07",37.900002
"87","2007-05-08",37.424999
"88","2007-05-09",37.810001
"89","2007-05-10",37.169998
"90","2007-05-11",37.32
"91","2007-05-14",37.244999
"92","2007-05-15",37.34
"93","2007-05-16",37.505001
"94","2007-05-17",37.75
"95","2007-05-18",38.904999
"96","2007-05-21",38.985001
"97","2007-05-22",38.939999
"98","2007-05-23",38.68
"99","2007-05-24",38.279999
"100","2007-05-25",38.555
"101","2007-05-29",38.200001
"102","2007-05-30",38.505001
"103","2007-05-31",38.095001
"104","2007-06-01",38.185001
"105","2007-06-04",38.105
"106","2007-06-05",38.174999
"107","2007-06-06",37.884998
"108","2007-06-07",36.895
"109","2007-06-08",37.110001
"110","2007-06-11",37.105
"111","2007-06-12",36.474998
"112","2007-06-13",37.115002
"113","2007-06-14",37.259998
"114","2007-06-15",37.490002
"115","2007-06-18",37.404999
"116","2007-06-19",37.404999
"117","2007-06-20",37.105
"118","2007-06-21",37.305
"119","2007-06-22",36.790001
"120","2007-06-25",36.91
"121","2007-06-26",36.945
"122","2007-06-27",37.654999
"123","2007-06-28",37.27
"124","2007-06-29",38.055
"125","2007-07-02",38.474998
"126","2007-07-03",38.264999
"127","2007-07-05",38.715
"128","2007-07-06",38.525002
"129","2007-07-09",38.939999
"130","2007-07-10",38.355
"131","2007-07-11",38.474998
"132","2007-07-12",39.169998
"133","2007-07-13",39.404999
"134","2007-07-16",39.355
"135","2007-07-17",40.294998
"136","2007-07-18",40.209999
"137","2007-07-19",40.25
"138","2007-07-20",40.310001
"139","2007-07-23",41.099998
"140","2007-07-24",40.599998
"141","2007-07-25",40.169998
"142","2007-07-26",38.849998
"143","2007-07-27",38.025002
"144","2007-07-30",38.669998
"145","2007-07-31",38.134998
"146","2007-08-01",39.470001
"147","2007-08-02",39.279999
"148","2007-08-03",38.139999
"149","2007-08-06",39.029999
"150","2007-08-07",38.830002
"151","2007-08-08",38.25
"152","2007-08-09",36.095001
"153","2007-08-10",37.224998
"154","2007-08-13",37.634998
"155","2007-08-14",36.139999
"156","2007-08-15",35.285
"157","2007-08-16",35.674999
"158","2007-08-17",36.185001
"159","2007-08-20",36.689999
"160","2007-08-21",36.435001
"161","2007-08-22",36.584999
"162","2007-08-23",36.389999
"163","2007-08-24",37
"164","2007-08-27",36.625
"165","2007-08-28",35.639999
"166","2007-08-29",36.695
"167","2007-08-30",36.75
"168","2007-08-31",36.674999
"169","2007-09-04",36.814999
"170","2007-09-05",36.485001
"171","2007-09-06",36.904999
"172","2007-09-07",35.549999
"173","2007-09-10",35.685001
"174","2007-09-11",36.275002
"175","2007-09-12",37.25
"176","2007-09-13",37.505001
"177","2007-09-14",36.919998
"178","2007-09-17",36.834999
"179","2007-09-18",37.849998
