"","date","PTON"
"1","2019-09-26",25.76
"2","2019-09-27",25.24
"3","2019-09-30",25.1
"4","2019-10-01",22.51
"5","2019-10-02",22.6
"6","2019-10-03",22.33
"7","2019-10-04",23.01
"8","2019-10-07",23.51
"9","2019-10-08",23.209999
"10","2019-10-09",24
"11","2019-10-10",23.139999
"12","2019-10-11",22.389999
"13","2019-10-14",21.469999
"14","2019-10-15",23.445
"15","2019-10-16",23.030001
"16","2019-10-17",23.860001
"17","2019-10-18",23.52
"18","2019-10-21",22.26
"19","2019-10-22",21.16
"20","2019-10-23",21.08
"21","2019-10-24",21.34
"22","2019-10-25",22.4
"23","2019-10-28",21.459999
"24","2019-10-29",23.18
"25","2019-10-30",23.719999
"26","2019-10-31",23.870001
"27","2019-11-01",24.99
"28","2019-11-04",24.610001
"29","2019-11-05",22.74
"30","2019-11-06",23.02
"31","2019-11-07",22.629999
"32","2019-11-08",23.52
"33","2019-11-11",24.040001
"34","2019-11-12",24.690001
"35","2019-11-13",25.98
"36","2019-11-14",25.93
"37","2019-11-15",27.23
"38","2019-11-18",30.25
"39","2019-11-19",29.24
"40","2019-11-20",29.1
"41","2019-11-21",29.799999
"42","2019-11-22",29.360001
"43","2019-11-25",30.870001
"44","2019-11-26",30.959999
"45","2019-11-27",32.16
"46","2019-11-29",35.23
"47","2019-12-02",36.84
"48","2019-12-03",33.48
"49","2019-12-04",32.959999
"50","2019-12-05",31.309999
"51","2019-12-06",32.630001
"52","2019-12-09",34.77
"53","2019-12-10",32.779999
"54","2019-12-11",32.029999
"55","2019-12-12",30.85
"56","2019-12-13",31.530001
"57","2019-12-16",31.34
"58","2019-12-17",32.93
"59","2019-12-18",31.889999
"60","2019-12-19",31.93
"61","2019-12-20",29.99
"62","2019-12-23",29.219999
"63","2019-12-24",28.75
"64","2019-12-26",27
"65","2019-12-27",27
"66","2019-12-30",27.690001
"67","2019-12-31",28.4
"68","2020-01-02",29.74
"69","2020-01-03",30.6
"70","2020-01-06",29.75
"71","2020-01-07",30.4
"72","2020-01-08",29.65
"73","2020-01-09",27.870001
"74","2020-01-10",28.01
"75","2020-01-13",28.530001
"76","2020-01-14",29.690001
"77","2020-01-15",30.860001
"78","2020-01-16",30.83
"79","2020-01-17",31.700001
"80","2020-01-21",32
"81","2020-01-22",30.68
"82","2020-01-23",30.059999
"83","2020-01-24",30.5
"84","2020-01-27",31.25
"85","2020-01-28",31.379999
"86","2020-01-29",31.5
"87","2020-01-30",32.259998
"88","2020-01-31",32.360001
"89","2020-02-03",33.369999
"90","2020-02-04",33.470001
"91","2020-02-05",32.700001
"92","2020-02-06",29
"93","2020-02-07",27.860001
"94","2020-02-10",28.6
"95","2020-02-11",28.65
"96","2020-02-12",28.34
"97","2020-02-13",28.85
"98","2020-02-14",27.66
"99","2020-02-18",27.08
"100","2020-02-19",27.1
"101","2020-02-20",26.98
"102","2020-02-21",25.49
"103","2020-02-24",26.5
"104","2020-02-25",27.110001
"105","2020-02-26",29.190001
"106","2020-02-27",28.719999
"107","2020-02-28",26.690001
"108","2020-03-02",27.92
"109","2020-03-03",26.684999
"110","2020-03-04",27.25
"111","2020-03-05",27.1
"112","2020-03-06",24.98
"113","2020-03-09",23.209999
"114","2020-03-10",22.969999
"115","2020-03-11",22
"116","2020-03-12",19.51
"117","2020-03-13",19.719999
"118","2020-03-16",22.25
"119","2020-03-17",25.450001
"120","2020-03-18",25.790001
"121","2020-03-19",24.99
"122","2020-03-20",23.01
"123","2020-03-23",23.34
"124","2020-03-24",24.57
"125","2020-03-25",24.52
"126","2020-03-26",25.75
"127","2020-03-27",25.98
"128","2020-03-30",27.700001
"129","2020-03-31",26.549999
"130","2020-04-01",27.959999
"131","2020-04-02",26.74
"132","2020-04-03",28.75
"133","2020-04-06",28.370001
"134","2020-04-07",27.58
"135","2020-04-08",27.5
"136","2020-04-09",28.450001
"137","2020-04-13",31.99
"138","2020-04-14",31.879999
"139","2020-04-15",35.610001
"140","2020-04-16",36.349998
"141","2020-04-17",33.490002
"142","2020-04-20",31.07
"143","2020-04-21",31.389999
"144","2020-04-22",31.18
"145","2020-04-23",29.889999
"146","2020-04-24",31.74
"147","2020-04-27",31.780001
"148","2020-04-28",30
"149","2020-04-29",31.889999
"150","2020-04-30",31.5
"151","2020-05-01",32.049999
"152","2020-05-04",33.900002
"153","2020-05-05",36.220001
"154","2020-05-06",38.029999
"155","2020-05-07",44.119999
"156","2020-05-08",43
"157","2020-05-11",42.799999
"158","2020-05-12",46.169998
"159","2020-05-13",45.169998
"160","2020-05-14",45.110001
"161","2020-05-15",48.419998
"162","2020-05-18",43.610001
"163","2020-05-19",44.799999
"164","2020-05-20",45.110001
"165","2020-05-21",45.299999
"166","2020-05-22",45.810001
"167","2020-05-26",41.700001
"168","2020-05-27",41.07
"169","2020-05-28",42.610001
"170","2020-05-29",42.189999
"171","2020-06-01",45.849998
"172","2020-06-02",49.009998
"173","2020-06-03",47.830002
"174","2020-06-04",47.880001
"175","2020-06-05",45.900002
"176","2020-06-08",44.779999
"177","2020-06-09",47.639999
"178","2020-06-10",47.110001
"179","2020-06-11",45.98
"180","2020-06-12",47.099998
"181","2020-06-15",49.939999
"182","2020-06-16",49.91
"183","2020-06-17",49.169998
"184","2020-06-18",51.080002
"185","2020-06-19",50.889999
"186","2020-06-22",53.029999
"187","2020-06-23",54.880001
"188","2020-06-24",55.549999
"189","2020-06-25",58.060001
"190","2020-06-26",58.43
"191","2020-06-29",57.209999
"192","2020-06-30",57.77
"193","2020-07-01",60.25
"194","2020-07-02",59.16
"195","2020-07-06",60.48
"196","2020-07-07",60.82
"197","2020-07-08",62.52
"198","2020-07-09",64.489998
"199","2020-07-10",68.470001
"200","2020-07-13",61.580002
"201","2020-07-14",62.950001
"202","2020-07-15",63.130001
"203","2020-07-16",61.290001
"204","2020-07-17",58.529999
"205","2020-07-20",64.709999
"206","2020-07-21",62.880001
"207","2020-07-22",64.139999
"208","2020-07-23",62.310001
"209","2020-07-24",61.82
"210","2020-07-27",63.68
"211","2020-07-28",64.110001
"212","2020-07-29",66.650002
"213","2020-07-30",65.279999
"214","2020-07-31",68.220001
"215","2020-08-03",72.68
"216","2020-08-04",70.010002
"217","2020-08-05",71.209999
"218","2020-08-06",69.720001
"219","2020-08-07",68.300003
"220","2020-08-10",67.120003
"221","2020-08-11",64.959999
"222","2020-08-12",64.360001
"223","2020-08-13",65.709999
"224","2020-08-14",64.339996
"225","2020-08-17",65.260002
"226","2020-08-18",69.82
"227","2020-08-19",67.589996
"228","2020-08-20",68.720001
"229","2020-08-21",69.349998
"230","2020-08-24",66.870003
"231","2020-08-25",66.449997
"232","2020-08-26",67.300003
"233","2020-08-27",70.300003
"234","2020-08-28",75.959999
"235","2020-08-31",76.669998
"236","2020-09-01",83.669998
"237","2020-09-02",91.059998
"238","2020-09-03",82.279999
"239","2020-09-04",80.629997
"240","2020-09-08",85.599998
"241","2020-09-09",91.169998
"242","2020-09-10",87.75
"243","2020-09-11",84.040001
"244","2020-09-14",82.010002
"245","2020-09-15",85.449997
"246","2020-09-16",82.589996
"247","2020-09-17",85.199997
"248","2020-09-18",89.699997
"249","2020-09-21",94.800003
"250","2020-09-22",94.389999
"251","2020-09-23",95.230003
"252","2020-09-24",88.559998
"253","2020-09-25",97.730003
"254","2020-09-28",96.910004
"255","2020-09-29",100.470001
"256","2020-09-30",99.239998
"257","2020-10-01",105.199997
"258","2020-10-02",107.510002
"259","2020-10-05",110.739998
"260","2020-10-06",111.309998
"261","2020-10-07",116.959999
"262","2020-10-08",115
"263","2020-10-09",123.019997
"264","2020-10-12",127.300003
"265","2020-10-13",130.970001
"266","2020-10-14",131.440002
"267","2020-10-15",136.429993
"268","2020-10-16",131.330002
"269","2020-10-19",133.009995
"270","2020-10-20",131.929993
"271","2020-10-21",124.300003
"272","2020-10-22",120.800003
"273","2020-10-23",122.529999
"274","2020-10-26",118.099998
"275","2020-10-27",121.150002
"276","2020-10-28",122.120003
"277","2020-10-29",115.910004
"278","2020-10-30",110.209999
"279","2020-11-02",113.440002
"280","2020-11-03",111.699997
"281","2020-11-04",118.599998
"282","2020-11-05",126.629997
"283","2020-11-06",125.459999
"284","2020-11-09",100.010002
"285","2020-11-10",105.209999
"286","2020-11-11",106.209999
"287","2020-11-12",108.720001
"288","2020-11-13",100.790001
"289","2020-11-16",101.900002
"290","2020-11-17",102.489998
"291","2020-11-18",104.489998
"292","2020-11-19",105.260002
"293","2020-11-20",110.900002
"294","2020-11-23",112.050003
"295","2020-11-24",105.419998
"296","2020-11-25",106.940002
"297","2020-11-27",108.980003
