"","date","PULM"
"1","2014-03-21",181.25
"2","2014-03-24",169
"3","2014-03-25",178.25
"4","2014-03-26",173.25
"5","2014-03-27",168.75
"6","2014-03-28",173
"7","2014-03-31",171
"8","2014-04-01",168.75
"9","2014-04-02",175
"10","2014-04-03",174.75
"11","2014-04-04",172.5
"12","2014-04-07",172.25
"13","2014-04-08",174.75
"14","2014-04-09",178.5
"15","2014-04-10",176.25
"16","2014-04-11",178.75
"17","2014-04-14",175.75
"18","2014-04-15",171.125
"19","2014-04-16",169
"20","2014-04-17",175
"21","2014-04-21",173.25
"22","2014-04-22",171.75
"23","2014-04-23",174.75
"24","2014-04-24",174
"25","2014-04-25",173.5
"26","2014-04-28",174.25
"27","2014-04-29",172.75
"28","2014-04-30",171.175003
"29","2014-05-01",168.5
"30","2014-05-02",161.25
"31","2014-05-05",158.75
"32","2014-05-06",161
"33","2014-05-07",157
"34","2014-05-08",154.75
"35","2014-05-09",157.5
"36","2014-05-12",159.25
"37","2014-05-13",157.5
"38","2014-05-14",166
"39","2014-05-15",167.5
"40","2014-05-16",165.024994
"41","2014-05-19",163.75
"42","2014-05-20",164
"43","2014-05-21",170.75
"44","2014-05-22",158.5
"45","2014-05-23",157.75
"46","2014-05-27",157.25
"47","2014-05-28",151.5
"48","2014-05-29",158
"49","2014-05-30",158.75
"50","2014-06-02",162.75
"51","2014-06-03",166.149994
"52","2014-06-04",156.75
"53","2014-06-05",158.899994
"54","2014-06-06",160.5
"55","2014-06-09",164.5
"56","2014-06-10",169.5
"57","2014-06-11",167
"58","2014-06-12",168.75
"59","2014-06-13",168.5
"60","2014-06-16",171
"61","2014-06-17",166
"62","2014-06-18",163.5
"63","2014-06-19",165.25
"64","2014-06-20",143.75
"65","2014-06-23",150
"66","2014-06-24",155.425003
"67","2014-06-25",152.25
"68","2014-06-26",161.75
"69","2014-06-27",156.75
"70","2014-06-30",149.75
"71","2014-07-01",153.25
"72","2014-07-02",150
"73","2014-07-03",154.25
